"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",210.996,8.054,1.698,0.147,8.47,1.285,3.147,2.995,2359.017,27.443,1.419,1.192,6.538,9.567,1.794,3.037,0.707,0.133,0.379,0.34,0.569,0.422,0.271,0.557,0.053,0.197,2.367,3.56,0.841,13.433,43.454,0.997,0.587,0.836,0.656,0.121,895.361,0.904,0.736,0.399,1.012,2.755,1.706,3.555,9.813,3.064,3.099,2.581,3.56,0,6782.529,0.651,102.512,382.996,40.251,195.495,67.24,2306.428,-6699.584,6824.34
"TTL_A02",2.579,27.931,0.043,0.14,1.135,0.578,0.761,0.354,15.984,0.424,19.492,4.93,0.874,0.603,0.048,1.13,0.219,0.062,0.223,0.05,0.06,0.049,0.029,0.057,0.011,0.02,3.033,2.166,0.056,3.756,2.993,0.097,0.04,0.096,0.062,0.014,9.348,0.121,0.09,0.053,0.132,0.332,0.135,0.145,1.111,0.164,0.083,0.226,0.145,0,330.613,0.253,22.604,18.543,3.176,3.19,3.074,563.78,-76.88,970.533
"TTL_A03",0.299,0.03,0.32,0.01,0.872,0.152,0.318,0.249,9.455,0.107,0.017,0.053,1.03,0.174,0.036,0.042,0.074,0.019,0.061,0.033,0.072,0.048,0.025,0.043,0.039,0.022,0.073,0.088,0.028,0.544,1.065,0.09,1.118,0.108,0.159,0.01,10.246,0.089,0.072,0.04,0.059,0.096,0.072,0.074,0.238,0.054,0.055,0.042,0.036,0,188.992,0.193,0.886,1.942,2.694,10.54,2.865,817.979,-183.507,870.637
"TTL_B05",0.449,0.047,0.034,1.56,9.997,6.671,37.545,6.97,2.54,0.322,0.067,0.771,68.836,5.313,0.05,0.243,13.712,1.315,2.434,0.271,0.106,0.145,0.088,0.12,0.015,0.035,0.5,37.986,0.418,31.172,1.337,0.243,0.048,0.147,0.11,0.022,2.632,0.105,0.154,0.065,0.176,0.957,0.161,0.297,1.251,0.283,0.098,0.108,0.179,0,122.601,0.002,0.316,4.984,0.915,0.389,0.719,1579.29,-170.617,1776.702
"TTL_B06",3.437,0.838,0.948,2.275,224.013,23.729,41.686,70.593,14.277,2.172,0.462,3.554,2871.007,23.225,0.605,2.021,6.928,2.273,6.965,1.782,0.956,1.333,1.521,1.68,0.177,0.421,2.352,82.005,2.787,40.318,28.442,19.268,10.05,35.024,3.433,0.975,22.321,1.788,1.807,1.012,3.528,7.338,2.871,3.693,13.859,2.426,1.156,1.209,1.665,0,371.334,0.025,10.193,80.384,22.644,5.815,27.451,152494.816,-3277.103,153333.766
"TTL_B07",14.841,0.437,0.912,185.449,2564.834,16595.379,6476.855,3029.167,263.522,15.93,1.07,9.305,13478.304,1455.565,5.413,15.556,1361.045,2138.25,8173.775,323.836,3.093,29.58,24.92,19.052,0.722,0.974,91.435,1052.333,19.377,2497.67,57.366,19.298,1.371,8.098,6.689,0.756,129.838,2.548,0.867,0.315,1.218,21.897,13.841,12.143,23.783,4.033,1.033,2.421,15.129,0,20.403,0.012,3.157,23.7,0.239,1.36,4.809,4188.144,-27065.528,37347.538
"TTL_B08",51.067,4.585,4.006,30.352,612.48,342.763,5990.884,659.973,206.515,10.695,0.874,55.269,2856.931,655.742,2.707,15.057,2165.628,50.073,65.07,15.556,1.957,8.994,4.061,4.107,0.404,0.798,44.771,281.769,29.734,5032.031,40.989,7.481,2.066,1.907,3.304,0.292,75.877,1.143,1.383,0.573,1.217,85.116,4.754,32.647,79.394,3.187,1.119,1.824,5.028,0,159.264,0.455,2.452,54.12,2.398,1.099,7.325,14400.366,-7904.113,26277.517
"TTL_B09",1.197,0.107,2.605,39.154,7004.045,228.586,816.663,2731.006,6.258,0.37,0.154,5.162,1675.417,8.434,0.11,1.325,25.715,8.38,30.579,1.465,0.171,0.325,0.281,0.271,0.026,0.103,0.821,81.394,1.325,82.449,2.687,2.52,1.132,2.433,1.218,0.546,6.111,0.857,0.269,0.131,0.66,2.821,1.311,0.537,3.157,0.526,0.184,0.175,0.3,0,16.66,0.007,27.745,784.645,0.677,0.629,5.125,12897.169,-107.376,26406.754
"TTL_C10T12",103.48,0.574,5.946,0.415,14.51,5.504,18.205,5.512,1170.855,8.145,0.487,5.021,37.227,31.31,4.888,4.798,5.905,0.672,1.876,1.731,2.342,1.828,1.137,1.757,0.247,0.999,6.083,4.694,1.861,24.608,65.246,2.586,3.497,4.539,1.679,0.407,2460.992,5.996,2.996,2.111,4.631,5.015,3.885,4.175,21.44,10.69,8.459,6.739,4.604,0,20820.474,1.842,26.371,40.359,63.027,588.35,505.511,9406.225,-14367.096,21177.364
"TTL_C13T15",5.335,1.33,3.299,1.34,43.942,10.389,13.381,12.186,31.966,1431.816,2.129,29.831,31.143,27.631,2.591,22.147,6.817,0.443,0.973,3.513,2.527,3.117,2.392,19.812,0.793,1.611,116.156,6.239,4.151,47.043,113.3,4.246,1.739,5.483,3.272,2.402,183.768,6.951,3.339,2.181,5.983,6.815,12.575,24.346,76.641,14.217,11.415,17.154,32.007,0,7562.854,0.314,4.244,72.555,95.577,202.047,104.701,2278.736,-6320.528,6414.378
"TTL_C16",4.838,3.906,0.321,1.109,13.736,4.354,8.672,4.629,36.67,6.038,109.095,38.287,5.468,12.174,0.733,4.773,8.006,0.154,0.527,3.377,0.832,2.356,1.314,5.149,1.352,0.73,162.276,6.95,1.306,454.093,37.938,2.426,0.472,1.145,4.261,0.209,55.016,3.291,1.007,0.734,2.272,16.773,7.479,5.979,6.469,3.704,2.221,2.949,9.489,0,333.202,0.012,1.14,80.239,63.958,22.701,3.952,101.279,-926.325,747.217
"TTL_C17_18",2.141,0.213,0.264,0.195,10.947,2.608,3.922,2.711,119.376,9.009,1.795,223.237,12.507,12.628,3.364,5.878,4.978,0.188,0.523,1.746,1.547,2.233,1.181,2.087,0.139,0.522,11.561,4.499,1.507,15.323,47.381,2.116,1.068,1.731,2.021,1.388,54.489,65.404,2.866,5.775,12.256,3.876,13.069,11.205,21.601,10.946,3.561,3.2,4.27,0,798.462,0.04,5.259,18.743,20.018,76.909,51.424,2249.719,-499.022,3448.603
"TTL_C19",205.026,56.946,70.59,47.358,1333.574,393.254,715.247,630.301,481.938,58.627,21.53,99.471,15166.448,848.095,14.87,48.94,103.259,17.818,13.921,25.028,7.407,26.597,11.399,34.929,2.039,5.115,61.523,658.86,95.806,693.036,1328.201,1555.164,834.387,2966.913,205.513,68.121,791.052,56.838,42.879,36.778,173.032,79.1,112.277,206.031,617.717,80.023,35.433,42.43,75.851,0,9688.044,0.253,27.461,112,249.433,131.344,334.744,40255.341,-11794.653,70260.661
"TTL_C20",299.245,4.827,2.817,12.815,318.169,125.069,227.045,123.192,429.692,264.925,29.556,252.393,1939.655,2186.933,123.556,696.135,90.413,4.362,12.122,32.478,17.095,40.869,14.351,47.223,5.229,5.989,151.951,32.717,56.056,311.248,152.546,17.145,9.485,24.895,13.577,1.545,285.603,61.157,6.43,9.631,12.892,45.519,42.434,52.117,75.353,28.41,78.462,13.869,97.246,0,3532.541,0.341,49.397,60.968,41.654,56.967,9.678,12506.217,-12018.115,13126.091
"TTL_C21",133.532,0.543,4.12,3.667,131.397,45.275,26.118,10.93,286.958,18.909,1.098,4.782,49.613,149.132,1064.994,10.484,2.532,0.404,0.866,1.552,2.877,1.813,3.516,2.047,0.234,1.037,33.693,8.24,14.744,22.108,101.828,8.407,5.892,10.766,3.537,1.664,35.733,11.597,2.378,1.394,4.835,6.108,144.54,9.352,462.852,50.267,1197.151,23.029,35.644,0,3447.132,0.638,1007.742,41.944,42.476,35.149,14.591,353.924,-4517.438,4580.348
"TTL_C22",20.78,2.23,1.846,4.49,126.434,21.468,39.009,26.744,495.809,56.228,7.156,64.834,93.985,101.117,16.657,251.687,16.889,0.64,2.356,18.972,12.006,38.371,18.774,87.827,1.928,9.231,88.165,7.64,16.726,383.589,309.373,44.996,5.446,8.336,10.148,2.335,119.252,14.467,5.714,3.295,11.7,23.915,17.508,26.438,25.919,9.802,7.215,6.147,12.319,0,1203.844,0.014,5.816,104.155,86.371,7.028,3.259,1975.134,-2631.141,3452.394
"TTL_C23",24.217,2.606,0.745,4.264,251.911,81.398,220.828,62.04,437.618,16.47,11.847,10.337,147.617,79.188,13.594,48.313,627.515,7.962,8.444,26.774,103.98,61.89,21.08,59.256,5.627,6.224,72.307,42.265,28.421,5181.924,197.321,11.362,11.968,9.731,11.575,2.469,316.893,19.35,69.942,33.924,19.993,222.824,45.29,29.188,71.424,34.09,13.151,13.273,24.976,0,1078.343,0.039,4.515,276.327,191.95,4.758,11.107,2458.128,-3341.781,9508.791
"TTL_C24A",7.455,1.834,0.628,16.041,1252.429,104.944,49.078,111.547,41.643,10.336,7.247,11.363,202.518,24.626,1.276,55.69,61.897,271.727,43.108,1124.716,22.327,165.082,319.037,399.49,44.355,97.19,193.336,48.614,77.693,2329.475,130.119,14.023,10.476,12.038,12.961,0.571,16.653,1.131,0.837,0.553,3.21,34.34,26.659,9.144,18.449,5.15,0.911,3.78,4.07,0,46.356,0.002,5.296,20.017,8.448,0.94,1.638,3699.355,-7462.522,3721.304
"TTL_C24B",4.203,1.263,0.394,1.466,193.1,40.955,24.274,18.77,114.514,20.316,4.767,19.461,87.967,134.304,4.796,36.22,22.673,35.658,601.993,419.468,49.457,343.335,104.84,174.868,9.858,38.758,308.437,22.42,54.852,483.373,112.767,6.258,4.14,3.222,4.828,0.801,73.799,6.641,3.638,2.523,15.063,18.497,13.587,9.26,28.186,13.414,10.614,9.566,10.215,0,375.815,0.081,8.054,107.948,87.423,1.298,2.661,13400.766,-4084.005,13623.819
"TTL_C25",13.411,3.472,0.962,11.239,381.488,52.87,57.389,114.982,235.909,18.682,11.818,14.608,114.82,46.369,3.907,26.721,19.701,7.091,8.767,199.67,16.173,51.819,84.629,112.382,14.152,22.835,102.381,23.525,12.591,996.954,140.015,9.779,5.545,6.474,8.111,0.789,107.488,6.93,10.268,5.043,5.562,42.706,20.959,25.446,97.465,9.53,4.258,5.696,12.098,0,827.566,0.049,12.732,1106.625,891.173,8.848,4.871,3494.492,-4631.139,5020.696
"TTL_C26",24.6,11.538,6.783,18.707,1419.663,137.712,145.771,280.976,269.538,46.689,8.081,108.331,917.201,215.24,25.211,64.102,45.548,3.898,13.394,160.981,4935.212,1779.316,616.76,750.819,118.518,143.978,663.204,570.627,212.558,2445.33,3344.377,98.541,105.559,334.984,178.564,73.999,1115.616,861.721,3560.923,1738.128,549.621,191.17,1061.97,662.011,1583.071,534.33,365.717,261.824,219.333,0,6142.558,0.848,89.296,7418.432,6045.984,46.007,10.084,684.848,-40589.083,12850.718
"TTL_C27",8.829,1.298,1.71,5.967,140.049,49.674,80.555,95.916,55.842,8.227,1.866,16.422,61.408,24.268,3.204,14.625,10.883,1.684,5.394,32.884,86.523,642.928,94.863,219.252,9.036,27.533,71.869,313.705,21.9,1308.003,392.323,34.097,20.08,20.917,15.9,2.94,184.978,29.937,131.467,41.029,16.442,42.641,76.827,63.323,153.306,24.084,13.463,29.019,26.612,0,2030.454,0.155,2.417,1711.253,1410.755,21.837,10.782,3166.264,-6261.636,6827.984
"TTL_C28",12.542,7.742,2.396,23.97,782.602,113.152,143.864,221.95,110.767,14.404,4.295,24.23,252.406,30.314,3.731,16.184,27.562,2.634,3.746,29.429,24.872,57.696,169.574,91.456,12.374,17.192,50.353,75.827,22.829,397.56,184.163,17.481,5.96,15.269,11.069,2.204,43.376,13.721,23.242,13.021,22.882,10.075,28.711,47.729,66.144,11.608,7.66,8.198,8.191,0,831.829,0.165,3.365,4878.839,4016.618,9.328,5.179,2716.982,-12012.562,3738.097
"TTL_C29",3.871,7.015,0.744,1.125,78.643,23.88,30.384,26.79,23.566,3.688,1.04,2.99,40.26,8.563,1.141,5.926,7.016,0.648,2.656,7.535,8.339,16.469,15.676,1299.705,1.433,12.122,12.216,13.714,8.856,81.178,1263.757,146.042,17.858,46.044,18.893,2.94,20.993,4.279,8.095,5.504,8.053,6.601,14.05,40.688,34.763,6.954,3.143,4.399,3.278,0,6088.335,0.387,5.595,3885.12,3085.684,37.538,4.979,801.164,-10176.147,7136.179
"TTL_C301",0.118,0.051,2.713,0.064,20.562,1.126,1.428,0.393,0.853,0.081,0.027,0.096,0.973,0.177,0.019,0.12,0.082,0.019,0.032,0.407,0.17,0.324,0.986,2.157,146.824,21.321,2.911,0.397,0.159,2.247,4.059,4.809,209.831,82.982,6.007,0.079,0.815,0.063,0.093,0.054,0.34,0.173,0.369,1.796,79.498,0.25,0.054,0.468,0.315,0,186.075,0,0.114,678.639,503.083,0.102,0.133,218.994,-1311.928,874.105
"TTL_C302T309",0.662,3.382,9.335,2.123,20.072,8.043,4.327,11.765,12.165,0.734,0.321,0.477,2.253,1.548,0.117,1.121,0.875,0.192,0.452,6.489,1.846,6.637,7.122,143.317,50.819,1151.326,34.309,2.231,1.056,26.673,207.344,249.328,105.211,1544.88,22.661,1.177,6.259,0.313,0.562,0.642,1.539,1.686,4.642,46.892,491.76,2.761,3.803,2.261,3.041,0,929.9,0.042,0.513,2090.866,1671.979,0.712,0.302,342.354,-6251.696,2993.521
"TTL_C31T33",15.538,8.008,6.854,4.515,513.267,49.349,76.539,119.192,145.762,172.61,10.062,39.415,169.437,60.002,15.093,17.82,16.248,2.136,5.027,20.256,256.235,107.616,43.196,64.838,12.167,26.576,861.033,76.082,51.694,604.094,491.909,55.231,27.362,99.537,44.181,16.56,727.627,90.059,206.152,110.831,234.356,78.246,189.186,160.406,420.182,248.947,190.527,147.193,130.617,0,5860.266,0.283,136.395,2181.812,1584.87,176.288,44.411,4250.631,-13645.5,7829.227
"TTL_D",144.74,12.992,12.472,60.618,2839.625,407.218,756.847,214.984,1122.65,206.763,26.721,328.55,3194.024,505.834,24.921,136.657,181.6,27.191,39.864,69.126,16.099,37.829,25.346,60.148,4.834,12.368,76.298,2607.21,305.347,241.143,1178.937,205.722,12.603,26.707,95.47,25.896,3360.321,98.767,140.688,48.888,227.001,429.536,122.764,99.965,702.028,290.897,90.357,137.4,167.015,0,8705.535,0.302,123.441,107.254,3.757,10.36,13.205,508.484,-70.621,30562.696
