"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",11803.753,28.562,37.717,0.025,2.907,0.246,1.019,0.839,30819.364,188.003,10.477,4.103,0.587,97.725,118.972,30.943,0.708,0.255,0.099,0.421,0.794,0.278,2.545,2.285,0.013,0.086,5.948,30.225,1.26,60.113,572.134,16.519,0.098,0.469,6.364,0.239,3170.575,1.096,2.738,0.992,2.598,13.819,14.646,53.132,115.729,66.103,101.182,23.753,18.234,0,11058.793,1.638,0.992,1869.102,44.566,34.668,25.655,15820.225,-2703.313,73583.014
"TTL_A02",70.751,49.364,0.437,0.036,0.65,0.085,0.136,0.015,121.214,1.404,133.332,19.646,0.063,2.346,0.923,5.989,0.399,0.106,0.035,0.049,0.02,0.019,0.113,0.105,0.002,0.005,4.75,16.681,0.016,4.374,9.633,0.361,0.002,0.023,0.116,0.011,16.48,0.049,0.185,0.16,0.083,0.243,0.204,0.538,4.664,1.477,0.864,0.823,0.73,0,358.48,0,29.34,3.396,0.208,0.446,0.181,79.629,-73.25,868.141
"TTL_A03",1.481,0.042,32.824,0.001,0.125,0.016,0.022,0.01,424.491,0.063,0.015,0.061,0.102,0.334,0.178,0.09,0.045,0.042,0.013,0.034,0.03,0.018,0.061,0.1,0.001,0.003,0.021,0.087,0.006,0.171,6.148,0.301,0.023,0.023,0.225,0.007,95.829,0.023,0.05,0.078,0.082,0.061,0.095,0.056,2.861,0.564,1.107,0.137,0.217,0,488.187,0,0.069,0.382,4.245,1.946,2.248,1410.691,-47.844,2428.297
"TTL_B05",1.483,0.016,0.008,0.55,4.056,1.035,0.916,1.427,3.947,0.381,0.077,1.536,37.729,6.804,0.241,0.431,8.028,34.632,2.553,0.082,0.045,0.086,0.214,0.273,0.003,0.031,0.039,413.259,0.032,3.388,1.022,0.785,0,0.023,0.137,0.006,0.355,0.006,0.061,0.027,0.024,0.16,0.087,0.058,1.858,1.045,0.28,0.021,0.441,0,0.673,0,0.005,0.142,0,0.075,0.004,2.317,-435.478,97.435
"TTL_B06",45.683,0.668,3.107,0.921,694.431,9.789,15.406,17.97,109.827,8.325,3.253,33.423,12762.131,288.27,11.957,14.592,56.012,64.297,17.417,12.016,4.722,3.016,9.414,20.239,0.094,0.906,4.37,4788.558,4.383,132.55,170.455,99.396,0.341,19.049,23.569,1.438,43.548,1.865,19.134,6.603,12.294,53.314,24.581,10.32,104.699,41.078,29.236,7.376,9.197,0,740.882,0.003,0.884,3143.676,0.02,1.204,0.333,4178.065,-3982.114,23898.192
"TTL_B07",4.694,0.009,0.112,0.68,44.89,220.369,39.33,26.137,19.284,0.825,0.114,0.846,92.926,98.82,2.708,1.479,101.653,1265.978,731.112,30.026,1.286,2.43,7.497,5.888,0.012,0.084,2.481,107.557,0.314,100.323,3.508,3.515,0.002,0.208,0.638,0.024,2.343,0.035,0.133,0.121,0.078,0.51,1.916,1.255,1.814,0.57,0.45,0.199,1.079,0,2.392,0.001,0.154,0.207,0.001,0.237,0.001,1463.891,-573.881,3821.263
"TTL_B08",76.906,0.515,2.696,0.584,57.086,18.69,207.685,30.271,79.644,2.632,0.345,15.551,103.779,235.66,5.968,6.248,865.479,145.199,24.183,6.947,1.626,2.961,5.413,4.421,0.022,0.157,5.783,151.169,2.563,1072.033,10.923,6.573,0.021,0.127,1.479,0.036,6.968,0.033,0.296,0.089,0.077,11.598,1.932,18.885,32.174,1.746,1.259,0.555,0.672,0,289.085,0,0.046,1.042,0.057,0.235,0.067,48.437,-118.337,3448.291
"TTL_B09",6.817,0.037,9.621,4.138,3592.782,55.857,140.14,839.957,7.121,0.065,0.216,7.266,330.536,2.176,0.423,2.209,32.91,11.791,4.259,0.236,0.076,0.142,0.532,0.14,0,0.012,0.074,228.254,0.24,67.134,0.982,11.192,0.042,1.399,2.665,0.444,1.585,0.654,0.054,0.037,0.461,1.291,3.978,0.417,3.306,0.863,0.607,0.043,0.344,0,1.183,0,0.073,70.843,0,0.136,0,33.6,-37.432,5443.927
"TTL_C10T12",3174.404,2.373,67.695,0.362,43.799,9.988,37.153,11.013,8231.603,107.313,16.032,109.035,94.048,889.244,271.747,233.198,158.652,47.268,10.906,22.704,29.646,16.214,35.768,76.801,0.402,1.995,24.843,52.268,10.624,240.966,519.074,42.873,0.417,8.039,16.197,1.039,4407.105,8.65,18.279,18.996,13.685,21.846,35.765,43.736,165.962,134.255,199.631,42.582,37.355,0,59766.491,0.264,128.726,114.439,46.815,111.956,120.909,26180.582,-1845.308,104388.425
"TTL_C13T15",136.439,1.759,33.058,0.302,33.046,3.793,4.396,5.979,319.186,3060.47,8.498,132.592,10.796,97.755,52.894,122.239,34.359,9.855,2.36,17.989,17.815,12.897,41.092,274.556,0.67,4.713,118.387,20.596,4.317,126.426,549.564,52.237,0.124,6.364,18.283,4.946,223.816,5.368,15.853,12.722,14.358,12.717,70.717,88.44,375.718,78.968,249.226,68.062,79.751,0,7109.945,0.027,4.056,32.509,2.113,38.532,83.708,811.697,-1975.945,12743.111
