"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",17801.267,120.16,100.107,23.055,12.177,27.783,7.611,5.362,26791.171,123.495,52.655,7.955,1.586,126.752,87.572,67.783,5.111,1.817,4.336,5.267,0.887,1.044,4.411,1.949,0.875,1.18,26.105,75.791,36.292,775.89,1232.944,60.281,7.497,11.762,69.102,9.18,4596.981,15.961,16.947,26.244,30.359,135.666,170.708,176.56,315.148,227.324,973.085,137.956,112.743,0,15705.611,4.035,515.236,3628.779,86.197,86.569,234.731,17807.001,-1725.072,90966.984
"TTL_A02",136.507,450.781,2.097,44.191,7.76,19.578,2.742,2.075,72.971,1.196,1456.144,66.864,0.318,6.461,1.443,28.379,3.69,0.703,1.679,1.485,0.218,0.263,0.792,0.446,0.264,0.277,31.005,83.01,3.226,143.229,66.067,9.855,1.57,4.707,5.42,1.81,27.729,5.674,5.383,9.272,5.334,6.855,13.233,13.237,31.085,12.411,16.965,12.093,2.874,0,132.651,1.809,82.701,6.947,0.226,1.602,6.431,78.366,-123.293,3008.808
"TTL_A03",13.309,0.628,328.632,1.559,0.686,2.877,0.312,0.333,1433.027,0.067,0.092,0.166,0.067,0.746,0.505,0.186,0.219,0.061,0.204,0.258,0.041,0.064,0.147,0.133,0.156,0.071,0.32,0.485,0.609,5.459,35.873,1.436,0.633,0.533,1.047,0.209,532.957,1.186,0.93,2.286,1.417,2.137,7.431,1.812,28.136,7.338,33.853,3.292,1.798,0,1475.976,0.387,16.163,16.761,1.411,4.403,16.711,426.056,-151.497,4262.087
"TTL_B05",33.565,1.632,4.165,1965.961,733.971,696.83,128.242,357.581,48.882,2.608,6.896,20.267,202.03,62.152,3.406,9.381,194.046,515.716,265.734,8.676,1.606,2.051,4.61,2.699,1.815,2.923,7.013,5837.089,13.292,462.588,107.073,69.141,3.347,9.133,50.446,13.353,15.877,8.175,8.211,20.951,12.064,27.945,30.044,22.774,57.911,37.099,30.486,5.912,6.971,0,98.023,0.017,47.768,445.109,0.023,0.068,11.669,80715.326,-50.548,93401.793
"TTL_B06",25.65,0.785,2.909,490.958,984.131,495.823,104.395,192.378,67.476,2.963,9.459,35.935,6207.452,328.918,4.749,21.782,164.921,124.28,254.826,43.044,1.599,2.497,7.478,5.126,2.506,4.279,22.213,7039.043,51.482,575.437,179.674,53.642,2.728,6.1,54.173,8.157,31.287,10.712,15.407,23.054,18.454,113.367,66.871,33.744,118.662,56.99,55.801,16.608,9.894,0,4696.093,0.022,11.362,781.976,3.329,2.691,1.777,71013.244,-7059.548,87600.765
"TTL_B07",44.258,3.046,3.167,451.753,231.593,9182.505,235.315,163.914,67.177,2.843,10.715,13.788,78.941,140.201,8.464,11.969,353.284,2770.471,11525.562,163.519,3.075,6.483,15.677,7.688,2.119,3.642,25.95,390.589,48.978,1712.061,286.404,152.189,6.011,16.032,113.298,33.366,42.581,24.627,33.985,91.75,53.502,120.12,117.26,77.662,128.894,72.756,94.555,26.917,17.554,0,248.775,0.074,55.876,816.929,0.019,0.472,27.132,101748.395,-3347.54,128738.344
"TTL_B08",113.088,2.379,6.584,269.763,124.561,811.976,856.976,116.645,71.915,2.15,3.725,23.995,66.144,251.755,5.111,12.315,2383.186,276.997,333.221,32.986,1.519,4.386,7.281,2.666,1.221,1.869,18.896,304.792,95.903,10474.062,77.888,36.041,0.858,2.03,21.951,7.425,17.59,7.629,10.96,43.908,18.228,96.192,36.779,50.231,105.385,21.528,29.764,8.516,6.931,0,84.46,0.031,12.116,132.269,0.162,0.51,5.453,1123.026,-444.947,18190.982
"TTL_B09",26.319,1.002,22.22,1702.699,4536.474,2326.308,610.281,2124.378,30.917,1.049,5.107,14.464,208.122,8.655,2.599,7.22,94.862,30.129,72.654,7.855,1.407,1.434,3.488,2.291,1,1.812,6.65,454.056,42.115,796.138,130.698,91.055,13.829,40.2,123.058,13.469,14.53,8.406,7.724,16.543,10.461,33.095,45.807,15.887,49.223,16.681,23.738,6.422,3.663,0,106.482,0.038,228.943,2544.441,0.07,0.311,4.079,309.394,-209.761,16792.192
"TTL_C10T12",6895.169,6.419,290.974,52.492,31.651,100.026,17.976,11.359,10016.67,27.072,16.448,39.401,11.426,246.191,112.476,28.315,24.219,16.043,45.832,26.013,6.724,5.54,13.457,7.124,4.776,7.113,35.768,59.84,49.8,398.34,1187.241,89.101,21.713,21.862,73.751,20.485,10134.693,94.069,45.426,82.382,62.379,119.606,172.388,138.3,499.719,602.454,1503.428,344.408,95.974,0,55225.983,7.001,58.245,247.265,49.895,251.06,584.358,17082.139,-16198.181,91221.799
"TTL_C13T15",63.286,3.302,31.564,65.7,28.003,125.455,9.877,10.035,66.055,714.38,23.048,68.608,3.685,48.061,16.197,81.756,42.464,10.644,18.592,46.705,6.777,8.245,21.694,55.357,11.157,13.439,225.077,31.806,40.596,594.226,452.728,36.277,2.424,8.227,32.461,22.839,164.16,24.504,15.964,16.487,19.82,39.538,155.285,188.087,407.531,146.16,508.713,175.758,191.721,0,14764.277,0.571,8.695,349.595,46.198,86.642,43.115,682.55,-16930.711,4145.409
"TTL_C16",92.167,13.496,4.166,84.975,16.447,97.683,11.826,6.511,107.942,4.979,1829.692,119.051,1.661,38.606,6.286,25.724,78.86,8.555,27.262,74.889,4.089,9.303,20.968,23.42,26.803,9.503,481.1,65.337,18.726,8418.175,253.685,41.002,1.148,2.557,69.132,4.782,67.077,18.966,8.269,9.818,11.123,247.323,125.523,59.214,45.063,50.383,94.186,29.818,75.483,0,439.207,0.081,12.649,261.325,20.153,9.472,40.783,795.498,-1906.653,12615.267
"TTL_C17_18",74.236,1.664,7.08,29.495,24.689,87.369,8.625,6.868,517.47,15.154,49.371,1690.73,4.97,69.45,73.457,59.576,92.637,11.262,33.079,59.202,14.132,15.572,28.079,15.617,4.658,10.123,79.822,68.272,47.195,460.584,791.956,74.04,6.34,12.373,81.135,61.035,141.713,980.793,109.045,347.161,297.463,97.543,717.256,373.5,581.2,544.087,459.564,124.46,75.896,0,2999.011,0.057,13.36,256.949,7.946,32.303,88.507,975.711,-3127.548,10783.294
"TTL_C19",709.204,39.041,177.012,638.753,265.443,1637.302,169.154,151.88,244.367,9.335,69.812,63.156,763.947,693.239,29.884,50.366,183.405,173.546,140.451,80.909,4.762,18.799,27.021,27.962,7.19,11.548,144.032,1473.583,288.842,2419.225,1373.581,3979.218,483.111,2012.683,596.304,167.668,172.668,56.921,73.066,83.764,158.118,131.601,361.749,461.197,877.257,253.925,427.659,124.702,104.914,0,7274.174,0.226,4.855,37.8,18.307,59.793,21.228,3344.987,-20426.11,12948.536
