"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1112.473,45.829,1.459,0.013,0.133,0.099,0.789,0.039,5429.563,49.516,22.732,4.717,1.105,48.841,15.269,15.339,2.387,2.78,1.426,4.381,2.139,3.211,7.928,3.781,0.09,1.061,15.438,45.578,4.636,38.883,165.91,7.686,0.062,2.217,6.226,1.181,621.939,2.459,1.377,5.413,8.489,11.574,27.36,34.671,32.17,15.96,64.497,17.796,15.559,0,4485.373,0.052,4.725,212.403,8.611,76.874,220.063,1634.969,-3398.657,11168.592
"TTL_A02",35.756,741.782,0.114,0.06,0.058,0.055,0.448,0.003,67.68,1.953,2264.74,96.116,0.103,8.577,0.674,24.771,2.434,0.955,0.698,0.834,0.168,0.402,1.221,0.425,0.041,0.132,80.137,150.847,0.322,32.658,31.855,0.784,0.004,0.049,0.456,0.153,13.032,0.358,0.165,0.567,0.242,2.318,1.122,1.558,7.523,1.702,2.852,3.327,1.752,0,562.195,0.007,0.883,4.879,0.876,1.004,0.071,145.043,-823.58,3475.362
"TTL_A03",0.26,0.062,0.634,0,0.004,0.001,0.015,0,37.707,0.027,0.059,0.043,0.05,0.152,0.025,0.038,0.04,0.07,0.03,0.076,0.03,0.053,0.094,0.04,0.021,0.029,0.07,0.127,0.018,0.173,0.974,0.128,0.021,0.016,0.246,0.017,7.347,0.021,0.008,0.032,0.033,0.061,0.102,0.072,0.324,0.067,0.321,0.05,0.048,0,115.706,0,0.078,0.648,0.139,4.352,5.95,20.737,-80.986,116.462
"TTL_B05",0.287,0.054,0.002,0.09,0.045,0.074,0.438,0.026,1.22,0.153,0.328,0.994,7.429,3.428,0.069,0.301,5.756,33.235,5.332,0.401,0.149,0.304,0.648,0.24,0.01,0.128,0.294,381.076,0.215,3.651,1.232,0.487,0.001,0.036,0.197,0.06,0.551,0.053,0.071,0.166,0.156,0.591,0.322,0.172,0.66,0.357,0.407,0.126,0.231,0,41.826,0,0.272,1.057,0.103,0.169,0.002,1.743,-443.137,54.289
"TTL_B06",2.084,0.409,0.039,0.284,8.857,0.927,8.935,0.618,26.843,1.886,6.814,23.047,3872.094,247.943,1.572,8.837,63.857,114.831,72.902,24.933,3.263,5.762,19.177,6.925,0.244,3.034,12.047,6613.364,5.942,33.756,38.688,10.288,0.036,1.939,7.478,1.182,4.779,0.879,0.514,1.539,2.002,13.74,10.673,4.814,12.25,3.37,4.385,1.106,1.247,0,26.925,0.014,2.014,40.74,0.712,2.727,0.865,507.998,-10669.64,1224.493
"TTL_B07",0.379,0.018,0.002,0.027,0.096,2.732,3.005,0.113,1.089,0.15,0.23,0.298,4.387,11.687,0.211,0.827,14.185,275.885,356.245,11.053,0.455,1.784,2.974,0.872,0.019,0.215,1.57,23.642,0.318,16.842,0.602,0.237,0,0.024,0.106,0.024,0.187,0.039,0.017,0.078,0.065,0.267,0.444,0.223,0.156,0.061,0.186,0.048,0.155,0,1.553,0,0.128,1.285,0.098,0.536,0,327.006,-736.142,328.693
"TTL_B08",5.674,0.617,0.069,0.068,0.34,0.827,44.415,0.381,11.243,0.613,0.851,5.569,14.233,70.249,0.682,2.534,355.226,94.027,34.378,7.06,1.086,3.84,5.372,1.437,0.044,0.403,7.538,97.009,4.585,509.842,3.616,1.273,0.013,0.078,0.649,0.108,1.431,0.092,0.053,0.115,0.131,9.818,1.271,4.835,4.194,0.324,0.634,0.242,0.437,0,89.143,0,0.713,6.824,0.954,0.531,0,375.065,-209.38,1573.378
"TTL_B09",0.124,0.034,0.019,0.037,1.652,0.193,2.482,0.673,0.371,0.031,0.219,0.295,5.014,0.414,0.044,0.13,1.328,0.861,0.607,0.353,0.101,0.166,0.529,0.184,0.005,0.067,0.306,14.665,0.1,3.341,0.93,0.517,0.004,0.211,0.395,0.08,0.113,0.061,0.04,0.117,0.109,0.219,0.454,0.17,0.212,0.062,0.144,0.049,0.047,0,1.2,0,6.079,146.016,0.03,0.306,0.002,62.701,-119.752,134.863
"TTL_C10T12",933.376,6.741,9.164,0.043,0.502,0.292,2.632,0.146,5810.236,27.041,17.74,35.534,8.486,216.219,46.234,20.873,13.973,13.797,9.573,25.009,15.784,19.201,37.645,13.491,0.432,5.384,38.894,67.41,16.999,72.307,456.235,21.77,0.487,7.674,21.15,4.578,4080.852,25.289,9.421,34.423,45.858,73.058,86.357,58.657,144.109,96.789,261.964,122.138,49.2,0,18685.327,0.069,19.8,69.943,30.945,249.51,670.516,11948.487,-10014.786,34744.977
"TTL_C13T15",6.243,2.153,0.694,0.04,0.304,0.294,1.105,0.095,22.842,567.669,14.376,37.351,1.825,27.434,5.078,27.686,13.396,8.425,4.509,19.181,11.546,13.4,28.801,59.574,0.727,7.151,203.187,25.225,10.506,61.212,102.574,6.839,0.028,1.641,4.866,3.899,50.435,4.274,2.08,7.694,6.736,11.48,35.786,37.772,55.298,14.074,62.551,24.863,29.396,0,5635.388,0.016,4.112,243.593,33.641,87.15,2.268,3199.723,-7371.687,3478.521
