"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1235.857,16.526,1.662,0,0,0,0.663,0.003,10169.419,53.975,12.433,4.565,12.869,69.399,26.276,13.095,6.325,9.983,9.277,4.31,1.104,0.814,4.116,4.034,0.005,0.446,6.957,48.429,8.729,42.929,197.454,10.129,0.658,0.716,14.658,1.349,570.253,1.644,1.957,2.751,5.142,5.803,25.833,43.239,19.888,12.729,52.427,14.73,14.901,0,5638.229,0.019,10.685,66.002,19.569,113.149,23.228,3398.922,-7790.353,14239.912
"TTL_A02",10.669,63.974,0.035,0,0,0,0.074,0,31.779,0.497,259.473,12.712,0.298,3.231,0.377,4.789,0.976,0.388,0.497,0.291,0.052,0.06,0.28,0.24,0.001,0.026,7.453,11.302,0.187,16.738,13.481,0.525,0.025,0.031,0.796,0.119,3.674,0.221,0.113,0.512,0.328,0.397,1.097,1.016,1.551,0.489,0.76,0.995,0.63,0,152.476,0.002,0.672,1.313,1.253,1.459,0.012,226.379,-258.819,577.905
"TTL_A03",0.505,0.033,0.574,0,0,0,0.019,0,59.86,0.041,0.076,0.066,0.526,0.611,0.111,0.099,0.117,0.15,0.139,0.09,0.024,0.023,0.076,0.068,0.002,0.015,0.084,0.084,0.064,0.409,2.065,0.452,0.71,0.051,1.704,0.077,7.483,0.061,0.023,0.065,0.1,0.042,0.365,0.216,0.266,0.097,0.308,0.076,0.081,0,290.207,0,0.502,0.838,0.461,6.367,0.829,46.752,-255.76,168.304
"TTL_B05",0.371,0.021,0.002,0,0,0,0.416,0.004,2.71,0.203,0.165,0.782,63.092,7.48,0.121,0.283,12.22,68.465,19.79,0.228,0.039,0.075,0.273,0.161,0.001,0.05,0.13,199.74,0.27,9.414,1.161,0.502,0.009,0.026,0.505,0.053,0.231,0.028,0.048,0.123,0.125,0.251,0.322,0.254,0.567,0.325,0.227,0.061,0.296,0,1.612,0,0.315,0.402,0.14,0.244,0,0,-394.33,0
"TTL_B06",4.36,0.402,0.217,0,0,0,4.601,0.054,38.687,1.599,2.911,10.603,15008.202,286.056,2.248,5.806,63.219,113.69,129.314,14.529,0.662,1.042,5.195,4.662,0.009,0.766,6.495,1580.785,9.469,38.022,52.84,39.418,3.222,12.513,29.77,2.54,3.249,0.866,0.847,2.271,4.171,4.726,16.166,12.206,10.424,2.998,3.544,1.422,2.041,0,75.993,0,2.904,10.092,3.55,3.938,0,0,-17635.314,0
"TTL_B07",0.666,0.012,0.003,0,0,0,1.992,0.01,2.965,0.243,0.223,0.35,25.565,20.437,0.598,1.096,22.503,370.79,919.684,18.352,1.151,2.494,5.569,3.404,0.004,0.452,2.272,8.631,1.567,37.084,1.943,0.406,0.018,0.046,0.593,0.047,0.259,0.081,0.074,0.239,0.394,0.336,1.768,0.868,0.266,0.104,0.267,0.119,0.291,0,1.861,0,0.248,1.682,0.279,0.776,0,0,-1461.082,0
"TTL_B08",9.321,0.229,0.081,0,0,0,20.938,0.026,23.545,1.793,1.259,4.323,70.41,117.585,4.471,7.725,379.294,100.624,69.008,6.172,1.115,1.284,3.374,2.644,0.005,0.247,4.002,28.202,6.828,667.855,11.192,1.972,0.575,0.222,4.126,0.241,2.28,0.643,0.62,1.6,3.671,5.926,17.161,12.135,3.954,0.821,2.716,0.853,1.64,0,14.636,0.001,0.813,6.39,1.143,0.767,0.071,596.133,-1358.26,866.403
"TTL_B09",0.502,0.021,0.196,0,0,0,11.84,0.429,1.64,0.042,0.145,1.01,161.385,1.448,0.165,0.46,12.749,7.004,9.974,0.304,0.052,0.061,0.301,0.146,0,0.024,0.192,32.356,0.446,34.724,1.555,1.7,0.152,0.397,2.236,0.351,0.244,0.267,0.096,0.293,0.437,0.452,2.223,0.664,0.444,0.137,0.245,0.095,0.123,0,1.917,0,0.714,1.377,0.23,0.443,0.002,12.283,-293.289,13.405
"TTL_C10T12",1535.378,3.303,15.025,0,0,0,2.864,0.022,12132.1,28.659,20.901,44.462,122.689,616.778,192.431,66.516,42.01,49.064,47.836,46.373,18.177,11.863,45.284,35.698,0.074,5.844,42.004,39.031,43.521,236.731,685.118,51.516,10.902,15.367,91.173,8.593,4814.844,32.866,21.04,56.825,101.271,52.247,323.765,150.082,127.843,106.631,360.499,125.11,71.861,0,28652.439,0.278,42.51,273.676,102.733,365.602,135.312,28928.749,-18196.425,62957.067
"TTL_C13T15",14.742,1.307,2.006,0,0,0,1.008,0.01,68.548,996.803,11.109,63.666,16.348,98.285,20.426,57.398,35.26,17.418,17.222,25.52,6.331,5.773,28.315,98.867,0.089,5.25,130.757,8.602,25.652,154.085,216.4,12.462,0.833,2.484,23.11,6.568,59.679,6.47,2.927,8.132,11.648,9.491,75.793,102.356,61.67,16.229,87.436,40.047,56.636,0,6068.372,0.018,6.414,32.555,49.977,126.381,8.719,3511.192,-7585.547,4929.25
"TTL_C16",22.979,5.678,0.248,0,0,0,1.436,0.008,132.957,6.505,968.215,76.763,16.101,77.728,16.039,26.953,56.682,18.01,29.515,41.1,7.01,8.934,28.172,47.247,0.191,3.75,300.813,49.305,16.118,2159.396,142.076,18.692,0.678,1.751,55.561,1.648,27.989,6.919,3.741,8.331,14.597,44.085,93.559,51.446,11.976,9.841,27.193,10.953,28.125,0,374.348,0.019,10.45,74.143,29.321,14.104,4.348,2501.246,-2269.064,5415.929
"TTL_C17_18",26.265,0.862,0.53,0,0,0,1.154,0.01,874.73,23.167,40.094,1473.638,35.909,180.991,114.349,50.158,95.076,25.223,43.333,58.756,22.923,18.672,58.005,39.657,0.046,5.596,71.028,34.714,33.439,168.703,629.283,37.352,3.268,5.826,82.95,37.476,77.277,321.014,39.907,156.826,277.585,30.476,650.807,389.93,191.942,148.653,149.42,65.569,94.195,0,1223.414,0.055,11.327,67.23,22.666,47.803,19.639,3612.366,-3890.291,8000.993
"TTL_C19",416.72,31.171,16.751,0,0,0,36.287,0.329,686.8,66.042,99.933,125.494,6776.391,3233.019,180.06,266.296,294.929,545.716,289.339,146.728,32.326,43.696,108.246,136.497,0.194,12.483,179.299,1245.704,293.346,1371.221,1633.977,2700.278,353.611,1431.683,884.003,118.28,148.497,40.557,45.123,99.193,230.4,78.628,640.36,546.313,323.722,83.4,223.87,74.993,129.88,0,3570.281,0.124,33.545,164.841,65.389,84.565,21.46,17508.904,-7940.974,39929.922
