"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",17783.963,212.793,240.386,0.067,4.411,0.027,1.798,0.645,14130.503,1807.766,3.928,10.655,0.034,99.789,174.859,356.317,15.441,2.418,1.491,0.402,1.414,1.632,0.519,0.21,1.365,1.249,24.892,63.025,44.777,620.975,1751.627,92.368,21.484,9.976,24.324,1.386,2031.105,15.049,10.65,3.276,15.07,41.438,97.07,161.069,140.603,105.458,278.143,195.896,143.574,0,20665.95,1.427,74.368,3502.093,40.393,4.536,2.918,1731.308,-8209.54,58560.77
"TTL_A02",910.719,3235.574,30.238,1.018,12.537,0.126,3.023,0.086,266.737,132.275,137.865,280.37,0.02,28.032,11.799,876.108,92.579,6.391,4.408,0.457,0.11,0.763,0.218,0.062,2.622,0.531,223.848,427.804,5.538,978.417,585.547,14.575,4.043,2.287,3.899,0.436,79.372,8.823,10.992,4.661,3.515,22.91,10.556,15.777,74.825,23.388,21.181,85.589,36.769,0,2060.327,0.891,39.135,332.168,3.676,0.058,0.117,9.749,-123.596,11001.94
"TTL_A03",86.098,7.429,6529.038,0.028,0.289,0.034,0.497,0.015,6323.381,16.773,0.051,0.379,0.018,3.205,5.341,3.337,5.179,0.599,0.697,0.253,0.332,0.755,0.097,0.021,0.742,0.101,0.79,1.727,2.905,27.702,333.587,13.014,23.295,5.383,4.564,0.043,2096.281,9.669,5.807,5.182,14.408,20.747,11.082,5.617,124.81,30.381,101.141,37.171,33.553,0,3818.682,1.037,3.611,16.089,1.007,0.255,0.263,83.849,-22.131,19796.21
"TTL_B05",0.714,0.02,0.025,0.222,1.05,0.023,0.316,0.237,0.568,1.199,0.001,0.329,0.438,1.427,0.075,0.958,30.039,39.126,5.353,0.017,0.015,0.096,0.009,0.005,0.084,0.093,0.027,151.688,0.239,11.064,0.8,0.967,0.022,0.095,0.129,0.008,0.126,0.028,0.085,0.018,0.041,0.383,0.135,0.056,0.514,0.362,0.181,0.05,0.356,0,221.65,0,0.018,1.364,0.459,0.01,0,0.268,-439.539,34.045
"TTL_B06",4.74,0.134,0.709,0.915,392.531,0.419,12.148,7.801,16.281,16.772,0.064,12.2,289.697,155.496,3.203,52.378,504.542,172.93,98.696,4.273,0.902,2.882,0.39,0.392,2.853,3.665,3.147,3357.791,20.48,120.06,109.205,55.963,2.864,5.478,23.863,1.53,2.781,2.79,3.379,2.229,6.854,24.514,23.971,8.343,19.823,7.687,5.808,3.055,3.611,0,914.833,0.008,5.788,52.639,2.158,0.157,0.026,10.868,-251.677,6307.038
"TTL_B07",0.105,0.003,0.011,0.003,0.148,0.036,0.149,0.044,0.073,0.078,0,0.012,0.01,0.223,0.023,0.155,4.772,11.654,13.584,0.087,0.025,0.124,0.009,0.005,0.021,0.03,0.037,0.403,0.275,5.572,0.188,0.117,0.008,0.032,0.029,0.003,0.019,0.014,0.029,0.011,0.041,0.077,0.078,0.039,0.051,0.019,0.039,0.023,0.03,0,1.52,0,0.028,1.242,0.01,0.031,0.001,0.093,-14.084,27.36
"TTL_B08",3.802,0.114,0.524,0.025,1.778,0.043,6.628,0.543,1.545,2.441,0.004,0.412,0.126,5.3,0.471,3.756,311.373,15.88,5.298,0.172,0.127,0.453,0.032,0.021,0.123,0.094,0.487,5.915,2.628,381.722,2.489,1.443,0.674,0.219,0.362,0.029,0.378,0.139,0.176,0.057,0.147,2.845,0.626,1.156,1.009,0.174,0.412,0.24,0.33,0,128.878,0.044,0.089,10.319,0.429,0.031,0.006,1.77,-467.54,438.765
"TTL_B09",0.419,0.015,0.185,0.024,14.431,0.018,0.662,1.59,0.347,0.415,0.001,0.083,0.608,0.371,0.043,0.345,3.845,1.166,0.816,0.025,0.014,0.036,0.005,0.004,0.023,0.029,0.024,7.718,1.406,5.545,1.022,0.889,0.148,0.555,0.305,0.029,0.09,0.069,0.097,0.036,0.121,0.245,0.318,0.103,0.267,0.085,0.173,0.077,0.07,0,6.173,0.001,0.886,262.879,0.09,0.018,0.004,11.09,-31.211,294.84
"TTL_C10T12",2819.72,3.985,294.219,0.041,5.298,0.038,1.85,0.539,2193.745,168.359,0.099,8.841,0.265,73.42,86.102,42.379,45.867,6.55,5.131,0.947,1.5,3.207,0.382,0.201,1.573,1.494,6.861,10.237,30.051,120.277,678.444,53.406,41.887,28.61,20.124,2.503,1703.174,50.118,36.701,18.614,36.499,46.751,49.43,38.491,95.282,120.719,213.606,174.142,77.98,0,36861.893,1.843,11.428,79.889,18.674,14.667,13.005,657.086,-4670.714,42407.431
"TTL_C13T15",105.662,9.421,164.189,0.906,61.344,0.455,8.678,7.7,77.748,38706.498,0.573,89.05,0.686,58.544,53.493,671.367,498.741,49.085,22.39,14.959,19.878,50.966,6.561,15.087,63.387,47.902,260.455,57.79,227.49,1857.369,1896.718,332.574,25.24,192.537,99.801,53.727,225.524,92.027,132.613,46.906,119.819,112.215,566.468,540.317,819.854,198.238,935.801,828.743,758.071,0,35280.274,0.828,5.621,483.876,137.1,5.064,9.287,30566.991,-11020.784,106653.826
