"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",779.323,7.967,0.509,0.34,0.056,1.039,0.416,0.068,1797.914,25.064,2.873,1.766,0.158,5.07,2.446,5.717,2.777,2.791,1.601,2.448,0.88,2.093,2.477,1.975,0.015,0.89,4.49,3.261,2.511,48.204,75.709,8.689,0.107,0.434,6.194,0.6,75.495,0.886,1.445,2.264,2.188,12.172,5.683,7.39,8.599,2.424,7.408,10.492,4.215,0,1905.402,1.956,6.191,220.722,25.646,13.677,31.921,3793.163,-1225.036,7713.178
"TTL_A02",17.213,77.894,0.034,0.288,0.013,0.293,0.111,0.011,13.938,1.175,104.678,5.42,0.086,1.159,0.304,4.188,0.871,1.232,0.595,0.757,0.399,0.745,0.809,0.81,0.005,0.341,5.646,1.972,0.196,7.254,9.344,1.613,0.02,0.128,0.527,0.077,1.792,0.137,0.148,0.279,0.15,0.629,0.539,0.566,1.064,0.21,0.828,1.624,0.326,0,276.954,0.015,2.821,10.247,0.486,0.175,0.709,97.869,-25.091,632.62
"TTL_A03",0.294,0.017,0.282,0.006,0.001,0.017,0.008,0.001,16.495,0.052,0.017,0.027,0.012,0.054,0.015,0.055,0.048,0.08,0.045,0.041,0.022,0.043,0.043,0.033,0.002,0.024,0.041,0.052,0.015,0.385,0.559,0.158,0.05,0.009,0.2,0.008,1.398,0.008,0.01,0.019,0.011,0.071,0.042,0.05,0.097,0.016,0.07,0.053,0.019,0,18.871,0.003,0.411,0.969,0.099,0.771,0.624,14.547,-25.144,32.225
"TTL_B05",5.739,0.253,0.005,34.019,0.199,11.974,3.519,0.676,12.655,1.428,0.613,3.786,5.573,11.727,0.192,2.173,54.102,218.009,45.742,0.448,0.155,1.146,0.921,0.475,0.008,0.598,0.471,384.132,0.616,19.152,6.639,5.387,0.01,0.058,1.639,0.158,1.186,0.05,0.139,0.157,0.102,1.737,0.513,0.388,3.114,1.071,0.629,0.394,0.694,0,84.397,0,0.389,6.665,1.475,0.029,0.349,23.913,-497.8,463.992
"TTL_B06",11.863,0.338,0.111,37.935,20.399,60.068,37.331,6.118,131.808,6.159,8.343,39.31,1005.982,360.572,2.444,34.772,252.869,268.628,234.745,27.378,2.124,9.326,8.966,9.469,0.075,6.452,19.294,2294.625,15.739,51.099,227.142,86.712,0.558,3.389,64.2,4.484,7.831,1.396,1.229,5.145,3.691,22.449,22.375,14.704,31.558,6.099,5.547,4.95,3.102,0,41.487,0.001,0.064,2.92,2.654,0.476,0.011,8.484,-5461.652,75.35
"TTL_B07",2.536,0.103,0.013,2.189,0.143,109.819,8.015,0.699,5.663,0.415,0.194,0.295,0.757,8.8,0.204,0.748,36.291,385.736,683.156,8.267,0.574,3.46,2.538,1.793,0.006,0.461,2.056,5.582,0.812,37.549,4.676,3.152,0.012,0.076,1.272,0.173,0.613,0.071,0.14,0.143,0.143,1.805,0.806,0.631,0.994,0.202,0.429,0.385,0.292,0,11.253,0.006,0.772,21.207,0.025,0.093,0.602,1252.891,-1264.495,1347.243
"TTL_B08",4.705,0.171,0.023,0.509,0.052,2.734,8.312,0.187,4.616,0.453,0.233,0.677,0.577,5.044,0.225,1.182,62.36,10.62,5.824,0.846,0.32,1.02,1.185,0.654,0.004,0.249,1.164,2.829,0.696,70.194,5.096,3.573,0.039,0.092,1.446,0.268,0.452,0.096,0.122,0.188,0.167,1.704,0.586,1.282,0.994,0.155,0.475,0.36,0.305,0,25.736,0.001,0.859,9.681,1.394,0.088,3.216,214.464,-126.682,333.819
"TTL_B09",0.189,0.005,0.029,1.238,0.995,3.207,2.612,1.718,0.206,0.015,0.022,0.11,0.682,0.213,0.009,0.102,1.196,0.562,0.589,0.04,0.015,0.038,0.046,0.023,0,0.013,0.037,2.088,0.036,1.921,0.279,0.459,0.007,0.039,0.185,0.034,0.026,0.031,0.01,0.024,0.016,0.069,0.113,0.037,0.065,0.011,0.024,0.022,0.01,0,0.458,0,2.409,36.099,0.11,0.053,0.057,11.689,-15.298,54.995
"TTL_C10T12",437.641,0.608,1.989,0.17,0.025,0.475,0.299,0.03,1053.528,3.185,0.66,2.258,0.211,11.525,4.014,4.375,1.581,0.87,0.948,0.798,0.638,1.384,1.076,0.661,0.005,0.357,2.349,1.035,1.055,4.945,100.878,5.663,0.511,0.702,4.578,0.415,418.197,2.735,1.091,3.495,2.428,3.718,4.882,5.843,12.88,6.569,15.143,31.508,4.422,0,5405.156,0.915,11.224,3.417,24.623,44.289,69.855,5413.99,-3716.917,9420.911
"TTL_C13T15",13.308,1.051,0.858,0.947,0.11,2.532,0.821,0.157,20.303,575.168,3.318,15.022,0.212,6.866,1.896,22.649,9.894,4.234,2.639,4.434,2.353,6.466,6.549,17.775,0.066,3.672,53.796,2.317,3.199,31.253,105.896,12.497,0.123,0.974,7.267,2.959,25.064,2.159,1.385,3.213,1.823,4.102,17.065,21.718,26.589,3.991,22.866,33.944,22.033,0,1151.989,0.005,0.765,18.318,21.428,15.322,14.69,1775.368,-1824.867,2302.548
