"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",3282.393,22.81,4.099,0.016,0.363,0.007,0.304,0.139,5710.856,102.91,21.694,3.048,0.781,72.329,14.849,18.847,1.264,0.418,0.286,0.372,0.552,0.5,1.459,1.008,0.149,0.055,6.761,8.892,2.392,15.272,139.985,3.167,2.053,0.719,1.16,0.089,226.009,0.86,0.736,0.396,1.413,2.793,6.148,10.76,13.441,6.412,18.275,7.689,8.253,0,2669.635,1.045,146.436,168.314,8.952,2.98,3.948,939.181,-1633.705,12051.965
"TTL_A02",16.535,36.32,0.044,0.016,0.042,0.002,0.036,0.006,15.08,0.659,175.254,8.497,0.062,1.794,0.113,3.528,0.35,0.056,0.049,0.044,0.03,0.044,0.099,0.058,0.022,0.005,4.602,4.366,0.048,2.085,4.119,0.104,0.044,0.039,0.036,0.005,0.939,0.052,0.056,0.039,0.06,0.135,0.111,0.117,0.568,0.125,0.16,0.27,0.195,0,148.999,0.435,15.169,9.075,0.582,0.038,0.068,50.774,-15.65,486.511
"TTL_A03",2.584,0.039,2.847,0,0.014,0,0.008,0.003,68.576,0.114,0.048,0.041,0.08,0.305,0.045,0.036,0.041,0.027,0.014,0.019,0.021,0.024,0.04,0.024,0.007,0.004,0.035,0.044,0.016,0.11,1.027,0.069,0.839,0.035,0.07,0.002,6.054,0.026,0.021,0.018,0.039,0.044,0.048,0.026,0.318,0.069,0.207,0.06,0.068,0,151.473,0.142,2.115,0.382,0.072,0.168,0.185,5.611,-85.766,158.591
"TTL_B05",0.165,0.004,0.001,0.054,0.049,0.004,0.055,0.03,0.258,0.08,0.037,0.179,3.365,1.274,0.015,0.085,1.481,2.74,0.654,0.029,0.025,0.042,0.109,0.042,0.013,0.008,0.037,24.877,0.026,0.402,0.146,0.055,0.009,0.033,0.012,0.001,0.021,0.007,0.018,0.013,0.02,0.041,0.029,0.014,0.079,0.032,0.029,0.008,0.033,0,19.915,0,0.053,0.485,0.155,0.006,0.001,18.147,-56.472,19.035
"TTL_B06",3.757,0.129,0.137,0.386,22.043,0.131,3.305,1.578,13.293,1.782,2.437,10.16,3745.678,224.753,0.657,6.012,40.82,20.685,19.864,2.905,0.578,1.115,2.095,1.717,0.346,0.153,2.751,929.055,2.537,7.17,19.805,8.777,3.407,7.62,2.268,0.199,0.719,0.333,0.461,0.405,1.236,2.656,2.829,1.184,4.364,1.025,0.96,0.334,0.626,0,83.904,0.008,7.757,5.424,0.834,0.103,0.011,109.759,-4698.506,636.53
"TTL_B07",0.124,0.003,0.001,0.006,0.088,0.05,0.241,0.047,0.159,0.043,0.057,0.043,0.675,1.638,0.015,0.144,2.733,8.735,13.471,1.655,0.183,0.616,1.57,0.771,0.143,0.039,0.391,0.619,0.201,3.088,0.202,0.035,0.018,0.013,0.015,0.001,0.01,0.004,0.008,0.005,0.013,0.056,0.069,0.021,0.036,0.008,0.012,0.008,0.022,0,0.431,0,0.076,0.307,0.022,0.02,0.002,0.769,-23.069,16.667
"TTL_B08",5.326,0.077,0.052,0.043,0.48,0.054,7.309,0.44,3.299,0.62,0.321,1.39,6.881,32.88,0.369,1.936,105.197,7.836,4.521,0.459,0.244,0.537,0.568,0.323,0.061,0.017,1.292,6.662,0.926,66.995,1.231,0.322,0.291,0.116,0.098,0.008,0.186,0.049,0.056,0.03,0.082,1.201,0.295,0.667,0.755,0.096,0.283,0.076,0.159,0,18.783,0.033,0.395,2.523,0.393,0.02,0.014,185.113,-167.803,302.586
"TTL_B09",0.644,0.014,0.173,0.296,25.411,0.158,5.362,9.587,0.536,0.12,0.121,0.621,23.681,1.135,0.049,0.39,4.919,0.964,1.141,0.169,0.186,0.232,0.654,0.221,0.051,0.03,0.205,10.809,0.192,5.263,0.476,0.444,0.191,0.324,0.112,0.024,0.057,0.078,0.079,0.036,0.093,0.192,0.362,0.065,0.208,0.043,0.086,0.026,0.055,0,1.979,0.003,8.795,65.948,0.67,0.012,0.008,17.442,-22.615,168.53
"TTL_C10T12",909.005,0.952,8.522,0.022,0.408,0.013,0.395,0.108,1759.708,16.612,2.332,8.696,4.183,99.213,13.814,5.536,3.52,1.387,1.209,1.455,1.619,1.854,3.211,1.6,0.37,0.252,4.826,4.229,2.925,8.296,131.122,4.679,11.822,4.892,2.362,0.238,599.382,6.193,3.942,3.315,9.31,6.737,7.351,5.216,24.801,16.251,28.961,22.669,11.959,0,6465.968,2.196,30.907,10.498,17.815,9.639,12.917,6231.954,-2288.421,14260.948
"TTL_C13T15",18.959,1.288,2.811,0.155,1.795,0.087,0.995,0.59,24.755,1827.456,11.404,37.453,3.837,43.601,5.345,39.899,19.458,3.003,2.331,4.909,6.021,6.531,11.823,35.776,2.91,0.635,121.465,8.372,9.465,37.446,138.365,8.266,2.271,5.78,3.521,1.862,19.315,4.623,4.855,2.696,6.719,5.441,26.352,26.611,61.055,11.718,47.228,26.389,41.778,0,2842.228,0.438,5.554,18.076,14.467,3.328,10.154,473.73,-1300.545,4802.846
"TTL_C16",3.204,0.72,0.042,0.009,0.075,0.004,0.064,0.022,4.81,1.583,53.482,4.64,0.262,3.371,0.269,1.392,2.075,0.269,0.265,0.575,0.389,0.651,0.941,1.159,0.412,0.043,15.345,1.2,0.365,27.384,4.234,0.524,0.129,0.241,0.328,0.017,0.618,0.293,0.206,0.138,0.348,0.997,1.115,0.491,0.519,0.312,0.861,0.315,0.85,0,50.772,0.019,1.18,13.556,5.685,0.372,0.104,1122.113,-153.583,1177.775
"TTL_C17_18",20.495,0.431,0.484,0.028,0.938,0.044,0.469,0.201,208.062,24.622,24.094,846.817,3.401,71.594,23.723,28.484,38.192,2.165,3.691,6.532,10.382,12.834,13.879,8.51,0.844,0.407,35.235,11.018,6.111,20.831,189.266,9.77,4.664,4.013,5.419,3.069,12.367,151.721,22.412,27.688,83.791,10.045,83.451,40.554,61.318,37.649,31.177,15.137,26.523,0,255.04,0.035,8.016,6.432,3.199,1.261,1.536,498.847,-538.835,2480.083
"TTL_C19",138.938,6.7,6.911,0.6,10.494,0.557,7.663,3.524,54.696,15.404,19.712,20.782,1052.379,567.396,7.316,28.31,47.99,28.436,12.82,6.605,4.335,10.775,10.408,11.82,1.415,0.693,17.61,353.877,23.589,77.967,192.666,344.709,287.029,685.067,24.252,4.064,8.827,4.749,9.564,6.166,21.889,8.698,21.636,16.718,42.756,8.007,15.463,6.47,13.406,0,296.419,0.057,5.491,12.427,20.399,2.228,0.623,5120.475,-1500.319,8229.659
"TTL_C20",253.568,0.829,0.422,0.2,2.416,0.22,2.959,0.89,56.837,61.675,33.559,60.441,58.049,1135.508,48.635,273.388,48.178,7.712,10.032,9.539,14.024,18.686,14.733,18.269,3.568,0.566,36.434,11.124,13.073,47.321,31.375,6.682,4.342,9.069,2.325,0.154,5.392,5.614,1.318,2.096,2.554,6.453,13.543,9.173,6.229,3.732,29.807,2.616,12.392,0,490.891,0.21,21.898,14.236,3.72,0.925,0.401,4923.282,-2124.996,5728.289
"TTL_C21",30.469,0.039,0.148,0.017,0.287,0.023,0.119,0.037,11.434,2.144,0.643,1.048,1.057,25.662,147.212,3.133,0.902,0.45,0.284,0.359,0.648,0.52,1.382,0.572,0.118,0.075,2.51,0.876,1.393,2.033,6.066,0.872,0.52,0.83,0.201,0.04,0.463,0.336,0.245,0.178,0.498,0.384,12.929,0.502,10.731,1.716,240.932,1.273,2.296,0,384.572,0.286,425.133,7.193,2.81,0.577,0.762,341.837,-750.673,929.102
"TTL_C22",38.258,0.782,0.562,0.152,2.02,0.084,1.135,0.409,135.561,34.657,16.934,34.906,5.218,101.58,18.8,226.281,19.704,2.347,4.436,11.301,21.996,38.869,39.614,71.541,2.661,1.537,45.904,3.946,9.673,120.946,127.312,30.126,3.136,2.961,3.494,0.417,3.816,3.588,2.693,1.287,4.13,6.874,11.087,8.281,5.115,2.728,8.574,2.356,5.919,0,207.183,0.02,4.118,22.307,9.281,0.112,0.081,1276.141,-982.453,1782.499
"TTL_C23",24.795,0.467,0.1,0.068,1.957,0.162,2.431,0.426,57.517,6.512,15.856,2.885,3.448,40.687,8.367,23.139,409.011,16.405,7.159,8.209,13.03,16.296,11.698,20.701,2.813,0.379,17.302,8.898,5.608,885.473,31.035,3.623,3.342,1.023,1.607,0.116,5.17,0.468,0.941,0.355,2.19,34.651,9.905,3.14,4.59,3.77,4.527,1.771,4.581,0,145.473,0.022,1.601,24.523,5.933,0.078,0.075,917.472,-394.352,2429.432
"TTL_C24A",8.281,0.375,0.071,0.353,13.279,0.262,0.869,1.113,7.374,2.991,11.674,3.535,5.499,14.272,0.933,31.572,47.895,739.134,50.598,439.369,32.929,111.948,445.506,214.337,42.935,11.035,78.3,17.435,43.085,486.593,35.788,3.74,2.96,0.283,2.816,0.038,0.276,0.122,0.229,0.109,0.542,6.775,13.697,1.216,2.148,0.919,0.65,1.024,3.086,0,1.53,0.003,2.992,0.95,0.107,0.015,0.012,562.823,-1599.729,1908.673
"TTL_C24B",2.193,0.141,0.008,0.017,1.241,0.047,0.211,0.076,13.302,2.139,4.838,3.861,1.738,58.337,2.106,12.896,11.204,63.969,574.087,113.177,48.798,161.943,100.372,64.242,6.357,3.004,66.529,5.077,22.56,65.412,18.64,1.192,0.889,0.181,0.47,0.006,0.501,0.282,0.219,0.12,0.49,2.031,2.172,0.309,0.82,0.089,0.603,0.389,1.905,0,10.965,0.017,0.867,4.466,0.957,0.022,0.014,339.002,-477.138,1320.363
"TTL_C25",24.728,1.195,0.271,0.377,6.134,0.203,1.644,1.771,60.89,10.134,27.654,7.42,6.429,46.399,3.772,22.632,22.592,31.959,15.947,121.556,23.169,49.738,178.995,88.898,20.382,3.752,60.219,12.465,8.05,309.595,54.674,5.913,3.002,1.755,2.654,0.12,3.223,1.333,3.896,1.474,1.746,12.163,14.851,6.617,18.813,2.334,3.596,2.003,6.543,0,158.355,0.041,9.203,246.237,79.326,0.14,0.077,1143.218,-1185.443,1766.829
"TTL_C26",3.294,0.164,0.083,0.028,0.814,0.023,0.211,0.185,4.53,1.861,0.973,2.279,2.01,9.148,1.22,2.613,2.323,0.945,1.115,3.534,329.988,61.446,41.778,21.214,5.254,0.834,18.447,12.405,2.245,29.747,45.641,2.745,2.182,4.557,1.995,0.407,1.424,6.989,70.991,26.203,7.166,2.232,23.696,7.219,10.262,4.722,17.879,3.291,13.45,0,480.579,0.283,27.069,641.719,207.752,0.752,1.139,511.92,-1330.656,1354.325
"TTL_C27",6.125,0.173,0.161,0.067,0.787,0.063,0.749,0.477,6.546,2.199,1.621,2.919,1.445,8.54,1.058,4.498,4.292,2.546,3.185,6.417,45.317,201.822,61.012,53.906,3.921,1.425,24.859,55.064,3.816,123.474,47.519,7.003,3.569,2.771,1.632,0.146,1.942,2.23,23.744,5.118,1.859,3.928,15.924,5.824,9.101,1.941,5.13,3.497,8.018,0,287.436,0.072,1.663,273.496,89.845,0.358,0.076,1427.157,-1323.574,1535.905
"TTL_C28",21.016,2.39,0.609,0.709,11.024,0.394,3.715,3.027,25.366,6.675,9.212,10.591,12.682,25.987,2.585,11.931,28.061,9.002,5.789,15.382,15.462,38.839,313.978,61.244,14.838,2.245,50.909,35.349,10.324,104.088,59.838,9.679,2.549,4.173,3.167,0.305,1.298,1.959,5.911,3.066,6.626,2.494,15.627,7.362,10.488,2.367,5.652,2.612,4.62,0,176.309,0.149,2.801,1152.186,377.733,0.147,0.109,2641.418,-2136.366,3217.705
"TTL_C29",4.281,1.227,0.115,0.028,0.794,0.052,0.488,0.268,4.391,2.824,1.483,1.044,1.41,5.374,0.51,3.161,4.445,1.954,6.316,3.339,3.389,7.341,19.339,522.872,1.107,0.934,7.831,3.933,3.25,14.447,226.647,47.182,5.154,8.658,3.236,0.259,0.44,0.536,1.418,1.005,1.565,1.29,4.912,4.228,3.745,0.965,1.381,0.962,1.441,0,1149.65,0.219,4.62,824.542,273.197,0.611,1.078,734.316,-922.213,3008.987
"TTL_C301",0.066,0.007,0.405,0.001,0.163,0.002,0.018,0.001,0.106,0.023,0.021,0.016,0.016,0.056,0.006,0.047,0.024,0.02,0.019,0.091,0.133,0.119,0.992,0.872,112.253,1.874,3.376,0.061,0.039,0.257,0.841,1.613,64.375,17.006,1.071,0.007,0.012,0.007,0.009,0.006,0.063,0.021,0.131,0.141,8.235,0.034,0.032,0.097,0.409,0,40.486,0.001,0.054,165.529,54.658,0.002,0.002,4.269,-5.882,474.312
"TTL_C302T309",0.616,0.639,1.48,0.038,0.163,0.017,0.062,0.096,1.967,0.165,0.402,0.106,0.046,0.689,0.04,0.458,0.469,0.301,0.257,1.954,1.759,3.358,7.81,62.969,40.51,113.22,43.039,0.586,0.382,4.137,44.286,89.998,33.807,334.585,4.234,0.111,0.101,0.024,0.075,0.125,0.525,0.262,1.758,3.616,53.957,0.417,3.587,0.502,6.383,0,144.406,0.012,0.143,363.92,120.286,0.011,0.002,231.014,-1410.126,315.755
"TTL_C31T33",19.2,0.947,0.636,0.088,2.668,0.075,1.223,0.671,16.793,19.911,5.862,7.075,4.91,19.026,3.691,5.564,7.937,4.115,3.101,3.967,9.546,7.732,14.036,8.684,2.377,0.514,90.406,16.92,7.419,38.988,36.739,12.621,6.678,21.202,3.772,0.537,5.007,2.818,7.13,3.77,14.546,5.299,19.91,8.434,15.979,12.66,54.854,11.328,9.693,0,627.326,0.133,44.994,280.395,67.686,2.887,4.413,1270.85,-697.686,2178.058
"TTL_D",167.688,2.83,2.263,1.279,28.683,1.029,14.217,2.214,189.867,57.555,40.998,98.498,121.194,332.549,17.823,73.861,134.72,69.684,52.591,25.717,22.182,24.425,33.679,30.69,4.453,1.355,30.888,971.79,61.169,47.271,295.859,84.574,4.996,7.429,20.67,2.866,64.66,16.247,60.652,15.378,58.363,80.085,43.89,18.864,88.651,52.368,69.889,36.367,41.927,0,1258.057,0.203,54.901,25.835,0.649,0.164,0.079,81.649,-25.469,5122.965
"TTL_E",16.052,0.165,0.217,0.06,1.069,0.065,0.647,0.337,18.117,3.595,3.404,19.491,5.96,16.869,1.673,3.898,7.404,26.444,22.087,2.229,1.231,1.713,3.165,1.841,0.401,0.172,2.384,15.938,116.103,10.026,27.224,3.308,1.214,0.969,1.613,0.257,6.207,0.867,1.288,0.837,4.522,9.137,5.568,2.608,28.861,6.906,13.364,2.92,3.746,0,244.804,0.591,351.641,6.981,0.255,0.059,0.046,16.508,-10.569,1034.491
"TTL_F",56.337,4.745,0.816,0.253,3.139,0.132,1.855,1.767,18.063,5.68,5.191,5.019,9.699,18.104,2.045,5.975,20.247,4.958,4.257,5.935,3.197,4.974,8.566,5.39,1.582,0.309,14.862,83.81,28.858,1009.723,108.399,22.984,4.576,4.477,18.381,0.994,10.163,4.264,29.407,3.788,27.748,229.379,59.16,11.474,118.306,21.146,23.436,8.394,9.385,0,215.225,0.92,103.419,6787.846,2.618,1.009,0.37,89.987,-56.062,9196.68
"TTL_G",642.845,10.141,5.856,0.837,14.225,0.728,8.869,4.169,996.436,432.808,78.375,164.61,182.76,532.466,89.112,182.893,153.985,158.067,55.457,125.222,154.892,146.218,272.551,313.376,35.937,28.783,162.056,127.116,46.72,465.687,779.155,247.681,64.671,170.872,25.263,4.666,133.761,35.988,58.291,29.615,47.624,35.594,81.579,65.726,86.656,25.338,148.243,30.483,45.721,0,4462.37,1.665,219.204,1239.696,173.139,16.987,9.469,2764.783,-4993.454,11603.981
"TTL_H49",114.464,8.254,1.035,0.867,12.699,0.39,10.231,3.082,192.781,37.109,39.079,40.331,88.703,117.486,13.137,31.214,76.052,35.879,15.099,24.627,19.543,25.45,43.307,33.419,4.736,3.547,30.907,54.761,19.726,108.407,402.039,187.733,16.425,22.817,48.208,12.134,17.726,11.951,11.37,6.03,25.557,10.231,30.771,17.272,33.098,14.761,28.688,7.273,14.729,0,995.081,0.376,250.827,123.944,11.939,22.447,24.564,587.651,-512.271,3629.689
"TTL_H50",19.523,2.59,0.783,0.046,2.754,0.031,1.3,0.201,36.245,8.101,5.384,6.419,29.336,15.728,1.607,4.498,8.936,7.209,3.112,4.759,3.758,5.21,7.961,5.481,1.063,0.814,5.256,8.199,1.158,19.27,88.305,15.358,336.767,5.844,25.684,0.447,3.62,1.008,1.365,0.783,1.692,0.958,4.049,2.745,3.619,0.797,2.771,0.988,1.167,0,104.979,0.151,9.561,4.506,1.148,5.033,5.1,1334.782,-657.994,1521.962
"TTL_H51",21.89,0.896,0.185,0.027,3.099,0.022,0.508,0.23,36.523,8.856,3.614,6.327,13.858,12.71,2.683,4.491,7.119,2.064,1.356,2.289,4.206,5.606,7.321,4.427,0.662,0.427,5.646,5.999,1.712,20.137,60.204,5.44,2.465,152.135,16.644,3.984,4.724,3.179,4.972,5.239,28.509,4.379,18.789,14.653,17.35,3.452,6.766,3.295,4.876,0,273.847,0.044,7.929,4.668,1.178,14.923,19.087,1992.219,-700.741,2159.1
"TTL_H52",17.771,0.644,0.297,0.074,1.203,0.038,0.718,0.313,30.085,6.76,4.887,6.7,27.154,18.256,1.974,5.854,10.3,9.497,2.715,6.897,4.864,6.914,11.65,8.71,1.539,1.468,6.534,11.622,2.283,25.536,63.807,24.691,34.505,43.097,18.138,0.855,3.264,1.262,2.61,1.178,2.753,1.646,4.303,2.312,4.326,0.969,3.018,1.042,1.669,0,164.331,0.358,200.532,50.421,6.854,1.296,0.567,444.363,-371.699,945.722
