"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",26025.99,178.457,74.519,2.101,10.743,6.479,1.42,1.822,76106.378,847.713,76.528,28.999,11.229,345.856,92.348,107.364,6.573,2.08,0.921,2.75,2.886,2.315,8.321,10.267,0.286,0.621,47.085,99.408,14.993,280.091,1697.374,36.13,2.017,0.52,18.74,1.086,3541.059,3.646,7.241,3.544,15.254,145.893,41.551,75.19,286.075,157.657,239.126,100.558,148.011,0,37899.452,0.997,43.033,7810.925,206.628,42.148,27.899,61794.902,-4501.375,214241.822
"TTL_A02",659.71,1370.973,5.042,10.088,8.889,7.293,0.816,0.277,1019.72,24.169,2155.227,390.56,3.181,38.841,3.105,97.614,7.722,1.931,0.876,0.936,0.214,0.451,1.409,0.86,0.11,0.092,125.329,233.821,2.428,110.331,225.714,3.671,0.187,0.077,2.529,0.187,84.931,0.804,2.454,1.673,2.707,43.953,4.538,4.106,62.927,17.048,11.062,16.991,23.928,0,2661.465,0.003,0.559,1108.529,4.582,0.516,0.601,1156.463,-518.748,11205.473
"TTL_A03",4.264,0.295,91.511,0.048,0.393,0.299,0.024,0.02,1494.19,0.205,0.028,0.103,0.676,0.895,0.143,0.173,0.092,0.055,0.03,0.069,0.065,0.068,0.131,0.124,1.086,0.202,0.365,0.166,0.072,0.37,15.254,0.611,0.724,0.133,0.515,0.016,147.446,0.107,0.128,0.222,0.432,0.064,0.309,0.317,9.267,1.729,3.493,0.804,1.922,0,4324.611,0,1.141,2.541,0.548,2.367,1.787,78.531,-372.449,5818.728
"TTL_B05",31.244,0.531,0.466,110.908,43.773,84.551,19.172,10.71,62.651,6.627,1.319,26.456,1484.897,150.065,1.589,8.767,321.264,521.001,58.761,3.148,1.578,3.328,3.75,3.946,0.199,0.49,3.998,4098.541,3.22,262.826,17.668,6.827,0.07,0.115,1.545,0.075,4.696,0.107,0.45,0.292,0.554,4.926,1.582,1.262,20.856,10.134,3.764,0.753,12.018,0,37.61,0.001,0.269,3.702,0.012,0.09,0.019,365.124,-1841.478,5982.816
"TTL_B06",68.962,4.113,5.698,18.817,428.113,62.331,6.406,13.402,78.848,7.684,3.89,33.291,30462.358,361.039,3.092,14.413,66.464,77.263,28.043,14.396,3.779,6.396,14.68,14.196,0.548,1.224,23.71,2980.21,24.368,549.944,225.807,176.097,7.739,19.749,36.069,3.476,14.966,2.912,17.628,7.449,28.899,397.323,43.151,20.162,193.118,46.921,34.78,13.325,28.68,0,281.628,0.001,0.733,7484.746,1.541,1.421,0.163,41909.369,-5882.99,80492.543
"TTL_B07",25.895,0.232,0.516,79.939,249.32,6442.382,93.438,87.445,103.315,6.421,1.053,4.663,2077.646,739.376,4.812,12.015,779.04,9853.733,7855.022,238.294,15.809,46.938,57.132,37.283,0.497,1.754,40.353,634.391,8.481,625.788,37.195,15.808,0.118,0.388,4.12,0.226,6.201,0.312,1.079,0.569,1.647,20.994,10.212,3.823,15.825,4.46,3.698,2.429,16.725,0,9.654,0.004,0.344,338.755,0.012,0.277,0,34259.069,-1234.15,63642.777
"TTL_B08",116.883,1.04,2.031,8.956,44.005,86.539,57.986,12.418,105.786,15.825,3.516,28.46,337.153,366.536,10.122,51.724,812.595,140.047,34.75,10.279,6.656,9.53,8.132,13.134,0.366,0.525,16.797,109.538,8.847,876.945,31.176,15.98,1.009,1.666,3.063,0.238,11.585,0.636,0.504,0.903,1.611,19.43,5.368,4.846,23.497,5.768,11.988,2.401,9.393,0,204.891,0.001,0.238,4.559,0.223,0.28,0.089,827.871,-883.312,3603.023
"TTL_B09",4.775,0.073,4.139,50.151,2031.818,198.496,34.734,237.417,4.626,0.277,0.21,6.438,759.325,4.746,0.204,2.106,32.198,10.608,4.96,0.418,0.208,0.325,0.615,0.375,0.023,0.085,0.45,138.709,0.725,47.616,2.741,5.548,0.231,0.37,1.609,0.382,0.569,0.495,0.293,0.343,0.848,0.889,2.458,0.477,2.6,0.751,0.738,0.267,0.811,0,2.992,0.002,119.884,1727.311,0.01,0.161,0,80.771,-367.843,5162.561
"TTL_C10T12",13582.424,11.794,281.377,15.235,95.498,109.139,9.181,10.226,38285.928,517.138,44.631,312.813,841.03,3511.016,277.708,733.228,118.597,41.264,24.109,69.621,61.933,69.838,82.168,117.994,4.202,6.396,150.943,74.402,53.999,221.85,2414.633,82.614,16.541,7.277,55.869,5.474,14594.422,46.855,37.347,65.417,131.493,72.223,126.132,121.63,740.205,663.084,825.295,517.052,518.362,0,140252.048,0.017,40.898,80.749,98.794,136.332,98.323,46308.857,-11704.876,256088.751
"TTL_C13T15",129.099,5.667,47.615,7.911,46.502,37.431,2.7,4.736,174.649,10444.942,17.801,350.884,52.96,267.293,24.375,266.489,86.136,17.39,6.83,36.162,24.666,33.276,60.64,353.712,5.005,10.424,527.679,25.05,14.956,197.104,888.918,38.555,1.23,2.142,22.055,7.466,162.18,8.661,10.047,13.536,27.217,14.012,110.033,95.316,393.59,95.355,356.555,158.656,343.232,0,31872.931,0.002,5.286,43.48,21.885,46.978,64.025,3008.132,-6758.802,44332.757
"TTL_C16",152.89,21.689,3.47,10.739,24.021,34.387,2.641,2.612,261.963,49.384,1688.242,384.197,9.912,125.703,7.078,46.704,103.871,10.596,8.841,49.434,17.586,34.046,42.626,111.474,8.645,4.828,1073.341,87.898,6.99,2536.187,412.488,36.149,0.446,0.631,43.566,0.682,49.229,7.967,5.78,5.984,10.621,388.498,95.825,27.845,36.514,39.005,38.135,25.044,135.422,0,669.414,0.002,0.293,38.224,7.716,5.25,3.712,3935.526,-216.803,12725.161
"TTL_C17_18",232.632,3.725,11.665,5.181,71.929,60.919,3.136,5.498,3389.874,243.311,80.476,9593.397,116.349,526.059,198.977,248.151,247.975,30.166,24.409,91.803,112.813,118.446,158.112,153.183,2.272,9.871,300.651,114.873,35.006,230.533,2539.25,135.173,5.763,5.522,86.711,41.949,208.209,429.662,141.253,354.234,737.696,42.492,1067.771,501.523,1093.818,902.53,549.165,200.585,689.842,0,3735.169,0.014,2.028,177.855,25.467,17.84,10.519,8532.504,-1472.704,37183.231
"TTL_C19",4820.14,232.461,619.434,334.059,2082.034,2479.898,167.997,298.655,2921.38,280.438,209.538,647.353,47244.647,8294.55,147.04,352.223,925.722,1314.548,200.543,248.831,91.308,287.676,260.941,533.755,8.259,25.104,677.676,7812.37,490.786,2656.813,10220.974,19751.675,1021.567,2732.131,1565.231,263.577,536.748,91.872,299.858,332.634,1060.042,143.833,915.366,1168.676,3733.429,870.279,999.693,460.343,1336.446,0,32051.299,0.21,5.853,25.001,55.369,31.432,34.586,10780.715,-14226.419,162928.599
