"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",48.386,0.932,0.553,0.222,1.758,0.035,0.293,0.232,24.284,3.993,0.069,0.009,0.221,0.276,0.997,0.488,0.002,0,0,0.003,0.018,0.006,0.025,0,0.016,0.008,0.083,0.063,0.164,3.251,17.388,0.004,0.116,0.004,0.114,0.009,32.165,0.095,0.351,0.023,0.59,0.47,0.978,1.417,18.321,4.11,6.17,0.786,0.683,0,109.943,0.029,2.615,0.298,0.021,0.821,0.044,0.513,-137.351,147.115
"TTL_A02",0.933,5.372,0.036,1.265,1.508,0.051,0.133,0.011,0.273,0.106,2.601,0.043,0.06,0.021,0.023,0.326,0.005,0,0,0.001,0,0.001,0.003,0,0.01,0.001,0.238,0.13,0.011,1.408,1.88,0,0.007,0.001,0.006,0.001,0.542,0.013,0.125,0.013,0.044,0.102,0.063,0.049,2.668,0.265,0.157,0.095,0.042,0,5.887,0.024,0.18,0.175,0.004,0.01,0.001,0.073,-2.194,24.805
"TTL_A03",0.282,0.062,21.569,0.203,0.168,0.08,0.126,0.005,10.451,0.046,0,0.004,0.15,0.012,0.042,0.004,0.001,0,0,0.004,0.006,0.005,0.007,0,0.016,0.001,0.004,0.003,0.032,0.207,3.466,0.001,0.189,0.004,0.032,0,50.179,0.083,0.359,0.079,1.039,0.346,0.276,0.19,24.917,1.778,2.924,0.218,0.214,0,6.696,0.007,0.013,0.238,0.003,0.046,0.003,0.236,-16.474,110.553
"TTL_B05",0.45,0.036,0.004,383.662,168.285,12.903,18.995,31.822,0.266,0.822,0.029,0.164,749.452,1.37,0.119,0.438,2.154,1.054,0.069,0.049,0.057,0.153,0.147,0,0.42,0.194,0.03,63.874,0.41,21.523,2.357,0.012,0.028,0.011,0.188,0.011,0.274,0.019,0.99,0.046,0.505,1.378,1.115,0.151,23.319,4.878,0.656,0.045,0.557,0,0.113,0,0.009,0.219,0.006,0.001,0,0.29,-72.054,1424.073
"TTL_B06",0.081,0.008,0.023,16.216,653.043,2.5,7.613,10.868,0.105,0.127,0.018,0.053,5130.146,1.571,0.069,0.273,0.377,0.048,0.013,0.171,0.052,0.06,0.082,0,0.162,0.089,0.056,14.365,0.478,3.011,4.332,0.019,0.295,0.144,0.468,0.048,0.151,0.056,0.787,0.104,1.937,1.059,2.067,0.446,10.796,1.199,0.327,0.056,0.068,0,3.016,0,0.434,556.198,16.574,0.027,0.005,6256.022,-4405.535,8292.777
"TTL_B07",0.218,0.003,0.017,85.393,395.916,422.636,144.905,114.26,0.162,0.181,0.006,0.063,334.384,3.405,0.243,0.197,4.66,6.574,3.64,3.882,0.25,0.596,0.874,0,0.167,0.031,0.397,2.994,0.595,119.665,1.828,0.01,0.026,0.026,0.152,0.011,0.291,0.022,0.248,0.008,0.113,0.749,3.728,0.365,3.533,0.397,0.144,0.06,0.283,0,0.055,0,0.001,0.16,0.001,0.003,0,0.074,-0.468,1658.132
"TTL_B08",1.872,0.092,0.193,33.244,214.723,19.309,322.604,58.318,0.228,0.274,0.008,0.072,169.339,3.663,0.231,0.433,17.917,0.345,0.057,0.416,0.198,0.433,0.309,0,0.186,0.074,0.457,1.959,2.281,580.195,2.505,0.01,0.062,0.024,0.156,0.008,0.39,0.008,0.392,0.009,0.135,8.383,1.962,1.911,30.959,0.594,0.186,0.085,0.148,0,5.48,0,0.005,0.704,0.027,0.004,0.001,2.6,-7.107,1479.069
"TTL_B09",0.018,0.005,0.011,2.894,168.833,0.801,2.859,15.664,0.013,0.04,0.002,0.013,32.853,0.018,0.023,0.024,0.018,0.001,0,0.02,0.028,0.022,0.03,0,0.033,0.018,0.008,0.119,0.068,1.404,1.706,0.004,0.09,0.06,0.099,0.017,0.146,0.122,1.199,0.223,3.928,0.314,1.879,1.109,6.394,1.196,0.942,0.172,0.125,0,41.87,0.098,0.01,745.273,0.05,0.002,0.725,76.296,-10.419,1099.468
"TTL_C10T12",3.226,0.011,0.25,0.146,1.716,0.052,0.202,0.138,1.292,0.109,0.003,0.061,1.187,0.115,0.279,0.081,0.008,0,0,0.01,0.019,0.015,0.016,0,0.024,0.019,0.02,0.008,0.055,0.504,2.548,0.001,0.1,0.011,0.046,0.008,12.143,0.118,0.694,0.095,0.981,0.276,0.419,0.252,5.834,2.038,1.932,0.295,0.14,0,387.806,0.014,3.992,3.015,0.233,2.667,0.085,7.381,-375.932,66.761
"TTL_C13T15",0.084,0.008,0.041,0.237,3.899,0.169,0.117,0.171,0.033,11.751,0.008,0.034,0.338,0.031,0.061,0.183,0.012,0,0,0.021,0.082,0.024,0.037,0,0.111,0.045,0.432,0.01,0.053,1.06,2.045,0.001,0.018,0.005,0.032,0.009,0.222,0.104,0.488,0.031,0.455,0.165,0.593,0.424,4.921,0.904,0.744,0.199,0.247,0,46.642,0.002,0.108,10.517,0.514,0.922,0.06,30.567,-60.511,59.482
