"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1194.636,27.936,0.441,0,0.002,0.013,0.937,0.008,8684.304,26.925,13.535,2.467,0.054,151.124,136.853,25.024,1.445,0.537,0.45,3.762,4.413,3.072,5.92,0.419,0.007,1.047,13.745,69.98,5.019,42.432,519.107,27.633,21.76,5.348,13.669,2.18,426.059,2.295,2.283,6.972,16.396,7.989,96.177,45.876,65.701,7.942,88.04,34.363,23.238,0,3324.503,0.073,586.375,223.12,-4.248,135.87,186.928,228.384,-4075.757,12434.781
"TTL_A02",14.196,167.742,0.014,0,0.001,0.006,0.341,0.001,33.454,0.431,557.624,18.785,0.006,11.526,2.782,15.414,1.269,0.156,0.146,0.684,0.466,0.477,0.693,0.052,0.003,0.11,30.105,107.224,0.303,36.081,56.121,1.603,1.078,0.306,1.492,0.201,4.621,0.298,0.253,0.711,0.686,15.801,3.311,1.709,7.406,0.52,1.937,3.229,2.411,0,121.357,0.006,0.103,58.402,0.176,1.78,0.203,63.488,-135.186,1214.118
"TTL_A03",0.525,0.056,0.453,0,0,0,0.022,0,154.993,0.03,0.035,0.025,0.003,0.593,0.387,0.054,0.034,0.013,0.011,0.055,0.095,0.058,0.07,0.003,0.001,0.02,0.091,0.198,0.025,0.226,3.368,0.39,5.305,0.109,0.473,0.045,15.883,0.047,0.025,0.109,0.155,0.088,0.42,0.246,1.508,0.092,1.004,0.323,0.275,0,73.849,0,0.024,1.672,-0.111,7.744,0.406,46.77,-244.121,74.177
"TTL_B05",0.054,0.005,0,0,0,0.004,0.183,0.002,0.383,0.021,0.058,0.116,0.272,2.711,0.148,0.091,1.5,3.351,0.59,0.058,0.084,0.083,0.104,0.003,0,0.029,0.07,183.348,0.029,1.234,0.602,0.241,0.091,0.065,0.116,0.023,0.055,0.019,0.036,0.354,0.174,0.092,0.287,0.113,0.291,0.038,0.059,0.044,0.13,0,138.074,0,0.005,0.814,0,0.297,0,0,-336.554,0
"TTL_B06",0.244,0.024,0.002,0,0.017,0.019,1.417,0.013,3.723,0.109,0.377,1.019,43.222,68.342,1.583,1.188,5.478,3.592,2.609,2.072,0.894,0.786,2.363,0.054,0.002,0.284,1.239,965.197,0.59,3.296,11.364,3.846,2.482,1.439,3.024,0.393,0.435,0.182,0.176,0.746,0.96,0.758,4.466,1.411,2.391,0.217,0.554,0.503,0.345,0,486.002,0.002,14.787,14.104,0,4.775,0.008,6.431,-1662.16,9.396
"TTL_B07",0.095,0.006,0,0,0.002,0.445,3.949,0.019,1.039,0.021,0.066,0.083,0.42,23.242,0.66,0.285,10.264,72.294,107.37,10.258,2.603,4.449,3.164,0.093,0.002,0.361,1.546,30.597,0.446,15.096,2.261,0.684,0.276,0.193,0.381,0.061,0.118,0.049,0.079,0.519,0.498,0.306,1.622,0.473,0.443,0.042,0.108,0.192,0.261,0,0.833,0.002,0.028,1.806,0,0.946,0.011,13.045,-262.773,51.338
"TTL_B08",8.774,0.55,0.032,0,0.013,0.315,136.128,0.15,26.083,0.34,0.521,4.327,3.244,371.089,7.318,4.297,598.887,58.101,23.868,10.316,3.79,6.717,5.745,0.119,0.004,0.42,9.642,296.407,7.885,1010.499,15.531,5.59,3.189,0.276,2.278,0.146,1.571,0.072,0.123,0.287,0.416,16.513,4.977,10.396,13.892,0.25,0.707,1.157,0.897,0,128.79,0.002,0.016,2.755,0,0.934,0.007,31.759,-426.138,2411.975
"TTL_B09",0.065,0.007,0,0,0.002,0.003,0.294,0.009,0.25,0.018,0.036,0.043,0.049,0.445,0.36,0.058,0.298,0.086,0.079,0.166,0.262,0.136,0.218,0.008,0,0.047,0.166,2.43,0.062,1.196,1.764,0.551,0.653,0.461,0.403,0.074,0.084,0.094,0.109,0.51,0.602,0.272,1.817,0.506,0.519,0.05,0.162,0.202,0.15,0,1.389,0.002,1.023,51.275,-0.03,0.539,0.011,0.872,-30.97,39.886
"TTL_C10T12",2704.463,6.949,7.312,0,0.01,0.057,7.208,0.036,18929.94,49.154,10.227,32.201,1.47,1552.071,932.711,25.423,9.913,2.376,4.428,14.579,18.589,14.43,21.458,0.459,0.022,2.91,45.811,107.539,25.962,61.581,2450.006,105.015,464.062,44.955,96.845,21.031,5673.596,46.922,21.061,86.779,105.235,66.903,270.266,150.109,457.044,118.904,749.289,581.147,195.698,0,27624.34,0.047,0.784,15.741,1.368,440.233,462.388,9088.405,-12822.997,61104.466
"TTL_C13T15",13.968,3.977,0.651,0,0.023,0.216,6.23,0.073,70.582,1083.046,26.885,61.705,0.542,207.516,113.152,122.76,38.571,7.154,4.502,48.972,85.446,40.207,65.143,13.144,0.172,17.666,558.617,135.048,32.099,209.335,1084.672,80.905,40.957,32.355,60.247,47.931,120.306,16.819,10.669,26.364,42.61,36.641,322.311,280.359,438.644,30.558,234.089,300.586,169.621,0,7154.267,0.023,2.795,207.737,-36.261,153.618,16.048,2495.948,-12214.868,4123.35
"TTL_C16",34.364,19.5,0.1,0,0.011,0.169,7.753,0.04,145.946,8.864,2818.785,131.323,0.133,263.706,79.594,55.62,92.757,5.525,8.304,95.631,66.249,70.529,71.071,6.29,0.579,14.917,1476.072,292.721,12.258,3922.609,601.164,76.236,20.661,9.095,128.997,3.818,47.774,13.067,4.959,13.799,19.229,966.456,208.499,87.956,37.055,9.625,48.528,38.408,78.772,0,447.915,0.012,0.191,41.883,1.419,16.957,19.968,1224.839,-2377.393,11491.309
"TTL_C17_18",8.573,0.713,0.06,0,0.008,0.051,1.869,0.017,341.147,7.961,27.293,890.429,0.375,171.701,244.821,44.753,38.579,2.994,3.882,38.116,80.201,47.805,46.522,1.681,0.035,7.794,74.66,108.099,13.265,69.198,930.121,68.708,57.702,21.197,61.097,60.11,37.851,254.419,38.706,184.264,384.696,38.803,607.073,330.431,337.313,64.42,97.513,103.34,156.894,0,451.217,0.085,0.521,27.841,-2.093,57.851,49.665,2941.056,-3086.415,6546.986
"TTL_C19",12.414,2.102,0.169,0,0.009,0.124,5.01,0.046,23.661,1.31,5.003,4.298,6.117,189.23,24.248,9.267,9.508,6.979,2.174,7.728,9.987,9.447,9.203,0.469,0.011,1.612,10.207,242.882,8.751,51.004,168.177,380.931,366.894,303.142,45.92,12.163,6.543,2.399,2.91,10.251,19.723,7.209,48.765,31.351,36.229,2.478,10.446,10.056,10.057,0,1271.338,0.03,0.434,20.716,0,102.774,0.017,163.058,-3270.609,416.376
"TTL_C20",129.976,1.48,0.069,0,0.018,0.303,11.693,0.071,115.862,21.975,43.759,68.916,5.851,3309.454,1510.584,494.321,57.907,10.751,10.855,57.082,108.365,75.147,53.949,3.67,0.131,8.646,90.954,77.959,27.165,163.209,156.095,33.771,29.878,16.92,26.487,2.814,20.599,9.965,2.435,19.49,16.112,82.4,228.578,51.83,57.38,7.375,232.816,23.896,43.832,0,1940.494,0.047,0.979,90.354,18.91,42.24,20.412,35111.324,-4328.657,40418.899
"TTL_C21",449.735,1.22,0.65,0,0.058,0.896,10.537,0.048,632.005,9.91,10.438,6.844,0.694,1505.858,58774.13,27.226,6.833,6.265,4.622,13.238,33.71,8.711,85.835,0.716,0.018,3.342,142.096,160.24,89.399,68.545,785.754,131.062,146.769,56.324,49.291,19.643,14.751,10.604,3.496,15.047,38.199,18.842,3448.919,92.44,1675.252,83.793,11043.188,332.729,385.453,0,8828.686,0.049,1.089,470.078,92.988,26,47.96,79011.801,-20897.438,147986.581
"TTL_C22",48.125,3.906,0.217,0,0.039,0.294,11.974,0.088,658.775,47.815,65.129,124.436,1.362,739.27,624.359,1035.324,63.131,9.922,13.842,189.678,452.847,403.44,374.097,36.584,0.268,73.551,297.665,106.482,53.25,1100.93,1406.55,514.195,93.614,29.448,102.924,19.234,33.021,15.376,10.428,23.814,46.852,281.872,227.381,151.033,68.81,11.451,59.772,41.892,40.707,0,1045.398,0.097,0.601,234.135,-5.937,5.175,0.662,4264.421,-5980.178,9279.548
