"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1171.048,27.119,28.617,0,0.006,0.789,0.204,0.021,4644.454,12.365,4.792,1.38,0.102,10.455,4.272,3.599,0.132,0.018,0.003,0.115,0.193,0.039,0.155,0,0.007,0.034,0.518,2.676,0.468,8.079,72.248,1.997,0.125,0.096,0.516,0.022,260.675,0.228,0.179,0.095,0.51,0.595,5.774,8.537,5.528,4.602,15.034,2.186,2.33,0,5769.944,0.016,0.549,471.358,18.475,13.381,9.325,5605.947,-1715.521,16476.409
"TTL_A02",81.889,579.983,3.857,0.001,0.016,3.321,0.316,0.003,202.592,1.076,733.423,78.596,0.022,2.844,0.364,8.295,0.64,0.031,0.01,0.069,0.018,0.011,0.051,0,0.005,0.005,3.096,19.51,0.067,11.878,19.644,0.321,0.024,0.017,0.086,0.006,15.226,0.112,0.175,0.101,0.123,0.498,0.655,0.955,2.819,1.034,1.406,0.924,0.553,0,521.45,0,0.036,73.119,1.036,0.172,0.305,237.864,-36.845,2573.808
"TTL_A03",7.599,2.238,1559.914,0,0.002,1.886,0.113,0.004,4021.388,0.127,0.057,0.125,0.073,0.578,0.236,0.059,0.076,0.007,0.003,0.079,0.08,0.025,0.049,0,0.139,0.046,0.119,0.201,0.1,0.678,35.065,0.628,0.493,0.185,0.285,0.004,494.376,0.254,0.284,0.436,1.076,0.485,1.886,0.479,9.278,2.424,10.385,0.756,0.944,0,247.351,0,0.01,3.029,0.387,0.752,0.887,162.364,-16.414,6554.092
"TTL_B05",2.619,0.259,0.067,0.016,0.13,57.972,3.128,0.647,10.564,0.504,0.576,8.343,37.511,12.447,0.13,0.787,19.825,18.271,1.187,0.19,0.115,0.116,0.169,0,0.015,0.073,0.085,663.398,0.252,12.623,2.294,1.623,0.008,0.047,0.208,0.007,0.621,0.016,0.102,0.033,0.083,0.377,0.547,0.19,1.71,1.321,0.791,0.032,0.502,0,0.488,0,0.004,0.309,0.006,0.029,0.001,0.29,-862.394,1.261
"TTL_B06",21.947,4.113,23.361,0.011,7.712,211.792,21.484,4.198,85.257,1.668,7.366,53.017,3811.428,225.108,1.55,7.718,53.499,13.199,3.426,10.444,1.922,1.027,1.915,0,0.323,0.626,6.584,2235.952,6.247,41.938,101.885,133.011,5.363,40.645,12.521,0.984,7.446,1.03,2.618,1.667,8.274,5.334,29.669,13.298,18.804,6.956,11.012,1.28,1.988,0,151.951,0,0.027,20.647,0.676,0.464,0.083,196.913,-7361.212,278.167
"TTL_B07",74.704,1.047,5.443,0.023,3.541,11420.883,150.269,18.208,91.94,6.436,9.144,29.048,108.777,291.957,10.43,39.042,263.341,680.447,372.729,93.477,9.038,4.52,8.203,0,0.19,0.537,6.991,193.62,5.519,441.188,45.394,18.565,0.938,5.734,7.107,0.204,7.719,2.495,2.711,3.578,9.509,5.587,77.432,14.356,7.537,5.401,19.607,1.806,4.82,0,32.457,0,2.241,47.084,0.012,0.091,0.277,40643.031,-432.479,54873.905
"TTL_B08",70.772,2.309,9.856,0.005,1.774,286.538,153.344,6.628,66.094,4.196,5.859,36.105,29.937,166.562,6.629,27.531,462.371,16.595,2.656,6.468,4.34,1.833,1.767,0,0.099,0.229,3.152,59.08,5.949,944.228,11.452,4.114,0.218,0.277,1.044,0.031,4.052,0.588,0.262,0.424,0.585,8.866,9.756,13.864,7.251,1.612,10.829,0.494,2.025,0,10.951,0,0.018,63.948,0.039,0.09,0.165,8063.399,-156.064,10443.198
"TTL_B09",3.234,0.115,3.396,0.003,3.337,88.828,17.565,8.534,3.286,0.184,0.302,2.455,11.67,7.027,0.288,1.268,20.121,0.811,0.157,0.322,0.21,0.085,0.103,0,0.005,0.015,0.158,12.794,0.296,43.615,0.727,0.939,0.034,0.172,0.171,0.02,0.237,0.085,0.031,0.034,0.095,0.457,0.887,0.621,0.395,0.107,0.534,0.026,0.098,0,1.025,0,0.003,167.471,-0.05,0.052,0.008,346.876,-18.701,732.539
"TTL_C10T12",1404.347,6.279,330.695,0.001,0.277,65.553,4.769,0.648,5699.455,15.674,15.862,52.806,11.375,148.974,25.134,35.333,12.889,2.4,0.629,11.545,29.189,3.972,6.446,0,1.065,1.927,9.028,17.591,6.19,72.883,332.427,36.201,3.535,10.787,8.604,0.661,1842.28,9.658,15.801,13.179,30.933,13.608,149.366,34.38,43.692,49.644,122.226,19.242,12.848,0,25173.235,0.003,56.337,103.13,26.532,43.263,38.374,13283.973,-7452.256,42014.598
"TTL_C13T15",15.927,2.696,35.922,0.001,0.14,28.742,1.555,0.308,41.119,434.464,7.256,51.842,1.912,18.765,3.163,17.708,7.401,0.689,0.158,5.16,8.521,1.55,3.158,0,0.456,1.083,15.173,5.187,2.873,43.171,116.377,11.342,0.521,2.764,2.905,0.763,31.38,2.416,3.829,1.964,6.012,3.458,56.94,32.182,33.075,11.27,66.159,10.319,12.773,0,5921.904,0.001,7.28,27.379,4.832,14.963,4.983,193.503,-5799.956,1537.441
