"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",864.377,53.06,2.996,0.004,0.018,0.027,0.027,0.012,2670.635,34.391,2.662,0.153,0.071,4.155,2.142,4.584,0.074,0.01,0.143,0.099,0,0,0.049,0.021,0.003,0.005,0.839,0.518,0.086,3.427,21.392,0.521,0.072,0.044,0.418,0.008,30.171,0.083,0.03,0.085,0.079,0.218,0.402,0.97,4.487,1.104,3.019,0.165,0.607,0,7610.314,0.004,0.133,1720.8,23.015,2.168,1.379,5550.696,-374.167,18242.803
"TTL_A02",24.552,816.807,0.227,0.057,0.028,0.084,0.03,0.001,21.514,1.417,318.261,6.701,0.026,0.741,0.087,7.753,0.301,0.028,0.424,0.071,0,0,0.013,0.004,0.004,0.001,5.724,2.768,0.008,3.645,4.308,0.049,0.008,0.006,0.04,0.001,0.653,0.032,0.018,0.066,0.01,0.084,0.02,0.056,1.542,0.154,0.134,0.045,0.109,0,757.699,0,0.058,2.674,0.084,0.028,0,9.127,-1.578,1986.704
"TTL_A03",0.232,0.102,2.586,0,0.002,0.003,0.001,0.001,38.888,0.017,0.006,0.003,0.028,0.013,0.005,0.009,0.007,0.002,0.02,0.009,0,0,0.001,0.001,0.001,0,0.005,0.002,0.001,0.032,0.21,0.023,0.051,0.006,0.048,0,0.924,0.004,0.002,0.008,0.004,0.004,0.004,0.004,0.129,0.011,0.032,0.001,0.006,0,297.651,0,0.001,0.288,0.037,0.122,0.111,4.744,-4.387,342.016
"TTL_B05",0.301,0.081,0.002,0.244,0.051,0.309,0.064,0.051,0.931,0.214,0.059,0.153,21.608,0.757,0.013,0.166,2.036,3.511,10.343,0.058,0,0,0.011,0.008,0.002,0.005,0.02,19.473,0.012,1.236,0.13,0.074,0.002,0.007,0.03,0.001,0.017,0.002,0.003,0.006,0.003,0.034,0.005,0.006,0.214,0.049,0.017,0.001,0.018,0,37.86,0,0.002,0.647,0.027,0.005,0,12.922,-96.244,17.556
"TTL_B06",4.946,2.606,0.794,0.227,3.461,1.655,0.593,0.443,9.303,1.064,1.051,1.289,1444.973,17.955,0.188,2.042,6.857,3.346,37.879,3.087,0,0.005,0.207,0.199,0.023,0.051,0.989,81.796,0.307,4.822,7.484,10.953,0.938,5.371,2.52,0.093,0.246,0.131,0.117,0.424,0.331,0.423,0.379,0.588,3.741,0.393,0.339,0.032,0.245,0,163.895,0.001,0.904,8.135,0.228,0.075,0,120.521,-1819.101,141.564
"TTL_B07",0.142,0.014,0.003,0.027,0.065,4.722,0.237,0.09,0.383,0.055,0.015,0.012,2.347,0.954,0.016,0.106,2.163,10.397,256.707,1.737,0,0.001,0.044,0.02,0.002,0.003,0.091,0.461,0.009,2.507,0.076,0.035,0.001,0.007,0.021,0.001,0.008,0.004,0.003,0.013,0.008,0.019,0.012,0.013,0.048,0.007,0.007,0.001,0.007,0,0.511,0.001,0.003,2.65,0.001,0.015,0,157.549,-25.187,419.165
"TTL_B08",1.673,0.271,0.058,0.027,0.092,0.566,1.301,0.119,1.991,0.193,0.052,0.164,0.127,2.659,0.048,0.425,19.986,1.399,9.873,0.464,0,0.001,0.035,0.018,0.002,0.003,0.229,0.727,0.058,27.328,0.195,0.075,0.034,0.009,0.059,0.001,0.031,0.004,0.002,0.007,0.003,0.172,0.013,0.073,0.351,0.012,0.015,0.002,0.01,0,20.71,0,0.003,1.284,0.029,0.015,0,4.381,-38.261,59.12
"TTL_B09",0.124,0.027,0.135,0.13,3.353,1.18,0.663,1.798,0.156,0.016,0.019,0.052,7.075,0.033,0.005,0.073,0.572,0.087,1.29,0.098,0,0,0.011,0.006,0.001,0.001,0.017,0.766,0.007,1.338,0.071,0.099,0.01,0.037,0.059,0.003,0.006,0.009,0.003,0.011,0.007,0.018,0.012,0.009,0.052,0.006,0.006,0.001,0.003,0,0.328,0,0.265,91.53,0.01,0.008,0,7.714,-73.598,45.716
"TTL_C10T12",414.805,5.405,12.221,0.029,0.166,0.283,0.117,0.051,1406.314,10.197,1.218,1.792,2.263,11.86,4.067,9.025,1.216,0.178,4.006,2.666,0,0.015,0.758,0.638,0.039,0.107,2.346,0.57,0.337,8.203,50.816,2.733,1.121,1.148,2.569,0.062,228.381,1.945,0.587,2.662,2.145,1.848,1.25,1.466,23.299,6.814,9.467,1.755,2.937,0,8205.134,0.004,0.2,25.432,5.516,7.013,3.237,2304.963,-1877.811,10917.584
"TTL_C13T15",5.034,3.133,2.4,0.058,0.206,0.534,0.118,0.095,11.115,673.915,2.242,4.234,1.155,3.393,0.846,15.264,2.883,0.325,3.267,4.024,0,0.016,0.71,2.413,0.15,0.235,17.923,0.557,0.329,11.793,20.619,1.639,0.083,0.447,1.375,0.181,2.762,0.451,0.257,0.8,0.498,0.66,1.547,2.868,17.647,1.652,5.222,0.567,4.447,0,2357.586,0.493,0.219,53.258,3.206,2.422,4.303,72.687,-187.587,3138.675
"TTL_C16",29.55,62.697,0.854,0.213,0.288,1.539,0.387,0.147,48.604,11.192,993.09,23.45,0.581,9.098,0.923,12.406,16.341,0.619,17.525,20.311,0,0.059,1.653,3.373,1.233,0.448,170.491,3.784,0.393,565.555,32.647,3.611,0.088,0.251,8.277,0.036,3.077,1.239,0.331,0.997,0.528,12.215,4.302,2.841,4.275,1.759,2.083,0.256,6.538,0,90.098,0.001,0.006,115.122,0.289,0.27,0.173,126.682,-10.056,2404.743
"TTL_C17_18",5.839,1.611,0.42,0.017,0.166,0.371,0.072,0.047,100.001,9.813,6.351,93.394,1.526,4.968,4.045,8.957,5.52,0.287,6.523,6.605,0,0.033,0.927,0.691,0.054,0.187,6.732,1.058,0.433,7.426,41.925,2.652,0.23,0.546,2.942,0.545,2.071,36.038,2.376,12.664,10.509,1.564,13.259,5.691,33.545,10.036,5.072,0.539,3.296,0,302.497,0.003,0.542,10.384,0.478,0.918,0.424,7.917,-97.252,685.487
