"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",133.164,0.294,0.563,0.003,0.029,0,0.002,0.005,1025.855,11.842,11.572,0.023,0.001,1.603,0.869,0.01,0.018,0,0.001,0,0,0.001,0.001,0.001,0,0,1.053,0.001,2.594,2.606,0.388,0.033,0.006,0.014,0.017,0.004,91.991,3.021,1.823,2.063,0.011,0.056,2.612,0.628,0.14,0.27,6.734,0.073,7.81,0,3549.081,0.005,0.89,424.686,2.922,0.539,1.174,834.428,-283.591,5839.941
"TTL_A02",16.424,8.512,0.858,0.041,0.006,0,0,0.001,40.032,0.812,67.484,1.313,0,0.036,0.012,0.047,0.132,0,0.002,0.001,0.004,0.239,0.232,0.251,0.048,0.073,45.274,0,0.031,268.896,0.474,0.039,0.007,0.009,0.052,0.006,2.738,0.061,0.045,0.045,0,5.813,1.237,4.379,0.003,0.05,0.165,2.352,0.137,0,1168.405,0.008,0.048,14.233,0.963,0.007,0.039,295.368,-13.043,1934.406
"TTL_A03",1.95,0.166,1.574,0.001,0.004,0,0,0.001,88.854,0.084,1.187,0.025,0.001,0.013,0.007,0.001,0.001,0,0,0,0,0,0,0,0,0,0.819,0,0.015,4.696,2.729,0.004,0.002,0.002,0.004,0.001,12.026,0.029,0.017,0.02,0.002,0.106,0.018,0.022,0.033,0.006,0.058,0.019,0.054,0,598.585,0,0.009,2.664,0.041,0.03,0.081,11.141,-2.039,725.064
"TTL_B05",0.292,0.007,0.008,89.725,0.383,1.365,3.06,9.169,0.287,0.064,0.066,4.109,5.415,10.297,0.004,0.027,84.537,16.595,33.526,0.006,0.004,0,0,0.001,0,0,0.037,64.575,0.043,3.393,0.109,0.145,0.021,0.059,0.157,0.021,0.072,0.05,0.086,0.05,0.045,0.023,0.066,0.06,0.539,0.079,0.041,0.038,0.066,0,86.398,0,0.015,5.536,0,0.001,0,8.516,-0.254,428.933
"TTL_B06",1.416,1.451,1.444,0.214,2.181,0.054,0.307,0.385,19.776,1.485,2.576,0.794,65.694,1.215,0.07,0.28,0.353,0.039,0.168,0.025,0.06,0.036,0.041,0.003,0,0.001,1.26,196.204,0.342,12.784,116.91,55.638,11.379,17.427,25.088,14.094,3.982,3.691,4.349,4.667,0.97,0.412,5.047,0.196,6.278,1.539,0.53,0.468,0.197,0,216.209,0.004,7.025,53.547,0.016,0.019,0.003,2393.688,-152.741,3101.287
"TTL_B07",0.394,0.001,0.03,0.535,4.357,2.5,2.384,1.048,0.742,0.039,0.13,0.026,0.044,0.215,0.034,0.049,0.32,0.345,2.961,0.147,0.146,0.006,0.004,0,0,0,0.03,0.003,0.018,16.932,0.051,0.131,0.014,0.094,0.099,0.033,0.201,0.015,0.009,0.01,0.003,0.002,0.108,2.494,0.038,0.494,0.004,0.011,0.005,0,0.893,0.002,0.012,0.799,0,0.004,0.001,0.492,-0.6,38.859
"TTL_B08",0.71,0.015,0.081,0.941,10.37,0.873,6.069,1.943,3.049,0.073,0.257,0.297,0.006,0.445,0.058,0.082,2.811,0.343,1.759,0.198,0.19,0.01,0.005,0,0,0,0.052,0.006,0.033,59.133,0.161,0.38,0.081,0.189,0.26,0.044,0.341,0.035,0.029,0.025,0.007,0.007,0.096,2.261,0.03,0.89,0.007,0.023,0.026,0,21.447,0.002,0.013,1.18,0.001,0.004,0.004,4.553,-30.392,91.513
"TTL_B09",0.161,0.069,0.01,0.015,0.149,0.008,0.049,0.027,0.617,0.024,0.113,0.031,0.021,0.029,0.003,0.008,0.025,0.004,0.019,0.005,0.004,0.002,0.002,0,0,0,0.014,0.688,0.012,1.218,5.181,2.06,0.332,0.435,1.336,1.098,0.146,0.169,0.156,0.01,0.035,0.027,0.154,0.03,0.092,0.082,0.009,0.009,0.013,0,0.832,0.001,1.852,42.614,0,0.002,0.001,245.294,-14.723,290.575
"TTL_C10T12",77.874,0.027,1.04,0.016,0.171,0.006,0.016,0.03,494.722,5.786,1.437,0.255,0.002,23.527,9.554,0.25,0.009,0.002,0.012,0.004,0,0.026,0.021,0,0,0,0.093,0.002,1.008,2.106,13.082,0.454,0.171,0.359,0.412,0.078,428.445,2.652,1.929,1.497,0.223,0.004,0.618,21.376,12.789,1.771,0.645,2.519,0.467,0,5254.799,0.013,1.182,4.802,0.937,1.744,3.258,544.259,-1045.638,5872.845
"TTL_C13T15",2.426,0.014,2.248,1.666,15.683,0.01,0.026,3.027,10.909,402.507,3.132,1.352,0.003,1.44,0.489,0.621,0.15,0.009,0.045,0.014,0.016,0.037,0.021,0.846,0.004,0.003,21.194,0.049,0.184,11.913,2.17,1.292,0.147,0.284,0.79,0.187,2.191,0.25,0.261,0.212,0.129,0.04,4.02,1.997,45.848,1.344,0.571,33.627,93.069,0,1376.82,0.903,0.622,66.083,0.533,0.602,3.658,152.508,-205.547,2064.65
