"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",42.684,0.419,0.233,0,0.003,0.241,0.004,0.003,284.849,0.455,0.006,0.001,0.002,0.028,0.002,0.018,0.006,0.014,0.074,0.002,0,0.007,0,0.013,0,0,0.008,0.008,0.002,0.165,0.251,0.088,0.005,0.003,0.01,0,8.14,0.003,0.004,0,0.002,0.004,0.009,0.014,0.051,0.004,0.038,0.008,0.016,0,4355.447,0.008,0.114,0.27,3.8,17.941,0.919,1356.22,-290.353,5782.265
"TTL_A02",0.9,4.061,0.013,0,0.001,0.088,0.001,0,1.745,0.013,0.404,0.003,0,0.005,0,0.016,0.001,0.002,0.024,0,0,0.001,0,0.002,0,0,0.02,0.017,0.001,0.068,0.039,0.01,0.001,0,0.001,0,0.134,0.001,0.001,0,0,0.005,0.001,0.001,0.012,0,0.002,0.001,0.002,0,385.018,0,0.002,0.068,1.005,0.231,0.003,438.426,-2.054,830.298
"TTL_A03",0.04,0.019,0.386,0,0.003,0.08,0.002,0.001,8.125,0.005,0.001,0,0.003,0.002,0,0.001,0.001,0.004,0.036,0,0,0.001,0,0.001,0.001,0,0.001,0.001,0,0.019,0.052,0.062,0.089,0,0.02,0,0.481,0,0.001,0,0,0.001,0.002,0.001,0.007,0,0.002,0,0.001,0,510.047,0,0,0.022,0.007,1.009,0.044,0.425,-12.313,508.692
"TTL_B05",2.28,0.086,0.033,0.322,0.132,34.819,0.445,0.344,13.043,0.193,0.013,0.014,2.394,0.585,0.002,0.061,0.456,12.086,41.472,0.007,0,0.036,0,0.029,0.002,0,0.013,22.174,0.02,2.027,0.149,0.436,0.002,0.002,0.018,0,0.327,0.001,0.008,0,0.002,0.014,0.01,0.01,0.245,0.017,0.034,0.002,0.032,0,15.664,0,0,0.095,0.009,0.038,0,2.185,-122.615,29.773
"TTL_B06",0.331,0.024,0.055,0.005,0.161,2.78,0.048,0.064,1.903,0.02,0.004,0.002,4.693,0.184,0.001,0.015,0.025,0.184,2.361,0.005,0,0.012,0,0.02,0.001,0,0.01,1.444,0.007,0.149,0.145,0.563,0.028,0.02,0.033,0.001,0.089,0.003,0.007,0,0.004,0.004,0.011,0.006,0.053,0.002,0.017,0.002,0.005,0,10.736,0.002,0.005,0.178,0.012,0.622,0,365.158,-14.92,377.291
"TTL_B07",0.929,0.013,0.031,0.024,0.099,328.92,0.696,0.372,4.07,0.023,0.003,0.002,0.356,0.483,0.002,0.034,0.312,23.414,657.962,0.112,0,0.089,0,0.069,0.002,0,0.038,0.362,0.012,2.119,0.055,0.134,0.001,0.001,0.007,0,0.143,0.001,0.002,0,0.001,0.006,0.012,0.01,0.028,0.001,0.007,0.002,0.01,0,15.047,0.001,0.002,0.053,0.005,0.123,0,18300.011,-87.742,19248.469
"TTL_B08",23.291,0.596,1.234,0.085,0.476,144.933,11.768,1.737,60.35,0.113,0.016,0.028,1.629,4.18,0.008,0.189,7.777,11.752,94.35,0.093,0.001,0.245,0.001,0.115,0.004,0,0.247,2.037,0.199,57.847,0.473,0.892,0.059,0.003,0.055,0,1.521,0.002,0.01,0,0.002,0.148,0.048,0.296,0.926,0.008,0.033,0.016,0.048,0,831.896,0,0.001,0.24,0.597,0.121,0.003,164.67,-1241.159,186.211
"TTL_B09",1.301,0.029,2.569,0.349,18.255,253.956,4.977,23.581,2.727,0.015,0.006,0.008,3.011,0.033,0.001,0.045,0.191,0.598,10.295,0.005,0,0.011,0,0.01,0,0,0.005,1.766,0.022,2.269,0.04,0.899,0.031,0.017,0.054,0.003,0.195,0.023,0.003,0,0.004,0.019,0.052,0.005,0.065,0.002,0.013,0.001,0.003,0,2.739,0,1.721,18.825,0.01,0.07,0,10.322,-14.602,346.548
"TTL_C10T12",54.264,0.109,2.273,0.002,0.016,1.47,0.027,0.017,341.077,0.625,0.011,0.008,0.017,0.224,0.015,0.065,0.019,0.071,0.687,0.028,0,0.052,0,0.081,0.003,0,0.04,0.022,0.014,0.495,1.154,0.346,0.07,0.012,0.043,0.001,141.676,0.048,0.044,0.002,0.036,0.018,0.046,0.04,0.509,0.046,0.386,0.169,0.093,0,16356.106,0.008,0.092,0.479,0.582,58.026,2.911,157.19,-1295.898,15825.969
"TTL_C13T15",3.69,0.299,3.059,0.005,0.036,3.873,0.038,0.041,10.959,132.381,0.051,0.093,0.015,0.317,0.011,0.722,0.061,0.094,0.954,0.038,0.001,0.132,0.001,0.979,0.017,0.001,1.007,0.026,0.024,1.065,2.29,0.571,0.018,0.01,0.07,0.005,6.876,0.101,0.064,0.003,0.051,0.028,0.163,0.191,1.144,0.041,0.847,0.2,0.638,0,1558.085,0.001,0.002,0.443,0.167,20.043,2.384,26.15,-638.864,1141.709
