"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4888.306,20.105,32.034,1.78,5.636,0.268,0.487,0.073,15373.511,161.53,13.819,6.162,1.256,59.27,20.7,27.972,1.344,0.335,0.058,0.577,0.604,0.468,1.627,0.642,0.022,0.13,14.102,14.869,4.827,67.002,459.222,7.799,0.111,0.443,3.09,0.273,1702.206,1.733,1.682,0.751,3.196,7.392,7.378,40.639,93.998,53.592,114.37,46.608,31.849,0,15552.699,5.625,34.011,2482.669,135.801,43.564,52.405,5024.496,-3511.854,43115.266
"TTL_A02",78.137,100.707,0.945,7.631,3.623,0.265,0.191,0.004,125.669,3.631,251.799,54.391,0.337,4.173,0.451,17.333,1.575,0.334,0.042,0.158,0.109,0.097,0.239,0.089,0.006,0.026,23.941,27.671,0.211,21.639,37.711,0.506,0.006,0.074,0.156,0.021,20.201,0.183,0.391,0.177,0.176,1.143,0.349,1.153,11.655,2.743,2.464,4.629,1.342,0,148.931,0.049,0.655,21.37,0.749,0.563,0.184,75.909,-46.547,1012.371
"TTL_A03",3.47,0.058,30.775,0.368,1.12,0.091,0.057,0.011,281.536,1.531,0.144,0.974,1.517,2.023,0.412,1.146,0.77,0.6,0.044,0.423,0.644,0.41,0.644,0.371,0.049,0.128,0.611,0.995,0.254,3.84,12.899,1.367,0.049,0.393,0.34,0.032,61.546,0.16,0.513,0.181,0.268,0.403,0.469,0.418,3.762,0.811,2.929,0.761,0.8,0,1273.31,0.006,0.289,8.261,1.289,2.445,3.753,61.514,-9.909,1764.072
"TTL_B05",13.475,0.231,0.213,663.394,115.494,18.455,7.614,2.291,41.324,7.623,0.966,25.164,808.879,73.834,0.811,7.114,186.95,586.515,17.336,1.262,0.553,1.705,2.289,1.147,0.061,0.654,1.376,3908.49,2.573,87.757,35.91,13.491,0.142,3.628,6.98,0.32,5.288,0.163,1.122,0.305,0.668,4.729,1.627,1.219,30.823,15.037,4.84,1.002,2.565,0,0.272,0.001,0.262,3.122,0.031,0.094,0.063,4490.807,-5.744,11204.315
"TTL_B06",47.432,1.749,8.432,49.889,768.121,8.954,5.154,1.618,106.276,12.139,4.566,23.644,8553.641,95.343,4.297,12.255,40.649,30.757,2.962,9.968,4.521,6.442,8.84,9.236,0.116,1.589,13.799,1398.805,17.934,312.426,635.645,285.879,5.039,138.868,178.057,8.732,28.335,3.044,17.809,5.078,17.804,60.192,28.108,19.592,119.509,21.577,23.495,14.52,13.115,0,428.007,5.158,5.439,1607.221,0.791,1.513,1.158,11728.203,-695.089,26268.354
"TTL_B07",1.319,0.008,0.021,4.057,8.72,16.78,1.534,0.219,1.276,0.366,0.065,0.395,9.783,7.093,0.208,1.409,11.029,98.979,23.995,5.481,0.39,1.062,2.204,0.963,0.021,0.217,1.099,5.065,0.586,22.991,1.33,0.274,0.001,0.02,0.131,0.009,0.269,0.033,0.131,0.036,0.135,1.334,0.474,0.252,1.296,0.328,0.491,0.15,0.322,0,2.333,0.11,0.112,29.999,0.059,0.299,0.008,2609.164,-21.099,2855.335
"TTL_B08",13.018,0.106,0.618,11.332,29.152,5.512,25.316,0.819,13.097,1.474,0.176,4.705,36.612,44.74,0.741,4.747,304.871,37.816,2.865,1.886,0.428,1.044,1.034,0.426,0.011,0.073,3.15,22.751,3.335,459.174,4.415,1.022,0.028,0.047,0.343,0.014,1.356,0.059,0.095,0.045,0.062,5.011,0.58,4.357,7.844,0.567,1.206,0.395,0.737,0,7.018,0.001,2.312,1.542,0.21,0.296,0.06,58.637,-169.469,959.817
"TTL_B09",2.017,0.02,0.129,2.503,15.803,1.058,4.723,0.255,2.565,0.209,0.022,0.771,7.579,7.169,0.078,0.355,55.66,6.769,0.482,0.367,0.087,0.188,0.228,0.08,0.002,0.018,0.539,4.45,0.593,84.072,1.248,0.319,0.002,0.057,0.076,0.007,0.32,0.02,0.067,0.025,0.044,0.926,0.169,0.794,1.546,0.108,0.187,0.097,0.11,0,1.581,0,24.44,47.857,0.08,0.171,0.01,6.774,-89.023,196.804
"TTL_C10T12",2288.959,1.159,100.674,4.72,22.813,1.257,1.279,0.187,7040.005,55.952,1.618,24.725,17.278,139.041,32.87,18.505,8.225,2.401,0.508,3.708,2.409,2.747,4.466,1.939,0.058,0.507,12.035,8.417,9.032,37.746,614.183,16.865,0.731,4.121,8.919,1.336,5474.393,14.03,15.112,9.813,29.043,25.124,22.763,28.723,231.088,186.493,261.035,166.945,58.76,0,29860.51,0.341,151.321,24.722,39.391,141.209,104.82,6692.78,-6019.952,48009.854
"TTL_C13T15",20.921,0.612,15.415,9.831,31.622,2.133,1.019,0.287,34.492,2349.661,2.813,65.636,5.839,34.911,4.673,60.598,24.116,3.527,0.374,7.727,4.173,5.591,10.66,31.34,0.365,2.729,127.432,5.053,7.792,91.675,226.324,9.688,0.057,1.523,4.533,2.321,77.936,3.539,4.609,2.425,7.685,9.347,26.352,38.979,156.968,31.798,119.751,63.553,118.625,0,7790.346,0.01,9.318,217.532,135.812,48.575,83.499,962.216,-4180.845,8935.493
"TTL_C16",14.064,1.221,0.668,6.061,8.237,1,0.509,0.076,25.986,5.583,131.925,40.158,0.688,9.981,0.832,6.375,16.653,1.201,0.318,5.522,1.602,3.213,3.885,5.65,0.353,0.688,149.446,7.871,1.685,638.92,53.938,4.255,0.012,0.223,4.361,0.104,12.07,1.627,1.246,0.555,1.707,23.265,12.054,7.091,7.152,6.856,9.856,5.887,24.476,0,74.769,0.001,8.753,28.484,12.366,5.434,6.05,42.197,-309.532,1135.628
"TTL_C17_18",35.978,0.366,4.119,4.931,41.933,2.98,1.035,0.256,590.907,75.288,12.263,1898.081,10.249,67.208,37.403,66.55,72.89,5.803,1.383,20.238,18.931,21.619,25.135,16.76,0.162,2.921,72.145,18.944,14.74,115.133,647.935,30.905,0.249,2.868,16.409,10.899,91.686,98.012,58.889,58.671,203.39,28.831,266.854,153.614,400.456,281.791,175.289,83.644,71.024,0,1030.21,0.005,2.958,13.795,12.362,18.454,16.828,780.633,-1198.332,6614.682
"TTL_C19",602.442,18.276,155.968,270.951,949.027,98.386,44.127,11.735,389.572,47.477,25.101,102.306,4790.669,1207.77,22.024,72.639,207.624,215.569,10.224,40.487,11.219,37.264,34.324,37.528,0.474,5.109,88.36,1385.57,155.119,921.839,1790.497,2990.651,44.243,1567.974,211.872,46.059,170.841,23.687,80.999,38.197,169.368,68.189,138.887,168.32,900.224,182.534,233.868,114.863,165.678,0,575.536,0.008,0.379,5.18,16.28,32.714,7.37,4261.787,-3199.286,22766.103
"TTL_C20",1673.891,2.824,10.077,129.826,412.338,55.522,24.631,4.192,508.55,465.221,66.577,509.179,677.466,3676.9,271.317,1901.143,328.008,74.522,13.18,102.358,90.254,107.192,82.475,97.286,2.496,11.167,272.767,50.063,138.658,689.919,318.633,40.141,0.376,8.48,24.024,1.375,115.022,25.873,6.802,15.598,17.219,92.487,95.672,147.757,141.164,111.124,526.968,57.642,222.93,0,2937.933,0.297,14.074,19.389,23.606,13.534,11.905,4085.945,-8336.642,13189.324
"TTL_C21",77.47,0.049,1.672,4.257,18.916,2.27,0.408,0.059,44.628,5.551,0.575,3.781,5.632,41.95,319.253,12.594,2.462,1.028,0.146,0.933,0.945,0.831,2.413,0.851,0.021,0.148,6.642,2.003,5.092,8.392,26.868,3.529,0.039,0.763,0.784,0.211,2.58,0.404,0.375,0.278,1.284,1.441,34.539,2.631,119.593,21.128,2072.758,11.943,7.693,0,2407.653,0.491,411.496,19.623,21.14,8.452,6.297,483.298,-3479.025,2759.237
"TTL_C22",109.563,1.327,7.868,46.088,169.538,9.813,4.433,0.917,661.654,166.996,14.933,137.189,31.912,156.113,49.575,661.245,71.781,12.176,2.965,61.244,72.178,107.039,119.04,183.91,0.916,19.465,162.624,15.442,44.859,1017.839,755.791,160.837,0.32,4.506,19.309,2.968,51.269,8.93,15.881,5.251,20.031,51.749,57.259,59.852,69.612,42.504,93.636,28.311,76.876,0,1242.183,0.001,6.929,172.479,80.713,1.609,7.69,936.848,-2490.021,5603.965
"TTL_C23",48.982,0.531,0.863,15.08,114.185,13.399,8.754,0.726,171.652,11.077,9.597,5.689,14.732,46.221,15.368,47.755,926.796,61.334,3.495,28.501,28.604,30.494,26.187,36.947,0.64,2.845,41.238,21.235,20.399,5016.498,116.133,11.079,0.212,0.419,5.567,0.443,45.124,0.687,2.632,0.617,6.552,167.165,29.414,15.658,38.561,37.727,29.878,12.779,26.752,0,208.906,0.001,2.141,73.98,32.756,1.152,0.098,591.989,-683.409,7544.836
"TTL_C24A",7.112,0.187,0.341,30.041,310.694,8.49,0.964,0.7,10.727,3.202,2.903,4.08,10.367,6.714,0.734,26.997,43.82,1097.689,9.509,662.027,29.315,85.234,371.769,157.211,3.97,40.098,79.753,19.168,48.744,1096.528,58.119,6.817,0.091,0.465,4.449,0.094,1.113,0.122,0.42,0.148,0.767,12.213,18.152,2.426,8.504,3.953,2.006,3.375,15.038,0,4.572,0,2.31,3.453,1.444,0.221,0,2789.459,-1537.765,5571.051
"TTL_C24B",3.823,0.067,0.043,1.598,27.848,1.501,0.247,0.051,18.501,2.638,1.216,4.71,3.545,28.436,1.826,12.828,10.059,90.513,103.035,161.752,41.228,117.285,79.741,44.819,0.562,10.385,62.271,5.238,23.437,140.791,28.886,1.718,0.023,0.068,0.701,0.011,1.908,0.144,0.321,0.135,0.516,3.265,2.263,0.744,3.036,0.425,2.178,1.237,8.901,0,46.39,0,0.028,17.117,7.531,0.32,0,422.062,-1111.73,438.193
"TTL_C25",28.914,0.815,1.478,46.171,204.685,9.414,2.543,1.589,119.018,12.768,10.188,11.384,15.165,29.982,4.124,28.081,28.782,59.452,4.149,260.928,28.294,54.406,213.863,93.031,2.769,19.747,88.598,18.173,13.783,1019.929,128.685,12.171,0.12,0.865,5.841,0.332,17.578,1.246,8.69,2.468,4.895,33.285,28.795,19.211,104.406,14.271,14.47,9.132,39.978,0,893.424,0.013,4.98,185.26,83.561,2.056,0.067,689.294,-1513.425,3223.893
