"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",493.344,0.539,1.302,0.002,0,0,0.099,0,1603.591,3.414,1.745,11.71,0.119,2.5,1.386,2.407,0.43,0.142,0.079,0.089,0.222,0.259,0.015,0.004,0.001,0.001,10.351,0.481,0.662,3.207,23.474,0.346,0.147,0.035,0.238,0.125,118.677,1.298,0.273,0.364,0.933,0.616,3.183,3.143,2.231,2.573,13.802,0.979,1.784,0,888.881,0.137,63.958,123.068,8.766,2.905,13.008,2258.472,-630.747,5040.77
"TTL_A02",5.734,1.878,0.038,0.005,0,0,0.03,0,7.28,0.056,14.621,1.955,0.008,0.153,0.021,0.962,0.083,0.014,0.009,0.013,0.012,0.024,0.001,0.001,0.001,0,16.105,0.611,0.041,3.237,1.55,0.024,0.007,0.003,0.024,0.004,1.141,0.014,0.022,0.011,0.018,0.159,0.116,0.081,0.19,0.1,0.278,0.087,0.128,0,12.955,0.001,0.157,0.998,0.138,0.068,0.136,5.834,-5.695,71.443
"TTL_A03",0.246,0.003,3.322,0,0,0,0.013,0,71.358,0.006,0.004,0.011,0.037,0.02,0.005,0.014,0.008,0.005,0.002,0.003,0.005,0.008,0,0,0.001,0,0.064,0.005,0.004,0.057,0.764,0.043,0.531,0.005,0.097,0.005,10.751,0.006,0.01,0.006,0.019,0.021,0.04,0.032,0.132,0.046,0.357,0.018,0.03,0,22.202,0.002,0.02,0.452,0.071,0.139,1.045,5.417,-12.115,105.35
"TTL_B05",0.125,0,0.001,0.048,0,0,0.099,0,0.375,0.013,0.005,0.081,2.041,0.219,0.004,0.041,0.489,1.076,0.142,0.003,0.004,0.012,0.001,0,0,0,0.061,9.297,0.012,0.469,0.085,0.02,0.001,0.001,0.006,0.001,0.053,0.001,0.005,0.001,0.005,0.035,0.012,0.006,0.046,0.047,0.055,0.002,0.027,0,3.347,0,0.009,0.175,0.007,0.006,0.012,0.107,-8.971,9.724
"TTL_B06",6.389,0.041,0.732,0.023,0.002,0.001,0.748,0.002,4.513,0.084,0.162,0.391,8.078,2.53,0.108,0.298,0.666,0.484,0.105,0.098,0.087,0.292,0.012,0.007,0.001,0.001,2.684,2.095,0.545,4.591,10.264,9.223,2.913,3.541,1.023,0.435,1.619,0.123,0.462,0.208,1.047,0.457,1.443,1.012,1.638,0.663,2.559,0.252,0.669,0,47.33,0.001,0.166,2.801,0.134,0.083,0.011,1.111,-125.022,1.938
"TTL_B07",0.181,0,0.002,0.015,0,0.008,1.083,0.001,0.866,0.018,0.017,0.039,1.272,1.042,0.031,0.191,1.679,11.083,13.802,0.943,0.592,1.779,0.047,0.015,0.002,0.004,5.897,0.652,0.163,4.268,0.401,0.035,0.008,0.004,0.016,0.002,0.086,0.006,0.012,0.006,0.024,0.072,0.101,0.037,0.029,0.014,0.074,0.01,0.055,0,0.474,0,0.003,1.158,0.177,0.028,0.008,0.281,-48.205,0.608
"TTL_B08",9.947,0.02,0.242,0.074,0.003,0.005,34.126,0.006,11.71,0.161,0.046,1.354,8.354,12.264,0.177,1.196,80.286,7.205,2.264,0.334,0.17,0.576,0.021,0.004,0.001,0.001,11.653,5.008,0.954,183.63,1.558,0.261,0.419,0.014,0.153,0.011,0.757,0.012,0.027,0.007,0.02,2.718,0.329,1.933,1.172,0.125,0.419,0.054,0.179,0,7.35,0,0.031,0.47,0.02,0.021,0.031,2.168,-21.206,370.846
"TTL_B09",0.063,0,0.014,0.008,0.003,0,0.353,0.002,0.108,0.003,0.003,0.017,0.406,0.027,0.004,0.022,0.104,0.019,0.009,0.018,0.011,0.016,0.002,0.001,0,0,0.142,0.119,0.008,0.479,0.101,0.03,0.012,0.011,0.011,0.004,0.025,0.006,0.015,0.006,0.015,0.021,0.04,0.016,0.02,0.01,0.038,0.005,0.008,0,0.299,0,0.439,8.239,0.01,0.016,0.007,0.114,-10.858,0.623
"TTL_C10T12",358.307,0.07,6.597,0.019,0.002,0.001,0.779,0.001,1091.174,2.274,0.522,3.709,2.504,10.207,2.989,5.417,1.937,1.227,0.386,0.902,1.593,1.486,0.117,0.038,0.009,0.008,22.953,1.273,1.672,15.207,42.761,2.629,1.357,0.802,0.976,0.373,453,1.574,1.892,1.028,3.505,3.371,7.006,3.695,6.147,9.333,42.547,3.87,4.171,0,5893.275,12.76,88.22,27.148,6.361,7.643,49.563,2882.472,-1855.42,9235.438
"TTL_C13T15",3.608,0.02,1.023,0.011,0.001,0,0.23,0,5.852,59.057,0.274,3.835,0.31,2.008,0.404,5.695,1.131,0.186,0.067,0.302,0.474,0.646,0.048,0.075,0.009,0.008,90.279,0.235,0.394,6.643,16.562,0.496,0.123,0.119,0.338,0.297,11.646,0.263,0.522,0.502,0.931,1.015,4.083,3.042,3.819,1.623,18.083,1.797,4.857,0,753.779,0.005,0.262,2.439,1.366,2.558,10.176,126.548,-778.027,372.048
"TTL_C16",2.199,0.041,0.047,0.007,0,0,0.109,0,4.456,0.14,12.578,2.306,0.065,0.538,0.076,0.689,0.727,0.06,0.051,0.204,0.192,0.379,0.019,0.014,0.009,0.002,101.946,0.342,0.103,41.26,3.819,0.223,0.029,0.023,0.293,0.018,1.634,0.106,0.104,0.05,0.159,1.824,1.445,0.565,0.212,0.369,1.66,0.178,1.009,0,33.567,0.001,0.138,13.78,2.389,0.296,1.196,56.314,-101.794,188.165
"TTL_C17_18",10.962,0.025,0.551,0.008,0.001,0.001,0.391,0.001,199.593,2.986,2.401,216.767,0.674,6.834,6.291,9.653,6.822,0.409,0.402,1.265,3.523,4.279,0.185,0.061,0.006,0.012,96.994,1.207,1.26,13.517,80.432,2.32,0.778,0.306,2.144,2.342,25.094,31.973,6.174,7.81,22.156,4.64,44.929,24.003,15.337,23.605,50.583,3.873,9.735,0,434.604,0.003,0.339,1.81,1.241,0.971,6.124,235.206,-728.313,897.3
"TTL_C19",124.506,0.708,12.675,0.359,0.02,0.018,11.31,0.018,81.074,2.229,3.127,7.86,171.225,67.13,2.968,14.65,11.629,8.406,1.855,1.787,1.851,5.504,0.191,0.12,0.017,0.018,55.381,44.441,9.769,77.951,176.167,159.743,63.71,77.401,17.517,7.449,28.251,2.002,7.309,3.333,17.683,8.057,24.744,17.657,28.227,11.511,47.303,4.255,12.238,0,674.235,0.006,0.659,2.655,1.75,1.905,0.389,219.453,-1676.148,658.263
"TTL_C20",252.326,0.107,0.974,0.152,0.008,0.008,5.201,0.005,102.276,15.78,6.213,27.366,28.783,191.466,21.144,174.457,14.589,2.85,2.451,3.888,10.597,13.628,0.417,0.292,0.064,0.039,194.358,2.697,7.915,59.015,40.985,5.437,1.5,1.513,2.129,0.414,19.876,3.094,1.047,1.295,2.433,8.906,17.701,12.035,4.482,6.159,76.74,1.918,14.62,0,826.197,0.072,11.536,21.879,2.136,0.723,2.906,530.848,-1727.536,1030.115
"TTL_C21",9.182,0.004,0.09,0.005,0,0,0.135,0,6.386,0.275,0.107,0.511,0.559,3.011,12.446,2.442,0.266,0.092,0.048,0.095,0.307,0.272,0.016,0.006,0.001,0.001,5.114,0.154,0.26,1.657,2.62,0.391,0.146,0.145,0.125,0.05,1.108,0.167,0.293,0.284,0.545,0.353,4.655,0.504,1.729,0.783,145.954,0.277,0.694,0,484.558,0.034,263.745,5.119,1.065,0.455,0.666,196.378,-855.816,300.47
"TTL_C22",44.549,0.111,1.342,0.132,0.008,0.004,2.471,0.003,273.725,7.082,3.514,16.549,3.221,20.044,10.071,158.181,7.029,1.103,1.1,4.871,18.043,28.817,1.147,1.094,0.053,0.132,257.701,1.822,6.128,161.03,181.468,18.19,1.437,1.052,3.406,0.983,15.642,1.805,2.895,0.928,4.392,10.796,15.526,11.921,4.286,4.972,32.213,1.963,6.934,0,398.255,0.011,1.048,42.803,7.9,0.097,0.517,569.287,-1202.999,1168.801
"TTL_C23",11.546,0.028,0.097,0.024,0.003,0.003,1.926,0.001,43.237,0.452,1.347,0.559,0.775,3.381,1.874,6.665,62.624,2.837,0.703,1.412,4.382,4.896,0.137,0.13,0.023,0.011,39.083,1.097,1.806,488.801,17.287,1.109,0.576,0.121,0.702,0.166,9.049,0.191,0.525,0.163,1.114,21.824,5.278,1.918,1.712,3.01,7.362,0.635,2.322,0,60.883,0.004,0.335,24.354,1.398,0.069,1.488,121.42,-250.488,714.387
"TTL_C24A",3.737,0.02,0.094,0.109,0.017,0.004,0.664,0.003,5.932,0.284,0.891,0.664,1.54,1.166,0.193,8.016,6.249,123.173,4.454,69.649,9.91,30.205,4.76,1.211,0.319,0.35,139.945,2.407,7.397,237.797,15.421,1.227,0.548,0.186,0.999,0.054,0.498,0.036,0.12,0.042,0.283,3.54,4.299,0.604,0.779,0.673,1.09,0.334,1.268,0,2.931,0,0.009,1.183,0.639,0.027,0.002,270.732,-600.753,367.93
"TTL_C24B",1.071,0.005,0.008,0.004,0.001,0.001,0.118,0,7.138,0.17,0.267,0.527,0.314,3.2,0.321,2.574,1.04,7.124,35.756,12.522,10.16,30.321,0.753,0.254,0.033,0.067,90.675,0.46,2.517,22.754,5.286,0.198,0.094,0.017,0.116,0.005,0.553,0.052,0.053,0.022,0.149,0.709,0.712,0.119,0.199,0.054,0.722,0.088,0.549,0,6.543,0,0.013,19.122,3.122,0.021,0.014,134.264,-256.188,146.761
"TTL_C25",17.015,0.095,0.352,0.187,0.013,0.005,2.059,0.007,74.937,1.091,3.566,2.159,2.173,5.676,1.34,9.96,11.039,7.261,2.129,31.958,10.89,21.463,3.061,0.813,0.248,0.191,177.295,2.434,2.664,295.581,39.438,2.035,0.703,0.152,1.485,0.164,8.315,0.371,2.016,0.535,0.914,12.595,8.999,5.201,9.573,2.704,7.5,0.979,4.606,0,90.912,0.002,0.321,113.764,19.004,0.118,0.419,153.142,-721.832,451.797
"TTL_C26",4.315,0.022,0.142,0.044,0.006,0.001,0.945,0.007,9.154,0.392,0.219,0.996,1.875,1.972,0.819,1.888,0.967,0.464,0.315,0.886,82.61,13.184,0.424,0.116,0.038,0.028,28.498,3.258,2.284,52.951,33.417,1.982,0.698,0.593,1.718,0.537,3.9,1.864,25.565,8.927,8.835,11.795,32.741,5.709,13.041,5.268,29.97,1.735,5.909,0,521.366,0.044,6.023,560.528,88.982,0.602,0.98,524.782,-1236.681,869.648
"TTL_C27",3.823,0.012,0.125,0.014,0.001,0.001,0.351,0.001,8.547,0.345,0.168,0.904,0.671,1.192,0.273,1.648,0.704,0.554,0.424,0.84,4.352,15.564,0.282,0.208,0.013,0.017,15.39,2.248,0.489,23.765,13.883,1.245,0.346,0.287,0.349,0.1,2.64,0.37,2.794,0.565,0.936,1.385,3.452,1.337,1.394,0.919,5.117,0.48,1.277,0,161.697,0.032,1.497,158.483,23.786,0.298,1.098,430.535,-356.725,542.5
"TTL_C28",8.098,0.109,0.484,0.203,0.014,0.006,2.534,0.007,16.163,0.508,0.653,1.969,2.605,1.97,0.503,3.36,3.421,1.352,0.504,2.264,3.785,9.186,3.135,0.309,0.101,0.062,46.697,4.18,2.314,46.749,29.81,1.98,0.34,0.302,1.002,0.25,1.524,0.399,1.881,0.855,2.587,1.051,6.2,3.018,2.991,1.528,7.591,0.757,1.745,0,22.812,0.019,0.543,544.765,90.094,0.152,0.017,34.621,-879.502,42.579
"TTL_C29",2.545,0.063,0.128,0.011,0.001,0.001,0.437,0.001,4.656,0.174,0.155,0.312,0.358,0.514,0.152,1.4,0.678,0.316,0.207,0.633,0.995,1.816,0.213,3.163,0.009,0.03,9.317,0.644,0.718,8.803,202.089,10.466,0.821,0.781,1.179,0.245,0.81,0.142,0.681,0.352,0.768,0.681,2.539,1.989,1.253,0.732,2.316,0.345,0.639,0,618.987,0.01,0.217,557.995,93.423,0.486,0.041,4.224,-1506.749,35.915
"TTL_C301",0.038,0,0.05,0,0,0,0.006,0,0.104,0.002,0.003,0.006,0.006,0.009,0.003,0.023,0.007,0.006,0.002,0.023,0.019,0.025,0.004,0.003,0.118,0.009,0.465,0.008,0.006,0.224,0.195,0.064,1.277,0.177,0.057,0.002,0.017,0.002,0.009,0.003,0.009,0.014,0.026,0.018,0.379,0.009,0.029,0.007,0.028,0,9.719,0,0.003,30.846,5.1,0.002,0.003,3.301,-48.722,3.742
"TTL_C302T309",0.11,0.001,0.032,0.001,0,0,0.011,0,0.24,0.008,0.006,0.025,0.031,0.042,0.008,0.059,0.018,0.016,0.006,0.036,0.079,0.087,0.01,0.014,0.007,0.079,0.925,0.024,0.014,0.38,1.103,0.487,0.124,0.555,0.055,0.006,0.04,0.007,0.036,0.031,0.038,0.025,0.092,0.057,0.412,0.025,0.201,0.011,0.074,0,25.537,0.003,0.017,49.408,8.138,0.016,0.001,3.477,-88.272,3.971
"TTL_C31T33",61.509,0.279,3.226,0.194,0.021,0.008,6.965,0.01,67.616,4.214,2.278,6.942,7.841,7.796,2.831,7.105,6.84,4.287,1.489,2.738,7.318,6.367,0.487,0.168,0.048,0.058,507.526,16.873,9.503,63.021,70.628,18.203,7.342,13.906,7.138,1.823,29.518,2.093,13.457,4.592,19.983,10.889,36.311,15.964,19.03,26.091,219.668,11.165,13.655,0,933.16,0.107,18.072,225.637,42.451,2.226,27.609,4150.469,-764.837,5981.907
"TTL_D",54.445,0.113,1.503,0.305,0.029,0.012,8.038,0.004,112.249,4.363,2.453,15.151,18.932,18.813,2.801,14.832,13.785,8.68,3.665,3.229,5.324,5.218,0.287,0.138,0.026,0.034,42.386,98.676,17.07,17.931,112.867,14.26,0.609,0.462,5.567,1.977,83.343,2.743,21.387,3.959,17.662,29.843,20.324,8.45,22.052,28.604,83.377,9.01,14.776,0,580.875,0.011,1.102,3.75,0.092,0.148,2.328,22.476,-90.252,1472.295
"TTL_E",12.689,0.015,0.329,0.034,0.003,0.002,0.871,0.002,24.034,0.54,0.454,6.591,2.289,2.345,0.661,1.907,1.66,7.12,3.32,0.617,0.816,0.852,0.06,0.019,0.005,0.009,7.836,3.546,38.858,8.375,26.322,1.424,0.377,0.158,1.2,0.446,19.625,0.506,1.49,0.714,5.353,8.77,9.758,3.195,16.253,9.462,36.125,1.903,3.411,0,408.067,0.019,0.712,5.198,0.033,0.061,0.914,65.193,-6.065,746.486
"TTL_F",28.889,0.299,0.874,0.097,0.005,0.003,1.69,0.005,14.826,0.514,0.538,1.138,2.499,1.681,0.542,2.057,5.091,0.979,0.475,1.136,1.164,1.584,0.097,0.07,0.014,0.01,22.956,13.683,12.034,627.234,64.07,7.8,0.83,0.384,7.948,1.148,21.56,1.107,14.127,1.409,13.562,178.659,26.684,8.375,46.725,18.656,44.739,3.352,5.237,0,87.553,0.016,0.418,5095.088,0.213,1.545,0.677,55.994,-14.796,6435.27
"TTL_G",609.288,2.932,17.678,1.239,0.094,0.085,38.669,0.056,1136.011,47.42,20.227,107.468,106.817,140.371,31.08,157.245,70.218,46.624,13.1,41.121,65.837,62.646,5.86,10.76,0.384,0.444,772.758,65.393,55.361,724.859,2233.141,563.924,45.835,45.141,54.53,37.209,303.152,34.961,66.548,38.718,141.172,83.308,211.536,239.318,142.191,102.893,546.574,37.133,77.964,0,7570.56,4.739,252.953,2906.66,63.92,15.701,136.514,2956.878,-3748.942,19516.278
"TTL_H49",55.388,0.575,1.522,0.401,0.029,0.011,11.432,0.014,148.161,3.718,4.064,13.149,15.244,15.129,4.064,14.869,14.158,8.463,2.887,5.728,8.11,8.609,0.671,0.287,0.042,0.049,88.224,8.244,6.399,86.365,248.746,61.977,8.077,6.241,24.759,15.269,29.188,6.684,12.19,4.678,20.219,8.993,34.833,17.663,17.42,16.815,64.987,5.031,10.06,0,1314.7,0.158,18.066,55.362,6.159,17.331,303.503,505.108,-508.153,2852.07
"TTL_H50",23.924,1.263,6.803,0.145,0.036,0.005,9.763,0.005,88.9,3.748,3.693,10.561,35.19,12.336,2.094,11.705,6.951,7.274,2.938,4.276,5.362,8.072,0.489,0.216,0.036,0.036,52.992,4.803,1.72,41.715,348.516,35.924,553.532,2.328,85.113,3.609,10.185,1.63,2.903,1.453,4.705,2.2,18.704,21.52,9.821,3.429,16.931,2.296,3.123,0,326.158,0.107,9.607,89.41,0.99,3.937,76.629,333.555,-1066.595,1248.771
"TTL_H51",5.658,0.034,0.186,0.011,0.003,0.001,0.378,0.001,12.275,0.648,0.305,1.902,1.556,2.043,0.546,2.491,0.853,0.787,0.328,0.705,1.16,1.331,0.105,0.047,0.007,0.008,12.487,0.602,0.44,9.776,17.331,1.984,0.7,5.95,2.972,1.74,3.356,0.567,1.244,0.815,6.208,1.402,6.426,7.565,3.182,1.696,7.948,0.681,1.349,0,193.495,0.034,2.605,3.544,0.56,11.439,162.109,61.033,-221.419,343.186
"TTL_H52",10.486,0.079,0.586,0.06,0.004,0.002,1.408,0.002,31.868,0.814,0.8,3.014,4.049,2.976,0.834,3.115,2.659,1.798,0.6,1.282,1.665,1.927,0.153,0.068,0.01,0.012,21.421,1.533,1.181,18.962,78.264,16.509,12.928,9.469,20.353,2.255,6.86,1.044,2.837,1.129,4.397,2.886,8.229,4.773,3.839,2.442,10.12,1.12,1.835,0,275.814,0.059,2.846,19.705,1.56,1.085,14.025,464.119,-194.344,889.527
"TTL_H53",3.172,0.013,0.108,0.013,0.001,0,0.205,0.001,3.854,0.241,0.159,0.59,0.27,0.387,0.279,0.454,0.271,0.099,0.046,0.143,0.314,0.35,0.032,0.009,0.002,0.002,4.213,1.096,0.73,3.043,54.8,1.801,0.457,0.492,2.589,40.121,6.807,2.656,8.579,1.593,31.211,4.089,13.678,4.176,9.592,3.853,12.851,1.435,4.596,0,268.614,0.003,0.08,0.747,0.18,0.422,3.903,46.824,-101.993,444.25
