"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",47.02,0.124,0.034,0,0.002,0.004,0.012,0,155.645,0.238,1.857,0.057,0,0.08,0.376,0.131,0.056,0.001,0.003,0.031,0.002,0.004,0.004,0.001,0,0,0.075,0.597,0.066,2.736,1.447,0.059,0.05,0.012,0.803,0.009,34.519,0.178,0.039,0.369,0.339,0.191,0.141,0.281,0.14,0.183,0.698,0.262,0.208,0,408.361,0.139,7.981,10.758,0.429,6.485,13.311,165.897,-204.536,657.914
"TTL_A02",0.597,0.213,0.002,0,0.001,0.003,0.005,0,0.594,0.007,4.531,0.102,0.001,0.067,0.037,0.098,0.047,0.001,0.002,0.015,0.001,0.002,0.001,0.001,0,0,0.088,0.493,0.017,0.556,0.084,0.006,0.009,0.001,0.055,0.001,0.376,0.062,0.008,0.065,0.054,0.013,0.023,0.019,0.017,0.015,0.042,0.029,0.017,0,4.138,0,18.623,0.073,-0.002,0.083,0.053,2.729,-1.765,32.309
"TTL_A03",0.048,0.001,0.146,0,0.002,0.002,0.006,0,10.744,0.001,0.007,0.003,0,0.002,0.005,0.002,0.014,0.001,0.001,0.009,0.001,0.001,0.002,0.001,0.001,0.001,0.017,0.021,0.004,0.09,0.151,0.02,0.342,0.01,0.484,0.002,5.234,0.037,0.005,0.032,0.048,0.003,0.022,0.014,0.059,0.01,0.041,0.014,0.007,0,2.542,0.001,0.012,0.126,0.087,0.365,0.9,33.173,-8.167,46.706
"TTL_B05",0.007,0,0,0,0.001,0.002,0.004,0,0.022,0,0.003,0.002,0.001,0.003,0.002,0.001,0.068,0.009,0.006,0.002,0,0,0,0,0,0,0.001,2.287,0.002,0.065,0.024,0.006,0.006,0.002,0.091,0.001,0.012,0.012,0.003,0.039,0.03,0.001,0.009,0.004,0.003,0.003,0.004,0.002,0.002,0,0.044,0,0.002,0.027,0,0.014,0,0,-2.833,0
"TTL_B06",0.078,0.001,0.002,0,0.102,0.037,0.119,0.003,0.376,0.006,0.028,0.042,0.533,0.2,0.027,0.036,0.726,0.024,0.061,0.101,0.002,0.006,0.009,0.002,0,0,0.026,29.762,0.057,0.678,0.355,0.089,0.104,0.023,1.057,0.013,0.162,0.138,0.027,0.18,0.257,0.025,0.117,0.058,0.053,0.031,0.054,0.027,0.016,0,27.415,0.001,2.114,1.527,0,0.225,0.012,1.072,-38.598,29.597
"TTL_B07",0.034,0,0,0,0.012,0.829,0.291,0.002,0.141,0.002,0.004,0.003,0.008,0.093,0.014,0.008,1.774,0.672,3.479,0.47,0.003,0.014,0.009,0.002,0,0,0.024,1.354,0.021,2.907,0.042,0.008,0.003,0.001,0.058,0.001,0.072,0.043,0.011,0.127,0.146,0.009,0.065,0.021,0.007,0.006,0.016,0.009,0.01,0,0.104,0,0.012,0.077,0,0.044,0.015,23.836,-0.827,36.083
"TTL_B08",0.885,0.003,0.007,0,0.026,0.172,2.875,0.005,1.066,0.011,0.021,0.07,0.018,0.451,0.058,0.063,30.163,0.159,0.237,0.207,0.004,0.019,0.01,0.002,0,0,0.086,3.836,0.216,59.394,0.211,0.052,0.154,0.011,0.773,0.006,0.252,0.049,0.009,0.051,0.062,0.154,0.05,0.214,0.085,0.016,0.033,0.021,0.027,0,8.657,0,0.017,0.169,0.003,0.044,0.071,18.506,-60.45,69.311
"TTL_B09",0.07,0,0.008,0,0.53,0.186,0.795,0.038,0.116,0.001,0.009,0.016,0.02,0.014,0.011,0.011,1.094,0.008,0.021,0.019,0.001,0.002,0.002,0.001,0,0,0.007,2.151,0.023,2.788,0.137,0.044,0.037,0.011,0.558,0.008,0.084,0.091,0.02,0.146,0.18,0.015,0.076,0.034,0.017,0.01,0.025,0.016,0.007,0,0.459,0.001,1.459,14.958,0,0.025,0.005,0.411,-25.867,0.908
"TTL_C10T12",25.126,0.003,0.137,0,0.007,0.011,0.033,0,100.879,0.042,0.063,0.086,0.002,0.228,0.683,0.106,0.214,0.003,0.011,0.109,0.01,0.016,0.013,0.004,0,0.001,0.359,0.317,0.134,1.806,2.57,0.103,0.217,0.025,1.378,0.025,123.323,1.233,0.147,1.152,1.98,0.144,0.552,0.34,0.36,0.851,2.83,1.158,0.346,0,1397.369,0.375,4.492,7.606,0.216,20.98,29.988,586.9,-862.748,1454.314
"TTL_C13T15",0.399,0.003,0.027,0,0.008,0.021,0.031,0.001,0.805,3.192,0.144,0.219,0.001,0.087,0.174,0.346,0.477,0.006,0.013,0.464,0.016,0.043,0.043,0.032,0,0.001,0.778,0.371,0.154,3.826,1.333,0.049,0.059,0.007,0.431,0.042,3.659,0.391,0.08,0.718,0.696,0.084,0.534,0.622,0.431,0.267,1.713,0.766,0.74,0,297.271,0.001,0.613,1.119,-0.268,7.241,1.535,3.198,-295.693,39.322
