"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1587.849,93.062,7.453,4.648,0.013,0.932,0.972,0.231,4984.188,489.832,7.134,4.819,0.847,51.975,120.356,79.025,70.097,9.652,3.443,61.567,10.614,39.417,36.042,37.064,0.072,7.126,25.275,76.906,23.235,85.441,700.135,39.205,0.139,0.451,35.667,8.402,610.537,4.648,2.05,2.185,1.539,21.866,81.046,56.92,10.668,25.87,39.479,54.177,25.392,0,3170.208,4.808,12.988,106.659,17.12,21.202,49.129,2228.844,-2520.414,12730.207
"TTL_A02",34.109,467.832,0.255,7.127,0.122,0.036,3.805,2.074,102.604,10.144,813.493,99.79,0.306,12.568,2.755,8.824,5.226,2.237,0.77,3.68,1.332,2.447,3.491,7.267,0.008,0.574,26.688,117.07,1.332,24.206,21.605,3.294,0.006,0.04,3.776,0.541,14.315,0.707,0.425,0.533,1.005,13.322,4.779,3.26,1.689,1.237,2.379,2.058,2.968,0,359.478,1.473,16.642,7.848,5.356,0.312,2.309,1018.744,-175.883,3076.394
"TTL_A03",1.024,0.106,1.82,0.006,0,0.001,0.006,0.001,2.852,0.147,0.041,0.048,0.003,0.127,0.046,0.105,0.07,0.064,0.014,0.144,0.098,0.113,0.121,0.296,0.002,0.041,0.091,0.112,0.064,0.26,0.553,0.121,0.006,0.01,0.292,0.018,9.989,0.04,0.034,0.142,0.077,0.242,0.168,0.102,0.063,0.047,0.357,0.124,0.071,0,42.275,0.133,0.096,0.781,0.296,1.162,0.377,62.642,-47.501,80.54
"TTL_B05",4.809,2.092,0.034,5.643,0.408,0.467,2.122,1.213,9.138,1.307,1.376,9.432,8.128,67.03,0.344,137.02,32.959,317.136,34.955,4.768,0.828,2.475,3.882,6.685,0.009,1.922,2.328,970.452,1.773,7.448,8.953,6.829,0.008,0.481,5.758,0.554,2.369,0.412,0.937,1.037,1.386,17.108,2.792,2.086,10.838,6.735,4.075,1.59,1.906,0,282.441,0.012,2.288,5.759,1.112,0.043,0.95,443.836,-967.173,1483.306
"TTL_B06",1.298,0.236,0.023,20.227,4.404,0.457,0.238,1.382,1.267,0.317,0.351,0.511,248.512,3333.142,0.155,81.696,25.161,6.848,2.139,1.274,1.024,0.983,1.564,8.023,0.002,0.253,1.391,7291.191,0.803,3.056,6.181,2.554,0.007,0.163,41.748,0.155,1.21,0.214,0.394,0.329,0.805,6.407,2.55,1.097,1.949,0.892,1.202,0.714,0.35,0,13.627,0.026,1.156,4.952,2.561,0.712,0.255,20.127,-11015.339,134.928
"TTL_B07",0.331,0.071,0.009,0.072,0.011,2.317,8.426,0.306,0.426,0.109,0.097,0.217,0.356,0.749,0.092,0.613,2.013,346.285,173.693,72.003,0.689,97.87,14.123,10.227,0.052,4.726,1.939,2.365,6.247,3.079,1.609,0.357,0.002,0.016,0.277,0.04,0.296,0.042,0.076,0.074,0.131,2.442,0.703,1.008,0.939,0.184,0.519,0.168,0.254,0,3.778,0.01,2.901,3.289,0.195,0.156,0.038,10.487,-545.514,233.988
"TTL_B08",4.753,4.164,0.21,0.978,0.011,1.965,47.544,2.208,4.6,0.541,1.107,1.256,0.095,27.397,0.553,3.561,317.79,112.085,33.204,4.274,2.274,2.394,7.152,12.26,0.012,1.323,1.66,3.342,8.717,258.67,8.461,4.392,0.039,0.085,5.065,0.65,1.382,0.295,0.43,0.298,0.985,28.38,3.715,10.397,3.641,0.542,1.197,0.904,0.449,0,49.482,0.193,2.814,15.733,1.22,0.14,1.567,223.608,-251.099,981.064
"TTL_B09",0.494,34.407,0.19,23.701,1.011,0.054,27.519,17.358,1.049,0.167,0.645,0.536,2.278,2.389,0.108,0.597,4.201,1.701,0.639,1.064,0.409,0.817,0.868,2.264,0.002,0.22,0.732,5.457,0.793,9.645,2.755,2.488,0.005,0.111,3.087,0.317,0.324,0.113,0.173,0.136,0.158,2.897,2.29,4.206,0.779,0.328,0.424,0.233,0.224,0,5.723,0.008,0.876,4.114,0.12,0.086,0.641,19.106,-14.882,178.151
"TTL_C10T12",1508.941,38.794,5.497,1.495,0.103,0.176,1.14,0.173,2579.507,17.933,10.888,17.134,1.055,130.074,13.528,63.045,21.471,18.673,4.059,45.002,28.421,25.184,34.705,77.406,0.065,6.931,21.926,19.002,17.459,48.014,455.942,18.488,0.635,2.464,17.031,1.42,1241.035,8.725,3.796,10.06,14.671,77.147,50.918,81.815,67.706,74.342,183.441,37.952,21.587,0,13491.482,8.257,20.956,92.236,46.23,66.155,116.651,6097.094,-7965.118,19100.92
"TTL_C13T15",28.073,34.619,0.603,3.096,0.008,0.406,0.418,0.106,17.686,337.258,4.845,124.509,0.419,18.859,48.602,196.158,38.936,5.856,1.59,26.904,17.247,38.048,55.708,791.487,0.121,13.845,119.269,14.524,19.83,80.3,174.141,37.299,0.127,0.248,5.871,3.947,28.825,26.498,1.527,4.097,2.642,84.912,28.918,91.131,29.848,8.965,135.923,29.133,30.999,0,3431.077,2.254,89.359,39.417,41.759,22.765,21.182,1877.76,-4619.037,3670.917
