"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1657.437,9.172,6.019,0,3.001,0,1.412,0.947,4731.757,21.28,5.34,2.101,3.372,15.993,13.062,7.112,3.207,0.701,0.264,4.936,2.324,1.896,14.248,0.629,0.49,0.243,11.116,11.018,8.778,73.592,142.397,17.94,131.354,5.039,9.862,2.842,325.615,9.841,7.631,12.782,12.476,14.707,68.555,48.783,30.459,19.042,60.017,26.332,11.431,0,3492.299,23.772,96.414,268.286,15.746,42.941,177.019,4195.195,-2287.569,13592.654
"TTL_A02",21.455,52.782,0.202,0,0.097,0,0.12,0.015,22.128,0.421,140.257,5.613,0.321,1.26,0.559,3.811,0.798,0.116,0.043,0.599,0.191,0.175,1.24,0.047,0.101,0.019,16.639,10.499,0.323,23.336,11.408,0.747,1.692,0.05,0.455,0.134,3.416,0.219,0.115,0.231,0.21,1.378,0.837,0.872,1.859,0.849,1.468,0.854,0.543,0,53.689,0.011,44.41,2.654,0.487,0.552,0.791,65.786,-76.932,421.957
"TTL_A03",2.169,0.106,29.853,0,0.069,0,0.058,0.016,468.768,0.077,0.161,0.093,0.374,0.324,0.479,0.125,0.267,0.079,0.02,0.395,0.178,0.14,0.972,0.028,0.031,0.014,0.53,0.335,0.185,2.783,4.861,0.649,18.782,0.085,0.497,0.095,61.011,0.245,0.122,0.199,0.264,0.466,0.691,0.621,2.185,0.725,3.151,0.346,0.304,0,143.147,0.003,0.193,3.564,1.117,2.478,2.508,504.112,-633.352,627.7
"TTL_B05",0.743,0.019,0.008,0,0.376,0,0.47,0.22,2.144,0.161,0.103,0.401,23.158,2.737,0.078,0.234,7.092,13.754,1.288,0.154,0.032,0.08,0.494,0.012,0.033,0.013,0.148,220.789,0.169,5.642,1.108,0.439,1.088,0.042,0.261,0.038,0.201,0.024,0.03,0.066,0.062,0.425,0.176,0.149,0.678,0.521,0.168,0.032,0.214,0,27.626,0,0.048,0.434,0.14,0.092,0,0,-314.617,0
"TTL_B06",9.791,0.457,1.406,0,19.918,0,4.58,2.348,26.621,0.942,1.603,3.457,2845.285,61.295,2.018,3.173,25.099,12.657,4.728,10.545,1.211,1.977,39.786,0.572,0.773,0.258,8.852,903.862,6.7,39.269,47.182,31.357,143.093,6.961,12.546,1.97,3.576,1.209,1.181,3.802,3.837,6.854,9.97,10.1,10.561,4.051,4.083,1.386,1.564,0,66.271,0.001,1.476,50.782,107.739,1.5,1.031,1074.425,-3037.376,2610.316
"TTL_B07",0.074,0.005,0.006,0,0.154,0,0.075,0.057,0.188,0.009,0.016,0.016,0.237,0.103,0.021,0.028,0.225,0.811,0.53,0.714,0.035,0.071,0.736,0.017,0.019,0.008,0.129,0.24,0.086,1.144,0.782,0.239,1.3,0.049,0.26,0.04,0.042,0.027,0.034,0.116,0.121,0.149,0.229,0.198,0.129,0.071,0.061,0.034,0.028,0,0.321,0,0.083,0.686,0.054,0.295,0,0,-11.105,0
"TTL_B08",11.528,0.175,0.431,0,4.909,0,31.052,2.538,14.165,0.358,0.232,1.228,22.511,27.464,0.861,1.114,222.522,16.628,3.751,3.992,0.441,0.884,4.293,0.079,0.09,0.034,4.55,26.503,4.57,552.466,4.25,1.242,14.477,0.123,0.749,0.117,1.154,0.222,0.161,0.357,0.291,8.291,1.455,4.863,3.445,0.483,0.711,0.261,0.281,0,74.496,0.002,0.615,11.106,0.694,0.288,0.811,215.463,-123.581,1182.203
"TTL_B09",2.258,0.037,2.578,0,158.01,0,42.155,57.657,2.648,0.042,0.185,1.166,129.84,0.576,0.198,0.814,17.566,2.868,1.418,0.42,0.086,0.128,1,0.018,0.014,0.01,0.326,78.411,0.679,72.589,3.53,3.266,16.586,0.57,2.393,0.604,0.46,0.479,0.092,0.195,0.409,2.022,3.433,0.642,1.04,0.387,0.26,0.099,0.154,0,1.678,0,18.752,323.722,0.04,0.168,0.126,186.116,-461.989,678.932
"TTL_C10T12",1216.468,0.78,28.855,0,0.614,0,0.761,0.183,3373.756,4.304,1.367,3.853,4.927,47.429,28.791,4.845,2.727,0.619,0.357,3.868,1.526,1.36,9.498,0.231,0.296,0.127,9.914,4.828,6.463,23.6,166.004,7.066,103.1,1.247,6.123,1.523,1373.306,8.43,3.181,8.021,9.78,18.753,20.29,20.874,41.471,54.444,142.058,29.977,13.65,0,13589.919,5.858,40.878,16.822,39.437,140.148,288.209,14744.678,-8506.047,27171.548
"TTL_C13T15",7.385,0.346,3.049,0,0.551,0,0.436,0.171,14.069,275.01,1.803,7.923,1.267,7.618,3.179,13.094,6.277,0.638,0.217,6.569,1.898,2.105,16.072,2.063,1.28,0.399,66.805,2.61,4.343,44.842,59.609,3.452,10.671,0.447,2.785,1.676,20.783,2.018,1.33,3.066,4.052,9.539,16.224,22.443,22.977,8.165,27.607,10.821,12.267,0,1575.577,0.002,9.139,86.434,39.892,47.975,3.065,1242.066,-1969.328,1766.77
