"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4365.014,0.295,6.969,0.008,0.343,0.006,0.099,0.045,11421.129,243.415,5.778,1.002,0.217,25.241,26.556,12.58,0.264,0.115,0.109,0.148,0.126,0.262,0.164,0.174,0.009,0.006,6.949,8.709,0.417,12.491,37.247,1.251,0.55,0.071,1.201,0.027,682.407,0.355,0.244,0.039,0.165,0.73,0.921,2.017,5.289,7.273,26.343,3.393,6.51,0,36132.16,0.004,0.643,2698.429,108.353,23.922,63.808,2279.059,-7008.589,51212.466
"TTL_A02",5.918,0.179,0.023,0.004,0.04,0.001,0.006,0.001,7.08,0.485,21.666,1.454,0.051,0.231,0.065,0.749,0.097,0.029,0.02,0.035,0.008,0.04,0.01,0.022,0.003,0.001,2.481,1.628,0.004,1.793,0.246,0.035,0.008,0.008,0.031,0.001,0.807,0.012,0.013,0.003,0.004,0.081,0.019,0.012,0.071,0.049,0.085,0.037,0.073,0,20.997,0,0.004,1.187,0.097,0.31,0.015,4.227,-62.591,9.966
"TTL_A03",1.87,0.001,15.84,0.001,0.055,0.001,0.006,0.002,428.307,0.168,0.021,0.024,0.129,0.106,0.08,0.026,0.033,0.03,0.019,0.024,0.007,0.032,0.008,0.009,0.001,0,0.041,0.061,0.006,0.123,1.009,0.076,0.518,0.009,0.18,0.002,53.65,0.022,0.018,0.006,0.017,0.028,0.02,0.047,0.375,0.17,0.809,0.057,0.131,0,4018.338,0,0.001,0.833,1.55,1.338,5.669,19.786,-20.76,4530.928
"TTL_B05",0.854,0,0.007,0.222,0.698,0.038,0.115,0.107,2.033,0.754,0.098,0.437,18.224,2.09,0.08,0.22,3.228,9.671,1.784,0.084,0.019,0.124,0.031,0.038,0.004,0.003,0.123,147.639,0.02,1.653,0.125,0.123,0.017,0.023,0.051,0.002,0.201,0.007,0.018,0.002,0.006,0.041,0.016,0.009,0.116,0.146,0.139,0.007,0.11,0,294.923,0,0.001,0.629,0.957,0.052,0.036,97.206,-248.195,337.161
"TTL_B06",33.341,0.004,0.376,1.144,240.267,0.834,5.021,3.867,144.212,15.662,3.195,19.863,14962.716,284.141,3.708,14.086,66.623,54.433,39.215,8.627,0.656,3.477,1.044,2.104,0.123,0.11,8.304,4034.244,2.105,18.962,18.47,8.71,1.474,1.722,9.096,0.256,10.03,0.512,0.709,0.198,0.899,2.957,2.525,1.041,5.775,4.001,5.408,0.55,1.409,0,18024.546,0.001,0.015,23.13,51.974,0.834,0.404,9166.897,-5262.63,42053.377
"TTL_B07",4.914,0.001,0.166,0.436,33.186,8.891,6.45,4.544,16.89,4.192,0.374,0.956,65.91,38.829,2.362,1.839,51.148,443.87,653.786,16.906,1.915,11.063,1.585,2.111,0.066,0.07,7.841,57.448,0.525,58.734,5.06,1.073,0.258,0.269,1.499,0.042,4.778,0.889,2.161,0.33,2.497,1.404,3.401,0.782,1.214,1.13,3.614,0.624,1.751,0,17.136,0.485,0.58,14.031,0.096,0.162,0.981,14.766,-777.127,800.894
"TTL_B08",91.455,0.017,1.924,0.961,126.887,2.14,64.776,14.992,91.66,10.095,0.547,11.095,165.309,181.855,3.504,6.453,881.811,105.698,44.248,5.957,0.746,7.218,1.041,0.812,0.043,0.029,19.515,161.408,3.113,1143.056,2.494,1.977,0.922,0.174,1.254,0.027,4.848,0.084,0.157,0.01,0.036,6.946,0.652,1.47,4.871,0.613,1.044,0.315,0.765,0,28.459,0.001,0.006,3.847,0.37,0.162,0.217,248.494,-375.829,3082.749
"TTL_B09",4.663,0.001,2.704,2.245,713.273,2.647,21.107,64.186,4.586,0.555,0.238,2.638,230.592,1.369,0.232,1.467,16.738,5.173,4.932,0.338,0.059,0.343,0.108,0.091,0.005,0.004,0.283,114.354,0.183,36.265,0.323,1.542,0.433,0.382,1.021,0.085,0.735,0.315,0.053,0.009,0.065,0.451,0.718,0.04,0.308,0.183,0.445,0.027,0.133,0,36.998,0.002,0.044,2.595,0.24,0.094,0.129,16.311,-53.091,1241.966
"TTL_C10T12",880.812,0.008,10.742,0.016,1.132,0.027,0.213,0.092,2212.626,25.233,0.83,3.212,4.579,25.978,17.534,2.942,2.365,1.865,0.965,1.63,0.531,1.663,0.498,0.65,0.037,0.026,3.99,4.18,0.427,8.398,24.455,1.876,1.945,0.641,1.931,0.084,803.112,1.999,2.042,0.399,1.499,1.648,1.717,1.208,5.358,11.764,30.353,6.029,5.494,0,33984.366,0.136,0.792,1086.577,59.729,77.113,286.289,2230.4,-5303.066,36539.09
"TTL_C13T15",27.035,0.01,3.991,0.038,1.891,0.058,0.234,0.147,46.854,3006.294,2.402,20.494,3.118,15.358,5.309,27.502,7.674,2.102,0.934,3.223,0.979,4.349,1.397,9.806,0.278,0.156,90.619,2.772,0.451,22.625,15.562,1.646,0.466,0.497,1.598,0.146,39.45,0.801,0.627,0.155,0.419,1.228,2.156,1.86,5.638,2.947,33.465,4.258,13.359,0,6258.425,0.018,0.03,488.36,181.42,26.409,190.137,2588.309,-1766.821,11400.665
