"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",5492.203,56.853,30.081,0.012,0,0.899,3.996,0.185,25970.594,196.997,41.919,36.533,38.05,214.064,96.344,83.328,32.587,28.494,12.505,49.731,5.281,20.099,27.214,61.413,3.375,20.186,34.558,57.78,26.146,168.072,519.016,45.086,3.163,10.158,35.642,2.546,1885.13,11.418,10.768,11.501,11.738,17.833,50.565,88.411,52.56,32.178,202.381,92.509,47.189,0,19840.078,15.003,87.97,4935.759,179.613,132.459,581.451,20017.516,-14994.251,66734.889
"TTL_A02",75.461,336.725,0.93,0.012,0,0.13,0.533,0.003,126.038,2.68,917.422,87.932,0.383,12.086,1.453,37.946,3.315,0.766,0.626,0.805,0.048,0.276,0.504,0.801,0.1,0.159,32.782,60.658,0.558,27.302,35.534,0.559,0.055,0.065,0.64,0.043,19.374,0.365,0.388,0.467,0.195,0.988,0.877,1.861,5.422,1.504,3.478,7.123,2.326,0,472.992,1.007,159.098,137.759,3.824,1.783,0.16,207.19,-205.39,2588.123
"TTL_A03",2.26,0.102,35.418,0,0,0.008,0.026,0.001,526.491,0.109,0.032,0.075,0.194,0.766,0.193,0.19,0.12,0.062,0.05,0.116,0.013,0.083,0.068,0.174,0.233,0.098,0.083,0.126,0.072,0.34,3.51,0.12,0.118,0.039,0.211,0.006,78.613,0.069,0.043,0.086,0.082,0.113,0.165,0.143,1.388,0.312,2.282,0.464,0.321,0,3031.259,0.007,0.098,1.158,2.91,7.431,27.549,787.1,-1262.178,3250.922
"TTL_B05",2.495,0.097,0.021,0.157,0,1.277,3.308,0.222,11.22,0.974,0.479,5.857,169.313,34.3,0.446,2.255,56.728,195.809,35.01,0.869,0.051,0.759,0.726,1.168,0.131,0.647,0.297,1276.155,0.958,18.922,2.541,1.441,0.015,0.059,0.875,0.029,1.228,0.041,0.137,0.13,0.08,0.71,0.424,0.325,2.115,1.243,0.92,0.186,1.234,0,55.696,0.001,0.097,1.406,0.259,0.302,0.027,5.445,-1850.32,47.299
"TTL_B06",11.755,0.649,1.8,0.193,0.019,7.303,35.316,2.314,137.792,5.691,7.748,66.914,32734.8,1126.391,7.121,39.88,272.428,261.548,192.87,73.794,1.051,8.516,13.87,34.428,1.511,8.533,17.435,8146.555,31.654,63.224,129.683,62.25,3.13,13.968,57.725,2.858,12.798,1.868,2.376,4.047,4.766,13.403,26.521,18.013,27.966,8.715,12.071,4.804,4.636,0,125.146,0.004,165.595,44.148,6.605,4.911,0.03,1.74,-44068.218,4.656
"TTL_B07",1.658,0.022,0.052,0.032,0,37.863,21.198,0.707,10.51,0.468,0.313,0.741,68.138,82.499,1.26,2.647,111.906,1134.055,1743.208,88.806,1.465,18.455,11.787,20.173,0.458,3.46,6.477,54.615,4.335,93.349,3.277,1.181,0.027,0.106,0.898,0.031,1.042,0.082,0.121,0.252,0.159,0.592,1.618,1.084,0.505,0.167,0.465,0.335,0.765,0,4.239,0.003,0.132,2.944,0.344,0.955,0.016,1807.189,-3258.713,2090.469
"TTL_B08",53.974,1.299,2.653,0.069,0.001,9.69,267.939,2.049,99.372,3.421,1.125,24.89,194.007,476.523,5.452,14.263,2353.213,329.356,140.489,33.489,0.895,11.219,8.293,9.767,0.431,1.913,15.065,193.727,32.825,2252.035,15.346,5.443,0.12,0.347,3.806,0.097,8.349,0.272,0.472,0.345,0.254,19.439,4.362,28.814,14.779,1.051,2.726,1.722,1.84,0,34.63,0.014,1.563,21.057,1.714,0.937,0.767,894.274,-903.883,6700.104
"TTL_B09",0.793,0.019,1.304,0.069,0.01,4.155,26.889,6.659,1.619,0.064,0.113,1.718,122.416,2.185,0.158,0.871,13.079,4.767,4.678,0.531,0.029,0.183,0.264,0.354,0.016,0.126,0.155,50.342,0.503,20.565,0.88,1.447,0.095,0.298,1.242,0.159,0.353,0.265,0.131,0.242,0.208,0.404,1.437,0.42,0.432,0.14,0.346,0.154,0.123,0,1.439,0.004,26.233,511.737,0.13,0.545,0.001,322.939,-585.66,550.781
"TTL_C10T12",8300.51,9.657,311.334,0.027,0.001,2.299,10.665,0.475,38361.877,165.637,15.956,107.407,69.754,1120.98,370.826,75.979,44.405,19.5,21.38,48.746,5.394,28.599,31.335,52.453,2.619,14.357,52.832,106.32,83.757,147.932,1623.522,74.206,20.13,19.046,152.249,10.584,19014.794,75.625,62.552,99.152,99.384,101.906,226.911,260.211,339.181,304.596,1135.449,578.189,194.677,0,88492.221,40.698,19.332,60.432,138.638,422.057,2257.267,35031.534,-31180.725,169256.828
"TTL_C13T15",58.918,4.792,36.063,0.033,0.001,2.929,6.068,0.401,197.069,4647.321,29.457,307.412,17.785,214.534,51.4,291.097,106.276,22.111,14.094,95.932,9.768,42.982,58.21,658.105,11.596,44.988,480.951,45.365,47.301,291.333,527.835,33.368,1.732,5.696,46.697,8.944,272.943,20.348,12.942,16.514,17.234,25.097,121.634,180.586,152.686,49.43,342.448,177.867,178.8,0,19623.925,0.257,11.22,173.005,103.008,150.32,276.199,11246.498,-20406.41,21165.114
"TTL_C16",90.994,17.707,3.821,0.05,0.001,2.906,8.046,0.288,294.742,27.868,2112.217,330.198,17.604,159.58,22.614,76.391,156.235,23.257,25.705,130.962,6.591,51.388,44.223,222.685,22.825,24.616,891.9,174.238,35.832,3456.762,298.206,38.597,0.894,3.003,104.455,2.457,105.444,17.936,16.071,18.408,20.52,126.823,124.483,97.11,35.608,29.283,85.448,54.271,78.549,0,916.649,6.815,6.824,150.573,36.792,16.206,89.898,2197.688,-2214.875,10896.381
"TTL_C17_18",116.542,3.039,10.753,0.027,0.001,4.148,8.74,0.447,2828.33,106.986,106.118,7393.968,49.827,495.692,379.264,272.353,348.257,45.62,52.049,235.721,33.014,155.349,125.527,259.929,5.508,45.888,239.721,235.882,107.669,304.383,1603.589,107.052,6.952,12.584,190.699,55.31,354.92,783.171,158.656,354.836,405.82,82.22,1068.201,793.207,498.484,406.553,603.043,310.838,279.902,0,5315.774,9.368,39.501,78.214,37.72,55.404,265.4,5310.166,-5744.71,27413.628
"TTL_C19",1274.996,98.891,273.737,0.682,0.016,74.206,193.122,12.141,1346.497,77.335,154.577,276.395,8008.492,4667.104,165.806,279.698,670.712,756.68,224.706,337.962,16.206,199.443,133.062,526.482,11.902,62.361,268.751,3441.105,677.305,1866.241,3184.721,6720.396,587.775,2915.271,1589.389,160.392,424.299,72.006,134,152.382,233.418,111.519,538.923,706.377,698.713,172.931,536.173,243.706,265.482,0,15796.398,0.123,47.737,64.207,117.904,94.339,690.103,20518.032,-15834.44,67038.885
"TTL_C20",2671.05,21.056,39.96,0.327,0.008,39.629,99.632,4.542,1638.16,588.949,302.946,997.769,1923.336,14504.412,1459.556,4873.979,856.549,304.623,248.279,668.342,86.759,449.274,263.556,1083.449,46.613,120.697,510.512,772.215,534.55,1377.461,1054.56,704.375,61.579,297.362,385.764,24.87,389.283,99.952,85.59,142.077,132.012,222.729,533.315,621.938,267.593,154.289,1027.671,218.7,341.595,0,11853.497,2.358,406.739,267.536,71.416,40.991,173.328,37973.131,-33092.814,60949.624
"TTL_C21",282.718,1.059,5.101,0.024,0.001,3.438,5.145,0.271,286.854,28.711,12.865,38.711,47.892,542.494,3159.398,151.289,33.292,16.404,11.868,35.484,5.332,21.851,25.721,53.654,2.496,10.705,39.745,36.527,50.211,87.064,161.002,25.848,1.966,7.387,41.65,3.163,44.983,11.512,17.705,29.493,27.245,27.49,230.277,80.757,158.118,42.554,5151.931,60.069,52.481,0,7100.746,1.382,10212.633,245.161,44.495,25.6,94.183,12585.449,-17481.239,24000.363
"TTL_C22",353.405,10.542,20.576,0.172,0.004,11.209,28.893,1.443,3274.89,347.932,130.882,595.857,117.397,1174.971,503.756,3387.098,296.46,73.508,99.197,681.96,118.787,770.103,591.641,3427.783,30.615,314.769,549.381,152.832,284.715,2745.377,2016.316,527.309,8.936,20.2,234.693,17.401,211.905,73.393,56.837,59.987,81.115,148.707,329.974,369.149,124.04,83.465,314.102,126.592,122.11,0,3760.939,1.543,24.984,488.057,113.865,4.58,44.092,10229.43,-11675.488,28014.388
"TTL_C23",165.544,4.851,5.616,0.062,0.003,13.219,36.065,1.035,860.41,30.155,72.321,44.095,139.25,415.267,143.227,256.247,3266.185,264.528,95.513,285.019,45.552,203.479,109.611,609.705,18.326,46.208,131.788,273.283,129.588,11226.05,412.759,120.426,11.319,35.994,108.6,6.401,179.429,13.891,32.658,35.029,45.959,350.336,197.6,145.363,86.368,66.217,134.685,75.909,69.143,0,1308.638,0.751,11.689,159.108,31.833,3.415,17.243,9588.554,-4159.185,27982.335
"TTL_C24A",22.725,1.538,0.923,0.119,0.008,10.018,6.41,1.116,53.84,7.135,26.395,15.959,35.736,50.404,7.704,149.295,216.996,6348.563,334.713,8133.92,55.246,686.912,2068.255,3265.385,146.468,709.644,333.597,104.883,338.716,3435.638,155.463,23.414,2.531,1.622,49.74,0.458,3.631,0.518,0.93,0.81,1.742,30.979,102.146,14.447,9.958,5.542,6.41,11.091,13.619,0,15.871,0.011,29.85,20.132,4.396,0.703,0,11619.879,-11521.529,27172.625
"TTL_C24B",8.352,0.704,0.125,0.007,0.001,2.237,1.913,0.094,123.235,6.827,13.773,21.607,12.895,254.101,22.196,78.338,63.277,680.868,4711.099,2615.867,102.241,1243.987,581.144,1220.412,27.027,242.685,317.011,36.965,217.11,574.007,99.71,7.814,0.85,0.402,10.123,0.08,8.617,1.095,0.886,0.933,1.656,10.473,18.074,3.66,4.778,0.964,9.417,5.741,10.733,0,200.31,0.038,0.73,87.43,14.977,1.041,0,11523.696,-8192.754,17011.58
"TTL_C25",266.757,16.941,14.245,0.397,0.012,25.047,44.898,5.597,1573.738,98.409,215.164,149.274,148.899,551.774,132.568,504.854,334.262,649.878,279.727,6138.365,114.149,920.552,2345.022,3976.929,196.187,690.251,839.872,361.925,245.161,6369.29,1019.84,184.659,12.706,49.777,238.816,10.176,199.033,38.28,89.158,85.121,77.182,230.165,454.508,373.274,326.572,84.502,219.687,138.034,131.29,0,1968.861,70.74,26.575,10509.198,2097.08,5.679,55.964,15276.857,-10779.059,50404.817
"TTL_C26",29.879,1.914,2.777,0.025,0.001,2.344,4.985,0.49,83.921,11.136,7.367,26.679,33.614,88.621,30.43,34.435,28.989,32.415,23.914,148.121,1096.442,703.519,382.063,644.422,36.83,111.88,222.537,167.43,62.08,419.193,494.879,46.384,4.777,23.471,103.085,11.276,60.513,71.445,577.096,472.302,87.793,37.376,394.65,205.097,127.859,73.706,362.847,102.647,123.039,0,4622.673,0.808,35.385,7902.138,1630.134,34.749,31.498,4150.028,-20004.479,6221.631
