"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",219.776,35.159,0.907,0.031,0.235,0,0.076,0.01,533.306,9.654,26.831,0.69,0.063,1.51,0.201,1.14,0.346,0.008,0.021,0.658,0.687,0.336,0.244,0.183,0.043,0.001,1.68,1.508,0.562,5.236,16.405,1.754,0.407,0.272,3.331,0.256,46.858,0.288,0.402,1.977,0.523,2.731,2.089,2.908,2.191,1.602,2.871,1.964,1.418,0,559.249,0.286,1.305,27.407,3.8,8.275,8.948,545.044,-393.535,1692.125
"TTL_A02",14.262,483.387,0.177,0.133,0.216,0,0.121,0.006,11.481,1.159,556.159,8.127,0.097,0.942,0.053,3.249,1.095,0.016,0.048,1.129,1.196,0.617,0.413,0.275,0.107,0.002,10.017,8.267,0.33,9.057,10.887,1.355,0.187,0.133,3.111,0.254,3.374,0.245,0.396,2.189,0.608,3.245,1.754,1.343,1.817,0.902,0.979,1.482,0.823,0,38.858,0.584,1.646,9.393,1.01,0.105,1.74,227.659,-78.472,1349.748
"TTL_A03",0.298,0.189,4.824,0.003,0.017,0,0.007,0.001,50.848,0.049,0.221,0.034,0.008,0.047,0.005,0.034,0.044,0.001,0.003,0.09,0.11,0.051,0.036,0.022,0.034,0,0.11,0.078,0.027,0.23,0.786,0.111,0.102,0.022,0.245,0.012,9.123,0.019,0.023,0.11,0.036,0.099,0.129,0.074,0.277,0.084,0.196,0.08,0.061,0,18.181,0.002,0.09,0.369,0.245,0.465,0.461,50.776,-41.599,98.004
"TTL_B05",0.123,0.043,0.001,0.322,0.087,0,0.067,0.008,0.28,0.084,0.327,0.132,0.572,0.322,0.002,0.047,1.36,0.166,0.163,0.046,0.027,0.035,0.019,0.011,0.006,0,0.067,35.996,0.029,0.608,0.138,0.081,0.005,0.004,0.11,0.005,0.041,0.004,0.008,0.074,0.01,0.09,0.036,0.023,0.103,0.079,0.027,0.012,0.05,0,13.589,0,0.016,0.22,0.105,0.018,0.007,1.477,-9.106,48.176
"TTL_B06",2.298,1.21,0.338,0.869,16.915,0,1.601,0.168,7.32,1.122,2.847,3.041,235.701,22.204,0.054,1.603,14.183,0.473,1.883,4.739,0.917,0.916,0.972,0.554,0.148,0.006,2.521,490.747,2.062,5.283,12.457,10.803,1.734,1.683,12.233,0.709,1.06,0.236,0.284,1.435,0.555,2.964,2.773,2.093,3.245,1.289,0.796,0.694,0.568,0,49.973,0,1.997,2.41,2.042,0.287,0.007,143.981,-655.97,425.032
"TTL_B07",0.025,0.008,0.001,0.003,0.019,0,0.045,0.001,0.034,0.007,0.046,0.008,0.012,0.057,0.001,0.014,0.425,0.04,0.268,0.71,0.105,0.159,0.105,0.057,0.014,0.001,0.095,0.09,0.044,0.665,0.045,0.016,0.003,0.002,0.031,0.002,0.006,0.002,0.003,0.033,0.006,0.026,0.024,0.016,0.011,0.004,0.004,0.005,0.005,0,0.05,0,0.005,0.058,0.012,0.057,0,0,-3.481,0
"TTL_B08",2.469,0.44,0.081,0.126,0.44,0,4.599,0.059,2.114,0.389,0.479,0.544,0.588,4.212,0.031,0.604,48.372,0.236,0.553,0.965,0.379,0.441,0.173,0.102,0.025,0.001,0.875,4.868,0.824,52.79,0.754,0.346,0.056,0.02,0.639,0.036,0.227,0.023,0.025,0.101,0.027,1.913,0.249,0.85,0.636,0.113,0.142,0.092,0.137,0,3.596,0,0.139,3.738,0.107,0.056,0.282,26.475,-37.782,130.775
"TTL_B09",0.094,0.026,0.042,0.127,3.859,0,0.499,0.198,0.078,0.025,0.088,0.047,0.301,0.068,0.002,0.046,0.413,0.004,0.018,0.071,0.05,0.029,0.023,0.013,0.003,0,0.048,1.151,0.028,0.755,0.166,0.136,0.031,0.024,0.242,0.019,0.027,0.015,0.017,0.076,0.024,0.076,0.117,0.057,0.047,0.02,0.025,0.023,0.017,0,0.279,0,1.002,17.234,0.02,0.032,0.007,5.573,-20.677,12.738
"TTL_C10T12",75.152,0.773,2.268,0.016,0.098,0,0.057,0.004,180.963,1.128,1.105,0.759,0.099,2.932,0.262,0.85,0.427,0.013,0.035,0.951,0.615,0.421,0.281,0.169,0.045,0.002,0.903,0.503,0.463,1.656,12.771,0.806,0.539,0.124,2.178,0.135,127.071,0.439,0.233,1.51,0.482,1.489,1.54,1.347,2.929,3.487,4.657,4.952,1.478,0,1919.346,0.738,4.762,1.253,6.621,26.775,14.558,1663.169,-1501.819,2576.519
"TTL_C13T15",1.353,0.778,0.424,0.044,0.231,0,0.073,0.009,2.365,89.15,3.511,1.979,0.064,0.96,0.068,2.076,1.069,0.017,0.044,2.642,1.661,1.108,0.828,1.605,0.208,0.006,8.912,0.636,0.71,5.386,8.202,1.14,0.174,0.146,2.017,0.38,2.621,0.227,0.205,0.902,0.215,0.983,2.421,2.883,3.206,1.153,2.847,2.836,2.475,0,471.225,0.007,0.181,2.23,5.505,9.253,0.857,575.079,-594.392,632.897
"TTL_C16",18.321,49.23,0.577,0.468,0.9,0,0.663,0.043,26.496,5.545,1491.442,29.553,0.135,6.418,0.224,5.715,17.979,0.064,0.477,18.429,7.981,8.22,3.689,6.063,4,0.029,246.684,12.155,2.991,476.703,47.117,6.327,0.404,0.236,36.226,0.509,11.364,1.607,1.035,5.181,1.624,40.454,24.56,11.411,4.066,4.657,4.692,5.379,12.61,0,50.941,0.097,1.125,26.516,6.675,1.03,2.906,2298.708,-850.197,4198.455
"TTL_C17_18",3.88,1.102,0.232,0.053,0.504,0,0.142,0.016,34.289,4.289,10.962,111.536,0.173,3.562,0.627,4.117,4.853,0.042,0.195,5.483,7.465,4.12,1.83,1.371,0.257,0.012,8.607,3.215,3.376,7.998,47.535,3.834,0.669,0.341,11.172,3.618,6.052,33.038,3.994,26.996,11.11,6.65,52.249,20.877,20.231,20.054,8.889,9.029,8.678,0,91.199,0.035,0.574,3.006,2.585,3.502,3.76,369.925,-355.159,638.749
"TTL_C19",60.573,31.305,9.381,1.44,7.544,0,4.08,0.413,30.998,7.699,23.112,8.288,42.112,54.094,0.658,10.054,18.541,0.681,1.223,11.083,5.695,7.731,2.694,3.299,0.528,0.018,15.322,137.747,18.727,51.965,102.994,264.405,66.01,67.772,116.923,10.783,12.012,1.931,3.276,14.785,6.746,11.252,19.996,24.229,30.021,9.924,11.261,9.529,9.631,0,396.869,0.003,7.682,12.354,3.668,6.189,0.014,199.178,-1542.698,443.744
"TTL_C20",161.81,6.061,0.769,0.764,3.225,0,2.386,0.165,40.929,60.649,59.464,36.73,6.368,191.103,5.655,124.743,27.659,0.273,1.487,25.926,33.361,21.097,6.215,8.178,2.276,0.038,37.65,8.151,14.623,44.8,25.12,6.7,1.911,1.642,18.025,0.62,8.935,3.7,0.677,7.859,1.415,13.757,18.488,16.74,5.986,6.432,26.264,5.002,17.218,0,310.277,0.02,12.169,8.702,3.482,2.568,1.301,612.896,-1359.901,710.556
