"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",538.628,22.923,2.742,0.322,0,0.604,0.847,0.136,2638.593,12.485,18.549,9.113,1.445,19.482,2.689,4.19,1.103,1.193,0.892,1.809,1.632,1.111,3.919,0.691,0.61,0.096,4.151,3.957,2.299,35.103,57.206,6.561,2.22,1.984,4.025,0.444,301.943,2.427,1.043,2.442,1.833,3.552,7.731,15.774,15.839,8.624,63.251,8.315,6.919,0,2909.207,0.064,2.098,27.104,3.202,25.746,22.884,652.919,-1278.573,6208.1
"TTL_A02",82.991,1666.545,0.674,3.637,0,0.831,1.382,0.01,116.039,2.496,2972.989,713.282,0.393,15.859,0.532,31.475,3.526,1.745,1.706,0.839,0.204,0.332,1.759,0.089,0.571,0.023,40.061,77.577,0.495,63.165,43.959,0.921,0.332,0.068,0.939,0.097,33.487,0.976,0.341,1.04,0.421,4.116,1.399,3.568,21.419,5.322,13.682,9.63,6.287,0,541.069,0.48,1.462,164.113,7.239,0.331,0.181,136.163,-225.675,6574.594
"TTL_A03",0.672,0.171,8.697,0.008,0,0.016,0.021,0.001,211.492,0.02,0.04,0.103,0.07,0.182,0.019,0.018,0.029,0.044,0.042,0.049,0.039,0.032,0.092,0.007,0.641,0.008,0.047,0.039,0.025,0.221,2.259,0.098,0.339,0.03,0.142,0.006,50.338,0.064,0.015,0.066,0.069,0.152,0.114,0.08,1.855,0.38,3.085,0.251,0.286,0,187.531,0.006,0.071,0.742,0.366,1.449,0.463,36.314,-205.596,303.819
"TTL_B05",1.264,0.262,0.008,24.085,0,3.617,3.703,0.472,5.608,0.442,3.955,20.089,222.482,19.606,0.088,0.833,27.67,246.642,48.469,0.716,0.435,0.745,1.682,0.136,0.484,0.076,0.776,845.137,0.483,22.918,2.054,1.221,0.056,0.068,0.675,0.04,0.897,0.145,0.083,0.36,0.147,1.42,0.465,0.382,3.562,1.969,1.493,0.159,1.666,0,1.69,0,0.103,1.225,0.03,0.055,0.037,21.614,-877.824,666.673
"TTL_B06",2.629,0.808,0.342,3.79,0,3.758,6.672,0.853,12.371,0.484,2.189,34.517,5041.438,99.217,0.289,2.408,20.781,51.627,40.102,8.503,1.539,2.264,13.271,0.833,1.214,0.209,3.862,632.092,3.59,18.801,18.525,20.118,4.937,6.933,8.136,0.687,2.681,1.118,0.517,1.543,1.672,4.05,4.712,4.494,10.436,2.918,5.356,1.429,1.575,0,46.257,0.002,0.273,17.892,5.77,0.895,0,0,-6183.382,0
"TTL_B07",0.714,0.079,0.021,1.927,0,49.363,16.048,0.773,2.793,0.091,0.187,1.958,36.222,24.904,0.09,0.311,44.096,660.236,1070.859,19.08,1.151,2.584,6.271,0.375,0.333,0.066,1.125,15.061,0.843,78.88,0.976,0.543,0.039,0.054,0.318,0.023,0.422,0.097,0.046,0.251,0.127,0.895,0.76,0.802,0.816,0.152,0.376,0.141,0.377,0,0.489,0.007,0.393,1.973,0.054,0.176,0.019,1417.163,-1867.291,1596.642
"TTL_B08",7.196,0.724,0.207,2.088,0,6.772,72.329,1.072,13.41,0.46,0.899,21.432,49.828,69.429,0.377,2.258,277.6,101.682,49.532,5.627,1.867,2.736,4.983,0.319,0.476,0.061,2.286,25.139,4.399,553.332,3.331,1.417,0.221,0.11,0.949,0.071,2.42,0.339,0.123,0.614,0.25,8.159,1.2,6.111,6.106,0.633,1.904,0.478,0.686,0,17.551,0.007,0.331,3.148,0.266,0.174,0.143,213.558,-279.369,1269.452
"TTL_B09",0.191,0.026,0.169,3.579,0,4.904,12.901,6.039,0.309,0.015,0.084,2.323,38.351,0.423,0.016,0.158,2.679,2.281,2.435,0.155,0.091,0.088,0.254,0.018,0.022,0.005,0.067,9.243,0.105,8.991,0.34,0.537,0.141,0.134,0.385,0.058,0.113,0.099,0.03,0.116,0.099,0.287,0.495,0.144,0.301,0.086,0.201,0.051,0.071,0,0.489,0,8.728,191.516,0.04,0.101,0,33.072,-75.417,258.14
"TTL_C10T12",368.877,1.744,8.876,0.288,0,0.523,1.075,0.086,1626.468,5.174,2.365,32.995,7.76,70.626,5.934,5.079,2.11,2.534,3.255,3.428,3.059,2.443,6.077,0.537,0.865,0.128,3.245,2.805,3.428,12.579,92.802,4.26,4.825,1.155,5.802,0.549,1231.065,7.996,1.589,5.928,5.415,9.853,10.533,12.093,40.501,38.373,167.634,35.263,16.633,0,12637.446,5.965,33.471,9.077,14.527,83.245,80.618,1604.444,-3946.122,14399.299
"TTL_C13T15",3.296,1.034,0.825,0.66,0,1.001,0.894,0.132,10.816,159.699,4.094,47.047,3.429,13.063,0.921,8.574,4.375,3.886,2.747,7.693,6.349,4.948,15.422,5.091,3.067,0.461,20.404,2.871,4.127,32.83,38.437,3.97,0.581,0.822,3.682,1.284,17.713,2.066,0.813,2.003,1.704,3.764,11.4,21.023,40.177,9.845,65.146,18.835,16.519,0,2235.171,0.007,3.173,45.742,27.007,28.826,6.625,769.609,-2371.078,1374.62
"TTL_C16",30.135,48.492,0.806,4.037,0,5.341,5.691,0.509,82.21,7.466,1933.152,671.286,10.959,62.174,2.358,17.472,51.077,59.247,50.876,62.573,24.751,29.865,67.835,13.412,46.505,1.947,317.987,39.34,88.273,2389.766,125.827,16.872,1.94,1.782,39.018,0.883,46.594,10.952,3.138,8.142,10.684,160.876,60.311,41.872,49.971,22.869,76.193,18.18,43.013,0,171.194,0.01,2.117,23.368,11.614,3.207,4.398,3660.578,-655.639,10085.506
"TTL_C17_18",43.306,7.342,1.293,2.461,0,6.479,6.483,0.789,365.148,18.427,69.13,4967.289,53.823,219.505,21.282,61.01,57.354,46.843,39.128,67.984,103.468,57.459,124.362,12.6,14.709,2.554,54.939,57.296,30.407,197.729,323.184,37.128,9.388,7.796,42.505,10.606,85.563,490.503,21.553,95.934,105.62,61.195,213.84,172.59,207.46,151.258,259.573,56.477,88.118,0,863.443,0.062,10.933,102.312,33.065,10.88,13.967,10722.774,-999.705,19908.624
