"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",10618.442,187.175,26.497,0.038,0.05,0.02,1.834,0.141,35167.954,246.413,137.8,19.846,7.825,169.949,67.595,65.009,7.801,4.703,2.177,14.876,5.171,6.068,11.811,17.079,3.035,20.147,55.6,186.598,25.565,195.752,1030.226,33.269,12.298,3.474,21.571,3.031,4446.799,131.09,26.372,36.445,87.139,55.69,319.287,329.933,209.217,116.196,436.454,1139.707,340.823,0,37397.461,1532.864,3990.016,1038.911,114.54,271.354,972.844,20589.209,-15241.798,106717.394
"TTL_A02",280.488,1466.412,1.661,0.148,0.024,0.018,1.05,0.008,310.354,8.603,2182.73,170.398,0.763,24.864,2.552,79.217,6.498,1.317,0.642,1.621,0.453,0.595,1.471,1.453,0.572,1.94,103.384,432.908,1.016,130.026,155.021,1.973,0.72,0.197,1.07,0.154,85.231,2.086,1.308,2.576,1.293,5.466,5.891,13.587,30.161,6.88,15.968,16.278,8.13,0,2455.995,0.01,1.25,4.848,2.218,4.281,0.439,456.605,-348.479,8144.342
"TTL_A03",5.788,0.554,59.693,0.003,0.004,0.002,0.131,0.007,1424.192,0.499,0.259,0.443,1.012,3.449,0.535,1.133,0.537,0.291,0.11,0.632,0.293,0.355,0.469,0.746,0.775,1.24,1,1.431,0.351,3.226,20.576,1.861,5.847,0.148,1.909,0.154,372.398,0.611,0.263,0.647,1.005,0.853,2.167,1.75,8.044,1.559,10.938,1.279,1.435,0,1456.576,0.008,1.079,4.706,2.824,16.429,20.6,838.61,-1453.966,2829.47
"TTL_B05",1.8,0.078,0.03,0.226,0.042,0.026,1.086,0.146,5.282,0.567,0.289,1.622,48.385,9.325,0.234,0.849,15.411,46.682,5.028,0.62,0.233,0.398,0.563,0.777,0.152,1.311,0.732,1073.181,0.572,18.141,3.692,1.263,0.146,0.111,0.478,0.057,1.668,0.209,0.294,0.371,0.517,1.162,1.211,1.049,1.989,1.057,1.281,0.322,0.81,0,69.561,0.001,0.537,5.88,0.355,0.688,0.069,16.442,-1251.457,93.553
"TTL_B06",38.963,3.221,3.893,0.668,3.439,0.369,24.269,3.349,108.827,5.495,6.328,33.331,18277.243,591.297,4.299,20.874,143.959,129.377,53.739,40.792,2.449,7.053,12.793,22.555,2.549,23.781,43.587,13704.87,27.27,140.521,214.411,178.501,48.118,43.521,41.45,5.247,25.446,6.402,5.879,12.323,24.015,25.381,73.516,73.513,61.184,14.967,25.02,8.259,11.31,0,322.855,0,6.575,125.034,6.795,12.847,0.001,341.781,-34726.708,468.806
"TTL_B07",1.084,0.029,0.028,0.062,0.063,0.838,6.789,0.365,4.631,0.253,0.135,0.296,25.596,25.894,0.378,0.826,35.548,339.249,303.939,27.033,1.339,5.211,4.805,5.513,0.389,4.561,4.717,61.522,1.604,69.667,4.157,0.981,0.158,0.132,0.669,0.07,1.166,0.317,0.413,0.99,1.514,1.381,4.122,4.017,1.334,0.488,0.922,0.509,0.697,0,2.861,0,0.413,7.411,0.341,2.693,0.001,81.401,-950.083,101.44
"TTL_B08",51.54,1.349,1.135,0.211,0.242,0.348,131.451,1.542,64.394,2.66,0.81,11.895,114.47,245.351,2.932,9.743,1198.531,156.234,39.079,17.396,1.778,6.223,6.333,5.713,0.683,4.542,14.044,336.555,19.152,2697.097,16.208,4.69,0.838,0.309,1.979,0.127,8.329,0.483,0.433,0.611,0.907,30.743,8.886,55.224,19.941,1.361,3.283,1.325,2.34,0,232.328,0.005,1.841,18.187,3.16,2.319,0.015,574.608,-851.264,5282.647
"TTL_B09",5.904,0.164,4.906,1.807,14.137,1.296,118.99,39.424,7.785,0.187,0.469,6.752,452.382,3.184,0.334,3.339,56.588,16.262,8.993,1.095,0.235,0.524,0.964,0.665,0.07,1.304,1.356,641.504,2.029,211.857,5.798,9.663,2.511,1.442,4.64,1.07,2.637,2.464,0.576,1.122,2.563,4.51,15.259,4.622,3.72,0.981,1.65,0.543,0.682,0,5.49,0,107.875,2217.825,0.28,1.37,0.011,120.991,-3469.929,654.874
"TTL_C10T12",9247.263,10.455,156.755,0.067,0.107,0.062,5.475,0.26,27954.575,148.967,10.225,57.745,44.322,696.405,186.974,55.095,22.539,9.938,6.175,25.063,9.767,13.58,20.628,25.316,3.584,32.663,59.705,86.637,41.174,148.783,1632.024,50.138,53.212,8.112,41.924,6.573,20294.478,101.712,35.184,90.668,100.16,96.311,236.829,297.599,382.348,352.387,1388.726,341.884,175.441,0,133517.025,72.937,434.244,119.259,188.307,914.646,1798.439,46193.587,-46972.797,201031.664
"TTL_C13T15",49.606,5.642,12.292,0.176,0.192,0.142,4.043,0.448,124.021,3403.173,17.428,84.87,16.048,86.492,22.315,97.277,44.85,13.219,5.075,51.289,21.247,25.004,43.355,284.693,13.884,91.847,394.237,102.983,51.817,349.435,719.761,40.351,5.928,5.904,28.345,16.464,306.703,35.545,20.689,31.91,52.309,34.582,331.258,641.469,425.487,97.416,556.52,224.22,286.041,0,29615.984,0.008,9.434,53.432,132.882,329.196,264.785,11736.349,-30120.048,21300.025
"TTL_C16",149.523,36.565,2.744,0.251,0.113,0.147,6.02,0.286,336.496,37.168,2441.451,273.297,4.802,139.395,14.113,70.272,148.75,11.864,10.939,124.305,18.671,49.241,54.5,204.684,64.364,104.757,1497.182,265.249,23.368,8374.382,504.037,42.374,3.408,1.741,71.64,1.492,175.239,34.956,10.167,18.155,28.102,305.25,300.396,255.217,40.03,37.488,113.153,43.654,157.274,0,1688.982,0.007,19.18,38.451,19.699,36.04,63.698,2752.417,-5244.071,15983.075
"TTL_C17_18",142.936,4.162,6.298,0.073,0.228,0.166,4.666,0.379,2697.97,122.906,87.784,5577.155,30.029,351.012,233.792,193.786,251.072,23.188,18.377,171.623,79.949,116.416,124.358,175.622,10.874,154.597,349.822,283.385,77.82,503.153,2436.733,109.965,29.254,9.646,107.716,64.096,532.558,2697.86,209.142,765.803,1411.326,161.132,2396.125,1977.934,995.111,699.389,875.281,287.555,384.331,0,4625.366,0.009,16.401,56.233,44.098,120.862,209.045,7157.53,-11246.357,28927.745
"TTL_C19",2272.583,190.412,223.934,3.701,4.464,4.98,179.236,15.232,1602.12,115.135,162.13,252.604,13444.903,6680.271,133.3,282.901,636.621,688.141,118.013,320.341,48.614,196.163,167.402,466.277,31.693,270.788,973.737,17320.058,748.817,4230.181,5846.086,9892.918,5014.536,4663.896,1200.436,220.86,866.505,192.21,225.946,417.495,969.64,324.994,1818.304,2687.213,1796.944,370.077,1010.907,333.632,507.735,0,11912.786,0.018,26.643,53.74,47.118,227.675,0.001,7957.194,-50228.948,60141.31
"TTL_C20",4293.213,22.453,13.31,1.319,1.413,1.991,70.654,3.943,1610.778,798.173,292.261,862.416,1311.137,13152.346,1160.458,4423.404,706.665,181.166,107.084,552.507,244.915,386.54,281.209,840.056,110.994,416.783,870.955,570.239,421.644,2324.11,836.282,198.418,55.58,43.209,111.086,7.572,443.354,231.313,22.142,133.069,93.211,307.704,1092.675,1190.111,238.218,165.358,1649.57,121.719,546.683,0,15886.65,0.058,1250.429,152.422,95.247,94.233,26.407,66285.425,-51741.939,75570.341
"TTL_C21",576.328,1.723,4.094,0.143,0.209,0.247,5.114,0.309,341.887,47.765,15.814,44.137,59.339,708.134,2864.152,212.661,35.959,12.353,6.65,33.261,20.273,22.746,31.429,51.307,6.425,38.288,81.571,59.773,53.064,165.931,187.714,25.458,8.746,5.069,13.803,2.367,43.655,24.296,9.938,28.36,30.47,27.913,773.409,119.036,377.768,74.611,9361.153,62.034,91.655,0,8859.339,0.032,16833.613,272.302,69.547,58.515,31.24,20362.902,-34597.511,28658.518
