"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",7489.153,38.147,29.519,0.055,4.494,0,5.247,2.196,20735.737,42.275,49.033,7.789,7.777,29.092,294.398,11.23,5.479,3.093,1.176,7.584,4.541,3.593,8.535,17.826,1.12,6.259,17.788,293.585,19.275,266.358,687.108,29.436,3.734,80.27,20.208,5.04,227.046,24.61,8.575,73.703,247.606,96.429,275.369,340.81,181.533,48.883,187.838,41.101,27.996,0,27350.282,4.086,12.993,1539.15,49.174,583.108,732.616,2941.507,-17694.649,47527.917
"TTL_A02",268.954,620.185,0.09,0.15,0.167,0,0.052,0.094,107.145,81.476,133.995,4.24,0.574,4.635,0.641,17.547,0.426,4.998,1.841,0.464,0.304,0.244,1.916,0.662,0.067,0.225,97.165,1043.804,0.902,5.083,9.921,1.865,0.297,7.606,1.603,0.649,12.842,4.445,0.547,6.352,21.763,15.351,19.774,31.25,16.14,4.506,8.802,8.231,4.072,0,607.036,1.006,7.704,4.212,0.568,4.737,55.38,61.237,-366.96,2948.983
"TTL_A03",2.201,0.017,169.115,0.001,0.276,0,0.047,0.035,441.775,0.093,0.098,0.139,0.413,0.418,0.144,0.226,0.128,0.088,0.032,0.173,0.163,0.1,0.25,0.304,0.132,0.103,0.203,0.403,0.235,1.507,3.32,0.95,1.583,2.365,2.994,0.177,115.784,1.107,0.113,1.699,6.68,4.18,6.722,9.922,4.995,1.642,9.753,3.833,1.289,0,1021.397,0.304,2.34,6.905,3.909,32.123,88.858,1054.676,-161.875,2846.567
"TTL_B05",0.086,0.004,0.006,1.333,0.693,0,0.672,1,0.415,0.021,0.104,0.508,50.382,6.357,0.064,0.121,10.45,61.466,0.204,0.515,0.05,0.05,0.128,0.214,0.018,0.067,0.252,108.711,0.097,6.49,0.959,0.273,0.031,0.078,0.144,0.037,0.227,0.127,0.106,0.304,0.369,3.911,0.47,0.623,0.554,0.814,0.449,0.089,1.13,0,212.193,0.011,0.052,2.677,0.534,1.457,0.066,200.254,-432.751,245.668
"TTL_B06",1.057,0.857,3.403,0.096,3137.758,0,17.981,99.482,6.345,0.245,3.874,4307.184,23568.798,1031.431,0.66,2.108,7.36,501.526,633.303,9.848,0.781,3.062,11.192,23.969,3.828,1.384,4.118,60701.016,3.576,42.194,9.717,90.566,18.068,52.763,12.666,0.518,0.857,2.48,0.934,0.947,6.262,74.696,847.127,11.962,2.969,9.52,2.577,3.973,97.109,0,3990.208,0.05,112.906,73.673,26.468,27.361,0,30871.84,-97747.042,32729.612
"TTL_B07",0.329,0.005,0.109,0.002,255.976,0,2.027,9.292,0.633,0.076,0.056,413.762,24.037,54.966,0.372,3.875,2.044,119.319,317.38,18.15,1.944,8.389,17.943,19.336,0.379,6.511,10.393,646.289,0.666,19.504,5.215,0.519,0.108,0.177,1.765,0.092,1.186,0.486,1.064,4.11,6.061,9.868,93.383,13.109,2.03,2.767,2.609,1.39,8.912,0,6.009,0.027,0.404,1.744,0.113,5.863,0,0,-2122.777,0
"TTL_B08",6.306,0.141,0.167,0.276,2.514,0,270.544,15.67,34.997,1.515,2.676,13.095,76.185,44.084,2.646,18.538,1039.276,72.485,17.214,271.516,3.094,3.804,3.004,32.308,3.401,2.086,84.017,5.99,4.348,3104.376,45.202,11.149,1.5,1.732,9.591,1.64,7.899,2.687,1.593,5.651,8.174,19.644,23.218,113.89,15.833,15.037,13.561,4.33,4.531,0,291.669,0.109,0.956,19.017,2.537,4.467,3.112,805.519,-891.645,5678.877
"TTL_B09",9.12,0.335,0.256,4.2,1878.511,0,178.528,818.389,33.713,1.355,3.157,5.166,311.594,8.234,4.883,6.13,43.81,3.813,1.663,8.293,3.452,3.721,9.778,10.314,0.496,8.08,8.399,269.408,12.265,473.629,107.855,44.644,2.22,2.344,12.448,4.404,14.077,10.187,4.549,19.274,33.868,18.356,137.549,29.782,29.215,19.827,40.118,8.082,4.243,0,217.8,0.392,3.068,82.773,11.159,1.862,12.632,1982.575,-327.81,6648.182
"TTL_C10T12",1553.332,4.059,303.698,0.215,42.43,0,10.663,18.879,21679.24,616.836,99.801,46.956,242.287,391.831,88.19,160.926,61.793,23.149,25.466,53.98,220.982,200.807,511.553,414.292,5.719,39.632,272.533,162.593,57.146,617.958,2351.753,851.104,55.815,34.453,1034.203,87.853,16478.192,424.847,64.61,310.037,402.532,393.977,375.034,563.054,301.554,1736.329,1894.493,640.454,414.639,0,118691.132,9.047,36.495,615.671,106.804,2009.647,1274.077,21990.54,-48517.056,152558.237
"TTL_C13T15",21.357,0.424,51.115,0.124,5.003,0,1.062,1.213,89.73,809.341,34.55,184.163,34.266,55.234,14.935,502.971,20.481,4.558,1.505,40.337,7.584,9.702,22.103,922.113,1.749,19.907,141.98,16.78,32.092,759.472,2664.324,18.914,2.319,16.709,9.208,2.953,349.768,22.123,7.11,14.468,136.804,141.51,48.093,59.042,1191.876,179.107,867.7,94.444,591.502,0,24505.218,0.962,8.09,433.823,149.63,725.271,121.713,5447.221,-26550.586,15065.167
