"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1566.085,1.44,6.01,0.542,0.299,1.053,3.923,0.034,4132.744,27.735,5.734,17.349,27.459,14.581,14.882,11.168,18.079,12.707,17.314,9.744,3.833,5.335,2.642,0.308,1.188,0.32,3.55,228.723,27.393,18.112,209.135,14.121,7.281,0.441,16.923,1.713,1028.966,5.903,31.1,6.704,12.145,25.809,22.701,19.526,64.667,20.794,48.555,25.987,32.471,0,7419.289,7.681,21.603,273.314,85.115,13.036,184.585,2557.462,-2116.447,16220.866
"TTL_A02",4.75,0.573,0.042,0.003,0,0.002,0.008,0,9.415,0.092,4.23,0.681,0.069,0.114,0.076,0.251,0.067,0.023,0.04,0.047,0.013,0.034,0.014,0.002,0.013,0.001,0.307,0.494,0.032,0.979,1.123,0.028,0.085,0.007,0.053,0.004,2.62,0.024,0.027,0.016,0.012,0.113,0.076,0.066,0.197,0.034,0.101,0.095,0.114,0,62.386,0.002,0.148,3.279,1.197,0.171,0.339,15.269,-28.54,81.418
"TTL_A03",0.512,0.005,7.63,0.001,0.001,0.001,0.01,0,114.626,0.026,0.009,0.019,0.126,0.021,0.026,0.012,0.019,0.017,0.026,0.022,0.006,0.017,0.006,0.001,0.006,0.001,0.008,0.035,0.015,0.079,1.671,0.068,6.184,0.007,0.41,0.007,53.377,0.02,0.028,0.023,0.022,0.028,0.087,0.145,0.607,0.054,0.288,0.075,0.123,0,536.16,0.002,0.158,2.708,4.195,0.731,10.28,595.233,-83.255,1252.716
"TTL_B05",0.253,0.001,0.003,0.122,0.002,0.023,0.078,0.002,0.588,0.047,0.014,0.148,4.567,0.229,0.022,0.044,1.052,2.629,1.152,0.026,0.007,0.028,0.013,0.001,0.008,0.002,0.011,32.362,0.076,0.559,0.29,0.056,0.078,0.009,0.054,0.004,0.175,0.006,0.024,0.007,0.009,0.058,0.034,0.023,0.228,0.055,0.053,0.015,0.134,0,0.584,0,0.179,0.672,0.318,0.028,0.017,15.017,-25.065,37.13
"TTL_B06",22.174,0.091,2.118,3.078,4.398,2.527,16.885,0.469,125.377,4.112,2.383,31,17183.97,145.126,4.399,11.908,102.907,71.422,125.054,18.958,1.236,3.669,2.121,0.266,1.345,0.384,4.027,4292.329,18.386,32.402,166.991,29.347,60.107,7.584,33.718,2.322,30.148,2.024,3.877,3.126,4.017,12.327,22.45,12.289,50.541,6.606,8.214,3.135,6.975,0,83.526,0,0.209,5.148,9.298,0.461,0.025,0.594,-22755.236,44.345
"TTL_B07",0.266,0,0.006,0.015,0.003,0.35,0.323,0.004,0.667,0.027,0.016,0.084,1.135,0.359,0.055,0.073,1.48,8.562,32.876,1.531,0.202,0.841,0.243,0.019,0.056,0.02,0.169,0.947,0.886,2.355,0.558,0.036,0.07,0.005,0.064,0.005,0.295,0.014,0.038,0.02,0.032,0.171,0.164,0.065,0.357,0.033,0.112,0.034,0.082,0,1.96,0,2.318,3.072,0.873,0.091,0.015,147.485,-20.856,190.683
"TTL_B08",12.638,0.023,0.365,0.157,0.039,0.473,18.723,0.062,12.962,0.389,0.078,1.777,14.626,8.658,0.634,0.784,123.018,12.617,12.903,1.335,0.198,0.805,0.274,0.016,0.07,0.014,0.787,14.372,4.081,160.308,4.458,0.555,6.56,0.114,0.849,0.041,3.192,0.153,0.334,0.138,0.13,2.928,0.831,2.425,4.341,0.194,0.598,0.281,0.408,0,9.634,0.002,5.288,6.81,1.424,0.089,0.554,323.531,-87.081,691.964
"TTL_B09",0.179,0.001,0.042,0.034,0.069,0.042,0.374,0.038,0.341,0.016,0.01,0.076,24.079,0.223,0.024,0.037,0.344,0.146,0.281,0.066,0.01,0.028,0.015,0.001,0.006,0.002,0.016,6.322,0.06,0.526,0.759,0.166,0.601,0.065,0.273,0.016,0.143,0.024,0.054,0.03,0.032,0.054,0.153,0.075,0.179,0.022,0.045,0.026,0.043,0,0.617,0,1.539,40.295,0.139,0.052,0.023,8.848,-76.027,11.655
"TTL_C10T12",520.197,0.045,11.084,0.022,0.01,0.043,0.256,0.005,1453.152,2.702,0.342,2.865,4.44,7.968,10.025,3.194,1.199,0.506,1.092,1.162,0.453,0.954,0.414,0.037,0.189,0.034,0.962,1.97,1.913,4.852,91.494,1.762,17.39,0.539,2.89,0.254,1953.498,3.029,3.228,2.079,2.15,2.802,4.578,4.54,18.786,8.112,23.73,13.034,10.475,0,15966.557,7.588,35.767,12.111,171.931,42.212,515.716,5235.602,-6021.524,20162.417
"TTL_C13T15",13.247,0.074,2.814,0.109,0.038,0.197,0.478,0.017,25.729,341.71,1.334,10.335,3.119,3.422,4.874,8.236,4.016,1.356,1.853,3.805,2.392,3.104,1.661,0.643,1.073,0.224,21.552,4.446,5.916,19.821,99.711,2.888,5.081,0.662,4.434,1.641,55.64,3.34,4.502,1.954,2.477,2.839,15.662,21.974,57.568,7.448,35.524,21.842,25.627,0,3360.02,0.007,1.77,8.893,165.61,14.638,21.092,997.447,-3618.065,1809.821
