"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",2.323,0.049,0.048,0,0,0,0,0.009,96.144,2.077,0.105,0.052,0.007,0.279,0.108,0.114,0.036,0.01,0.005,0.02,0.138,0.036,0.04,0.063,0.009,0.012,0.023,0.227,0.128,0.441,14.843,0.262,0.516,0.527,0.02,0.044,34.043,0.071,0.176,0.079,0.129,0.22,0.23,0.11,0.144,0.406,0.396,0.335,0.405,0,1094.948,0.456,42.766,41.897,-13.403,36.862,0.03,16.935,-925.033,450.92
"TTL_A02",0.099,0.57,0.006,0,0,0,0,0.002,2.207,0.075,4.906,0.39,0.004,0.076,0.013,0.137,0.029,0.011,0.008,0.026,0.188,0.052,0.042,0.043,0.011,0.012,0.067,0.536,0.038,0.743,4.466,0.07,0.114,0.147,0.005,0.009,2.519,0.033,0.089,0.026,0.023,0.121,0.041,0.015,0.042,0.079,0.047,0.092,0.097,0,100.256,0.398,4.947,4.051,-1.272,0.477,0.01,7.397,-87.756,46.834
"TTL_A03",0.043,0.001,0.151,0,0,0,0,0.002,8.082,0.035,0.009,0.012,0.004,0.038,0.01,0.011,0.01,0.008,0.006,0.02,0.157,0.042,0.032,0.031,0.022,0.01,0.005,0.034,0.028,0.135,1.891,0.067,1.181,0.133,0.008,0.008,7.04,0.024,0.069,0.019,0.019,0.04,0.029,0.008,0.026,0.059,0.051,0.04,0.047,0,130.672,0.106,1.26,0.973,-0.126,2.075,0.032,4.989,-72.68,86.998
"TTL_B05",0.026,0.002,0.001,0,0,0,0,0.21,0.961,0.139,0.025,0.272,2.05,1.23,0.013,0.079,1.702,2.78,0.186,0.016,0.035,0.033,0.042,0.029,0.016,0.018,0.005,110.641,0.155,2.872,1.932,0.32,0.06,0.09,0.012,0.014,0.431,0.015,0.047,0.013,0.02,0.356,0.037,0.015,0.134,0.358,0.047,0.018,0.2,0,77.276,0,0.004,0.02,0,0.081,0,0,-205.041,0
"TTL_B06",0.029,0.001,0.004,0,0,0,0,1.221,6.703,0.481,0.249,1.899,260.373,23.285,0.112,0.864,4.109,2.338,0.635,0.734,0.424,0.183,0.373,0.493,0.112,0.141,0.142,465.62,2.448,3.145,50.007,3.579,1.596,1.237,0.428,0.593,2.409,0.179,0.352,0.251,0.734,3.688,1.325,0.288,0.95,1.454,0.318,0.248,0.45,0,225.521,0.001,17.615,0.694,0,1.293,0,0,-1091.325,0
"TTL_B07",0.043,0.001,0.006,0,0,0,0,2.077,2.375,0.138,0.021,0.083,2.702,8.382,0.076,0.128,9.128,50.042,27.548,2.904,0.868,0.676,0.887,0.476,0.044,0.054,0.144,15.565,0.926,25.78,5.042,0.765,0.184,0.486,0.029,0.04,1.012,0.028,0.084,0.048,0.085,0.709,0.379,0.095,0.09,0.114,0.042,0.087,0.367,0,0.601,0,0.019,0.194,0,0.253,0,0,-161.826,0
"TTL_B08",2.719,0.133,0.424,0,0,0,0,10.658,42.445,1.826,0.198,6.071,13.65,88.052,0.654,2.217,310.157,26.454,4.127,2.857,2.75,2.408,2.339,1.024,0.21,0.193,1.198,98.433,26.539,1052.054,52.016,5.688,1.967,0.592,0.236,0.152,11.197,0.043,0.406,0.042,0.073,45.694,1.598,4.342,4.964,1.243,0.336,0.876,1.703,0,47.333,0.001,0.008,0.13,0,0.26,0,0,-1880.69,0
"TTL_B09",0.097,0.004,0.336,0,0,0,0,53.343,2.279,0.282,0.171,0.767,9.145,0.633,0.085,0.378,3.236,0.652,0.267,0.476,2.358,0.68,0.732,0.596,0.118,0.164,0.09,32.186,0.8,18.746,15.799,2.853,3.593,4.515,0.139,0.598,2.651,0.645,0.882,0.199,0.293,1.544,1.116,0.115,0.213,0.307,0.238,0.186,0.436,0,28.766,0.01,14.632,104.151,-0.85,0.147,0.029,26.686,-7.626,330.887
"TTL_C10T12",33.959,0.074,3.972,0,0,0,0,0.157,1350.222,13.991,0.3,1.981,0.327,16.098,4.438,1.047,1.244,0.162,0.055,0.252,1.16,0.333,0.502,0.345,0.082,0.101,0.273,1.942,3.879,6.535,405.881,5.314,35.411,10.985,0.554,1.392,3097.544,5.555,5.958,3.345,7.4,11.664,3.976,1.934,7.663,35.308,22.161,27.628,16.34,0,12584.615,7.748,42.087,4.874,-0.162,119.238,9.488,3330.572,-9185.729,12062.175
"TTL_C13T15",0.101,0.017,0.243,0,0,0,0,0.065,2.032,137.53,0.246,2.365,0.029,1.38,0.216,2.095,0.548,0.056,0.015,0.259,0.944,0.299,0.608,3.142,0.322,0.253,1.282,0.381,1.002,4.062,65.826,1.043,1.271,1.813,0.103,0.622,20.514,0.509,0.642,0.319,0.754,1.748,1.387,0.871,1.533,1.847,3.371,3.509,8.788,0,2304.401,0.638,1.847,19.636,-20.134,41.383,1.449,390.517,-1081.777,1933.921
"TTL_C16",0.686,0.313,0.084,0,0,0,0,0.174,17.01,3.562,111.804,11.952,0.028,3.959,0.347,1.941,3.085,0.144,0.09,1.703,3.37,1.681,1.952,4.844,2.728,0.532,12.501,6.177,2.504,268.672,148.406,5.102,1.848,1.876,1.023,0.322,26.403,2.344,1.713,0.64,1.285,38.235,6.084,1.777,0.744,3.942,1.985,3.182,17.43,0,394.854,0.004,0.064,27.413,-4.337,4.943,0.002,143.959,-132.682,1160.404
"TTL_C17_18",0.33,0.017,0.103,0,0,0,0,0.118,77.384,6.025,2.034,132.112,0.119,5.214,3.716,3.158,2.74,0.151,0.079,1.187,7.822,2.061,2.367,2.13,0.197,0.373,1.189,2.833,4.086,7.924,351.645,6.769,9.441,6.275,0.751,7.511,40.662,31.647,15.856,14.537,37.365,9.202,26.266,7.097,8.796,35.196,9.981,9.303,16.015,0,2115.505,0.009,5.995,3.648,-22.961,15.696,7.812,140.171,-1969.09,1206.569
"TTL_C19",0.578,0.081,0.363,0,0,0,0,0.523,5.123,0.659,0.397,0.674,3.485,6.322,0.26,0.675,1.319,0.54,0.063,0.271,0.681,0.408,0.414,0.656,0.083,0.088,0.187,11.136,4.542,9.115,101.577,66.328,88.506,181.745,0.887,2.999,7.504,0.717,2.379,0.956,3.528,2.492,2.231,1.131,1.946,2.258,1.319,1.337,2.794,0,487.607,0.01,0.463,3.363,0,27.617,1.345,12.149,-430.551,623.279
