"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",2158.592,30.169,1.483,0.012,0.25,0,0.538,0.247,5261.444,31.822,17.315,7.098,4.559,48.942,26.091,35.304,6.074,3.223,2.559,8.882,20.133,15.182,10.955,33.256,0.029,1.902,10.813,27.197,5.193,58.513,175.926,13.33,0.164,4.295,5.452,0.815,474.678,3.518,2.053,3.128,4.977,18.137,19.292,32.302,33.529,17.644,46.648,20.431,13.245,0,2685.364,2.365,36.453,384.977,28.532,16.08,69.712,3892.502,-2569.678,13263.646
"TTL_A02",23.096,121.142,0.033,0.008,0.026,0,0.091,0.015,22.503,0.486,189.778,16.174,0.207,2.751,0.474,13.081,1.575,0.276,0.287,0.95,0.974,1.063,0.743,3.317,0.006,0.137,13.047,11.533,0.224,21.795,11.589,0.799,0.006,0.174,0.408,0.064,4.101,0.313,0.136,0.271,0.343,1.728,1.155,1.3,2.865,0.892,1.061,1.7,0.983,0,222.469,0.281,2.172,7.366,1.363,0.203,2.438,110.926,-72.738,750.163
"TTL_A03",1.089,0.017,0.239,0,0.001,0,0.002,0.001,18.705,0.024,0.01,0.019,0.034,0.092,0.037,0.04,0.019,0.009,0.007,0.028,0.052,0.045,0.032,0.096,0.004,0.023,0.028,0.033,0.013,0.265,0.463,0.061,0.01,0.028,0.041,0.004,3.432,0.028,0.007,0.014,0.017,0.077,0.06,0.045,0.21,0.064,0.141,0.197,0.061,0,21.078,0.605,0.43,1.511,0.153,0.905,3.141,14.741,-9.919,58.568
"TTL_B05",0.629,0.027,0.001,0.058,0.055,0,0.204,0.141,1.406,0.109,0.083,0.747,13.992,3.717,0.093,0.606,7.032,18.717,4.826,0.217,0.247,0.396,0.272,0.709,0.001,0.087,0.09,150.337,0.141,2.597,0.788,0.391,0.001,0.033,0.088,0.013,0.271,0.03,0.029,0.034,0.042,0.271,0.123,0.095,0.681,0.362,0.183,0.089,0.218,0,26.777,0,0.099,0.34,0.284,0.035,0.004,1.906,-234.575,6.147
"TTL_B06",1.981,0.116,0.047,0.1,7.732,0,3.922,5.175,14.357,0.596,1.075,8.433,3112.537,126.258,1.02,9.462,38.537,26.932,28.699,11.191,2.572,3.384,3.474,12.645,0.011,1.009,2.82,1105.944,2.79,17.922,22.916,8.446,0.057,2.155,3.382,0.409,1.507,0.445,0.209,0.537,0.81,5.572,4.386,2.826,8.224,2.186,1.281,0.736,0.67,0,503.37,0.001,0.453,50.707,4.897,0.562,0.014,198.459,-4851.862,524.093
"TTL_B07",0.059,0.002,0,0.002,0.014,0,0.178,0.057,0.152,0.007,0.006,0.015,0.759,1.129,0.024,0.076,1.891,14.109,30.396,1.269,0.18,0.388,0.282,0.603,0,0.026,0.093,0.888,0.031,1.771,0.105,0.046,0,0.01,0.012,0.002,0.021,0.007,0.005,0.018,0.013,0.026,0.053,0.04,0.033,0.011,0.013,0.012,0.017,0,0.085,0,0.025,0.24,0.109,0.111,0,0.205,-55.346,0.277
"TTL_B08",5.464,0.162,0.03,0.015,0.347,0,8.39,0.913,5.38,0.195,0.142,1.509,8.539,25.277,0.537,2.304,147.663,15.437,9.455,2.591,1.644,2.659,1.485,3.172,0.003,0.15,1.456,11.798,1.403,166.806,1.952,0.733,0.01,0.077,0.226,0.031,0.65,0.058,0.042,0.053,0.078,3.123,0.555,2.771,2.168,0.233,0.274,0.2,0.214,0,4.937,0.002,0.432,11.896,0.884,0.109,0.11,66.029,-158.96,363.814
"TTL_B09",1.27,0.055,0.134,0.126,12.583,0.001,8.238,19.615,1.721,0.105,0.799,1.175,65.194,1.051,0.254,1.319,8.343,1.911,2.479,0.626,1.376,1.149,1.062,2.207,0.002,0.136,0.701,34.409,0.266,16.926,2.166,1.774,0.025,0.869,0.713,0.138,0.463,0.357,0.098,0.194,0.229,0.689,1.418,0.469,0.762,0.214,0.345,0.207,0.182,0,3.376,0.002,0.545,53.605,-0.13,0.063,0.166,118.517,-20.456,352.233
"TTL_C10T12",1326.286,2.687,5.35,0.012,0.241,0,0.674,0.296,3234.165,13.663,4.218,14.505,8.159,124.915,46.597,34.482,7.536,3.896,4.276,13.071,25.395,20.349,13.755,39.126,0.037,2.323,11.02,9.595,9.126,32.799,218.871,13.358,0.439,4.795,6.093,1.266,1430.59,11.067,2.976,6.968,7.779,17.367,22.05,25.894,60.735,50.494,96.29,54.657,20.502,0,9300.696,11.072,18.799,60.211,35.145,52.171,150.185,6881.539,-5551.208,18019.353
"TTL_C13T15",11.798,1.132,0.668,0.016,0.253,0,0.427,0.3,18.459,373.341,3.976,23.18,1.868,22.061,6.882,53.27,12.508,2.2,2.049,13.272,24.121,17.061,14.269,233.86,0.074,4.499,79.617,5.321,5.107,42.757,96.453,7.084,0.052,2.071,2.998,1.94,30.032,4.312,1.163,2.101,2.503,5.771,20.548,37.422,55.196,13.869,40.527,32.66,29.826,0,1637.174,0.02,1.899,23.171,21.132,18.074,6.392,1161.757,-2652.553,1577.938
