"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",14552.887,265.458,110.991,3.188,14.763,2.665,9.91,1.021,65486.243,2918.278,117.894,26.715,2.13,446.07,46.827,415.671,3.861,0.247,0.466,5.729,10.165,5.075,8.378,6.974,0.771,7.912,65.479,24.63,13.337,469.249,1363.97,13.786,10.493,1.847,5.414,0.79,6571.296,2.351,1.266,0.881,2.339,11.528,7.185,54.963,300.444,215.92,90.296,16.194,71.887,0,40861.936,28.016,1.933,19269.642,286.294,4.688,7.115,6677.268,-9307.69,151615.036
"TTL_A02",208.571,1867.457,4.023,20.931,15.13,4.282,5.208,0.045,257.715,53.304,6463.991,589.644,0.328,37.448,0.919,325.808,7.829,0.188,0.493,2.013,0.539,0.797,1.122,0.784,0.47,1.173,223.643,57.831,0.523,234.35,149.922,0.691,0.627,0.169,0.263,0.077,65.907,0.48,0.442,0.485,0.173,2.107,0.177,1.584,49.102,14.416,1.925,2.194,8.276,0,367.383,0.021,0.076,7.643,0.402,0.06,0.002,94.384,-75.73,11079.817
"TTL_A03",17.721,3.334,914.551,0.7,0.918,1.301,1.022,0.039,8269.005,5.825,0.722,1.589,0.731,10.357,0.555,6.978,0.965,0.067,0.143,1.821,1.688,1.323,0.8,0.866,0.218,0.769,1.236,0.653,0.51,9.561,64.536,0.816,3.123,0.406,0.328,0.019,1898.501,0.538,0.263,0.528,0.758,1.773,0.185,0.748,75.536,17.508,8.102,0.847,6.345,0,23935.005,0.055,0.621,2.966,4.813,0.264,0.549,645.435,-111.496,35815.041
"TTL_B05",111.299,8.558,0.949,4399.053,1177.937,742.274,512.531,109.079,505.25,374.558,50.518,623.176,3893.855,1797.413,4.674,304.367,2379.484,1006.59,550.874,48.636,19.673,69.164,35.533,41.08,13.091,162.029,19.793,19763.43,22.015,2432.494,154.345,36.869,2.349,2.704,7.396,0.853,45.665,1.069,2.52,1.309,1.585,30.726,1.341,4.819,313.174,209.813,8.556,0.8,37.001,0,12.341,0.017,0.15,3.34,0.056,0.01,0.01,52038.643,-2129.784,91967.052
"TTL_B06",18.719,1.303,2.86,304.374,7645.593,231.484,338.294,61.37,319.13,123.656,46.964,406.873,43858.387,3396.943,4.163,309.755,681.769,75.777,173.625,272.609,26.175,40.242,30.401,68.054,8.057,117.502,58.88,7311.737,41.375,475.82,423.248,55.533,14.254,15.743,27.548,5.134,34.586,2.774,2.28,3.859,7.983,35.296,5.951,17.073,218.721,78.837,5.762,1.196,18.716,0,75.059,0.075,0.154,22.988,2.432,0.163,0.009,20924.364,-11100.464,77351.167
"TTL_B07",6.327,0.101,0.386,109.193,315.44,2764.704,449.234,44.264,42.164,14.937,1.203,3.214,193.822,505.694,1.078,16.352,590.388,707.186,3275.395,434.509,10.174,33.695,24.9,17.459,0.76,5.788,29.901,103.621,4.232,1586.087,13.628,3.42,0.283,0.635,0.735,0.115,5.661,0.145,0.142,0.11,0.181,2.035,0.582,1.562,6.271,2.325,0.26,0.136,2.919,0,3.51,0.093,0.312,2.478,0.013,0.032,0.009,15724.268,-984.705,26079.363
"TTL_B08",101.405,4.751,7.838,80.421,324.702,235.429,1917.828,43.122,159.725,44.595,3.852,108.585,186.799,1052.172,2.256,79.455,4301.951,69.777,91.774,88.147,14.479,42.658,16.284,12.539,1.368,13.918,64.635,125.307,31.519,14473.918,34.677,5.562,0.556,0.529,1.29,0.116,14.837,0.141,0.24,0.094,0.102,35.164,0.581,16.128,89.557,5.709,0.68,0.321,2.254,0,71.863,0.03,0.08,3.423,0.318,0.032,0.003,108.595,-1394.209,22699.885
"TTL_B09",1.93,0.085,4.643,94.783,3586.842,117.615,226.9,168.095,3.965,0.769,0.572,8.647,103.905,2.617,0.063,5.325,27.288,1.001,2.851,1.022,0.573,0.633,0.478,0.361,0.034,0.493,0.292,32.503,0.548,151.775,2.351,1.781,0.878,0.784,0.494,0.285,1.011,0.203,0.058,0.049,0.125,0.654,0.188,0.18,1.916,0.657,0.094,0.018,0.253,0,5.831,0.018,0.076,2648.216,0.04,0.018,0.002,356.692,-194.694,7374.786
"TTL_C10T12",6777.202,13.463,396.858,8.19,59.758,10.796,25.015,2.414,26874.61,524.095,21.554,166.89,22.534,965.73,68.83,109.595,22.033,1.068,4.169,29.933,22.308,22.997,15.349,14.89,2.083,24.011,64.25,13.152,22.184,211.718,1467.28,24.905,60.545,13.02,13.877,4.685,18163.513,28.004,13.614,19.18,22.387,41.846,7.58,42.236,652.588,772.269,182.256,42.703,245.238,0,132934.247,129.669,2252.066,26.86,116.85,15.156,34.165,44844.646,-14100.043,224589.023
"TTL_C13T15",48.494,8.217,63.923,16.033,80.717,20.291,19.202,3.557,109.355,32620.681,46.392,556.089,6.075,228.494,8.22,848.482,100.861,1.623,2.891,102.281,46.591,64.766,52.599,466.222,26.665,230.924,884.846,6.137,15.994,741.588,619.421,12.785,5.525,5.721,7.565,6.384,258.201,4.962,3.504,4.791,6.354,18.247,8.435,54.253,420.193,102.818,68.228,18.437,461.458,0,20483.625,19.481,0.261,976.847,180.364,5.228,26.398,16772.192,-7808.64,70171.251
