"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",56011.279,206.267,409.121,3.175,1.068,3.254,3.451,2.622,157674.169,13338.988,30.506,30.877,3.062,1279.037,1232.489,557.466,11.099,3.15,2.076,2.187,7.205,6.03,23.961,12.012,0.048,2.944,296.224,70.065,44.464,639.383,1504.404,125.394,2.345,1.435,33.721,3.256,10279.935,12.353,8.915,11.509,23.278,23.97,38.646,506.587,319.143,171.074,351.482,93.099,352.682,0,363295.87,3.498,1.072,848.134,69.091,85.917,97.847,11319.823,-10007.608,611484.553
"TTL_A02",3746.698,7202.591,69.357,112.389,5.373,28.936,8.921,0.438,2963.908,1048.513,7013.914,3240.016,1.71,506.964,110.04,2090.55,144.939,33.408,14.996,5.602,0.512,4.915,15.362,6.074,0.157,2.076,4907.879,822.225,8.032,1538.375,779.666,25.62,0.615,0.436,7.21,1.447,500.866,11.731,16.542,31.304,7.05,24.269,3.556,65.569,247.32,53.775,34.813,59.759,82.145,0,15145.424,3.677,0.013,0.62,4.376,1.119,0.001,1960.406,-1031.704,53692.496
"TTL_A03",20.63,0.877,1074.398,0.25,0.081,0.603,0.151,0.043,6493.492,5.847,0.088,0.502,0.873,7.916,3.989,2.262,1.171,0.766,0.348,0.309,0.298,0.599,0.593,0.374,0.048,0.292,1.415,0.47,0.548,3.515,26.101,3.333,1.12,0.141,2.424,0.072,917.181,0.846,0.591,2.266,2.369,1.092,0.252,1.542,25.31,4.335,10.125,1.518,5.529,0,38437.355,0.788,0.004,1.707,4.798,4.816,6.96,680.198,-126.494,47639.029
"TTL_B05",181.166,3.677,2.318,1899.081,34.118,409.477,73.014,111.556,490.608,654.596,5.816,279.529,3262.812,1984.838,57.165,165.455,3606.721,16055.918,1425.405,20.315,15.175,56.569,56.297,47.261,0.416,31.387,46.225,22626.194,44.512,1382.453,87.727,171.341,0.343,2.025,23.819,3.753,50.652,4.176,10.859,10.507,11.614,24.765,2.353,21.962,130.89,66.006,17.951,2.667,67.585,0,853.094,0.018,0.985,42.897,0.802,0.17,1.516,299.865,-35704.875,21235.541
"TTL_B06",146.403,4.534,23.699,471.819,810.386,463.032,169.419,229.37,1144.894,840.082,17.854,652.871,134712.604,13407.675,166.335,587.751,3694.842,4417.744,1600.895,273.549,48.984,117.428,157.158,235.008,0.896,79.362,352.73,30820.293,211.901,1026.044,686.842,999.128,8.103,58.924,277.929,36.084,99.269,23.364,32.605,83.413,136.308,99.665,32.03,211.421,330.196,88.623,40.324,10.907,56.413,0,1016.556,0.062,0.548,113.354,1.953,2.989,1.901,282.02,-177840.953,23775.536
"TTL_B07",24.374,0.097,1.374,112.372,21.77,3929.088,150.219,108.546,102.262,72.823,0.396,5.418,386.122,1352.436,28.989,27.17,2173.713,27170.142,20193.393,321.994,31.001,142.435,115.057,76.526,0.126,12.964,169.242,285.487,19.443,2101.5,15.743,31.074,0.07,0.761,4.38,0.424,9.311,0.731,1.008,1.549,1.892,4.324,1.975,13.491,6.437,1.667,1.139,0.753,11.231,0,5.801,0.007,0.135,3.558,0.027,0.594,0.002,577.651,-28996.527,30835.686
"TTL_B08",197.212,2.678,21.434,90.896,129.599,236.296,360.509,249.657,220.249,124.14,1.683,66.954,298.604,1423.115,37.254,63.507,7869.054,1440.627,324.322,34.801,13.98,43.844,35.479,23.84,0.105,6.068,146.851,236.683,52.454,9358.089,38.65,59.948,1.001,1.278,11.168,2.581,16.51,2.53,3.411,3.678,3.897,35.52,1.651,77.997,46.983,3.667,3.639,1.379,9.055,0,236.126,0.014,4.914,345.046,1.897,0.563,1.909,1860.878,-19171.346,6714.524
"TTL_B09",57.629,1.436,130.269,816.545,2062.153,1290.213,629.442,3424.791,78.104,23.773,2.096,78.472,1800.537,66.763,12.71,57.455,830.562,344.07,153.012,8.774,6.219,11.536,15.856,11.637,0.042,3.548,14.028,759.69,16.304,1626.195,24.948,147.823,1.767,10.02,35.406,10.504,12.461,9.128,2.732,3.339,8.186,10.918,4.434,9.711,15.491,4.094,3.423,0.652,4.147,0,181.246,0.017,83.414,5416.501,0.12,0.328,0.82,538.446,-1038.402,19835.535
"TTL_C10T12",16720.533,12.34,938.132,40.62,21.289,85.202,40.618,20.866,42314.11,1742.484,13.334,243.64,131.36,2734.092,1355.943,500.278,747.979,405.97,109.195,180.078,95.977,164.738,267.501,251.888,1.097,63.679,419.644,407.778,191.046,2722.21,1263.606,439.557,11.416,26.752,129.811,27.749,18472.677,133.116,194.357,299.101,312.46,239.66,38.312,417.273,655.061,471.696,535.514,190.121,374.493,0,222930.516,19.704,104.378,5697.101,108.021,264.703,447.718,38081.062,-22107.106,342722.449
"TTL_C13T15",749.187,8.382,120.804,34.602,15.222,74.465,15.074,17.147,792.062,57191.891,15.782,437.792,97.601,2262.098,516.57,1366.392,406.368,222.884,68.509,94.297,103.582,166.823,174.234,617.47,1.454,75.287,2120.713,262.252,182.982,3544.553,550.842,273.51,2.031,14.051,89.741,27.825,438.627,47.335,115.579,111.067,130.907,329.299,35.181,412.121,503.602,127.202,242.308,83.701,456.31,0,106059.011,3.797,229.086,14786.642,326.336,73.471,314.021,36641.774,-7079.896,227101.961
