"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1915.282,12.338,7.227,0.005,0.03,0.243,0.05,0.009,8076.703,10.491,24.666,1.313,0.447,119.436,675.875,8.157,1.648,0.163,0.175,1.08,10.917,0.468,1.129,0.158,0.004,0.004,43.664,20.765,3.225,106.807,188.566,2.535,0.554,2.441,8.43,1.067,268.398,20.596,2.453,75.228,16.459,13.249,30.893,63.114,23.486,8.021,96.413,9.219,25.308,0,2258.693,1.704,728.573,213.572,7.73,60.491,41.04,1332.005,-2504.646,14038.068
"TTL_A02",6.12,10.793,0.053,0.001,0.002,0.016,0.003,0,13.138,0.041,65.465,1.475,0.035,1.95,3.976,0.96,0.199,0.013,0.016,0.055,0.499,0.024,0.053,0.008,0,0.001,16.677,4.992,0.053,3.547,3.542,0.088,0.017,0.11,0.208,0.046,0.777,0.98,0.086,3.402,0.488,0.137,0.646,0.753,0.572,0.113,0.587,0.204,0.388,0,67.288,0.012,1.156,1.421,0.362,0.783,0.198,101.234,-73.696,242.068
"TTL_A03",0.63,0.028,7.156,0,0.002,0.014,0.003,0,131.479,0.007,0.039,0.029,0.059,0.599,2.598,0.028,0.082,0.011,0.012,0.054,0.565,0.027,0.047,0.008,0,0.001,0.304,0.198,0.061,0.987,2.615,0.127,0.195,0.154,0.654,0.058,9.631,1.169,0.114,4.269,0.734,0.113,0.939,0.762,0.723,0.117,1.263,0.113,0.292,0,166.042,0.007,0.3,3.853,1.245,3.397,1.555,291.463,-101.454,535.477
"TTL_B05",0.294,0.007,0.037,0.027,0.081,0.309,0.068,0.027,1.146,0.023,0.07,0.195,4.469,7.624,1.612,0.109,4.5,3.215,1.026,0.056,0.344,0.035,0.055,0.006,0,0,0.257,170.869,0.06,4.15,0.679,0.078,0.007,0.044,0.19,0.027,0.08,0.309,0.033,1.745,0.213,0.145,0.252,0.212,0.33,0.116,0.185,0.019,0.326,0,92.097,3.612,0.224,3.568,0.863,0.13,0.034,15.621,-301.93,19.879
"TTL_B06",3,0.085,0.9,0.167,2.758,5.598,1.624,0.587,35.245,0.384,2.601,5.884,2115.792,693.243,58.843,4.9,64.645,12.234,14.046,8.82,11.259,0.955,2.357,0.336,0.011,0.006,20.482,3190.937,4.311,56.139,49.32,3.641,0.42,2.4,15.606,1.633,1.949,14.331,1.295,57.523,11.036,6.943,21.172,16.12,11.188,2.294,5.86,0.936,2.841,0,8.282,0.025,2.694,110.962,1.467,2.105,0.044,74.691,-6652.239,92.686
"TTL_B07",0.573,0.007,0.03,0.023,0.063,18.238,0.515,0.041,3.774,0.04,0.117,0.123,7.148,78.147,11.848,0.308,36.521,81.516,190.104,13.994,13.213,2.157,2.022,0.199,0.003,0.002,14.964,33.886,0.691,63.256,1.833,0.193,0.019,0.124,0.407,0.047,0.212,0.962,0.093,4.344,0.614,0.354,1.477,1.28,0.34,0.068,0.314,0.08,0.687,0,0.847,0.003,0.097,9.043,0.611,0.415,0.002,385.55,-533.392,450.15
"TTL_B08",3.14,0.045,0.16,0.011,0.142,0.764,0.625,0.05,7.962,0.062,0.51,0.412,2.985,44.65,27.545,0.777,79.131,2.406,1.829,1.165,8.976,0.542,0.589,0.115,0.003,0.002,8.837,14.375,0.86,226.645,5.621,0.28,0.116,0.223,0.876,0.089,0.615,2.425,0.179,5.721,1.076,3.441,2.197,3.92,1.186,0.252,1.17,0.184,0.763,0,8.99,0.017,0.831,8.106,0.638,0.409,0.188,116.284,-182.943,418.17
"TTL_B09",4.356,0.078,5.34,0.597,11.886,24.614,7.916,3.75,7.182,0.03,0.617,2.692,110.702,8.822,16.816,1.74,51.939,3.442,4.989,0.611,3.76,0.271,0.522,0.042,0.001,0.001,2.066,315.48,1.311,181.714,6.458,2.461,0.397,2.047,5.884,1.642,0.9,7.774,0.848,29.218,7.048,2.835,9.726,6.343,2.725,0.58,2.284,0.49,1.336,0,1.627,0.015,13.402,492.774,0.16,0.236,0.062,0.906,-1339.876,33.59
"TTL_C10T12",1795.108,1.085,48.889,0.01,0.045,0.592,0.135,0.013,6514.772,3.844,5.503,8.865,4.499,686.77,2169.829,17.676,8.69,0.748,1.264,4.775,54.662,2.672,4.057,0.524,0.018,0.017,85.629,14.896,7.443,49.086,392.138,4.473,2.31,4.477,19.169,3.083,1381.002,162.874,7.026,363.838,62.74,19.917,63.166,80.305,73.249,47.392,359.004,37.181,71.63,0,12021.507,0.16,7.042,124.904,82.308,195.214,154.984,16607.501,-7931.933,35908.777
"TTL_C13T15",3.07,0.146,1.022,0.004,0.014,0.219,0.022,0.004,9.812,27.503,1.802,3.12,0.353,19.941,70.765,4.19,3.295,0.239,0.23,2.078,19.84,0.94,1.847,0.954,0.012,0.006,168.352,3.982,1.823,23.776,41.645,0.838,0.096,0.725,2.99,1.545,6.853,10.667,1.005,35.198,8.521,1.812,19.371,33.919,17.759,3.15,34.887,5.58,19.3,0,2993.43,0.04,1.811,51.48,56.526,67.566,1.731,309.966,-3674.233,423.542
