"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",46.958,0.142,3.585,0,0,0,0.017,0,336.711,0.901,0.079,0.009,0,0.352,0.345,0.12,0.04,0.026,0.251,0.034,0.016,0.01,0.036,0.001,0.002,0.003,0.341,0.315,0.105,2.183,4.922,0.088,0.127,0.161,0.088,0.008,28.872,0.079,0.023,0.059,0.058,0.147,0.515,0.761,0.948,1.634,3.273,0.673,0.918,0,130.327,0.358,20.91,0.385,0.114,10.709,22.288,26.581,-125.583,522.023
"TTL_A02",0.68,0.886,0.157,0,0,0,0.008,0,1.548,0.017,2.117,0.01,0,0.032,0.008,0.085,0.039,0.015,0.181,0.011,0.003,0.002,0.007,0,0,0,0.761,0.671,0.01,1.311,0.41,0.01,0.011,0.022,0.01,0.001,0.384,0.015,0.006,0.014,0.008,0.131,0.027,0.036,0.154,0.135,0.097,0.09,0.078,0,0.404,0.28,0.987,0.359,0.01,0.138,0.024,0.123,-4.877,7.647
"TTL_A03",0.711,0.024,423.858,0,0,0,0.016,0,671.22,0.008,0.001,0.003,0,0.041,0.039,0.003,0.024,0.013,0.286,0.02,0.006,0.005,0.012,0,0.005,0.002,0.037,0.035,0.023,0.345,5.47,0.044,0.705,0.11,0.091,0.002,117.236,0.123,0.022,0.122,0.137,0.088,0.174,0.232,3.217,1.819,4.168,0.49,0.814,0,0.693,0.088,0.057,0.191,2.217,0.597,11.257,689.743,-140.503,1796.142
"TTL_B05",0.018,0,0.004,0.001,0,0,0.024,0,0.099,0.004,0.001,0.001,0.004,0.055,0.002,0.005,0.334,1.965,5.427,0.004,0.001,0.002,0.004,0,0,0,0.007,8.327,0.006,0.372,0.026,0.008,0.003,0.008,0.004,0,0.023,0.001,0.001,0.002,0.002,0.009,0.006,0.005,0.036,0.059,0.019,0.002,0.027,0,0.04,0,0.002,0.047,0.001,0.023,0.003,0.007,-16.911,0.124
"TTL_B06",2.56,0.062,8.57,0.001,0.007,0,0.626,0.001,4.278,0.104,0.081,0.071,0.067,1.897,0.151,0.087,1.741,3.042,14.531,0.709,0.177,0.322,1.924,0.009,0.016,0.032,1.467,7.856,1.568,19.724,8.39,10.802,9.733,45.495,2.325,0.387,2.131,0.539,0.365,0.874,1.325,0.788,2.083,3.409,4.355,2.958,2.979,0.925,1.69,0,47.132,0.017,0.096,7.366,0.278,0.371,0.015,0.094,-226.879,1.726
"TTL_B07",0.002,0,0.001,0,0,0,0.002,0,0.005,0,0,0,0,0.004,0.001,0.001,0.011,0.117,2.747,0.008,0.001,0.001,0.004,0,0,0,0.003,0.006,0.001,0.051,0.005,0.001,0.001,0.004,0.001,0,0.002,0.001,0.001,0.004,0.002,0.002,0.004,0.002,0.002,0.002,0.003,0.001,0.002,0,0.011,0,0.004,0.02,0,0.073,0,0.004,-3.103,0.016
"TTL_B08",0.335,0.002,0.248,0,0.001,0,2.138,0,0.891,0.017,0.003,0.005,0.005,0.766,0.023,0.032,14.829,3.41,22.616,0.125,0.015,0.026,0.044,0,0,0.001,0.209,1.371,0.193,47.741,0.164,0.035,0.272,0.134,0.048,0.002,0.1,0.006,0.003,0.007,0.006,0.358,0.052,0.204,0.248,0.057,0.061,0.019,0.047,0,0.366,0,0.014,0.186,0.002,0.072,0.02,9.982,-37.5,70.018
"TTL_B09",0.005,0,0.033,0,0.002,0,0.059,0,0.016,0.001,0,0.001,0.001,0.004,0.001,0.002,0.027,0.014,0.188,0.004,0.002,0.001,0.003,0,0,0.001,0.005,0.088,0.002,0.17,0.016,0.006,0.007,0.026,0.005,0.001,0.006,0.004,0.002,0.005,0.004,0.007,0.011,0.007,0.008,0.007,0.01,0.003,0.004,0,0.048,0,0.236,4.035,0,0.042,0.003,0.016,-5.018,0.13
"TTL_C10T12",68.843,0.022,38.316,0,0.001,0,0.116,0,527.438,0.242,0.042,0.082,0.003,3.106,1.665,0.398,0.463,0.243,5.109,0.312,0.126,0.089,0.182,0.002,0.005,0.015,1.026,0.522,0.594,4.289,23.846,0.4,2.18,1.188,0.653,0.072,260.99,1.833,0.42,1.223,1.443,1.643,2.254,2.162,6.34,18.715,21.031,7.209,4.608,0,1040.226,1.404,0.428,0.878,4.7,34.63,76.768,2110.354,-471.052,3809.795
"TTL_C13T15",0.814,0.02,9.486,0,0.002,0,0.122,0,2.923,31.486,0.087,0.218,0.001,0.881,0.324,1.106,1.887,0.463,4.365,0.79,0.221,0.191,0.489,0.031,0.019,0.055,15.25,0.426,0.613,14.095,10.802,0.31,0.222,0.719,0.46,0.156,12.864,0.605,0.141,0.429,0.433,0.888,3.74,3.736,6.254,4.391,13.437,4.097,7.275,0,203.357,0.122,0.044,0.901,0.239,11.96,0.525,46.201,-322.471,98.203
