"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",2208.472,2.219,3.787,0,0.129,0,1.371,0.058,5603.098,49.958,2.645,1.487,1.557,46.14,30.799,21.312,0.68,0.186,0.05,0.853,1.19,0.225,0.97,0.191,0.006,0.537,7.845,7.647,5.06,28.904,125.74,4.972,1.88,3.738,0.67,0.237,743.282,1.391,0.821,2.876,1.801,5.046,22.792,23.232,52.481,30.261,73.614,22.395,17.501,0,6319.77,3.347,5.032,510.184,25.688,51.784,84.137,2366.012,-2525.494,16002.57
"TTL_A02",2.797,0.857,0.011,0,0.004,0,0.046,0.001,4.117,0.077,7.736,1.309,0.075,0.325,0.092,0.948,0.078,0.017,0.004,0.048,0.078,0.013,0.029,0.005,0,0.017,1.311,0.999,0.092,1.078,0.83,0.05,0.014,0.039,0.007,0.005,0.913,0.039,0.02,0.095,0.032,0.112,0.136,0.087,0.594,0.216,0.2,0.185,0.072,0,4.84,0.014,0.293,51.818,1.641,0.671,0.003,0.159,-15.661,69.589
"TTL_A03",0.463,0.003,2.207,0,0.008,0,0.054,0.001,53.807,0.041,0.01,0.049,0.404,0.168,0.094,0.076,0.063,0.04,0.007,0.119,0.271,0.035,0.069,0.013,0.004,0.067,0.071,0.049,0.04,0.393,1.13,0.172,1.151,0.12,0.066,0.008,15.372,0.032,0.037,0.116,0.04,0.079,0.148,0.069,1.031,0.221,0.562,0.117,0.082,0,165.543,0,0.007,1.311,0.244,2.917,2.105,25.358,-42.518,234.145
"TTL_B05",0.077,0,0.001,0,0.02,0,0.235,0.014,0.18,0.031,0.008,0.08,10.127,0.632,0.022,0.067,0.841,2.332,0.147,0.029,0.037,0.011,0.023,0.004,0,0.023,0.05,18.883,0.036,0.667,0.157,0.072,0.014,0.069,0.009,0.003,0.04,0.007,0.01,0.032,0.013,0.052,0.046,0.025,0.202,0.113,0.059,0.019,0.029,0,58.818,0,0.013,0.625,0.377,0.112,0,0,-95.493,0
"TTL_B06",1.982,0.016,0.136,0,0.855,0,2.055,0.164,2.175,0.155,0.109,0.644,874.37,12.125,0.342,0.716,2.415,1.925,0.411,1.14,0.393,0.206,1.105,0.121,0.006,0.374,0.696,55.482,1.486,5.047,5.85,11.068,2.903,17.89,0.565,0.257,0.872,0.168,0.232,0.863,0.622,0.763,1.911,1.278,4.605,1.116,0.991,0.504,0.498,0,331.256,0.001,13.5,18.321,3.272,1.804,0.001,646.669,-1042.444,991.989
"TTL_B07",0.056,0,0.001,0,0.009,0,0.334,0.005,0.071,0.008,0.003,0.019,0.367,0.252,0.025,0.052,0.669,0.266,0.075,0.404,0.057,0.04,0.095,0.017,0.001,0.061,0.062,0.108,0.078,1.522,0.177,0.057,0.014,0.079,0.011,0.005,0.04,0.017,0.031,0.165,0.088,0.151,0.211,0.131,0.251,0.097,0.066,0.053,0.024,0,0.361,0.003,0.023,0.845,0.043,0.356,0,0,-7.956,0
"TTL_B08",24.354,0.064,0.399,0,1.768,0,338.579,2.223,23.354,1.034,0.123,5.978,246.087,171.478,2.21,5.702,691.312,81.731,12.202,11.858,1.789,1.715,2.364,0.234,0.01,0.754,10.229,61.589,16.883,1285.367,4.613,2.421,0.517,0.291,0.213,0.034,2.715,0.043,0.104,0.153,0.083,21.765,2.447,11.348,23.633,1.277,0.768,0.753,1.079,0,71.989,0.001,0.033,2.194,1.526,0.353,0.001,1663.036,-294.972,4519.806
"TTL_B09",0.175,0.001,0.042,0,3.214,0,6.841,1.423,0.256,0.031,0.012,0.119,22.204,0.259,0.07,0.136,1.082,0.26,0.073,0.291,0.171,0.038,0.121,0.02,0.001,0.078,0.124,2.7,0.138,3.511,0.637,0.458,0.184,0.91,0.094,0.029,0.09,0.05,0.056,0.199,0.091,0.231,0.504,0.147,0.48,0.127,0.144,0.073,0.048,0,1.307,0.002,4.344,213.101,0.12,0.203,0.002,229.48,-112.503,383.997
"TTL_C10T12",1802.692,0.264,21.419,0,0.662,0,6.143,0.234,4561.468,10.76,1.011,11.379,32.622,172.673,79.346,14.471,4.824,1.455,0.649,5.759,5.853,1.552,3.372,0.674,0.023,2.31,13.201,6.898,15.057,31.551,245.394,17.764,13.484,19.212,2.64,1.951,3242.308,14.946,7.124,34.99,14.122,27.202,41.322,28.742,181.318,174.896,239.658,95.833,33.962,0,20362.056,0.033,0.553,27.354,29.61,167.737,195.689,888.429,-6255.939,26660.71
"TTL_C13T15",17.824,0.173,3.696,0,1.097,0,6.425,0.425,31.343,1008.248,3.061,41.332,19.345,46.672,15.314,77.703,20.565,4.118,0.872,23.499,15.293,4.962,12.848,11.464,0.227,16.1,187.97,9.54,23.676,114.58,162.026,15.587,2.643,15.928,2.336,4.922,76.94,7.702,5.169,19.44,9.722,19.494,75.756,74.235,267.67,61.348,148.13,86.834,102.044,0,4322.2,0.058,0.269,41.788,35.767,58.021,8.443,972.729,-4826.296,3489.279
"TTL_C16",7.81,0.177,0.107,0,0.152,0,1.604,0.058,12.989,1.36,66.278,14.299,1.704,10.56,2.105,6.57,8.36,0.813,0.359,11.204,3.703,1.751,3.364,1.345,0.138,2.907,123.266,4.895,2.406,385.548,18.964,3.065,0.357,1.536,0.987,0.116,6.793,1.469,0.641,2.187,1.203,30.637,13.088,5.953,6.293,5.818,7.398,3.732,9.866,0,106.616,0.006,0.33,36.542,11.162,6.472,0.518,64.144,-236.222,785.505
"TTL_C17_18",26.797,0.099,0.803,0,0.941,0,4.72,0.245,343.653,17.75,15.9,1158.513,26.266,90.667,91.359,73.26,48.903,5.647,2.349,45.272,42.817,13.327,21.118,4.567,0.105,15.169,91.417,19.805,39.249,134.685,335.081,27.93,6.404,15.879,5.328,13.901,70.731,294.093,37.372,253.824,162.686,49.863,457.552,162.329,470.017,344.355,149.473,82.201,59.94,0,971.881,0.029,8.795,27.889,11.901,21.978,38.962,578.86,-1894.083,5100.577
"TTL_C19",285.414,2.232,19.677,0,11.141,0,110.681,6.032,149.339,13.888,11.534,38.173,5678.542,978.596,41.34,77.57,89.488,85.978,8.898,56.267,18.44,14.994,18.732,7.037,0.17,15.756,50.142,610.472,161.066,489.965,525.499,1549.963,580.485,3772.423,39.231,30.693,80.924,18.125,24.453,93.003,75.482,59.581,182.672,149.981,524.934,116.666,116.938,58.181,63.907,0,2679.202,0.039,0.423,8.656,27.017,38.803,3.01,7395.252,-8172.988,19094.117
"TTL_C20",550.418,0.291,1.573,0,3.954,0,45.553,1.685,239.782,139.795,21.706,206.434,656.19,2205.91,327.085,1023.651,115.621,24.043,8.401,114.726,96.518,33.346,40.135,15.972,0.629,30.771,154.272,23.664,104.009,411.403,117.813,34.661,8.595,39.733,4.31,1.753,81.89,27.963,4.698,43.327,12.938,78.595,138.641,76.02,91.022,67.965,200.319,28.052,93.733,0,2355.907,0.048,0.451,47.93,22.51,16.123,33.938,7537.543,-5863.143,11900.87
"TTL_C21",101.375,0.04,0.634,0,1.087,0,4.706,0.256,52.487,5.118,1.004,6.047,30.116,123.138,1374.826,37.092,4.791,1.669,0.509,6.078,10.682,1.787,4.837,0.789,0.032,2.104,16.697,4.219,17.625,29.677,33.032,11.005,4.389,19.761,0.985,0.886,9.477,4.491,3.737,16.139,5.544,7.404,123.301,12.684,192.906,40.216,1939.247,19.857,14.78,0,1104.588,0.244,0.767,100.902,16.311,10.035,5.623,5767.551,-3507.079,7798.206
"TTL_C22",109.813,0.376,2.196,0,4.556,0,25.033,1.124,565.857,44.508,14.426,123.111,118.676,286.599,168.53,1105.359,60.585,11.516,5.742,185.679,200.134,88.788,136.004,72.149,0.643,126.609,235.851,21.346,101.845,1173.764,540.609,191.834,13.876,49.805,8.261,4.559,51.761,16.723,10.858,28.722,22.971,129.503,124.447,89.971,96.424,57.242,80.121,29.694,49.568,0,403.137,0.028,0.392,1032.744,134,1.961,0.668,2484.441,-2810.518,7834.619
