"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4654.831,14.854,10.123,0.022,32.566,0.001,10.028,0.279,26215.494,752.452,57.578,97.124,39.657,247.44,106.898,176.954,109.066,154.864,67.376,108.267,22.67,43.902,107.46,51.232,8.932,16.323,111.469,1098.114,119.077,174.325,884.464,92.471,3.308,1.493,83.116,8.695,1876.469,22.179,41.561,41.523,51.992,71.947,143.248,216.109,159.898,65.262,389.909,89.95,98.462,0,41717.217,0.144,26.794,616.99,36.526,152.279,360.047,6882.449,-17989.937,70753.944
"TTL_A02",84.291,120.136,0.407,0.004,0.525,0,0.344,0.003,177.369,16.273,1274.268,121.403,0.146,10.95,2.037,72.544,3.971,1.249,0.842,1.234,0.182,0.533,2.028,0.606,0.372,0.175,125.592,81.751,0.604,42.129,59.707,0.908,0.125,0.024,0.978,0.118,27.285,0.547,0.369,0.732,0.246,1.355,1.524,4.105,9.105,1.482,5.636,5.478,2.437,0,521.335,0.009,677.098,3.543,0.803,2.026,0.586,183.393,-566.509,3086.411
"TTL_A03",2.657,0.024,6.992,0,0.046,0,0.019,0.001,339.262,1.374,0.108,0.136,0.116,0.455,0.216,0.193,0.146,0.176,0.098,0.239,0.057,0.149,0.336,0.139,1.174,0.159,0.332,0.192,0.103,0.631,4.217,0.354,0.416,0.021,0.517,0.044,49.974,0.089,0.049,0.11,0.097,0.093,0.302,0.286,1.289,0.205,2.128,0.276,0.268,0,2078.452,0.007,0.184,2.212,0.993,8.625,13.77,191.648,-1074.413,1637.742
"TTL_B05",0.991,0.013,0.006,0.016,0.836,0,0.87,0.057,5.029,1.814,0.272,2.522,20.664,9.792,0.239,1.478,24.378,106.997,15.378,0.782,0.126,0.563,1.71,0.413,0.167,0.281,0.588,500.069,0.536,13.17,1.972,0.75,0.021,0.015,0.464,0.037,0.549,0.044,0.085,0.092,0.083,0.433,0.368,0.382,1.216,0.407,0.735,0.099,0.46,0,6.68,0,0.13,3.935,0.106,0.339,0.003,39.155,-712.144,56.174
"TTL_B06",26.495,0.38,0.846,0.228,865.517,0.004,75.871,5.748,610.65,97.959,34.241,309.071,46502.512,3379.609,31.784,254.744,1132.613,1607.724,903.029,359.623,13.908,47.836,192.833,75.582,17.64,33.202,152.137,38174.639,127.28,397.103,699.333,141.453,7.415,4.79,200.492,12.537,46.486,9.185,9.381,28.066,23.66,79.989,162.437,102.111,157.904,28.663,72.829,13.171,18.901,0,170.195,0.13,82.226,880.795,1.246,5.473,0.781,1929.208,-90182.988,10136.676
"TTL_B07",1.297,0.007,0.017,0.01,4.543,0.006,12.199,0.498,12.243,1.801,0.377,0.817,24.852,64.186,1.35,3.806,120.006,1837.705,2142.563,118.36,5.156,30.101,41.391,12.506,1.46,3.789,19.892,65.597,5.214,115.593,4.76,1.318,0.05,0.035,0.868,0.043,1.008,0.09,0.069,0.122,0.128,0.577,2.039,1.719,0.626,0.112,0.563,0.231,0.858,0,2.885,0.003,0.111,3.028,0.216,1.079,0,0.157,-4669.679,0.361
"TTL_B08",29.614,0.219,0.489,0.01,6.85,0.001,69.067,0.667,91.068,10.44,3.103,14.789,32.573,176.365,7.404,21.877,1232.68,253.033,85.912,29.221,5.116,15.252,25.443,11.473,2.065,2.142,31.332,107.117,19.304,1607.04,25.547,4.21,0.533,0.109,3.601,0.194,12.396,0.464,0.531,0.634,0.627,19.322,7.568,28.912,11.39,1.396,6.353,1.545,3.302,0,178.449,0.016,0.982,30.77,2.407,1.049,1.004,1136.555,-483.776,4887.757
"TTL_B09",0.727,0.009,0.363,0.017,94.828,0.001,11.986,3.602,2.334,0.461,0.242,1.895,67.807,3.916,0.217,1.398,11.615,6.997,4.841,1.134,0.15,0.394,1.325,0.387,0.076,0.173,0.668,73.894,0.665,20.886,2.792,1.809,0.23,0.144,1.581,0.235,0.419,0.395,0.213,0.37,0.319,0.46,2.241,0.895,0.832,0.149,0.666,0.194,0.166,0,2.548,0.002,43.422,774.723,0.07,0.614,0,248.311,-603.377,793.431
"TTL_C10T12",4741.829,1.709,66.598,0.003,4.049,0,2.902,0.126,26719.215,605.927,10.393,73.564,13.99,527.447,253.48,82.3,22.085,13.253,13.651,31.647,8.083,19.115,49.183,13.113,3.313,5.844,80.04,32.045,40.73,81.063,1420.697,36.704,22.742,2.829,59.264,6.013,12495.388,52.696,20.676,50.349,44.141,39.956,114.767,153.075,248.22,143.523,917.144,256.985,118.394,0,125145.517,15,266.581,58.393,107.462,483.631,1546.032,39356.427,-35047.89,181651.417
"TTL_C13T15",41.124,1.32,7.087,0.015,11.916,0.001,3.647,0.377,207.007,19897.617,34.847,155.558,8.203,96.106,49.428,244.1,68.026,35.904,18.042,102.267,34.458,64.444,170.461,257.374,20.373,28.735,1045.858,58.43,80.056,309.151,797.801,47.315,2.804,2.727,54.29,24.381,209.77,27.558,16.918,25.508,22.923,20.514,229.014,430.41,362.007,57.532,650.073,193.072,293.915,0,56846.519,0.025,8.802,660.715,195.109,163.51,823.712,39179.992,-28567.189,95831.661
"TTL_C16",111.731,7.142,1.848,0.019,9.256,0.001,5.183,0.283,463.168,226.602,3130.862,453.831,7.42,156.559,36.524,165.979,211.124,51.417,39.387,233.879,31.614,105.582,221.936,168.769,83.946,33.227,3591.06,132.581,66.014,5382.833,562.053,65.696,5.812,3.833,155.016,5.392,130.606,29.13,14.06,25.548,28.271,189.901,246.603,195.108,60.988,29.724,215.262,49.42,137.059,0,2327.081,0.18,46.031,1584.755,157.041,18.342,75.005,3130.08,-5894.834,18722.937
"TTL_C17_18",138.66,1.229,4.527,0.01,18.746,0.001,5.64,0.417,3867.021,757.144,156.169,10366.868,23.307,493.739,523.12,619.311,427.913,124.768,93.787,382.381,138.187,290.112,524.226,212.284,23.734,65.184,881.338,213.073,277.37,511.601,3147.226,151.057,16.543,6.192,233.177,109.053,422.104,1673.686,207.361,661.344,760.944,115.991,2429.018,1727.045,1041.343,476.198,1233.857,320.934,375.225,0,7077.695,0.099,58.536,238.225,40.522,63.351,188.88,8895.029,-8954.688,43857.811
"TTL_C19",1621.124,40.569,133.55,0.279,253.475,0.016,146.736,11.341,2016.084,496.637,238.521,432.355,5645.734,6192.579,234.96,539.38,954.883,1643.437,370.511,549.256,60.127,381.13,534.924,376.99,43.322,78.018,737.109,7719.15,1011.666,3069.934,5853.968,9843.511,1897.018,1747.421,2038.913,288.714,580.445,121.567,160.107,287.372,400.301,163.405,1048.378,1345.85,1371.956,193.494,1103.24,255.658,405.799,0,9313.68,0.108,7.087,71.207,69.08,116.792,86.96,19049.078,-19074.299,74280.609
"TTL_C20",3661.932,5.433,7.635,0.117,93.918,0.007,67.675,3.731,2505.111,4089.081,519.166,1781.967,626.671,16257.735,2446.61,12269.208,1309.584,514.759,393.209,1192.021,403.294,942.972,1171.024,869.404,192.581,156.506,2141.596,294.2,700.013,2478.135,1128.954,150.639,18.206,11.261,229.065,10.065,354.313,154.249,27.17,129.816,54.435,240.179,787.262,948.947,234.883,102.85,2023.566,118.397,733.666,0,14195.136,0.254,362.391,610.949,36.941,46.991,108.091,35202.828,-44442.654,70674.149
"TTL_C21",246.103,0.46,1.231,0.008,8.411,0.001,3.833,0.272,279.516,219.425,26.611,85.358,30.21,736.519,1691.801,521.023,60.006,37.881,22.542,75.444,27.192,55.063,105.996,51.755,11.198,12.406,136.015,29.855,48.922,159.223,134.97,22.762,3.451,2.53,20.384,2.114,49.296,12.853,8.683,26.26,10.677,16.066,207.565,62.29,101.737,16.653,3931.751,22.027,48.354,0,9566.349,0.308,3531.536,723.973,44.378,30.279,16.319,26120.468,-19017.966,30400.347
"TTL_C22",510.815,5.057,10.734,0.082,74.788,0.003,25.096,1.756,5794.243,2716.034,249.266,1083.875,67.199,1443.6,885.646,8410.951,491.574,204.146,188.499,1386.716,576.671,1721.966,2988.05,2960.212,139.73,468.211,2393.848,183.273,500.623,5298.766,4282.746,877.973,24.255,9.643,319.158,33.826,286.279,127.357,63.126,105.858,110.722,240.695,701.371,799.823,230.176,83.227,707.743,113.834,219.301,0,7708.41,0.186,71.319,1357.854,127.721,5.24,38.314,19518.732,-14341.868,64604.452
"TTL_C23",177.69,1.588,1.28,0.022,38.887,0.003,39.893,1.243,1288.818,151.054,112.589,52.443,34.944,386.479,207.315,514.041,4825.264,581.15,160.823,474.127,188.075,379.667,457.359,433.859,68.348,56.061,483.798,182.814,193.623,18475.933,551.769,72.252,13.948,3.557,83.689,5.779,183.296,11.354,18.688,30.214,32.77,513.54,355.067,168.852,124.985,51.43,219.375,42.772,95.304,0,4072.636,0.069,36.891,800.62,76.302,3.897,13.714,10725.313,-5970.772,42306.498
"TTL_C24A",38.418,0.847,0.581,0.066,163.356,0.003,6.567,1.393,112.188,68.027,56.497,35.207,22.823,68.978,15.82,440.766,417.025,18044.787,715.106,18219.152,310.802,1791.473,11648.234,3243.214,743.853,1230.251,1447.702,221.841,680.492,7572.026,390.225,45.053,8.171,0.957,88.28,1.172,6.9,1.299,1.519,2.074,4.131,64.161,204.992,38.29,25.858,8.454,18.094,15.362,23.239,0,22.602,0,37.823,14.921,1.461,0.796,0,25385.547,-26671.771,67057.106
"TTL_C24B",14.132,0.437,0.075,0.004,21.418,0.001,2.19,0.129,294.674,65.986,33.385,53.83,9.162,396.424,51.393,258.463,138.373,2213.805,11604.224,6708.756,659.409,3721.213,3746.461,1387.211,156.627,478.888,1768.77,89.255,502,1442.463,287.469,16.789,3.092,0.183,20.104,0.189,17.902,3.119,1.471,2.431,4.56,23.937,45.118,11.716,13.324,1.209,26.494,8.454,19.637,0,234.376,0,0.337,106.837,7.7,1.16,0,18376.374,-22120.14,32933.004
