"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",282.15,0.683,0.022,0.027,0.013,0.006,0.049,0.009,1255.429,14.561,0.124,0.347,0.045,3.498,3.123,1.703,0.177,0.004,0.009,0.037,0.008,0.026,0.019,0.018,0.002,0.002,0.294,0.259,0.137,1.353,6.47,0.26,0.006,0.131,0.064,0.002,40.048,0.072,0.058,0.011,0.045,0.062,0.105,0.665,2.433,1.902,3.97,1.611,1.221,0,2157.89,0.094,0.615,313.842,14.681,10.028,41.833,820.753,-1471.986,3511.018
"TTL_A02",18.989,29.872,0.004,0.514,0.031,0.022,0.096,0.002,24.041,0.756,21.844,12.532,0.015,1.346,0.284,5.561,0.506,0.008,0.01,0.02,0.001,0.007,0.007,0.002,0.002,0,2.366,2.83,0.034,2.746,2.169,0.04,0.001,0.01,0.008,0,2.01,0.048,0.059,0.013,0.01,0.081,0.012,0.089,1.732,0.583,0.386,0.982,0.191,0,15.864,0.002,0.034,7.454,0.273,0.129,0.042,0.405,-4.035,153.038
"TTL_A03",0.157,0.003,0.002,0.004,0.007,0.001,0.009,0.001,1.998,0.02,0.001,0.012,0.046,0.03,0.014,0.01,0.016,0.002,0.003,0.007,0.001,0.004,0.002,0.001,0,0,0.003,0.006,0.003,0.025,0.126,0.04,0.019,0.005,0.027,0,0.172,0.003,0.006,0.001,0.003,0.001,0.004,0.012,0.037,0.013,0.017,0.009,0.004,0,16.279,0.004,0.02,0.317,0.026,0.564,0.029,0.357,-14.631,5.857
"TTL_B05",2.04,0.02,0,22.648,0.481,0.75,1.885,0.617,8.996,0.969,0.035,2.722,55.539,12.891,0.288,1.039,30.115,8.762,2.048,0.084,0.009,0.096,0.043,0.015,0.007,0.01,0.045,203.715,0.248,5.292,0.615,0.412,0.001,0.033,0.035,0.001,0.522,0.016,0.065,0.007,0.017,0.089,0.019,0.043,2.206,1.673,0.324,0.07,0.302,0,3.585,0,0.001,0.036,0.026,0.022,0.001,0.015,-33.814,337.733
"TTL_B06",1.429,0.014,0.002,5.191,10.936,0.815,4.308,1.224,21.215,0.746,0.116,6.298,2110.581,84.643,1.034,3.923,30.033,2.322,2.247,1.762,0.049,0.242,0.17,0.103,0.018,0.029,0.502,254.091,1.548,4.175,7.148,2.431,0.024,0.967,0.575,0.019,0.965,0.191,0.238,0.075,0.302,0.438,0.29,0.57,5.386,2.203,0.808,0.315,0.398,0,7.123,0.006,0.035,1.58,0.519,0.349,0.05,5.122,-2112.947,474.946
"TTL_B07",0.57,0.002,0,2.596,0.624,13.184,7.83,1.196,4.077,0.092,0.007,0.118,12.644,17.437,0.361,0.348,35.306,29.368,58.326,4.101,0.069,0.557,0.223,0.068,0.006,0.01,0.422,5.178,0.267,16.651,0.3,0.192,0.001,0.038,0.019,0.001,0.203,0.019,0.03,0.005,0.026,0.042,0.046,0.085,0.236,0.097,0.061,0.051,0.154,0,0.193,0,0.004,0.222,0.017,0.069,0.015,0.942,-3.733,210.971
"TTL_B08",1.003,0.009,0.001,0.275,0.096,0.131,3.33,0.134,1.796,0.078,0.004,0.257,1.502,3.757,0.115,0.201,26.075,0.347,0.23,0.102,0.008,0.047,0.019,0.007,0.001,0.001,0.077,1.252,0.149,15.546,0.213,0.1,0.021,0.034,0.034,0,0.078,0.006,0.011,0.002,0.005,0.088,0.008,0.104,0.349,0.05,0.039,0.022,0.036,0,20.327,0,0.007,0.675,0.325,0.068,0.054,364.764,-22.355,421.617
"TTL_B09",0.746,0.005,0.022,12.034,37.657,3.064,21.538,24.258,1.223,0.042,0.009,0.94,34.758,0.31,0.063,0.441,8.669,0.213,0.263,0.077,0.004,0.024,0.02,0.006,0.001,0.001,0.018,7.958,0.168,8.506,0.219,0.541,0.008,0.28,0.087,0.007,0.104,0.111,0.021,0.003,0.026,0.083,0.063,0.031,0.349,0.114,0.058,0.017,0.022,0,0.427,0,1.5,50.703,0.04,0.039,0.028,4.095,-5.388,216.631
"TTL_C10T12",294.1,0.082,0.172,0.108,0.071,0.03,0.22,0.036,1278.048,4.437,0.04,1.899,0.758,16.934,10.372,1.202,0.704,0.036,0.054,0.23,0.034,0.121,0.068,0.023,0.004,0.006,0.366,0.322,0.528,1.46,19.071,0.75,0.048,0.457,0.19,0.011,270.136,1.419,0.996,0.272,0.755,0.438,0.323,1.112,12.356,15.53,17.829,8.464,3.099,0,6651.909,0.004,0.439,71.925,10.767,32.417,151.934,1035.977,-2416.527,7504.566
"TTL_C13T15",4.813,0.104,0.059,0.462,0.199,0.124,0.393,0.117,10.46,738.057,0.183,12.631,0.476,8.674,2.841,14.82,6.585,0.091,0.075,1.013,0.134,0.544,0.381,0.907,0.077,0.078,9.781,0.378,0.822,8.953,14.004,0.818,0.008,0.371,0.195,0.036,14.403,0.615,0.591,0.145,0.352,0.391,0.781,2.973,16.999,4.921,14.301,7.521,12.191,0,825.135,0.009,0.384,64.029,27.013,11.167,127.509,1589.523,-1241.418,2319.201
"TTL_C16",4.532,0.264,0.003,0.421,0.073,0.083,0.255,0.043,11.188,1.507,10.741,8.716,0.165,3.415,0.684,1.865,5.347,0.053,0.086,0.947,0.078,0.414,0.176,0.199,0.088,0.024,13.585,1.057,0.306,78.346,4.352,0.52,0.002,0.084,0.248,0.002,2.219,0.389,0.232,0.045,0.117,3.507,0.395,0.711,1.101,1.504,1.536,1.178,3.151,0,40.476,0.007,0.266,6.182,2.372,1.251,0.005,47.602,-134.68,129.434
"TTL_C17_18",6.493,0.065,0.009,0.211,0.238,0.129,0.312,0.082,153.334,9.86,0.571,235.441,1.013,13.243,17.662,9.629,12.178,0.101,0.191,1.882,0.559,1.509,0.582,0.279,0.026,0.063,3.416,1.407,1.782,7.07,36.185,2.326,0.028,0.66,0.576,0.185,9.591,54.282,9.745,3.232,11.798,1.173,6.522,11.513,49.166,49.072,18.042,13.122,7.747,0,273.651,6.712,25.48,3.456,3.009,4.243,0.508,307.146,-397.565,990.944
"TTL_C19",216.406,4.29,0.769,18.711,8.981,8.929,24.51,7.105,197.736,12.704,2.243,24.439,509.296,338.495,18.483,16.167,72.679,6.907,2.61,7.198,0.555,5.133,1.598,1.436,0.124,0.191,6.609,106.924,27.196,127.419,140.164,414.926,6.51,393.736,13.512,1.157,33.995,7.037,16.842,3.393,14.967,4.193,5.38,26.631,151.328,45.722,40.35,18.576,24.724,0,1912.581,0.006,0.865,39.611,23.433,7.487,29.913,292.649,-1779.26,3666.27
