"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",9978.809,18.913,3.358,0.024,0.358,0.049,2.857,0.271,39395.157,157.008,25.005,27.861,7.651,151.032,127.307,601.882,13.125,6.294,14.232,6.163,15.231,22.53,44.168,38.99,2.4,4.506,256.516,13.924,10.129,321.271,2488.209,11.307,22.37,2.396,24.827,6.544,3661.39,15.529,12.357,15.716,53.784,16.381,159.094,25.01,22.711,266.258,976.401,261.103,187.377,0,36293.896,0.443,4.06,1168.079,9.579,29.542,2.253,456.991,-20172.903,77287.722
"TTL_A02",47.224,655.412,1.51,0.024,0.289,0.009,0.671,0.01,164.254,8.447,1878.396,11.374,0.553,32.041,0.631,1.511,8.294,0.359,0.902,0.136,0.523,1.281,2.881,1.564,0.185,0.632,53.974,1.207,0.702,34,24.897,0.848,2.315,0.143,1.832,0.38,254.364,0.997,0.615,1.852,3.331,1.025,1.864,1.05,12.832,8.792,30.376,1.143,5.799,0,2018.487,0.006,0.057,2.82,0.419,0.382,0.014,141.981,-987.953,4439.665
"TTL_A03",4.37,0.092,322.736,0.004,0.069,0.023,0.561,0.006,5192.507,1.054,0.21,0.981,1.628,2.893,4.201,1.626,1.273,1.183,2.468,1.286,1.64,2.387,4.991,6.99,0.704,0.058,817.508,2.933,1.535,8.82,64.979,3.798,11.732,0.451,3.993,1.272,783.062,2.846,1.727,5.552,10.937,3.336,3.909,3.184,3.924,8.162,181.623,4.08,17.934,0,3514.914,0.004,0.085,1.672,1.761,1.66,0.975,534.797,-1230.929,10328.18
"TTL_B05",0.853,0.912,0.013,0.038,0.3,0.284,13.339,2.432,35.849,68.993,5.958,1713.463,12569.931,2428.883,7.765,58.901,1369.9,1013.378,214.578,3.729,57.738,38.666,40.352,23.027,6.124,3.944,5.687,12725.832,310.648,4.419,59.97,17.437,0.029,0.027,0.732,0.004,16.68,0.204,2.95,0.283,0.307,0.289,0.697,2.185,0.148,0.844,11.623,0.318,6.605,0,2.234,0,0.146,1.875,0.018,0.064,0,1.716,-32331.695,521.625
"TTL_B06",12.939,0.827,2.142,0.263,0.421,1.2,3.863,11.147,123.87,47.166,2.136,55.39,90382.595,7822.304,28.004,17.057,223.394,418.917,155.919,26.238,23.179,17.964,81.872,251.164,2.543,7.439,16.758,67166.934,35.044,43.171,315.327,119.962,26.412,15.905,5.044,1.747,8.847,4.011,6.179,11.606,6.927,4.696,16.588,11.809,27.87,3.758,11.81,6.435,10.736,0,320.597,0.026,3.776,60.051,1.598,1.026,0.01,50.721,-166845.687,1189.649
"TTL_B07",3.241,4.217,0.032,0.012,0.102,0.032,1.237,8.749,15.738,10.144,1.16,5.498,346.906,120.543,4.132,21.025,2000.661,15084.377,941.036,227.451,135.56,196.266,181.707,212.344,7.736,9.418,110.742,6.322,1.312,5357.369,19.051,21.04,0.329,0.06,0.391,0.013,2.931,1.34,0.684,1.22,0.65,0.372,1.986,1.088,12.2,0.252,18.219,0.168,3.528,0,102.718,0.014,0.548,6.124,0.204,0.203,0.006,122.623,-23532.037,1800.993
"TTL_B08",4.237,0.017,0.069,0.114,0.028,0.717,16.635,1.678,5.962,3.78,0.715,17.891,59.936,190.677,3.944,17.656,274.983,1699.218,3447.147,0.752,12.568,34.632,28.925,20.739,0.473,0.536,35.669,63.903,1.223,11.467,18.237,0.348,5.451,0.112,0.718,0.043,2.851,0.419,0.325,0.703,0.277,0.167,1.71,0.73,1.695,0.22,1.807,0.802,2.5,0,30.723,0.003,0.418,7.079,0.278,0.201,0.006,425.207,-1757.104,4702.217
"TTL_B09",1.067,0.029,3.35,0.233,10.706,0.688,32.298,38.437,2.923,0.181,0.218,4.936,326.189,15.62,0.313,2.785,20.034,29.401,27.277,0.435,0.759,0.973,1.631,1.403,0.048,0.191,1.36,208.209,1.105,53.094,4.19,3.513,0.552,0.474,1.359,0.275,0.866,1.052,0.864,2.177,0.739,1.364,3.727,0.844,2.007,0.307,1.346,0.172,0.253,0,4.914,0.009,154.68,1536.226,0.03,0.116,0.001,362.841,-1105.781,1765.009
"TTL_C10T12",4856.684,140.004,693.885,0.179,2.23,0.353,19.861,0.711,34247.244,152.47,27.133,148.981,64.01,902.745,248.754,157.022,55.317,50.02,71.666,50.368,92.936,99.98,164.572,147.818,15.153,11.314,357.913,95.273,86.681,309.789,4015.969,94.263,218.236,14.58,164.838,43.105,23914.494,59.543,27.6,145.387,312.156,156.563,323.882,188.925,209.99,586.791,2844.167,151.855,379.861,0,238285.154,0.083,2.949,34.182,40.934,95.262,239.613,5839.03,-50299.124,271361.354
"TTL_C13T15",196.729,18.473,197.293,0.303,2.927,1.279,10.233,1.468,439.216,5495.113,25.234,385.686,20.972,194.297,21.365,422.388,188.553,25.366,57.528,53.116,178.471,158.248,229.267,356.732,39.673,14.082,2044.641,70.761,98.137,740.94,2024.704,161.784,343.281,11.603,148.42,46.876,375.945,68.815,275.799,183.561,313.335,36.731,302.974,478.471,468.097,116.784,696.848,283.012,618.592,0,46031.408,0.017,0.961,1218.849,106.78,33.019,86.373,4999.62,-42455.717,28665.432
"TTL_C16",105.399,43.442,18.355,0.083,0.838,0.374,0.554,1.051,158.426,16.285,3468.214,1704.111,8.102,90.739,5.352,28.071,179.899,3.757,94.136,67.931,16.018,40.651,112.358,101.661,46.156,18.318,8170.186,253.079,4.487,14571.044,1105.447,9.385,1.048,0.692,631.334,2.322,169.626,14.177,11.692,10.855,39.564,4.061,62.813,55.27,19.442,11.372,23.437,46.632,54.667,0,964.518,0.012,1.242,136.461,8.108,3.681,31.046,224.156,-9991.731,22980.405
"TTL_C17_18",3094.637,39.441,27.543,0.145,2.387,0.579,18.212,1.724,5697.019,232.308,209.917,22144.686,60.566,1494.248,682.985,543.803,588.373,57.729,190.688,323.924,908.878,1023.775,863.389,750.62,41.15,92.362,3212.575,327.907,428.312,1391.544,10923.496,515.367,400.367,29.857,1595.67,331.885,856.21,6160.429,1809.797,2370.378,4362.174,247.127,4709.402,967.126,2279.376,1845.908,3496.808,250.236,675.51,0,3846.895,0.057,1.411,34.789,10.479,12.479,0.956,3392.235,-4556.382,91021.465
"TTL_C19",1968.29,148.701,475.862,2.969,26.219,54.717,504.255,63.061,1730.497,372.124,148.039,564.329,7932.98,17524.931,136.498,380.788,981.885,5141.213,624.936,408.125,167.81,272.803,693.472,836.841,73.086,117.133,1380.856,9550.761,1991.224,7388.943,16226.623,7726.611,6813.183,4023.006,455.011,414.992,1685.877,311.369,497.582,885.817,1235.703,821.597,3147.067,1005.016,5703.109,824.732,1829.109,1187.196,1115.058,0,61681.631,0.068,2.527,38.869,70.013,22.008,26.622,12999.956,-31288.214,161125.488
