"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4061.527,12.135,7.924,1.284,15.48,2.931,1.029,1.065,2175.557,5.303,0.255,0.252,0.134,5.249,1.926,1.95,0.567,0.556,0.339,0.05,0.024,0.043,0.144,0.443,0.031,0.049,1.754,4.479,1.563,15.647,271.091,15.769,0.183,2.169,2.474,0.096,280.805,1.246,0.494,1.347,2.885,6.146,7.179,34.814,54.428,63.508,50.136,17.116,18.264,0,11327.535,0.005,709.973,2114.201,135.346,15.147,5.765,4145.239,-2506.634,23096.417
"TTL_A02",11.083,14.997,0.057,0.735,1.138,0.618,0.086,0.037,2.447,0.019,2.18,0.457,0.004,0.128,0.011,0.27,0.165,0.114,0.11,0.007,0.002,0.006,0.01,0.056,0.015,0.004,0.302,1.495,0.029,7.507,5.892,0.353,0.002,0.019,0.131,0.003,0.655,0.083,0.023,0.086,0.114,1.018,0.311,0.432,1.633,1.031,0.374,0.436,0.574,0,7.986,0,128.502,0.873,0.26,0.195,0.002,10.765,-30.882,174.959
"TTL_A03",3.705,0.024,7.04,0.024,0.449,0.076,0.02,0.01,32.086,0.003,0.001,0.003,0.006,0.03,0.007,0.005,0.011,0.023,0.01,0.002,0,0.001,0.003,0.006,0.001,0.001,0.009,0.015,0.01,0.102,2.766,0.291,0.074,0.012,0.179,0.002,9.857,0.036,0.009,0.053,0.097,0.119,0.064,0.094,1.632,0.887,0.773,0.19,0.198,0,404.252,0,0.084,0.486,1.062,0.852,0.444,2.477,-53.416,417.255
"TTL_B05",1.525,0.019,0.003,38.714,15.056,9.544,1.329,2.309,0.824,0.028,0.005,0.12,2.908,0.938,0.01,0.068,4.219,16.523,2.121,0.006,0.002,0.01,0.018,0.038,0.009,0.012,0.023,140.687,0.098,3.353,1.435,1.339,0.001,0.026,0.122,0.004,0.156,0.019,0.02,0.043,0.081,0.648,0.121,0.134,2.522,2.774,0.465,0.046,0.781,0,417.285,0,0.01,1.149,8.747,0.032,0.062,1450.298,-66.032,2062.808
"TTL_B06",7.442,0.09,0.298,42.071,4062.777,51.498,14.977,22.173,10.232,0.177,0.076,1.332,1271.895,30.088,0.169,1.228,20.599,21.434,11.288,0.384,0.034,0.102,0.239,0.93,0.096,0.149,1.966,2050.4,3.055,12.507,70.007,47.539,0.24,4.501,7.712,0.361,1.577,0.748,0.324,1.879,5.091,12.473,7.245,7.272,31.252,18.386,5.816,1.515,2.266,0,46.426,0.001,0.051,3.404,2.359,0.526,0,34495.385,-424.242,41989.818
"TTL_B07",11.012,0.032,0.155,110.245,493.256,4396.009,143.574,116.13,9.876,0.151,0.017,0.12,16.403,32.381,0.263,0.469,128.958,1448.059,1553.076,4.41,0.103,0.595,1.528,2.099,0.118,0.127,1.719,84.261,2.311,260.664,14.627,14.964,0.018,0.548,1.411,0.045,1.68,0.217,0.093,0.141,0.339,6.157,4.996,5.087,6.271,3.695,1.656,1.179,4.956,0,6.93,0.002,0.286,105.605,0.049,0.103,0.058,6933.01,-1645.169,14287.075
"TTL_B08",18.34,0.099,0.228,5.88,37.52,27.25,43.385,8.011,2.824,0.096,0.016,0.27,1.172,6.281,0.163,0.753,65.922,10.079,3.194,0.076,0.021,0.071,0.083,0.213,0.022,0.017,0.231,7.133,1.28,165.22,3.878,2.091,0.027,0.06,0.335,0.009,0.416,0.169,0.027,0.146,0.17,6.843,0.751,4.951,6.601,1.489,2.046,0.341,0.87,0,116.851,0.001,0.11,4.159,4.799,0.102,0.01,731.059,-126.504,1167.66
"TTL_B09",2.079,0.03,0.583,29.827,1737.575,58.876,22.709,135.454,0.544,0.015,0.006,0.084,2.563,0.204,0.027,0.103,2.076,0.837,0.545,0.019,0.008,0.015,0.035,0.095,0.007,0.011,0.133,7.964,0.249,10.098,4.499,5.615,0.068,1.012,0.659,0.081,0.282,0.761,0.331,0.994,1.45,1.191,1.721,1.734,2.407,1.735,1.125,0.563,0.409,0,4.441,0.001,0.035,11.469,1.872,0.059,0.222,22.87,-15.75,2064.625
"TTL_C10T12",915.39,0.359,12.978,1.212,14.789,3.806,1.01,0.853,533.007,0.51,0.054,0.572,0.545,6.799,1.526,0.964,1.266,1.875,1.353,0.18,0.049,0.133,0.253,0.697,0.06,0.078,0.714,1.541,1.334,10.649,165.106,13.893,0.47,2.014,3.836,0.209,430.804,5.403,1.18,5.965,11.194,11.186,6.776,12.746,62.194,112.134,64.891,36.293,17.902,0,10908.02,0.011,1.542,15.238,98.977,48.995,14.377,3000.776,-5852.274,10714.412
"TTL_C13T15",22.074,0.635,5.898,6.619,50.761,13.21,2.043,3.615,7.608,66.281,0.157,3.116,0.204,3.857,0.625,5.045,5.543,1.31,0.585,0.306,0.169,0.326,0.791,10.753,0.52,0.507,6.926,2.303,3.605,36.719,219.281,22.748,0.11,2.109,5.149,1.365,26.418,4.693,1.591,5.737,10.432,13.274,28.452,66.51,177.046,77.802,132.425,53.812,61.069,0,2426.732,0.003,0.11,232.404,158.079,16.936,0.579,134.641,-3767.752,373.87
