"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",39.717,0.258,0.248,0,0,0.002,0.003,0.002,12.08,0.81,0.009,0.01,0,0.03,0.013,0.055,0.006,0.049,0.001,0,0,0,0,0.001,0,0,0.004,0.006,0.001,0.036,0.206,0.036,0.001,0.008,0.022,0.005,5.062,0.028,0.014,0.007,0.019,0.012,0.018,0.025,0.032,0.024,0.088,0.043,0.041,0,818.644,1.756,39.263,32.043,31,0.777,2.849,7034.958,-263.644,7756.677
"TTL_A02",17.167,48.052,0.205,0,0,0.001,0.004,0,1.292,0.098,1.711,0.182,0,0.01,0.003,0.14,0.005,0.026,0,0,0,0,0,0,0,0,0.024,0.021,0,0.086,0.281,0.015,0,0.001,0.006,0.003,1.526,0.033,0.041,0.012,0.011,0.015,0.006,0.013,0.099,0.034,0.034,0.115,0.048,0,256.151,6.307,16.88,9.52,1.725,0.01,0.004,297.123,-9.758,649.282
"TTL_A03",0.21,0.013,1.343,0,0,0.001,0.001,0.001,1.323,0.171,0.001,0.003,0,0.005,0.001,0.011,0.006,0.136,0.003,0.006,0,0,0,0.002,0,0.001,0.005,0.006,0.003,0.09,0.053,0.024,0.01,0.006,0.025,0.002,1.326,0.006,0.01,0.003,0.008,0.008,0.006,0.006,0.01,0.004,0.013,0.006,0.009,0,364.103,0.009,0.042,0.445,5.365,0.044,0.355,1593.304,-12.335,1956.213
"TTL_B05",76.461,1.786,0.334,0,0,0.529,2.292,1.993,25.143,2.98,0.108,1.643,0.478,3.531,0.126,1.071,8.247,66.922,0.159,0.008,0,0,0.001,0.009,0.004,0.007,0.018,55.792,0.097,6.401,3.887,5.938,0.01,0.123,1.093,0.194,9.605,0.299,1.832,0.249,0.624,0.643,0.277,0.288,5.144,4.06,1.324,0.327,3.815,0,109.628,0.001,0.038,0.019,0.666,0.002,0,0,-406.228,0
"TTL_B06",5.568,0.052,0.206,0,0,0.109,1.009,0.766,10.303,0.69,0.068,0.73,3.778,4.593,0.076,0.755,1.621,3.5,0.034,0.03,0,0,0.001,0.01,0.002,0.004,0.04,14.509,0.118,0.802,8.603,4.278,0.019,0.069,2.752,0.748,4.338,0.659,0.979,0.494,1.997,0.6,1.143,0.659,2.381,1.024,0.566,0.299,0.319,0,128.09,0.008,12.534,0.17,0.843,0.027,0,0,-222.969,0
"TTL_B07",90.39,1.895,2.62,0,0,27.923,28.885,12.04,58.668,4.618,0.459,1.141,0.362,17.919,1.269,5.525,31.027,724.053,15.704,4.319,0.004,0.007,0.147,1.379,0.117,0.341,3.534,4.603,2.11,86.308,20.035,12.193,0.132,0.56,3.212,0.373,27.994,1.591,2.43,0.487,2.95,2.913,3.573,1.828,2.624,0.709,1.646,2.133,5.55,0,2.653,0.002,0.058,0.345,0.21,0.005,0.003,7.463,-1118.784,112.256
"TTL_B08",38.195,0.657,2.313,0,0,0.094,4.266,0.417,3.735,0.202,0.006,0.148,0.014,1.08,0.031,0.126,7.614,2.663,0.018,0.008,0,0,0,0.002,0,0,0.03,0.212,0.065,18.77,0.721,2.589,0.055,0.602,0.283,0.114,1.734,0.084,0.249,0.051,0.247,0.545,0.117,0.573,0.886,0.095,0.098,0.106,0.125,0,63.704,0.002,0.12,0.146,0.491,0.005,0.005,130.105,-122.768,161.754
"TTL_B09",0.242,0.005,0.019,0,0,0.002,0.025,0.009,0.055,0.043,0,0.003,0.008,0.016,0.001,0.004,0.042,0.06,0.001,0.001,0,0,0,0,0,0,0.001,0.035,0.001,0.109,0.045,0.045,0.001,0.014,0.031,0.005,0.032,0.004,0.011,0.003,0.009,0.006,0.006,0.006,0.013,0.004,0.004,0.003,0.004,0,0.879,0.005,0.569,1.908,0.06,0.003,0.004,84.723,-2.838,86.239
"TTL_C10T12",17.981,0.034,0.688,0,0,0.008,0.022,0.006,37.342,0.436,0.003,0.019,0,0.034,0.015,0.039,0.037,0.268,0.006,0.005,0,0,0,0.002,0,0.001,0.006,0.031,0.004,0.133,0.637,0.119,0.008,0.039,0.055,0.013,35.21,0.246,0.212,0.055,0.264,0.025,0.04,0.037,0.116,0.123,0.195,0.266,0.091,0,2204.708,4.443,6.034,1.064,9.546,2.514,5.344,1045.854,-1415.693,1958.686
"TTL_C13T15",230.075,11.794,208.689,0,0,0.079,0.483,0.307,33.208,2354.585,0.697,12.002,0.002,3.337,1.544,24.198,2.605,0.614,0.006,0.108,0,0,0.012,0.799,0.065,0.076,6.123,0.038,0.205,12.612,107.792,8.496,0.169,0.958,6.133,4.173,388.322,17.195,7.36,4.922,17.217,3.527,17.657,14.594,27.622,8.229,59.654,37.881,46.133,0,1946.333,3.384,0.548,19.215,31.657,0.868,3.023,5779.736,-5124.949,6342.114
"TTL_C16",33.866,4.556,1.266,0,0,0.012,0.06,0.025,5.618,1.9,7.092,1.064,0,0.181,0.053,0.368,0.292,0.087,0.002,0.017,0,0,0.001,0.023,0.01,0.003,1.149,0.048,0.021,18.361,5.828,1.428,0.006,0.05,1.593,0.092,10.791,2.575,1.183,0.301,0.859,5.223,1.88,0.892,0.429,0.641,0.891,1.063,2.07,0,117.225,0.006,0.14,0.501,0.953,0.097,0.002,69.009,-232.117,69.687
"TTL_C17_18",18.992,0.26,1.957,0,0,0.008,0.023,0.018,58.623,4.165,0.157,14.481,0,0.281,0.707,0.729,0.317,0.101,0.003,0.014,0,0,0.001,0.012,0.001,0.002,0.126,0.022,0.034,0.629,11.395,1.854,0.036,0.14,1.237,1.873,19.7,16.911,6.412,6.736,15.975,0.348,5.466,3.949,3.707,4.643,4.324,2.148,2.558,0,341.101,0.023,4.951,0.527,2.793,0.329,0.257,137.322,-553.583,144.795
