"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",713.692,18.816,2.755,0.059,0.096,0.014,0.185,0.027,1287.85,18.045,15.476,3.523,1.799,18.698,0.93,8.365,2.404,0.088,0.004,3.987,2.989,1.323,1.762,0.908,0.222,0.462,17.949,1.638,1.215,20.791,40.174,16.803,0.108,0.48,2.301,0.308,54.305,0.821,0.545,1.096,0.926,4.696,3.992,9.33,5.398,3.315,11.102,2.784,2.495,0,2222.545,0.005,5.629,130.659,15.641,7.419,8.414,2215.416,-1239.207,5673.571
"TTL_A02",26.813,226.073,0.361,0.069,0.031,0.005,0.077,0.007,19.143,1.875,306.963,10.282,0.714,4.905,0.135,7.89,1.08,0.029,0.001,1.345,1.029,0.457,0.606,0.304,0.116,0.219,23.937,1.726,0.255,10.177,9.463,4.039,0.032,0.152,0.49,0.064,2.191,0.24,0.156,0.4,0.217,1.371,0.841,1.409,1.64,0.614,1.583,0.77,0.526,0,220.376,0.001,1.127,14.583,0.876,0.095,0.501,204.569,-41.797,1073.156
"TTL_A03",1.64,0.157,11.917,0.002,0.004,0.001,0.009,0.001,115.456,0.08,0.113,0.121,0.078,0.271,0.009,0.089,0.07,0.008,0,0.083,0.055,0.023,0.028,0.015,0.02,0.011,0.207,0.072,0.61,0.264,1.835,0.532,0.054,0.017,0.192,0.009,9.803,0.027,0.018,0.048,0.047,0.155,0.105,0.155,0.683,0.152,0.445,0.093,0.078,0,155.46,0.149,0.412,0.373,0.307,0.417,0.197,37.556,-175.889,164.846
"TTL_B05",0.413,0.036,0.007,0.197,0.019,0.008,0.15,0.014,0.593,0.095,0.509,0.236,0.973,2.057,0.004,0.159,2.366,0.207,0.005,0.081,0.027,0.022,0.024,0.013,0.004,0.009,0.423,8.245,0.052,2.194,0.398,0.551,0.001,0.008,0.083,0.008,0.052,0.013,0.018,0.103,0.034,0.16,0.069,0.116,0.179,0.098,0.059,0.023,0.044,0,14.388,0,0.02,0.311,0.157,0.016,0.002,26.816,-19.796,43.069
"TTL_B06",11.281,0.53,0.343,5.735,29.306,0.691,14.345,2.274,112.253,9.165,16.235,48.071,4511.963,1215.306,0.699,44.835,152.034,6.106,0.421,36.327,3.504,2.357,3.462,2.87,0.558,1.585,39.942,1300.102,13.464,39.484,152.604,113.397,0.236,0.72,34.425,2.319,4.74,1.624,0.888,3.787,3.994,25.361,20.721,22.529,31.794,10.117,5.433,2.003,2.377,0,17.284,0,0.251,5.31,3.395,0.257,0.073,53.01,-8010.968,132.929
"TTL_B07",0.211,0.01,0.007,0.035,0.026,0.128,0.386,0.029,0.351,0.028,0.03,0.03,0.341,3.249,0.004,0.092,3.091,0.906,0.123,1.563,0.07,0.08,0.149,0.064,0.01,0.024,0.5,0.327,0.071,3.812,0.194,0.264,0.001,0.005,0.04,0.003,0.022,0.006,0.007,0.027,0.016,0.087,0.08,0.117,0.052,0.015,0.015,0.011,0.019,0,0.402,0,0.007,0.198,0.038,0.051,0.001,1.299,-7.498,11.23
"TTL_B08",4.898,0.239,0.141,0.086,0.079,0.04,4.464,0.092,3.309,0.218,0.134,0.73,1.111,20.942,0.027,0.76,52.719,0.318,0.013,0.706,0.15,0.158,0.132,0.048,0.008,0.017,2.229,1.283,0.672,67.614,1.009,1.318,0.025,0.025,0.275,0.013,0.145,0.012,0.013,0.043,0.021,1.571,0.155,1.869,0.775,0.065,0.077,0.044,0.077,0,13.147,0,0.032,0.474,0.383,0.05,0.005,115.601,-170.346,130.219
"TTL_B09",0.318,0.021,0.257,0.314,2.401,0.062,1.711,1.076,0.263,0.018,0.059,0.197,2.345,0.427,0.003,0.16,1.332,0.017,0.001,0.071,0.02,0.013,0.021,0.009,0.002,0.004,0.096,1.155,0.044,2.657,0.372,1.295,0.011,0.053,0.247,0.033,0.029,0.038,0.014,0.039,0.029,0.13,0.154,0.109,0.091,0.029,0.03,0.017,0.013,0,0.476,0,1.562,31.905,0.03,0.029,0.001,12.397,-25.383,38.826
"TTL_C10T12",529.796,1.322,11.752,0.023,0.038,0.005,0.122,0.012,1020.254,2.909,1.475,2.857,0.408,36.521,1.23,3.532,0.942,0.038,0.002,1.69,0.744,0.397,0.534,0.256,0.05,0.131,5.767,0.344,1.047,4.834,70.114,9.45,0.342,0.393,2.672,0.261,323.092,2.245,0.709,2.523,2.252,4.269,3.723,7.763,12.734,11.293,20.053,11.338,3.698,0,5230.814,0.216,9.426,2.963,20.487,24.003,19.78,3511.021,-3249.834,7686.83
"TTL_C13T15",10.102,1.318,2.55,0.059,0.094,0.014,0.177,0.032,13.547,310.639,5.306,10.808,1.006,14.564,0.358,18.785,3.879,0.059,0.003,4.451,2.548,1.341,1.803,3.086,0.386,0.728,73.415,0.611,1.119,17.706,30.77,11.879,0.096,0.487,1.929,0.395,6.256,0.957,0.506,1.57,1.086,2.91,5.61,10.523,7.04,2.359,10.061,3.897,5.594,0,878.268,0.001,1.362,16.114,13.331,8.29,7.78,918.298,-935.942,1511.919
