"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",71.927,0.249,0,0,0,0.001,0.046,0,216.492,7.044,0.934,0.092,0,1.831,1.025,19.283,0.82,1.81,1.746,0.549,0.169,0.061,1.373,0.097,0.003,0.004,0.23,1.602,0.343,7.329,13.505,1.189,0.046,1.31,0.387,0.14,50.688,0.406,1.291,8.272,11.982,1.423,12.535,3.617,2.947,0.886,9.184,1.138,0.961,0,346.748,0.137,1.385,14.768,1.48,18.404,13.501,391.881,-612.711,632.559
"TTL_A02",1.156,1.772,0,0,0,0,0.011,0,1.262,0.143,30.725,0.353,0,0.163,0.023,14.016,0.246,0.213,0.281,0.044,0.005,0.003,0.071,0.005,0,0,0.368,2.069,0.019,2.115,1.449,0.122,0.002,0.034,0.027,0.02,0.627,0.026,0.07,0.576,0.578,0.097,0.46,0.133,0.414,0.062,0.232,0.134,0.071,0,1.318,0.001,0.173,0.088,0.045,0.236,0.027,11.841,-58.725,15.205
"TTL_A03",0.038,0.001,0,0,0,0,0.002,0,10.122,0.006,0.004,0.001,0,0.01,0.004,0.056,0.019,0.036,0.043,0.01,0.002,0.001,0.015,0.001,0,0,0.002,0.01,0.004,0.052,0.237,0.041,0.015,0.031,0.02,0.005,5.077,0.011,0.022,0.2,0.294,0.021,0.198,0.033,0.201,0.023,0.255,0.02,0.02,0,38.739,0,0.033,0.046,0.002,1.032,0,0,-57.014,0
"TTL_B05",0.016,0,0,0,0,0,0.015,0,0.048,0.02,0.009,0.009,0,0.134,0.004,0.305,1.027,12.885,3.988,0.019,0.002,0.003,0.035,0.003,0,0,0.003,12.574,0.01,0.372,0.107,0.058,0.001,0.022,0.012,0.008,0.019,0.005,0.025,0.246,0.357,0.029,0.183,0.033,0.065,0.019,0.03,0.006,0.016,0,13.141,0,0.06,0.048,0.007,0.04,0,0,-46.018,0
"TTL_B06",0.062,0.002,0,0,0,0.003,0.189,0,0.545,0.125,0.095,0.103,0,4.774,0.045,5.074,5.799,19.349,24.851,0.964,0.034,0.027,0.63,0.052,0.002,0.003,0.103,93.472,0.215,1.913,1.691,0.577,0.021,0.723,0.22,0.065,0.186,0.114,0.4,2.888,3.934,0.448,4.082,0.802,0.747,0.128,0.247,0.083,0.057,0,31.485,0.002,2.392,1.679,0.029,0.637,0,0,-212.068,0
"TTL_B07",0.004,0,0,0,0,0.002,0.015,0,0.013,0.004,0.003,0.001,0,0.047,0.003,0.078,0.326,10.495,26.92,0.125,0.003,0.003,0.057,0.003,0,0,0.005,0.1,0.009,0.373,0.083,0.024,0.001,0.031,0.01,0.005,0.015,0.01,0.064,0.633,0.926,0.056,0.657,0.1,0.061,0.014,0.035,0.015,0.009,0,0.054,0,0.014,0.119,0,0.126,0.002,3.406,-31.895,13.163
"TTL_B08",0.242,0.002,0,0,0,0.003,1.054,0,0.32,0.055,0.022,0.03,0,1.6,0.027,1.76,38.903,19.127,14.102,0.349,0.02,0.026,0.275,0.015,0,0.001,0.051,1.696,0.173,42.023,0.3,0.118,0.011,0.077,0.036,0.012,0.127,0.013,0.048,0.381,0.545,0.495,0.614,0.346,0.305,0.021,0.063,0.02,0.025,0,7.085,0.001,0.084,0.193,0.005,0.124,0.019,2.33,-54.942,80.332
"TTL_B09",0.015,0,0,0,0,0.001,0.121,0,0.033,0.01,0.008,0.006,0,0.017,0.006,0.212,0.269,0.309,0.47,0.028,0.005,0.003,0.05,0.005,0,0,0.007,0.447,0.019,0.608,0.279,0.132,0.007,0.246,0.052,0.017,0.031,0.033,0.124,1.004,1.319,0.07,1.116,0.19,0.101,0.022,0.059,0.025,0.015,0,0.089,0.001,0.633,13.614,0,0.072,0,0,-21.901,0
"TTL_C10T12",53.792,0.028,0,0,0,0.001,0.07,0,196.162,3.183,0.302,0.249,0,5.975,2.213,12.289,1.325,1.544,3.271,0.902,0.145,0.085,1.485,0.08,0.003,0.005,0.297,0.996,0.606,5.061,26.857,1.602,0.213,2.127,0.532,0.208,347.317,1.933,3.168,28.026,52.605,3.146,18.81,4.072,10.936,4.911,28.491,7.936,2.757,0,1727.446,1.339,5.571,2.392,2.78,59.396,15.396,1043.487,-2103.632,1589.892
"TTL_C13T15",0.344,0.012,0,0,0,0.002,0.045,0,0.744,92.027,0.425,0.397,0,0.834,0.284,29.259,2.175,2.088,2.37,1.33,0.289,0.114,2.171,1.005,0.012,0.014,2.35,0.698,0.534,7.118,7.396,0.62,0.012,0.524,0.179,0.285,2.753,0.495,1.016,6.268,8.607,0.719,17.19,6.437,6.641,1.035,7.859,2.353,2.391,0,730.723,0.249,0.941,8.138,1.709,20.492,16.188,419.171,-674.13,742.899
