"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",254.678,22.248,0.659,0.003,0,0.003,0.623,0.002,479.139,2.578,9.472,0.695,0.002,2.453,0.693,0.759,0.931,0.117,0.118,0.757,0.443,0.327,0.26,0.193,0.086,0.069,1.084,26.071,0.735,4.085,15.413,3.388,0.053,0.914,2.927,0.196,28.439,0.22,0.687,0.279,0.457,1.669,1.25,2.258,2.748,1.714,2.798,1.527,0.915,0,974.083,0.282,1.362,45.888,7.51,7.18,3.686,1212.32,-488.13,2641.317
"TTL_A02",24.104,809.609,0.158,0.006,0,0.001,0.35,0.001,14.448,0.405,826.138,4.268,0,1.078,0.132,2.107,0.771,0.03,0.036,0.344,0.205,0.168,0.134,0.095,0.097,0.033,8.515,21.834,0.136,11.523,9.202,0.899,0.021,0.359,1,0.056,2.053,0.098,0.211,0.201,0.166,0.748,0.515,0.772,1.668,0.484,0.486,0.872,0.42,0,271.986,0.009,18.694,2.259,2.374,0.092,0.08,503.124,-130.926,2414.648
"TTL_A03",1.113,0.526,2.879,0,0,0,0.137,0.001,40.149,0.092,0.98,0.139,0,0.25,0.053,0.086,0.222,0.023,0.02,0.23,0.153,0.109,0.098,0.055,0.041,0.031,0.448,1.159,0.091,1.174,1.371,0.656,0.036,0.559,0.606,0.019,4.842,0.024,0.103,0.054,0.041,0.131,0.175,0.292,0.37,0.09,0.252,0.096,0.061,0,56.649,0.005,0.267,2.144,0.172,0.404,0.147,42.718,-39.331,123.211
"TTL_B05",0.036,0.011,0.001,0,0,0,0.027,0,0.046,0.005,0.097,0.01,0,0.03,0.002,0.006,0.079,0.025,0.025,0.019,0.006,0.006,0.005,0.003,0.002,0.001,0.017,2.783,0.008,0.191,0.054,0.031,0,0.005,0.028,0.002,0.013,0.002,0.006,0.005,0.005,0.023,0.01,0.011,0.02,0.013,0.013,0.007,0.006,0,3.441,0,0.013,0.129,0.035,0.015,0.001,1.334,-6.563,2.1
"TTL_B06",1.594,0.924,0.148,0.008,0,0.004,1.345,0.008,2.143,0.092,1.141,0.368,0.472,6.338,0.058,0.215,2.601,0.362,0.456,0.69,0.093,0.16,0.175,0.099,0.053,0.044,0.495,252.487,0.456,2.327,4.168,7.495,0.146,3.335,3.337,0.203,0.249,0.053,0.132,0.114,0.199,0.541,0.586,0.887,1.178,0.315,0.291,0.163,0.154,0,13.129,0,0.061,2.429,1.488,0.249,0,0,-316.263,0
"TTL_B07",0.034,0.009,0.001,0,0,0.003,0.198,0.001,0.043,0.003,0.032,0.005,0,0.109,0.002,0.009,0.348,0.341,0.802,0.522,0.031,0.069,0.095,0.041,0.024,0.019,0.063,0.432,0.03,0.938,0.054,0.021,0,0.006,0.029,0.001,0.005,0.002,0.005,0.004,0.006,0.023,0.023,0.016,0.015,0.005,0.005,0.005,0.004,0,0.086,0,0.006,0.105,0.013,0.049,0.001,0.755,-3.546,1.901
"TTL_B08",8.435,1.493,0.194,0.015,0,0.021,48.922,0.037,6.189,0.157,0.402,0.585,0.016,13.723,0.123,0.338,116.194,2.327,1.822,1.37,0.203,0.547,0.253,0.077,0.043,0.028,1.493,34.694,1.556,204.262,1.424,0.867,0.028,0.45,0.707,0.017,0.351,0.008,0.039,0.012,0.021,3.145,0.21,1.493,1.83,0.134,0.117,0.111,0.106,0,14.273,0,0.029,0.317,0.126,0.049,0.014,14.419,-51.664,434.153
"TTL_B09",0.038,0.016,0.002,0,0,0,0.086,0.002,0.038,0.003,0.039,0.006,0,0.023,0.002,0.005,0.065,0.004,0.003,0.03,0.008,0.008,0.009,0.005,0.003,0.002,0.015,0.254,0.008,0.236,0.081,0.069,0.002,0.036,0.075,0.004,0.009,0.004,0.01,0.007,0.008,0.021,0.026,0.027,0.023,0.008,0.01,0.007,0.004,0,0.26,0,0.168,3.665,0.01,0.028,0.001,0.974,-4.258,2.188
"TTL_C10T12",118.598,1.081,2.043,0.001,0,0,0.195,0.001,220.429,0.434,1.209,0.58,0.001,3.897,0.967,0.535,0.35,0.053,0.046,0.634,0.251,0.255,0.206,0.113,0.066,0.045,0.674,0.949,0.338,2.193,13.576,0.971,0.085,0.353,1.716,0.097,97.857,0.349,0.295,0.299,0.419,1.033,0.904,1.286,3.429,3.006,4.435,3.275,1.098,0,2685.272,0.386,4.134,1.854,7.834,23.226,4.588,1714.242,-1993.794,2938.367
"TTL_C13T15",2.588,1.234,0.585,0.002,0,0.001,0.263,0.002,3.306,60.261,2.656,1.912,0.001,1.494,0.258,1.666,1.203,0.046,0.042,1.113,0.514,0.612,0.502,1.335,0.347,0.208,8.487,1.511,0.44,6.217,10.103,1.571,0.025,0.449,1.714,0.243,2.458,0.177,0.214,0.175,0.232,0.792,1.708,2.694,3.467,0.875,3.433,1.966,1.703,0,486.393,0.005,0.145,4.769,5.543,8.024,1.035,280.481,-544.696,374.505
"TTL_C16",18.191,63.958,0.322,0.012,0,0.006,1.527,0.006,20.439,1.423,1207.596,9.161,0.001,5.309,0.543,2.181,9.329,0.141,0.342,6.67,1.985,3.032,1.736,2.442,3.65,0.573,115.522,19.154,1.35,406.273,31.667,5.549,0.053,0.799,19.172,0.205,4.937,0.943,0.827,0.515,0.644,17.732,10.551,6.895,3.053,2.439,2.985,2.588,4.694,0,154.991,0.025,1.486,41.996,21.949,0.895,0.828,2763.23,-454.396,4550.123
"TTL_C17_18",6.724,1.729,0.27,0.002,0,0.003,0.54,0.003,59.489,2.319,16.73,133.553,0.002,5.298,3.36,2.747,5.704,0.122,0.241,3.854,3.574,2.999,1.627,0.96,0.319,0.417,8.524,9.901,2.275,10.978,66.577,6.324,0.125,1.289,11.958,3.53,5.736,17.85,6.8,7.877,15.085,5.376,63.596,30.413,29.884,21.801,12.126,8.394,8.987,0,141.075,0.014,0.402,2.389,2.136,3.038,1.38,192.406,-363.885,586.946
"TTL_C19",71.546,35.63,6.487,0.048,0,0.052,11.242,0.071,27.715,1.875,22.665,4.194,0.228,41.752,1.85,4.291,11.187,1.794,1.015,5.137,1.643,3.568,1.552,1.662,0.582,0.431,8.707,186.64,10.651,55.755,92.273,305.377,6.293,147.365,80.814,6.49,6.396,1.26,3.457,2.446,5.488,6.017,11.135,26.359,27.506,6.317,8.92,4.807,5.307,0,578.742,0.001,0.501,1.29,3.93,5.366,0,0.165,-1861.71,2.282
"TTL_C20",200.091,7.671,0.615,0.028,0,0.033,7.127,0.03,41.652,14.69,62.717,22.739,0.053,203.346,16.896,60.821,18.943,0.758,1.374,12.628,10.809,10.281,3.805,4.455,2.726,0.981,23.171,18.632,8.601,50.159,30.432,13.979,0.638,11.825,34.88,0.66,5.121,1.78,0.721,1.415,1.035,7.933,10.3,11.875,5.716,4.386,19.556,2.904,7.525,0,492.864,0.152,3.644,10.316,-6.875,2.228,0.235,552.292,-1264.626,768.739
"TTL_C21",9.382,0.549,0.076,0.001,0,0.002,0.266,0.001,3.82,0.514,2.657,0.702,0.001,5.053,13.743,1.32,0.649,0.054,0.056,0.68,0.513,0.399,0.285,0.19,0.11,0.064,1.101,1.106,0.443,3.162,3.005,0.919,0.021,0.381,0.874,0.063,0.431,0.11,0.239,0.42,0.238,0.437,2.515,0.777,2.886,0.687,48.944,0.514,0.584,0,207.732,0.024,88.652,8.676,2.609,1.39,0.218,237.355,-309.343,348.252
"TTL_C22",17.46,3.736,0.458,0.012,0,0.007,1.576,0.008,63.574,3.982,17.944,10.469,0.003,10.889,4.076,28.1,4.648,0.159,0.393,9.677,10.199,12.591,6.499,10.218,1.249,2.026,17.048,4.11,3.834,81.556,53.622,23.523,0.106,0.943,10.548,0.591,2.629,0.681,0.886,0.485,0.983,5.26,6.277,7.901,2.921,1.897,4.282,1.536,1.661,0,174.813,0.021,0.297,10.438,7.659,0.27,0.028,258.903,-563.79,341.871
"TTL_C23",10.593,2.174,0.103,0.006,0,0.014,7.868,0.011,22.234,1.538,14.574,0.643,0.004,5.39,1.597,2.684,91.25,1.116,0.746,6.876,5.423,4.768,1.958,2.706,1.181,0.44,6.106,10.635,2.054,522.577,11.608,2.667,0.119,0.76,4.188,0.14,3.018,0.102,0.296,0.144,0.393,21.681,3.479,2.396,2.517,2.285,2.027,1.01,1.371,0,86.161,0.004,0.346,8.109,3.725,0.189,0.061,282.485,-305.662,862.885
"TTL_C24A",2.509,1.212,0.041,0.019,0,0.015,0.817,0.014,2.386,0.293,8.075,0.749,0.002,1.013,0.137,2.71,7.633,31.964,2.991,242.999,10.613,24.934,49.728,21.279,13.306,10.212,22.877,13.02,12.326,223.244,10.541,2.044,0.076,0.248,5.842,0.037,0.125,0.018,0.049,0.025,0.093,3.264,3.14,1.099,0.848,0.452,0.223,0.472,0.444,0,0.107,0,0.654,0.381,0.234,0.036,0,47.196,-673.287,111.477
"TTL_C24B",0.643,0.446,0.005,0.001,0,0.003,0.192,0.001,4.284,0.206,3.257,0.808,0.001,4.009,0.306,1.077,1.729,2.668,33.665,60.8,15.346,35.28,10.872,6.188,1.903,2.7,17.331,3.775,6.354,28.931,5.397,0.666,0.029,0.257,0.932,0.006,0.227,0.027,0.037,0.024,0.077,0.901,0.562,0.149,0.305,0.031,0.19,0.169,0.27,0,5.906,0,0.009,2.142,1.156,0.052,0.001,40.039,-208.981,93.358
"TTL_C25",15.946,8.365,0.327,0.041,0,0.024,3.197,0.047,40.632,1.81,42.054,2.364,0.005,6.9,1.185,4.105,7.414,2.474,1.879,138.269,14.362,22.227,39.837,17.979,12.784,6.906,36.065,19.266,7.392,297.077,34.32,6.9,0.148,0.799,11.931,0.274,3.363,0.383,1.881,0.924,0.691,14.125,9.09,10.115,17.084,2.649,2.953,2.002,2.587,0,140.514,0.015,1.028,90.412,46.016,0.337,0.188,678.803,-618.461,1212.002
"TTL_C26",1.097,0.519,0.041,0.001,0,0.001,0.215,0.002,1.317,0.222,0.935,0.462,0.001,0.843,0.216,0.309,0.389,0.086,0.114,1.906,68.319,8.816,3.138,1.772,1.076,0.525,4.422,7.043,0.498,10.239,11.618,1.717,0.05,0.993,3.725,0.394,0.562,0.994,11.128,7.12,1.913,1.147,5.939,3.685,3.755,1.806,4.341,1.218,1.249,0,250.729,0.03,1.652,275.37,174.536,1.812,0.153,506.887,-749.155,639.894
"TTL_C27",1.837,0.637,0.091,0.003,0,0.003,0.638,0.006,2.197,0.255,1.505,0.577,0,0.726,0.187,0.523,0.665,0.141,0.2,3.69,12.905,38.445,5.75,4.687,1.073,1.106,9.274,34.849,0.965,48.483,12.353,3.618,0.078,0.714,3.283,0.158,0.825,0.396,4.805,1.275,0.425,1.674,4.288,3.475,3.417,1.101,2.378,1.589,1.02,0,226.364,0.032,1.335,118.046,75.076,0.861,0.451,394.523,-519.313,515.666
"TTL_C28",4.155,4.337,0.197,0.02,0,0.012,1.9,0.021,5.486,0.61,4.922,1.024,0.003,1.507,0.302,0.859,2.946,0.332,0.29,8.42,4.797,5.978,18.938,5.324,2.658,1.242,11.82,14.608,1.648,35.622,12.066,4.024,0.047,0.745,4.207,0.201,0.519,0.229,1.213,0.909,0.764,1.189,3.036,4.941,2.858,0.801,1.392,0.796,0.537,0,52.48,0.027,0.852,482.511,313.43,0.354,0.026,331.386,-946.025,415.491
"TTL_C29",1.622,4.517,0.079,0.002,0,0.003,0.535,0.004,2.076,0.353,1.591,0.345,0.001,0.606,0.13,0.544,0.889,0.132,0.181,2.698,1.736,2.186,2.689,58.47,0.467,1.01,3.735,3.857,1.015,9.605,57.883,28.737,0.136,2.2,7.672,0.293,0.278,0.146,0.55,0.545,0.384,0.709,1.608,4.783,1.734,0.598,0.679,0.559,0.367,0,377.381,0.014,0.44,357.533,234.528,1.473,0.079,220.952,-1045.053,358.283
"TTL_C301",0.014,0.012,0.079,0,0,0,0.007,0,0.018,0.001,0.013,0.002,0,0.003,0.001,0.002,0.003,0.001,0.001,0.03,0.019,0.013,0.041,0.032,11.746,0.585,0.532,0.029,0.005,0.082,0.1,0.305,0.503,1.309,0.758,0.003,0.003,0.001,0.003,0.002,0.004,0.008,0.017,0.07,1.125,0.007,0.005,0.016,0.016,0,12.231,0,0.001,47.032,30.816,0.004,0,84.378,-44.643,147.345
"TTL_C302T309",0.04,0.265,0.106,0,0,0,0.01,0,0.102,0.004,0.049,0.005,0,0.015,0.002,0.01,0.014,0.003,0.005,0.162,0.081,0.104,0.12,0.782,1.56,12.779,2.472,0.079,0.017,0.309,1.516,6.094,0.099,9.489,1.126,0.015,0.008,0.002,0.009,0.018,0.013,0.023,0.082,0.686,2.716,0.029,0.162,0.032,0.081,0,39.457,0,0.013,93.363,61.201,0.027,0,52.738,-171.82,116.272
"TTL_C31T33",31.83,12.419,1.383,0.024,0,0.019,6.245,0.035,19.762,3.112,21.333,3.809,0.009,4.997,1.342,1.719,5.59,0.841,0.678,7.972,4.243,3.718,4.035,2.138,1.29,1.229,38.647,67.544,5.305,35.825,27.63,30.109,0.82,30.82,26.956,1.114,4.274,0.812,5.214,2.738,3.49,5.66,9.433,15.912,12.685,7.445,21.297,7.133,3.202,0,307.802,0.124,8.652,225.75,147.695,6.955,3.442,436.885,-541.962,1099.179
