"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",7594.957,21.637,31.724,0.101,3.254,1.787,2.115,3.8,40697.767,270.017,15.566,6.763,1.717,149.135,101.454,93.997,2.202,1.032,1.185,2.191,4.476,2.246,5.593,14.374,0.047,1.648,41.656,22.161,7.859,260.993,989.859,22.877,0.183,0.811,7.107,0.704,2036.847,3.83,3.332,0.259,8.722,108.348,19.584,72.114,146.505,60.191,117.401,27.881,38.574,0,23223.829,18.872,54.241,4700.728,38.127,60.413,198.053,14623.785,-14334.139,81612.493
"TTL_A02",98.136,125.793,0.98,0.391,1.73,1.455,0.829,0.076,204.201,4.684,673.969,111.724,0.15,10.543,1.723,61.299,3.122,0.708,0.839,0.405,0.181,0.246,0.563,1.112,0.018,0.145,116.204,37.187,0.157,40.442,59.679,0.758,0.009,0.047,0.207,0.042,21.846,0.467,0.384,0.095,0.384,3.308,0.403,1.762,16.733,3.175,2.184,3.001,1.544,0,346.24,19.64,6.871,1.807,0.168,0.795,0.006,97.791,-193.165,1895.194
"TTL_A03",0.788,0.033,11.695,0.003,0.459,0.104,0.109,0.087,240.822,0.098,0.04,0.109,0.623,0.294,0.089,0.124,0.192,0.159,0.128,0.107,0.186,0.144,0.101,0.365,0.003,0.045,0.102,0.087,0.034,0.871,7.137,0.993,0.254,0.07,1.069,0.035,25.514,0.065,0.061,0.015,0.173,0.357,0.159,0.111,1.689,0.259,0.569,0.102,0.103,0,1433.108,3.213,0.09,9.486,0.74,3.327,18.642,234.789,-39.318,1960.814
"TTL_B05",2.647,0.032,0.013,4.34,7.367,13.641,4.618,11.309,13.758,1.508,0.285,6.47,186.553,27.084,0.476,3.127,52.33,224.339,52.265,0.619,0.513,1.203,1.049,3.396,0.026,1.064,0.598,672.903,0.53,24.652,4.706,2.587,0.003,0.129,0.329,0.032,1.622,0.066,0.157,0.02,0.19,2.017,0.235,0.229,5.744,2.451,0.756,0.072,0.809,0,1.038,0.005,0.004,2.406,0.013,0.131,0.125,1.146,-880.373,465.367
"TTL_B06",46.152,1.041,8.497,3.197,433.405,61.414,33.674,73.997,133.152,7.119,5.118,44.73,18935.349,523.33,7.935,34.362,144.824,172.163,151,34.781,9.782,15.556,14.944,92.878,0.216,9.656,24.031,2266.846,13.641,121.244,274.51,426.108,2.527,142.918,29.063,7.155,20.866,4.038,5.748,1.437,27.221,30.18,18.445,18.575,94.243,18.162,17.274,4.87,7.489,0,847.751,0.132,0.098,17.161,0.704,2.137,0.057,30437.118,-16466.297,39413.722
"TTL_B07",3.927,0.027,0.132,2.108,38.82,960.314,73.796,87.871,27.872,1.365,0.252,1.375,180.123,147.983,2.687,5.261,242.653,3021.516,5961.508,107.083,10.666,21.751,18.22,47.831,0.065,3.102,20.245,68.551,1.895,282.988,13.097,7.465,0.041,1.957,1.059,0.227,2.808,1.077,1.081,0.201,1.64,3.372,2.651,2.532,3.899,1.096,1.131,0.638,1.325,0,9.21,0.224,0.693,46.998,0.302,0.4,3.606,9128.746,-1699.463,18880
"TTL_B08",75.004,0.529,2.973,2.365,59.357,126.545,476.44,129.76,139.909,6.555,1.035,34.726,266.715,481.276,9.456,38.028,2693.594,454.727,253.983,30.654,10.825,21.838,13.989,34.501,0.1,2.983,54.788,126.075,14.049,3825.177,30.834,11.75,0.306,0.408,2.918,0.151,6.805,0.391,0.437,0.066,0.504,71.361,2.98,33.036,48.165,2.308,2.991,1.032,2.715,0,66.164,0.04,0.084,11.969,0.111,0.414,0.412,483.95,-1128.097,9042.159
"TTL_B09",4.436,0.027,7.21,11.6,2702.017,263.255,237.749,2092.93,9.502,0.191,0.323,10.5,577.307,3.01,0.395,6.219,69.66,25.703,31.559,1.921,0.898,1.129,1.898,3.782,0.012,0.476,0.778,131.203,1.696,166.233,1.888,13.186,0.072,2.285,2.226,1.028,1.202,1.981,0.062,0.008,1.03,5.347,2.577,0.538,3.571,0.707,0.628,0.061,0.208,0,8.956,0.011,0.039,5667.121,0.05,0.239,0.05,13.843,-34.435,12058.1
"TTL_C10T12",3720.945,1.33,118.479,0.469,23.913,15.961,9.55,11.08,18833.595,108.796,6.246,62.993,51.525,424.312,172.683,83.128,34.323,23.334,22.986,26.186,84.504,34.283,31.344,120.096,0.371,14.796,66.224,53.718,18.228,117.59,1373.453,65.952,1.245,14.972,18.405,4.337,6014.363,39.697,24.933,7.298,80.649,93.201,48.596,55.856,325.464,230.114,301.738,105.265,55.061,0,156055.573,72.662,11.996,118.824,31.611,192.312,998.542,21859.351,-19409.07,193085.388
"TTL_C13T15",45.726,1.064,22.703,0.794,26.006,20.685,6.817,17.227,126.549,4708.51,10.824,163.577,17.368,128.9,34.867,254.849,65.711,16.762,13.956,45.108,65.89,44.304,54.849,1177.511,1.573,46.066,836.733,15.11,11.74,247.966,749.645,44.009,0.174,8.626,13.891,10.959,267.735,18.107,11.403,2.603,34.575,45.374,61.504,113.878,383.856,71.111,227.258,75.458,121.296,0,15953.443,9.637,1.44,68.894,10.64,66.766,364.522,6782.272,-12489.724,21259.094
