"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",9.562,0,1.593,0,0.004,0,0.011,0.002,47.137,0.398,0.015,0.092,0.001,0.039,0.346,0.132,0.046,0,0,0.032,0.289,0.01,0.011,0.038,0.009,0.014,0.229,0.636,0.098,0.837,1.898,0.138,0.05,1.27,0.234,0.016,19.786,0.046,0.046,1.295,0.765,0.315,1.138,0.88,0.634,0.193,1.7,13.386,0.211,0,119.398,0.023,9.792,7.424,0.13,2.105,2.019,19.162,-129.313,136.323
"TTL_A02",0.016,0,0.015,0,0,0,0.001,0,0.054,0.001,0.043,0.013,0,0.001,0.002,0.006,0.004,0,0,0.001,0.01,0,0,0.001,0,0,0.033,0.053,0.002,0.05,0.022,0.004,0.002,0.058,0.006,0.001,0.052,0.001,0.001,0.033,0.015,0.006,0.02,0.014,0.009,0.002,0.009,0.184,0.002,0,0.38,0,0.009,0.037,0.001,0.027,0,0,-1.203,0
"TTL_A03",0.111,0,105.922,0,0,0,0.004,0,61.971,0.003,0,0.01,0,0.003,0.027,0.003,0.01,0,0,0.007,0.039,0.001,0.002,0.002,0.002,0.001,0.012,0.032,0.012,0.051,1.03,0.033,0.185,0.191,0.092,0.001,55.46,0.011,0.004,0.084,0.106,0.061,0.047,0.071,0.816,0.096,1.293,4.691,0.079,0,28.029,0,5.185,0.041,0.355,0.118,0.279,174.853,-104.978,336.456
"TTL_B05",0.003,0,0.003,0,0.003,0,0.009,0.001,0.015,0.001,0,0.007,0.006,0.005,0.002,0.003,0.089,0.003,0.001,0.002,0.007,0.001,0.001,0.001,0.001,0.001,0.003,8.012,0.003,0.081,0.013,0.007,0.001,0.031,0.007,0,0.014,0.001,0.001,0.015,0.011,0.007,0.012,0.011,0.014,0.004,0.007,0.073,0.003,0,0.019,0,0.003,0.014,0.001,0.005,0,0,-8.536,0
"TTL_B06",0.032,0,0.104,0,0.091,0.003,0.092,0.027,0.136,0.007,0.002,0.093,0.341,0.047,0.041,0.028,0.218,0.001,0.002,0.053,0.276,0.009,0.015,0.031,0.007,0.013,0.103,16.049,0.092,0.641,0.442,0.307,0.155,6.484,0.28,0.028,0.259,0.056,0.05,0.45,0.355,0.086,0.551,0.773,0.205,0.046,0.184,4.071,0.031,0,0.95,0,0.145,0.801,0.062,0.073,0.016,7.778,-28.247,14.944
"TTL_B07",0.006,0,0.011,0,0.008,0.018,0.069,0.005,0.034,0.002,0,0.017,0.005,0.019,0.012,0.007,0.303,0.026,0.065,0.115,0.064,0.005,0.006,0.01,0.002,0.003,0.037,0.722,0.022,0.528,0.094,0.028,0.006,0.291,0.063,0.004,0.077,0.006,0.01,0.139,0.174,0.066,0.197,0.158,0.076,0.019,0.06,0.967,0.012,0,0.059,0.001,0.031,0.155,0.001,0.014,0.012,0.345,-2.954,2.23
"TTL_B08",0.814,0,1.13,0,0.221,0.045,6.663,0.137,1.405,0.046,0.005,0.239,0.115,0.922,0.164,0.211,47.392,0.07,0.053,0.555,0.661,0.084,0.056,0.071,0.02,0.026,1.033,20.422,1.071,89.272,0.481,0.284,0.111,0.511,0.283,0.008,0.596,0.005,0.01,0.05,0.085,1.736,0.287,1.559,1.174,0.05,0.129,1.635,0.083,0,2.789,0,0.128,3.357,0.02,0.014,0.02,0.33,-135.469,53.167
"TTL_B09",0.041,0,1.705,0,2.318,0.057,2.17,0.886,0.096,0.014,0.002,0.088,0.157,0.006,0.018,0.049,0.873,0.003,0.004,0.022,0.2,0.005,0.007,0.012,0.003,0.006,0.045,13.894,0.07,2.825,0.132,0.238,0.064,2.121,0.245,0.031,0.141,0.022,0.014,0.191,0.22,0.163,0.478,0.175,0.173,0.029,0.089,1.101,0.017,0,0.21,0.001,0.032,0.275,-0.06,0.008,0.017,1.063,-27.117,5.649
"TTL_C10T12",11.777,0,11.212,0,0.007,0.001,0.047,0.002,66.095,0.073,0.01,0.327,0.004,0.221,1.266,0.196,0.258,0.001,0.001,0.102,0.679,0.024,0.026,0.057,0.017,0.027,0.387,0.768,0.237,0.949,5.695,0.362,0.49,4.545,0.726,0.048,166.142,0.214,0.103,1.377,1.825,0.643,1.905,1.545,2.285,1.21,7.747,58.574,0.61,0,760.639,0.004,0.469,0.936,0.626,6.81,8.426,151.335,-667.895,612.164
"TTL_C13T15",0.201,0,3.127,0,0.01,0.002,0.028,0.003,0.603,11.869,0.029,1.251,0.002,0.1,0.322,1.144,0.469,0.001,0.001,0.56,1.372,0.077,0.128,1.118,0.175,0.202,5.977,0.429,0.2,2.619,3.024,0.24,0.06,1.826,0.431,0.059,6.76,0.066,0.031,0.474,0.458,0.371,1.739,1.949,1.544,0.236,3.463,28.528,1.145,0,205.284,0.001,0.049,2.595,0.558,2.352,0.318,12.786,-256.061,52.305
