"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",19833.665,306.642,166.086,0.44,126.87,11.318,75.402,2.216,5126.508,2093.991,137.708,38.195,10.676,412.766,217.143,260.119,14.01,0.922,1.967,4.66,26.209,6.482,29.413,17.086,2.05,1.958,224.778,162.156,21.583,740.487,2761.433,201.672,61.953,9.082,86.634,4.559,834.06,39.548,39.557,6.243,55.221,126.208,203.884,258.27,318.632,127.364,305.603,142.142,140.353,0,3425.4,0.718,480.002,776.976,10.569,0.326,6.387,2372.642,-213.51,42655.437
"TTL_A02",41.148,117.039,1.46,0.193,8.885,1.367,2.493,0.01,8.784,6.122,355.332,42.612,0.349,2.591,0.525,11.825,2.563,0.228,0.252,0.22,0.128,0.127,0.305,0.237,0.117,0.028,41.18,22.824,0.081,24.167,19.781,0.868,0.297,0.074,0.403,0.037,1.756,0.506,1.051,0.272,0.375,1.571,0.853,0.753,3.368,0.65,0.814,1.24,1.133,0,195.996,0.29,42.463,42.236,0.268,0.004,0.13,13.697,-0.64,1023.435
"TTL_A03",79.697,11.778,3825.763,0.258,5.154,17.509,18.901,0.007,1750.565,21.474,0.82,2.303,8.531,10.617,5.437,1.475,5.922,0.495,1.555,4.06,5.278,3.387,4.706,1.039,1.187,0.083,6.619,3.805,2.073,26.698,384.63,23.885,56.755,5.448,13.796,0.034,727.511,23.261,24.743,14.008,57.116,58.795,26.705,8.15,247.391,31.54,101.09,23.296,38.156,0,511.865,0.389,18.663,3.712,1.001,0.018,0.503,308.942,-2.56,8536.042
"TTL_B05",0.05,0.001,0.006,0.028,0.509,0.19,0.213,0.011,0.015,0.023,0.007,0.037,3.496,0.073,0.003,0.011,0.647,0.919,0.235,0.009,0.012,0.011,0.011,0.015,0.003,0.003,0.015,5.361,0.003,0.465,0.028,0.034,0.003,0.004,0.008,0.001,0.004,0.002,0.008,0.001,0.005,0.029,0.011,0.003,0.016,0.006,0.008,0.001,0.007,0,16.587,0,0.057,0.237,0.021,0.001,0.001,0.438,-21.186,8.717
"TTL_B06",1.278,0.055,0.293,0.03,32.038,1.564,2.075,0.113,0.367,0.323,0.097,0.381,372.371,1.816,0.05,0.151,2.1,1.174,1.058,0.334,0.182,0.211,0.226,0.381,0.031,0.038,0.492,19.404,0.126,2.444,2.289,11.103,2.333,5.789,1.084,0.152,0.103,0.141,0.582,0.14,0.782,0.441,0.689,0.413,0.538,0.093,0.171,0.069,0.149,0,117.138,0.005,26.241,7.999,0.087,0.011,0.09,3695.491,-118.732,4196.596
"TTL_B07",0.227,0.004,0.034,0.17,30.49,143.505,34.921,1.023,0.088,0.078,0.027,0.1,42.689,4.537,0.055,0.133,31.969,152.308,275.017,7.376,0.779,1.166,1.215,0.853,0.044,0.052,1.215,6.922,0.085,25.534,0.325,0.569,0.026,0.08,0.123,0.007,0.02,0.021,0.05,0.008,0.04,0.263,0.407,0.073,0.073,0.015,0.023,0.016,0.078,0,1.064,0.001,0.354,1.987,0.004,0.002,0.016,25.521,-4.563,789.218
"TTL_B08",2.227,0.065,0.335,0.107,26.938,10.863,122.265,0.839,0.497,0.422,0.089,1.215,34.664,7.98,0.134,0.56,191.295,13.107,7.29,1.304,0.743,0.885,0.654,0.599,0.062,0.051,1.903,7.104,0.439,191.026,0.954,0.934,0.141,0.092,0.257,0.016,0.133,0.045,0.134,0.021,0.098,3.496,0.503,0.562,0.82,0.057,0.109,0.049,0.08,0,24.496,0.031,0.717,5.275,0.042,0.002,0.038,275.685,-30.439,910.009
"TTL_B09",0.057,0.001,0.007,0.001,1.678,0.285,0.201,0.02,0.017,0.013,0.004,0.006,0.602,0.019,0.002,0.005,0.155,0.272,0.476,0.018,0.007,0.006,0.009,0.009,0.001,0.001,0.015,0.054,0.002,0.177,0.031,0.036,0.008,0.017,0.017,0.002,0.004,0.003,0.012,0.003,0.01,0.011,0.018,0.005,0.006,0.002,0.005,0.001,0.002,0,0.38,0,2.652,26.993,0,0.001,0.004,8.362,-3.967,38.738
"TTL_C10T12",1062.587,2.624,75.097,0.133,64.638,5.897,20.077,0.588,310.451,113.66,2.727,26.274,48.987,99.665,35.469,8.457,11.111,1.746,3.835,5.594,9.124,5.483,7.022,5.092,0.785,0.876,26.402,8.308,4.179,39.426,381.204,42.923,47.843,15.286,27.536,3.197,284.558,52.513,65.926,21.521,75.3,57.108,50.424,25.063,85.022,52.809,88.343,56.226,40.838,0,7405.545,1.28,82.625,16.477,5.222,1.056,22.482,1243.648,-1521.139,10737.148
"TTL_C13T15",10.724,0.406,3.531,0.073,24.216,3.409,4.373,0.243,3.101,1536.988,1.549,22.202,3.787,6.314,1.254,15.141,15.534,1.072,0.766,5.046,6.323,4.278,6.41,45.353,2.623,2.131,83.498,1.183,0.764,35.249,38.53,6.024,1.015,1.65,3.562,1.104,2.23,2.781,4.294,1.312,5.019,5.828,16.377,8.079,12.474,1.881,12.134,5.072,11.799,0,1805.172,0.17,8.052,62.946,9.641,0.364,15.98,4136.853,-1350.056,6677.825
