"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1575.398,166.939,52.954,0.295,5.613,0.065,0.42,0.653,21616.381,133.29,35.291,5.733,1.054,103.321,9.656,69.248,1.026,0.245,0.204,0.945,4.738,0.603,1.431,0.275,0.684,0.195,12.709,3.603,1.856,27.546,249.419,1.248,1.831,0.394,3.901,0.245,1300.344,2.477,2.768,1.41,5.233,3.925,4.628,20.988,11.014,44.473,70.131,39.644,10.796,0,12372.448,2.581,28.62,1095.275,103.611,53.072,35.529,2919.57,-5752.274,36465.673
"TTL_A02",104.434,2569.624,4.169,3.662,10.015,0.188,0.479,0.07,877.594,10.802,2061.016,141.539,0.217,21.372,0.698,136.095,4.094,0.49,0.291,0.623,0.589,0.183,0.458,0.052,0.811,0.061,94.207,20.477,0.218,35.201,65.574,0.166,0.217,0.062,0.496,0.041,61.96,0.404,1.093,0.597,0.659,1.437,0.43,2.134,4.062,7.288,5.052,7.576,0.941,0,411.975,0.184,18.861,35.986,3.63,0.678,1.07,198.217,-52.785,6877.735
"TTL_A03",8.06,1.071,157.238,0.032,0.306,0.014,0.027,0.024,1705.672,0.295,0.062,0.239,0.193,2.545,0.171,0.463,0.114,0.048,0.029,0.128,0.519,0.076,0.08,0.013,0.092,0.014,0.194,0.076,0.058,0.391,10.063,0.059,0.278,0.057,0.183,0.011,196.764,0.163,0.248,0.21,0.577,0.328,0.129,0.27,1.43,2.593,4.154,1.154,0.266,0,3132.923,0.024,0.006,3.125,3.24,2.975,4.677,193.981,-212.223,5225.91
"TTL_B05",38.289,14.334,1.965,773.471,894.177,35.247,75.298,156.74,459.663,51.331,22.42,166.092,3317.798,1004.316,3.996,158.211,1806.799,2843.769,340.295,34.391,82.901,27.957,20.04,6.383,29.927,8.517,24.074,6992.31,11.365,1398.734,80.766,8.269,1.384,1.024,14.057,0.537,34.587,0.747,7.755,1.671,7.046,51.932,6.566,7.154,27.591,92.22,20.626,4.673,8.322,0,72.933,0.001,0.159,247.266,0.873,0.114,0.006,561.962,-4251.466,17809.586
"TTL_B06",4.03,1.406,1.655,44.469,4185.542,8.444,25.525,66.096,213.959,12.061,12.403,84.65,30952.153,1415.835,1.63,106.862,297.183,173.916,85.688,73.72,26.043,7.969,11.796,3.734,11.598,4.521,21.98,2157.829,10.981,57.533,150.837,9.066,3.224,4.456,34.069,2.034,12.919,1.477,4.479,3.676,17.312,18.237,10.674,9.257,13.846,25.718,9.067,3.78,1.632,0,22.777,0.001,0.047,10.232,7.13,1.853,0.007,23092.566,-11417.394,52134.192
"TTL_B07",1.501,0.167,0.272,14.318,152.849,88.064,31.138,42.064,27.952,1.348,0.359,1.452,122.286,191.264,0.399,5.835,244.864,1436.931,1434.032,110.707,16.887,9.487,8.847,1.206,1.479,0.541,10.972,28.816,1.214,186.001,4.311,0.529,0.072,0.195,0.809,0.037,1.916,0.067,0.239,0.16,0.319,1.091,0.987,1.083,0.398,0.646,0.357,0.402,0.473,0,0.286,0,0.02,3.581,2.533,0.364,0.004,904.539,-4065.712,1032.958
"TTL_B08",8.543,3.302,1.81,3.797,114.778,2.571,36.324,17.694,43.541,2.263,2.329,7.283,36.375,119.224,0.828,19.636,514.387,42.842,12.374,11.38,21.586,5.322,3.226,1.273,3.168,0.563,9.891,12.596,4.645,716.221,16.217,0.909,0.402,0.212,4.126,0.182,6.444,0.397,5.099,0.559,4.601,33.798,3.603,4.705,6.187,8.864,4.867,2.195,0.962,0,27.191,0.004,0.163,707.063,0.695,0.361,0.006,199.517,-441.924,2377.173
"TTL_B09",0.789,0.166,6.266,28.893,4086.905,8.959,35.867,371.848,3.693,0.091,0.278,3.731,156.708,2.68,0.035,3.674,26.843,5.197,3.245,0.559,0.864,0.232,0.296,0.033,0.087,0.051,0.214,20.297,0.314,40.054,0.823,0.591,0.412,0.444,1.182,0.233,0.542,0.398,0.169,0.097,0.49,0.721,0.817,0.167,0.256,0.41,0.249,0.079,0.028,0,1.15,0,11.446,494.042,0.149,0.208,0.005,65.806,-149.203,5240.58
"TTL_C10T12",1826.985,25.064,311.855,3.7,96.586,1.877,4.371,8.558,21772.054,56.854,14.998,95.532,88.591,685.746,42.512,185.175,28.591,10.901,4.811,25.913,68.669,14.351,13.474,3.729,11.583,2.792,75.876,12.488,11.362,80.938,666.568,23.9,31.545,31.419,32.761,3.965,7124.96,22.608,36.158,24.855,73.248,29.224,22.552,45.167,54.744,317.438,386.118,166.244,24.957,0,32629.113,0.605,0.561,21.178,111.376,171.328,218.834,28402.778,-11634.692,84625.448
"TTL_C13T15",5.289,4.772,12.648,1.715,33.453,0.611,0.834,2.652,38.449,1232.076,6.914,36.845,3.97,38.781,1.72,87.396,15.044,2.626,1.134,13.354,40.933,6.6,8.735,25.371,12.446,3.538,126.28,2.154,3.472,40.973,114.63,2.746,1.01,1.821,6.192,2.238,45.101,3,6.831,3.075,8.399,4.07,9.563,22.568,20.088,29.766,59.567,37.795,18.445,0,4922.758,0.05,0.017,13.023,53.568,59.251,38.096,1714.372,-3364.561,5644.263
