"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",3182.258,7.41,14.116,0.009,2.425,0.003,0.407,0.014,11400.13,39.747,4.93,0.865,0.001,6.285,1.458,7.856,1.219,0.011,0.03,0.021,0.012,0.004,0.097,1.2,0.052,0.001,2.6,2.818,0.758,20832.453,213.779,5.144,0.005,0.135,0.076,0.003,55.453,0.552,1.093,0.324,0.561,3.518,5.194,0.23,5.929,11.554,7.182,1.558,12.272,0,84665.986,0.003,1.269,3257.289,47.767,35.175,4.797,1624.561,-1120.599,124349.999
"TTL_A02",21.268,14.355,0.292,0.012,0.482,0.001,0.046,0,53.186,0.273,52.833,2.894,0,0.141,0.012,1.248,0.401,0.004,0.008,0.002,0,0,0.003,0.024,0.004,0,1.498,1.437,0.01,80.493,4.882,0.078,0,0.006,0.001,0,0.369,0.02,0.086,0.03,0.013,0.13,0.061,0.002,0.217,0.203,0.06,0.05,0.117,0,628.721,0.011,0.035,12.462,0.639,0.452,0.018,97.29,-42.032,934.853
"TTL_A03",5.149,0.152,299.734,0.002,0.517,0.002,0.054,0.001,1762.257,0.052,0.02,0.022,0.001,0.08,0.016,0.029,0.15,0.003,0.009,0.004,0.001,0.001,0.006,0.032,0.046,0,0.031,0.033,0.025,0.623,15.326,0.469,0.009,0.038,0.019,0,16.919,0.1,0.226,0.147,0.161,0.593,0.234,0.002,1.689,1.078,0.763,0.088,0.503,0,5558.701,0,0.001,0.672,0.835,1.978,0.363,1.294,-19.093,7652.166
"TTL_B05",0.58,0.007,0.018,0.206,3.088,0.015,0.561,0.026,1.81,0.081,0.049,0.264,0.067,0.465,0.005,0.132,13.431,1.593,0.745,0.007,0.002,0.002,0.011,0.165,0.01,0,0.037,38.763,0.049,5.187,0.622,0.288,0,0.008,0.002,0,0.041,0.004,0.06,0.01,0.014,0.362,0.066,0.001,0.123,0.223,0.024,0.003,0.075,0,0.584,0,0.005,2.348,0.024,0.075,0,0.357,-6.212,66.484
"TTL_B06",8.374,0.155,2.108,0.788,972.641,0.239,13.087,0.753,54.875,1.462,1.893,8.954,40.384,41.745,0.141,5.393,152.378,6.455,11.94,0.813,0.043,0.033,0.365,6.147,0.232,0.01,2.126,771.159,2.575,38.573,70.813,35.608,0.017,4.618,0.402,0.021,0.909,0.508,4.496,1.228,1.926,15.545,6.978,0.067,5.163,5.118,0.846,0.165,1.536,0,217.518,0.002,0.392,236.65,1.404,1.22,0.001,50635.528,-276.968,53117.551
"TTL_B07",0.711,0.002,0.02,0.024,3.832,0.219,1.364,0.046,0.979,0.074,0.04,0.064,0.016,0.739,0.014,0.304,10.727,4.945,18.96,0.145,0.008,0.008,0.051,0.514,0.011,0.001,0.173,1.06,0.06,4.753,0.891,0.205,0,0.02,0.004,0,0.025,0.027,0.227,0.074,0.117,0.339,0.45,0.003,0.08,0.085,0.032,0.008,0.092,0,0.491,0,0.004,3.533,0.017,0.24,0,5.373,-8.054,54.146
"TTL_B08",24.386,0.196,2.354,0.243,49.8,0.268,80.355,0.606,31.477,0.677,0.247,2.832,0.208,15.616,0.097,2.14,1061.638,6.92,7.46,0.306,0.026,0.035,0.202,1.454,0.05,0.001,2.299,15.813,1.852,496.84,6.209,2.364,0.007,0.033,0.033,0.001,0.171,0.026,0.219,0.041,0.042,10.675,0.816,0.081,1.819,0.378,0.103,0.027,0.653,0,1.594,0,0.007,3.093,0.11,0.238,0,31.307,-107.588,1758.855
"TTL_B09",0.14,0.002,0.034,0.005,8.973,0.003,0.179,0.039,0.225,0.022,0.01,0.019,0.002,0.023,0.002,0.03,0.41,0.006,0.009,0.006,0.001,0.001,0.009,0.095,0.012,0,0.021,0.103,0.019,0.976,0.589,0.157,0,0.032,0.003,0,0.012,0.027,0.215,0.069,0.072,0.276,0.345,0.002,0.082,0.069,0.018,0.006,0.024,0,0.893,0,1.615,107.743,0.02,0.137,0,0.943,-26.447,98.277
"TTL_C10T12",10951.048,4.311,847.148,0.18,73.259,0.086,7.564,0.24,37713.641,110.1,6.69,31.831,0.158,101.606,16.047,16.05,45.373,0.573,2.465,0.885,0.275,0.147,1.457,11.194,0.471,0.019,17.683,11.975,10.309,193.069,2122.928,78.784,0.296,12.814,1.778,0.125,1460.7,40.024,95.784,42.127,47.489,118.227,71.569,1.226,122.176,345.263,123.151,34.644,99.226,0,53501.54,0.003,2.866,200.309,24.788,113.736,22.304,1901.404,-3667.579,107093.559
"TTL_C13T15",178.333,5.206,299.488,0.532,201.435,0.479,10.879,0.589,272.99,5772.555,36.44,232.25,0.053,54.032,4.715,272.274,392.464,2.216,3.564,5.491,1.569,0.726,9.408,815.766,11.607,0.344,629.697,9.471,10.386,388.888,1545.979,54.893,0.041,4.892,1.399,0.171,127.202,20.158,36.264,14.893,16.718,84.361,141.418,2.637,89.021,90.54,84.472,18.111,327.308,0,1244.825,0,0.019,12.642,5.198,39.273,12.805,1791.276,-1352.77,14037.591
"TTL_C16",56.192,4.2,4.408,0.236,23.783,0.089,2.858,0.097,119.12,6.401,674.445,51.009,0.005,7.01,0.327,10.536,104.196,0.372,1.597,1.723,0.237,0.216,1.513,48.156,4.334,0.032,221.498,9.719,1.635,1241.224,157.712,17.766,0.003,0.472,0.754,0.007,5.793,4.03,6.496,1.881,1.653,46.511,27.867,0.277,2.595,8.91,2.589,1.234,30.466,0,29.931,0,0.012,145.867,13.77,4.387,0.666,133.86,-380.617,2862.065
"TTL_C17_18",49.762,0.434,10.116,0.045,39.989,0.094,1.848,0.113,1029.641,18.576,22.959,860.618,0.031,16.408,6.313,30.743,171.867,0.686,2.479,2.17,0.998,0.482,3.322,37.237,0.551,0.039,36.731,7.722,4.872,65.033,656.197,42.147,0.031,2.792,1.007,0.299,15.252,40.936,102.657,77.559,75.936,35.388,166.218,2.041,53.33,140.366,23.596,5.588,33.922,0,165.988,0.003,0.04,4.81,0.493,14.885,1.986,1.811,-795.023,3292.134
"TTL_C19",97.902,1.576,27.009,0.28,80.603,0.248,6.945,0.419,59.191,5.257,4.966,6.309,0.76,26.955,0.905,20.698,44.001,1.861,1.636,0.511,0.133,0.108,0.589,13.148,0.454,0.01,4.715,24.633,4.85,53.738,153.117,331.794,0.226,69.159,0.93,0.094,2.286,1.898,12.839,4.347,6.69,8.678,14.026,0.246,9.873,8.127,3.245,0.55,8.429,0,3013.188,0.007,0.638,21.242,6.026,26.3,0.014,78.578,-4172.579,100.378
"TTL_C20",1641.899,2.354,18.209,1.237,313.89,1.231,33.993,1.362,625.339,174.057,81.132,143.927,1.713,627.241,28.886,779.506,536.385,6.392,16.695,7.857,3.569,1.815,8.205,207.561,7.552,0.132,95.913,17.695,36.021,435.657,277.423,41.847,0.032,5.659,1.031,0.029,18.892,13.306,11.194,14.842,7.146,68.354,77.071,1.34,15.005,42.518,42.475,2.872,136.513,0,746.352,0.004,1.714,91.539,3.29,10.917,0.736,167.958,-4936.997,2720.484
"TTL_C21",30.281,0.034,0.756,0.022,7.003,0.022,0.448,0.024,17.537,1.98,0.911,1.605,0.019,7.131,6.965,8.308,5.567,0.08,0.193,0.096,0.045,0.022,0.141,2.754,0.122,0.002,1.389,0.363,0.618,4.651,9.284,1.447,0.001,0.241,0.026,0.002,0.385,0.272,1.471,0.793,0.546,1.514,8.022,0.026,2.802,2.229,34.628,0.145,2.11,0,751.835,0.002,0.325,8.522,1.521,6.807,0.968,2.297,-550.051,387.259
"TTL_C22",200.93,2.019,23.966,0.806,233.193,0.393,11.204,0.527,1446.192,83.391,34.819,63.895,0.138,49.395,10.358,524.169,186.336,1.661,6.733,8.417,5.098,3.344,21.279,727.231,4.841,0.426,101.138,7.467,21.47,865.934,1281.694,333.526,0.048,5.174,1.519,0.109,7.407,8.884,36.044,7.663,13.48,62.92,58.485,1.097,11.847,26.123,13.679,2.352,34.259,0,87.2,0.001,0.031,34.509,2.117,1.325,0.027,167.052,-2122.62,4722.721
"TTL_C23",411.154,3.768,10.846,1.097,739.392,2.545,74.678,1.785,1889.424,19.679,106.31,10.597,0.218,58.36,15.172,170.302,12522.191,42.639,36.075,19.468,10.051,4.586,19.276,694.343,16.78,0.286,122.863,49.766,46.615,21413.823,890.742,103.704,0.162,1.805,2.099,0.078,41.072,3.306,28.198,3.777,18.084,1088.089,184.394,1.271,34.5,127.203,23.487,6.148,93.226,0,233.471,0.001,2.703,24.838,2.625,0.925,0,7.722,-2160.812,39276.911
"TTL_C24A",7.372,0.169,0.748,0.291,238.334,0.192,1.396,0.234,12.775,0.91,3.61,1.128,0.029,1.21,0.09,11.259,67.229,91.895,12.31,51.248,1.176,1.456,37.24,334.029,12.004,0.474,25.824,6.419,12.558,519.47,48.907,8.972,0.009,0.63,0.2,0.003,0.161,0.167,1.228,0.305,0.678,10.147,13.401,0.038,1.154,2.333,0.751,0.217,2.091,0,75.227,0.005,0.836,53.591,3.928,0.176,0.353,1.877,-1210.607,469.854
