"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4743.013,31.315,3.423,0,83.987,0,3.041,0.246,24618.049,105.233,5.938,14.266,25.362,97.53,5.312,57.652,12.547,22.688,7.837,20.681,10.569,9.418,21.345,3.301,4.82,2.658,20.957,135.722,23.562,194.595,472.938,115.441,13.554,12.589,87.675,5.419,502.988,11.401,14.336,34.847,28.563,73.853,90.473,278.34,143.745,36.701,336.203,50.069,55.691,0,10133.975,2.353,261.513,438.769,47.802,121.33,322.429,12505.148,-12156.44,44326.772
"TTL_A02",50.397,26.697,0.008,0,0.06,0,0.025,0.009,20.484,0.133,75.518,3.583,0.137,2.831,0.187,1.854,0.151,0.119,0.054,0.25,0.212,0.095,0.373,0.041,0.101,0.042,20.356,0.196,0.099,8.637,1.792,0.736,0.088,0.043,0.293,0.029,0.645,0.203,0.071,0.495,0.35,1.028,1.041,1.465,13.232,0.246,0.587,9.598,0.273,0,30.742,0.107,88.556,4.091,1.121,1.626,0.065,281.594,-184.552,468.216
"TTL_A03",4.615,0.003,6.537,0,0.057,0,0.017,0.008,186.794,0.054,0.028,0.079,0.249,1.328,0.232,0.126,0.034,0.05,0.011,0.063,0.178,0.028,0.073,0.009,0.116,0.026,0.059,0.141,0.359,0.326,2.205,0.413,1.203,0.021,0.189,0.018,18.112,0.135,0.017,0.189,0.187,0.078,0.445,0.434,2.947,0.055,12.055,0.338,1.213,0,191.948,0,0.085,2.671,0.964,7.017,3.259,323.042,-180.046,590.796
"TTL_B05",0.178,0.002,0.002,0,1.834,0,1.35,0.89,0.402,0.022,0.065,0.04,180.022,6.349,0.023,0.038,21.72,521.384,79.89,0.075,0.061,0.033,0.132,0.009,0.018,0.672,0.058,813.627,0.039,1.975,0.409,0.364,0.041,0.042,0.153,0.01,0.063,0.04,0.022,0.186,0.063,0.082,2.755,0.192,0.142,0.033,0.085,0.031,0.03,0,1.09,0,0.032,0.68,0.015,0.271,0,0,-1637.741,0
"TTL_B06",2208.073,0.027,0.574,0,76.861,0,49.525,7.242,2439.41,79.066,15.477,355.809,36179.056,6611.815,108.138,193.699,440.844,248.816,116.368,185.324,18.293,17.176,123.515,11.403,22.723,30.079,108.476,7943.134,122.944,260.193,1046.759,91.037,24.139,27.387,210.675,23.286,1351.651,17.042,25.99,56.289,116.813,214.258,333.535,219.006,457.715,585.916,1199.904,431.322,593.104,0,7739.169,0.006,37.854,33.671,7.041,4.365,0.011,12848.844,-63501.251,22169.604
"TTL_B07",0.721,0.001,0.006,0,1.489,0,2.639,1.629,0.603,0.224,0.053,0.216,15.882,50.108,0.119,0.701,12.446,365.007,263.063,20.313,1.574,1.799,2.465,0.256,0.173,0.642,0.622,0.348,0.068,47.78,2.94,0.235,0.039,0.022,0.103,0.034,0.05,0.122,0.028,0.374,0.199,0.416,3.026,0.66,0.639,0.171,0.263,0.044,0.125,0,2.865,0,0.026,1.264,0.04,0.864,0,0,-805.495,0
"TTL_B08",91.495,0.002,0.936,0,4.717,0,308.332,5.034,55.625,17.994,0.208,12.833,3.964,411.27,0.656,8.78,574.958,6.918,2.944,0.505,0.811,0.562,1.592,0.095,0.184,1.795,9.38,0.917,0.247,1545.437,22.337,0.758,0.809,0.094,0.294,0.078,0.525,0.228,0.075,0.473,0.309,30.677,8.919,34.902,98.656,2.742,1.3,0.153,0.393,0,111.464,0.001,0.182,3.583,1.052,0.853,0.005,650.678,-2326.722,1713.011
"TTL_B09",2.169,0.003,0.015,0,773.091,0,43.269,113.744,2.562,0.265,0.065,0.394,504.293,7.836,0.16,0.265,30.577,0.347,0.14,0.427,0.734,0.137,0.571,0.049,0.113,284.811,0.453,73.338,1.43,250.727,3.53,0.768,0.301,0.206,0.858,0.137,0.781,0.645,0.13,2.029,1.058,0.668,1109.642,3.263,1.998,0.583,1.016,0.307,0.37,0,7.626,0.001,0.157,117.906,0.03,0.492,0.01,1457.102,-3295.459,1508.138
"TTL_C10T12",3357.189,0.31,9.233,0,3.151,0,1.628,0.237,20594.273,32.412,4.595,51.531,159.187,601.032,267.831,45.647,9.06,6.568,2.498,24.055,28.201,16.556,43.87,2.477,5.94,2.921,25.683,101.071,421.842,105.808,554.662,16.282,7.555,4.914,18.725,10.737,4593.123,18.319,10.543,96.195,65.551,38.14,241.342,103.032,185.192,89.848,1013.685,709.149,96.054,0,38981.667,0.096,24.109,271.021,148.388,404.406,269.762,65586.373,-26575.29,112908.39
"TTL_C13T15",9.332,0.023,3.637,0,0.714,0,0.167,0.087,31.144,314.817,1.296,28.194,1.722,30.965,2.85,24.376,5.444,1.618,0.671,9.782,2.94,16.365,26.78,9.272,1.868,1.049,22.224,0.881,1.946,40.408,28.361,2.667,1.938,0.648,1.444,0.114,10.423,2.649,2.835,3.983,4.478,4.249,47.723,58.057,33.159,5.743,148.917,2.501,15.097,0,3532.264,0.004,0.536,165.787,21.659,139.184,15.237,2579.251,-3382.376,4037.105
