"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",266.888,50.685,46.314,0.004,3.813,0.05,0.389,1.699,2592.493,7.332,118.375,5.146,0.377,7.928,2.972,2.44,0.77,0.174,0.418,0.538,0.207,0.27,0.759,0.099,0.519,0.016,3.791,4.546,1.961,26.853,66.314,2.818,8.83,0.773,3.661,0.269,119.809,0.89,0.577,1.429,1.176,2.512,6.409,12.604,22.103,7.296,47.499,8.562,5.724,0,3073.555,11.352,77.359,68.569,2.023,97.436,25.788,130.531,-1997.552,4956.139
"TTL_A02",11.191,146.722,5.426,0.01,1.928,0.039,0.246,0.182,47.794,0.335,396.407,15.759,0.077,1.644,0.199,2.889,0.902,0.101,0.311,0.181,0.03,0.062,0.177,0.014,0.289,0.002,6.759,9.41,0.207,22.279,14.59,0.364,1.166,0.053,0.466,0.047,6.849,0.242,0.143,0.329,0.105,1.181,0.589,0.904,7.077,1.255,3.409,2.477,1.256,0,427.346,0.037,0.353,31.341,1.933,1.255,0.295,221.59,-100.202,1298.022
"TTL_A03",6.312,1.309,4051.211,0.001,0.349,0.046,0.186,0.1,4482.094,0.096,0.081,0.104,0.166,1.04,0.37,0.041,0.215,0.029,0.194,0.204,0.048,0.087,0.201,0.006,5.323,0.009,0.294,0.176,0.374,2.329,46.234,0.788,24.928,0.309,1.39,0.022,394.59,0.866,0.283,1.156,0.98,2.24,1.682,1.319,52.572,6.226,45.75,4.64,4.57,0,381.48,0.056,0.285,11.224,24.429,5.458,4.175,6774.502,-137.531,16207.619
"TTL_B05",0.186,0.025,0.135,0.071,12.981,0.244,0.988,9.756,1.718,0.084,0.174,0.611,23.765,2.393,0.031,0.109,8.559,17.027,10.859,0.097,0.022,0.081,0.135,0.01,0.179,0.005,0.083,111.084,0.172,6.937,0.637,0.388,0.178,0.033,0.26,0.015,0.166,0.026,0.034,0.095,0.037,0.281,0.185,0.104,1.502,0.484,0.277,0.04,0.396,0,0.461,0,0.065,1.166,0.024,0.21,0.002,2.744,-203.259,15.076
"TTL_B06",38.669,7.91,129.769,0.291,1164.048,7.096,34.118,326.453,283.386,8.367,30.758,31.196,5557.096,192.857,14.199,16.124,98.486,41.463,99.663,55.098,25.054,32.006,185.249,7.115,70.744,1.539,125.955,916.756,68.28,757.96,337.505,221.943,1395.316,303.194,132.98,16.089,61.137,67.636,58.445,102.061,50.501,46.669,179.854,201.88,218.241,48.518,137.451,59.771,29.601,0,802.674,0.2,20.783,902.009,0.358,3.102,28.917,208144.498,-800.733,223098.304
"TTL_B07",0.283,0.008,0.162,0.013,12.476,5.481,4.726,16.169,1.321,0.075,0.118,0.161,8.415,5.641,0.132,0.296,14.657,81.622,428.152,5.531,0.186,0.68,0.943,0.062,0.268,0.007,0.616,4.117,0.522,29.945,0.702,0.3,0.237,0.051,0.278,0.019,0.122,0.075,0.043,0.17,0.1,0.292,0.625,0.355,0.41,0.102,0.304,0.083,0.229,0,1.195,0,0.047,0.763,0.029,0.668,0.002,307.761,-559.341,378.408
"TTL_B08",4.481,0.239,6.559,0.025,48.894,1.201,46.834,47.746,24.885,0.324,0.595,2.063,19.721,24.197,0.511,0.98,243.454,19.007,29.227,2.594,0.442,0.983,1.427,0.088,0.847,0.02,1.837,11.855,4.834,602.223,3.502,1.172,3.261,0.224,0.992,0.052,3.939,0.295,0.159,0.292,0.141,6.031,1.599,4.494,7.604,0.677,2.42,0.498,0.574,0,90.636,0.028,0.592,8.191,0.703,0.658,0.347,435.012,-257.925,1464.258
"TTL_B09",1.506,0.103,91.503,1.041,9198.027,23.173,229.461,5160.274,4.9,0.017,0.603,5.26,396.656,1.216,0.095,1.002,63.373,10.622,34.952,0.499,0.06,0.236,0.565,0.01,0.045,0.004,0.425,119.334,1.886,258.08,1.205,9.231,19.69,2.634,7.793,1.393,0.639,1.125,0.071,0.149,0.475,4.347,12.269,0.766,4.826,0.743,0.696,0.111,0.55,0,0.628,0,37.829,932.406,0.05,0.382,0,1243.677,-1975.121,15913.491
"TTL_C10T12",886.684,3.112,1019.071,0.012,21.252,0.328,3.226,10.163,8085.821,4.182,4.953,15.195,12.365,122.366,31.095,6.091,6.913,1.255,7.172,4.581,1.585,2.593,4.652,0.34,3.167,0.082,10.289,4.992,18.825,50.425,484.102,17.578,209.164,6.592,32.658,3.093,2215.321,29.241,9.729,25.746,17.316,35.092,43.957,52.897,265.863,151.651,582.581,125.155,60.902,0,19020.402,15.903,72.289,20.343,20.548,314.938,154.886,5738.1,-7289.554,32779.282
"TTL_C13T15",4.414,1.101,54.245,0.02,27.504,0.604,1.701,12.094,30.734,185.046,7.368,15.112,3.51,12.469,2.77,8.199,11.996,3.188,7.292,9.608,3.794,4.139,9.396,4.042,11.439,0.237,52.868,4.423,26.089,103.713,121.282,9.66,14.794,3.356,12.998,4.252,29.469,5.19,3.471,5.275,4.034,9.267,38.291,62.579,154.79,24.301,117.638,42.999,35.867,0,3261.651,0.015,2.414,105.609,24.228,109.472,6.498,339.553,-4049.844,1118.222
