"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",3495.646,324.341,107.317,0.314,1.079,0.168,0.197,0.22,9958.356,24.467,133.212,8.962,0.014,14.788,3.943,9.882,1.568,0.198,0.696,2.198,0.868,0.773,1.692,0.672,0.225,0.54,4.074,18.482,2.569,84.697,135.386,4.955,0.18,1.33,1.909,0.591,425.325,4.85,2.644,9.814,10.648,61.399,37.074,15.798,30.023,11.986,60.152,10.659,11.742,0,2764.402,5.326,24.458,78.767,11.747,11.403,41.994,3825.726,-733.702,21068.741
"TTL_A02",65.228,938.689,3.414,0.563,0.543,0.11,0.098,0.069,64.482,0.691,563.474,31.77,0.005,2.171,0.248,7.775,1.639,0.1,0.387,1.403,0.397,0.409,0.564,0.278,0.236,0.257,11.191,25.139,0.523,87.577,25.574,1.266,0.05,0.61,0.624,0.175,7.694,0.976,0.922,3.192,4.07,19.464,13.052,3.196,6.828,1.862,4.69,2.248,2.94,0,152.835,0.092,0.448,4.823,3.744,0.147,0.399,1611.531,-5.541,3677.341
"TTL_A03",40.263,2.941,789.5,0.153,0.999,0.14,0.106,0.137,2059.771,0.21,0.281,0.547,0.005,1.185,0.258,0.395,0.497,0.038,0.171,0.71,0.2,0.278,0.409,0.208,0.069,0.151,0.276,0.961,0.751,15.353,16.952,3.182,0.238,2.788,0.555,0.365,195.841,2.188,1.064,3.842,1.675,7.192,4.365,3.69,10.181,2.451,11.12,2.322,1.828,0,746.575,0.095,0.49,2.364,2.521,0.636,6.448,1151.037,-13.559,5085.41
"TTL_B05",0.779,0.154,0.356,1.281,3.325,0.208,0.25,0.63,1.457,0.054,0.091,0.517,0.082,0.805,0.014,0.129,2.416,1.959,1.866,0.133,0.015,0.046,0.062,0.04,0.014,0.036,0.036,84.216,0.811,14.506,0.731,0.243,0.003,0.031,0.069,0.026,0.207,0.028,0.051,0.169,0.101,4.526,0.388,0.102,1.263,0.288,0.5,0.075,0.196,0,17.825,0,0.052,28.656,0.004,0.025,0.003,177.791,-55.708,293.932
"TTL_B06",6,1.484,2.273,4.014,50.081,1.65,2.259,3.046,33.064,0.73,2.156,10.427,34.799,61.435,0.25,3.673,27.861,6.423,22.458,8.379,0.277,0.742,1.555,0.484,0.267,0.744,1.305,1390.097,3.511,137.835,24.621,6.411,0.138,2.076,2.247,0.659,2.8,0.565,0.733,1.698,1.563,61.339,7.639,2.881,15.795,3.524,5.175,1.27,1.382,0,16.632,0.003,0.156,278.947,0.104,0.396,0.173,574.656,-519.552,2313.309
"TTL_B07",1.106,0.057,0.164,1.277,1.825,15.925,2.295,0.961,4.586,0.091,0.076,0.136,0.16,9.636,0.06,0.229,24.575,62.127,438.629,12.792,0.082,0.482,0.792,0.095,0.02,0.033,0.5,20.35,0.28,72.011,1.03,0.46,0.004,0.083,0.073,0.034,0.284,0.048,0.052,0.643,0.15,1.293,0.644,0.249,0.385,0.098,0.211,0.098,0.302,0,0.778,0.001,0.037,0.986,0.001,0.078,0.003,263.038,-555.495,386.92
"TTL_B08",11.179,0.685,1.508,0.462,2.51,0.573,3.392,0.655,9.94,0.412,0.601,2.585,0.068,10.335,0.265,2.365,60.301,2.512,5.605,1.63,0.194,0.46,0.463,0.181,0.073,0.152,0.649,10.514,6.663,241.346,4.394,0.705,0.022,0.182,0.248,0.087,1.274,0.451,0.27,1.219,1.149,17.516,3.249,1.476,5.465,0.89,3.103,0.565,0.751,0,56.945,0.083,0.345,39.092,0.028,0.077,0.146,23.48,-207.786,333.702
"TTL_B09",4.254,0.641,5.879,3.728,64.447,2.261,3.834,11.536,5.406,0.131,0.344,1.323,1.176,2.137,0.115,0.537,4.97,0.495,1.971,0.967,0.251,0.325,0.672,0.207,0.075,0.205,0.283,57.967,0.747,49.962,8.026,2.255,0.1,1.44,0.583,0.295,1.35,1.001,0.758,2.955,2.472,15.517,8.605,2.737,4.247,1.259,2.648,1.047,1.092,0,10.861,0.019,0.131,148.492,0.05,0.044,0.248,34.427,-43.295,436.212
"TTL_C10T12",1181.446,15.495,232.593,1.161,7.553,1.81,1.021,1.328,3504.933,10.75,15.687,24.509,0.186,75.294,8.066,34.469,12.39,6.024,30.656,16.657,4.88,6.474,10.605,3.56,1.654,3.951,7.707,21.547,34.536,127.269,164.713,12.312,0.821,6.05,3.668,1.465,940.044,20.326,6.154,26.635,19.892,91.336,39.482,18.878,61.039,28.751,112.245,35.333,20.505,0,16864.35,1.271,39.75,135.512,39.51,36.878,128.416,20072.864,-4522.797,39809.612
"TTL_C13T15",21.521,4.332,35.29,0.429,1.454,0.356,0.241,0.226,38.901,209.604,5.135,22.618,0.023,9.215,1.075,16.024,7.321,0.457,1.457,7.265,1.665,2.401,4.094,4.684,1.264,2.617,26.426,6.876,2.774,70.8,65.267,4.263,0.132,2.214,1.523,1.237,25.37,2.662,1.771,7.522,6.563,34.638,26.722,14.532,32.128,7.273,47.367,15.127,16.113,0,2277.633,0.757,2.222,21.473,1.178,12.748,6.834,461.015,-2317.793,1285.039
"TTL_C16",49.518,71.729,7.475,1.144,1.323,0.566,0.441,0.224,88.715,2.495,823.124,62.746,0.011,11.342,0.699,8.044,21.044,0.505,3.548,19.566,1.768,5.226,5.887,3.571,5.022,2.699,125.08,19.898,2.487,1935.692,61.958,5.922,0.068,0.802,4.11,0.283,16.212,3.143,0.898,3.183,2.259,94.856,23.758,10.948,7.241,5.537,16.28,4.516,14.186,0,222.78,0.012,0.95,66.354,2.421,1.419,6.535,863.392,-304.248,4417.361
"TTL_C17_18",54.848,13.831,6.728,0.332,1.412,0.514,0.286,0.217,252.542,5.673,43.781,395.069,0.062,39.417,5.683,24.113,15.897,0.606,3.326,12.039,3.195,5.938,5.61,1.724,0.749,1.879,13.446,9.425,4.633,120.611,105.527,6.887,0.215,2.121,2.778,3.88,20.052,55.999,5.674,47.453,27.728,52.894,81.906,27.929,54.855,44.611,56.485,13.084,27.873,0,524.15,0.135,1.339,158.873,2.958,4.824,13.951,1163.938,-468.597,3083.11
"TTL_C19",211.099,51.866,169.654,5.088,14.242,5.754,3.92,3.142,127.013,3.076,16.944,17.491,2.932,92.459,2.105,10.986,28.165,7.93,11.011,15.108,1.331,6.516,5.489,2.575,0.8,2.12,6.882,200.752,24.122,308.094,205.505,422.683,13.596,269.042,21.048,12.856,23.376,4.404,4.698,17.43,17.953,58.167,36.477,41.701,93.748,16.644,47.82,14.816,21.1,0,2567.262,0.02,7.959,8.664,0.402,8.531,0.139,10.986,-5226.849,78.844
"TTL_C20",970.188,19.43,29.998,5.307,20.891,6.191,5.002,3.784,369.793,59.809,78.062,143.358,1.318,731.021,39.773,413.601,86.451,6.075,28.35,67.811,17.568,33.532,25.503,13.088,6.916,9.477,42.982,38.232,34.455,491.554,114.238,33.803,1.022,16.834,6.505,2.453,36.68,15.154,2.595,18.625,7.239,108.329,54.567,38.387,32.729,19.342,164.498,12.685,39.277,0,1830.024,0.187,39.37,83.667,0.592,3.536,10.852,803.663,-3734.064,3562.309
"TTL_C21",48.986,0.983,2.617,0.245,1.039,0.298,0.181,0.163,28.183,2.238,3.167,5.042,0.045,25.827,20.616,13.431,3.134,0.273,1.235,3.031,0.939,1.376,1.574,0.589,0.326,0.607,1.952,2.413,1.724,25.108,11.148,1.564,0.053,0.749,0.404,0.165,2.539,0.948,0.474,2.748,2.862,8.929,11.868,2.382,10.462,2.334,249.264,1.884,3.43,0,256.152,0.042,590.484,15.413,0.271,2.213,2.011,181.85,-1012.424,547.562
"TTL_C22",147.469,11.206,23.877,2.801,10.72,1.896,1.428,1.414,590.999,18.011,29.935,61.227,0.158,84.044,13.406,245.754,26.485,1.499,9.958,58.446,19.152,47.668,47.228,32.142,4.037,19.946,37.99,12.978,18.674,848.17,211.974,60.292,0.445,3.611,5.294,2.172,19.63,6.216,2.565,7.673,6.452,83.948,33.512,27.415,19.135,10.152,51.225,7.598,12.376,0,803.477,0.076,6.395,94.861,1.594,0.427,2.765,442.042,-1677.998,2674.038
"TTL_C23",57.767,2.762,2.91,0.582,3.388,1.143,1.094,0.491,93.529,3.246,10.849,7.106,0.072,34.803,3.1,23.541,145.401,2.968,5.78,15.198,4.33,7.487,5.664,3.506,1.449,1.906,6.03,8.221,5.04,1875.693,24.371,3.27,0.162,0.738,0.962,0.242,9.281,0.9,0.511,2.232,1.875,128.656,11.743,4.662,6.714,4.867,13.286,2.049,4.977,0,387.141,0.062,1.253,60.301,0.752,0.299,0.961,167.208,-657.353,2517.176
"TTL_C24A",3.306,0.744,0.574,0.769,5.865,0.652,0.116,0.243,4.612,0.231,2.475,0.892,0.015,1.046,0.086,4.548,7.696,54.576,13.509,307.481,3.842,18.572,69.469,13.371,7.831,19.857,8.374,6.44,10.243,466.323,9.174,1.435,0.067,0.318,0.593,0.043,0.212,0.046,0.047,0.137,0.142,11.328,6,0.952,1.25,0.49,0.583,0.549,0.62,0,2.876,0,0.018,5.156,0.084,0.058,0.002,334.993,-672.975,737.956
"TTL_C24B",5.638,1.41,0.268,0.21,3.027,0.644,0.15,0.091,44.777,1.078,5.782,5.245,0.022,22.523,1.062,10.874,10.056,26.388,861.62,443.731,31.793,150.767,87.247,22.388,6.466,30.224,40.711,9.82,29.668,349.851,26.483,1.826,0.09,0.14,0.525,0.023,1.819,0.302,0.112,0.383,0.387,19.043,4.742,0.745,2.338,0.261,2.732,1.13,2.188,0,13.429,0,0.02,81.926,0.398,0.083,0.005,1191.46,-614.065,2942.058
"TTL_C25",96.955,22.106,18.59,8.935,43.854,5.482,3.114,6.905,370.959,5.959,60.539,17.614,0.223,31.663,3.334,31.624,35.534,18.097,38.07,794.217,24.719,76.424,265.768,51.537,35.458,63.146,61.799,49.237,18.659,2837.281,144.426,17.997,0.618,4.129,5.648,1.041,23.113,5.166,5.063,13.499,5.637,200.458,65.026,35.906,94.753,11.575,25.025,9.755,16.599,0,533.862,0.308,5.671,507.721,7.207,0.535,1.788,375.901,-1689.76,5526.469
"TTL_C26",6.265,1.46,2.381,0.297,1.793,0.269,0.135,0.182,10.177,0.613,1.176,2.637,0.03,4.325,0.585,2.499,1.837,0.405,1.462,11.015,171.121,40.53,27.957,5.44,4.287,6.495,8.096,18.482,3.054,111.483,57.984,4.793,0.234,4.259,2.139,1.704,4.327,8.195,38.826,109.199,12.251,22.204,47.899,14.739,27.644,11.541,56.552,5.857,10.592,0,1115.832,0.022,1.098,2453.495,39.806,2.882,3.696,472.009,-3636.665,1339.603
"TTL_C27",12.726,1.951,4.538,0.617,1.559,0.627,0.375,0.408,26.451,0.686,2.162,2.868,0.015,2.968,0.558,2.848,2.738,0.606,2.84,16.593,18.844,122.784,37.123,12.467,2.761,9.375,9.306,72.089,3.662,440.955,41.79,7.633,0.256,1.72,1.367,0.523,6.658,3.26,10.69,18.794,4.886,28.168,27.641,10.671,19.197,4.977,16.856,6.521,5.771,0,1009.052,0.114,4.794,1254.19,20.399,1.367,4.939,415.677,-2013.566,1727.842
"TTL_C28",55.932,29.067,26.086,10.601,40.271,6.736,3.599,5.723,108.927,3.35,14.959,17.43,0.227,13.407,1.641,12.405,31.024,4.587,10.824,77.76,11.819,45.71,322.419,28.38,19.803,63.953,34.237,87.424,18.766,693.987,97.711,24.248,0.474,14.068,4.677,1.624,7.275,7.442,5.644,20.465,11.036,33.382,48.145,42.438,43.204,8.429,29.578,10.2,7.049,0,300.81,0.157,5.791,4574.45,74.437,0.563,1.152,969.452,-4018.883,4126.069
"TTL_C29",8.135,14.141,3.789,0.252,1.748,0.75,0.354,0.277,9.933,0.727,1.578,0.977,0.015,1.648,0.174,1.954,3.951,0.394,2.122,7.148,1.499,4.948,15.138,222.852,0.978,10.391,3.838,7.116,4.513,61.059,148.374,88.372,0.615,8.548,4.231,1.218,1.188,0.69,0.817,4.234,1.976,9.569,9.611,20.023,10.53,2.779,5.638,3.176,2.51,0,3471.949,0.007,0.429,2484.456,41.031,2.342,1.001,143.407,-5782.579,1078.543
"TTL_C301",1.058,0.213,9.16,0.046,0.461,0.049,0.028,0.049,2.798,0.081,0.267,0.239,0.002,0.297,0.049,0.309,0.208,0.05,0.163,1.281,0.378,1.718,1.556,0.442,81.442,13.628,1.501,1.498,0.218,14.384,3.235,2.118,4.596,10.203,0.929,0.052,0.368,0.248,0.268,1.138,0.398,3.321,3.018,0.96,18.132,0.384,0.781,0.4,0.508,0,521,0.039,1.195,215.602,3.524,0.006,0.192,110.034,-594.909,441.314
"TTL_C302T309",1.251,1.537,10.242,0.141,0.269,0.08,0.03,0.07,3.906,0.089,0.349,0.261,0.003,0.37,0.052,0.385,0.297,0.092,0.244,2.778,0.568,2.187,2.512,5.053,9.024,239.238,5.086,1.6,0.297,17.595,12.186,30.708,0.76,61.379,1.138,0.135,0.408,0.241,0.272,1.421,0.518,3.524,3.492,5.261,34.916,0.566,3.597,0.521,1.19,0,486.496,0.552,1.229,1248.993,20.479,0.042,0.169,133.948,-1064.084,1295.665
"TTL_C31T33",35.137,7.125,14.928,0.929,5.893,0.815,0.736,0.815,51.369,4.868,9.657,7.184,0.06,7.469,1.252,4.961,5.697,1.283,3.466,10.104,3.604,4.493,10.009,2.143,1.994,8.41,29.658,25.005,7.246,132.526,41.256,14.737,0.546,14.985,2.864,1.327,12.211,4.918,3.484,11.875,8.61,31.157,26.727,16.017,27.523,18.965,109.669,16.079,10.382,0,1883.369,0.085,5.163,672.793,11.527,11.073,19.227,563.706,-2216.083,1723.023
"TTL_D",390.514,31.756,79.394,17.172,77.74,15.792,11.051,2.731,712.684,29.028,54.32,148.75,1.584,138.176,9.922,66.899,135.661,32.627,88.182,114.142,16.995,25.99,33.413,12.398,5.208,15.415,21.008,2127.2,108.281,327.02,501.744,148.863,0.627,7.598,27.187,13.363,273.432,27.369,47.583,76.385,81.868,902.634,145.672,55.753,295.184,168.324,353.101,112.749,105.924,0,3971.933,0.109,3.63,126.697,0.058,0.628,1.006,16.295,-18.777,12297.993
"TTL_E",162.859,7.823,32.376,3.607,13.217,4.288,2.273,1.871,278.014,5.893,18.898,118.965,0.355,31.151,3.878,14.816,31.556,51.716,153.873,39.382,3.527,7.024,12.178,2.769,1.773,7.248,6.531,156.714,754.686,223.88,188.482,25.414,0.593,3.379,9.591,5.305,118.441,5.325,4.693,17.706,29.125,445.828,62.057,31.401,404.691,102.6,270.478,46.317,45.543,0,174.92,0.099,8.338,19.882,0.109,0.225,0.134,21.033,-10.014,4184.836
"TTL_F",336.586,135.786,79.286,9.644,28.602,5.915,4.416,7.078,180.555,16.051,29.328,24.91,0.381,25.258,4.129,16.853,42.395,6.272,20.24,87.062,9.358,17.962,29.583,8.238,5.805,10.489,30.315,488.624,127.674,15216.089,583.963,119.963,2.104,25.511,65.037,14.39,133.784,35.27,67.434,92.702,130.968,5874.853,533.627,107.929,1001.662,181.423,329.386,77.104,86.139,0,595.535,9.996,353.45,34511.736,1.926,3.856,13.268,271.495,-97.219,62132.178
"TTL_G",1826.642,287.483,420.617,23.002,97.466,18.757,15.652,15.021,4374.809,158.272,443.583,295.869,3.311,495.029,59.023,322.963,200.705,45.246,170.149,388.747,132.259,151.047,269.623,131.917,39.696,107.125,160.148,397.483,216.629,3155.095,2006.643,611.105,15.768,204.318,91.718,60.608,582.137,151.355,82.4,321.469,179.232,860.477,524.005,308.112,434.807,150.811,706.508,131.044,151.557,0,15570.623,10.266,639.119,4659.507,27.901,64.902,253.682,8091.674,-7899.98,43415.141
