"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",17401.691,219.621,178.602,3.515,26.681,1.229,8.171,4.483,17559.373,8551.26,208.452,63.383,4,827.734,519.709,390.446,15.278,1.703,3.178,4.675,21.782,7.399,25.903,16.078,1.605,2.26,127.252,1059.036,108.929,318.962,4894.772,171.911,50.362,6.374,67.188,5.161,4671.384,48.948,32.557,6.721,52.069,101.555,292.751,491.634,1787.64,261.499,1555.797,417.371,649.657,0,25619.054,7.078,167.673,1184.099,45.704,7.248,6.122,924.021,-4001.737,87207.001
"TTL_A02",27.351,39.83,0.428,0.716,0.942,0.074,0.145,0.027,23.635,16.269,270.669,36.18,0.145,3.435,0.972,8.756,1.426,0.146,0.21,0.189,0.196,0.17,0.224,0.305,0.079,0.034,11.373,69.984,0.343,7.062,19.265,0.73,0.168,0.063,0.311,0.041,6.941,0.457,0.526,0.162,0.353,1.229,0.925,1.1,10.224,0.819,3.021,2.027,2.708,0,917.834,1.936,21.74,40.016,1.604,0.093,0.083,2.71,-25.077,1533.322
"TTL_A03",4.99,0.165,58.943,0.034,0.146,0.028,0.039,0.012,87.303,3.182,0.157,0.199,0.138,0.864,0.368,0.276,0.208,0.053,0.062,0.1,0.178,0.106,0.122,0.105,0.052,0.015,0.152,0.885,0.176,0.395,12.459,0.482,0.971,0.094,0.259,0.012,54.639,0.498,0.359,0.205,0.75,0.65,0.573,0.358,18.567,0.95,7.089,1.05,2.146,0,1005.661,0.823,1.726,2.494,0.604,0.408,0.423,35.063,-6.942,1301.821
"TTL_B05",0.285,0.009,0.006,5.355,2.373,0.407,0.453,0.506,0.289,1.526,0.18,1.495,23.785,3.341,0.068,0.313,12.271,20.931,6.511,0.108,0.107,0.18,0.168,0.171,0.038,0.061,0.121,859.056,0.228,1.978,0.794,0.587,0.022,0.033,0.124,0.012,0.107,0.044,0.154,0.025,0.091,0.339,0.161,0.072,1.994,0.273,0.371,0.05,0.518,0,352.836,0.004,0.092,1.821,1.595,0.016,0.004,0.661,-868.222,436.899
"TTL_B06",6.352,0.518,2.285,9.776,323.251,4.3,8.097,8.221,4.592,13.555,3.363,24.447,5887.92,157.392,2.091,7.607,84.412,39.978,46.252,9.513,3.205,4.685,4.087,8.1,0.638,1.234,8.918,7127.146,15.068,20.684,82.503,179.818,35.734,68.194,19.61,3.464,2.251,3.754,8.317,2.725,14.21,9.653,16.735,11.936,69.702,4.37,14.13,3.417,11.879,0,1714.347,0.118,13.321,36.512,9.573,0.251,0.061,129.429,-8769.669,7534.034
"TTL_B07",0.184,0.003,0.007,0.573,2.662,6.036,1.656,0.857,0.175,0.423,0.058,0.171,5.088,4.317,0.115,0.277,13.913,60.896,154.958,2.575,0.317,0.51,0.538,0.438,0.027,0.04,0.363,20.028,0.324,5.614,0.527,0.338,0.037,0.065,0.081,0.01,0.063,0.06,0.112,0.032,0.165,0.255,0.336,0.133,0.452,0.043,0.204,0.051,0.219,0,5.248,0.01,0.22,2.732,0.069,0.05,0.007,86.324,-7.363,373.622
"TTL_B08",1.462,0.036,0.091,0.651,4.264,0.822,9.932,1.254,0.991,1.604,0.185,1.777,7.49,12.77,0.37,0.998,138.073,9.367,7.027,0.929,0.799,0.896,0.592,0.746,0.064,0.066,0.973,36.847,1.77,66.328,1.968,0.892,0.375,0.114,0.274,0.029,0.309,0.119,0.188,0.046,0.176,2.886,0.6,0.999,3.728,0.133,0.565,0.141,0.449,0,138.534,0.095,0.189,5.727,1.111,0.049,0.013,153.072,-86.764,535.19
"TTL_B09",0.249,0.006,0.116,1.832,102.453,1.041,2.975,11.55,0.23,0.29,0.075,0.44,22.846,0.536,0.038,0.136,2.846,1.17,2.392,0.141,0.089,0.077,0.136,0.123,0.012,0.02,0.146,38.907,0.325,1.992,0.689,0.703,0.139,0.199,0.251,0.05,0.08,0.121,0.161,0.043,0.177,0.232,0.421,0.111,0.682,0.052,0.218,0.049,0.12,0,8.191,0.011,6.67,320.748,0.29,0.028,0.01,10.57,-39.475,504.732
"TTL_C10T12",616.569,1.56,45.228,0.796,9.1,0.514,1.528,0.858,697.978,205.683,3.988,31.894,11.296,137.764,55.408,14.689,9.418,2.266,4.135,4.425,7.412,4.981,5.415,5.069,0.619,0.846,11.474,46.562,14.793,14.72,459.542,25.955,25.773,6.752,14.072,2.301,957.487,44.426,34.641,13.197,43.181,29.194,38.776,28.853,290.08,67.807,274.755,97.136,103.508,0,28067.092,7.182,16.126,29.179,40.619,23.44,22.854,3359.728,-3334.644,32756.001
"TTL_C13T15",19.393,0.482,2.621,1.447,10.759,0.776,0.881,1.101,19.197,5114.114,4.713,32.695,3.69,16.23,5.156,20.47,16.107,2.808,2.558,7.24,13.034,7.805,9.263,42.014,1.985,2.516,50.205,31.502,11.201,25.201,114.677,14.064,1.725,3.303,5.713,3.731,13.684,9.008,11.562,2.967,9.885,7.115,34.06,33.314,179.076,10.244,100.677,31.765,91.708,0,16876.677,2.051,4.621,98.651,114.6,8.09,17.84,11967.411,-602.44,34642.944
