"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1085.04,0.844,0.301,0.009,0.014,0.447,0.047,0.041,5209.356,46.915,0.878,0.54,0.09,9.819,2.463,0.886,0.125,0.053,0.151,0.097,0.004,0.031,0.039,0.023,0.003,0.021,54.422,0.101,0.022,1.298,14.168,0.274,0.015,0.334,0.071,0.001,442.508,0.083,0.498,0.004,0.106,0.022,0.552,0.204,10.709,0.349,10.108,0.494,0.726,0,7681.163,0.023,1.44,613.894,12.472,10.906,2.602,7651.718,-2347.086,20522.438
"TTL_A02",24.168,8.491,0.003,0.041,0.006,0.042,0.003,0.004,13.863,0.205,141.008,17.534,0.012,0.556,3.36,16.455,0.711,0.003,0.012,0.008,0.001,0.007,0.003,0.005,0.002,0.003,0.312,0.004,0.002,1.31,1.566,0.024,0.001,0.023,0.022,0.002,3.545,0.007,0.04,0.001,0.011,0.011,0.036,0.019,0.104,0.012,0.041,0.007,0.18,0,233.341,0,0.083,1.419,0.001,0.14,0.002,11.272,-124.823,355.222
"TTL_A03",2.002,0.001,15.73,0.002,0.005,0.089,0.007,0.014,1212.6,0.027,0.004,0.029,0.037,0.056,0.008,0.027,0.023,0.009,0.029,0.016,0.001,0.005,0.006,0.002,0.003,0.003,0.025,0.016,0.004,0.2,0.81,0.06,0.008,0.069,0.045,0.001,74.644,0.016,0.096,0.001,0.016,0.002,0.045,0.038,2.491,0.07,0.506,0.052,0.102,0,951,0,0.019,0.277,-0.109,0.613,0.226,3.664,-8.288,2257.454
"TTL_B05",1.732,0.006,0.012,1.436,0.539,18.921,0.661,0.811,6.479,0.5,0.081,0.976,50.244,3.939,0.027,0.503,16.113,26.51,45.891,0.09,0.002,0.14,0.036,0.036,0.007,0.046,0.139,124.315,0.039,5.174,0.33,0.727,0.002,0.019,0.121,0.002,0.396,0.006,0.048,0.002,0.02,0.033,0.044,0.045,1.015,0.471,0.205,0.012,0.449,0,0.455,0,0.001,0.304,0,0.023,0,35.702,-40.197,305.641
"TTL_B06",3.152,0.138,9.638,0.759,12.247,80.823,2.853,6.614,120.279,1.129,2.38,5.576,3322.359,5.163,0.074,7.703,107.391,49.343,23.588,11.173,0.01,1.849,0.32,0.364,0.037,0.288,4.184,361.17,0.803,14.262,13.228,151.245,1.766,13.96,11.314,0.807,3.474,0.537,1.238,0.004,0.594,0.023,3.869,2.142,14.038,0.774,1.859,0.309,2.819,0,100.435,0,0.026,5.893,0,0.378,0.095,2722.763,-1334.326,5874.931
"TTL_B07",2.412,0.004,0.139,0.425,37.884,93.573,1.878,5.808,5.246,1.065,0.131,0.576,5.875,2.069,0.198,1.701,12.124,36.087,1413.053,1.69,0.05,0.732,0.225,0.274,0.021,0.119,1.901,8.108,0.912,21.952,4.362,3.797,0.006,0.073,2.06,0.096,1.33,0.197,2.329,0.136,1.734,2.281,1.638,0.7,11.57,0.748,2.06,0.338,1.627,0,50.099,0.003,9.472,499.768,0,0.074,0.039,27166.351,-322.413,29096.713
"TTL_B08",30.135,0.001,0.013,0.219,0.098,11.579,24.798,2.89,20.224,0.814,0.089,1.917,0.332,19.731,0.327,1.471,729.015,28.417,0.498,0.396,0.004,0.093,0.124,0.077,0.008,0.039,0.816,41.23,6.46,508.984,0.597,0.069,0.006,0.013,0.107,0.001,3.155,0.013,0.053,0.001,0.04,2.582,0.137,0.101,50.665,0.032,0.215,0.02,8.719,0,7.302,0,0.004,4.905,0,0.074,0.005,324.21,-84.868,1748.958
"TTL_B09",0.699,0.003,0.028,2.237,258.914,511.682,7.102,34.88,0.964,0.188,0.019,0.154,9.418,0.294,0.04,0.21,13.139,9.824,63.927,0.242,0.004,0.057,0.053,0.15,0.003,0.022,0.194,17.21,0.563,37.319,0.844,0.759,0.021,0.466,0.43,0.03,0.352,0.174,1.298,0.042,0.77,0.054,0.967,0.857,1.295,0.431,0.953,0.215,0.446,0,4.381,0,0.002,395.411,-0.01,0.043,0.002,3.244,-26.407,1356.61
"TTL_C10T12",453.461,0.433,9.291,0.054,0.134,5.048,1.168,0.131,4126.074,12.328,0.702,17.567,2.279,65.36,7.512,9.259,1.921,0.837,1.245,0.929,0.038,0.659,0.266,0.536,0.031,0.156,6.823,1.165,0.195,5.228,38.412,1.618,0.04,0.766,0.591,0.015,2762.469,0.262,1.422,0.018,1.057,0.459,1.982,1.1,162.785,6.068,73.616,18.013,6.93,0,18350.001,0,64.471,29.205,5.445,35.266,9.057,8630.265,-4611.432,30320.728
"TTL_C13T15",49.454,4.294,20.859,0.206,0.542,14.412,2.393,1.499,47.328,2101.159,7.675,42.804,0.81,47.222,21.05,48.54,15.392,7.926,3.798,8.221,0.105,1.196,0.905,1.24,0.388,1.902,183.986,0.412,0.2,104.251,44.776,1.207,0.006,0.095,0.1,0.002,107.609,0.066,0.239,0.004,3.442,0.102,78.192,61.392,73.16,7.252,42.186,6.548,22.353,0,4286.55,0,0.038,37.926,-8.06,12.18,5.403,1550.243,-3440.464,5632.718
"TTL_C16",10.028,0.007,0.065,0.225,0.027,21.6,0.169,0.032,10.929,1.749,182.482,12.542,0.173,8.075,0.047,9.606,8.594,0.915,3.442,2.354,0.005,1.767,0.049,10.925,0.673,0.843,110.247,0.332,0.326,652.543,18.468,0.769,0.01,0.137,0.071,0.003,1.543,0.04,0.183,0.002,0.117,30.866,4.548,0.529,69.1,0.345,1.965,0.163,21.363,0,7.207,0,0.044,2.096,0.173,1.36,0.313,147.251,-388.901,970.533
"TTL_C17_18",43.279,0.01,0.522,0.077,0.075,6.081,0.036,0.215,394.924,16.446,2.516,964.801,1.089,33.315,6.484,26.439,40.54,1.071,0.87,4.431,1.107,11.614,0.981,3.491,0.129,1.53,46.386,0.113,1.85,22.084,106.141,4.19,0.021,0.348,8.023,0.324,45.442,127.064,83.097,1.113,128.73,6.999,139.93,104.108,223.377,121.629,36.45,10.177,66.09,0,975.24,0,0.202,4.161,-0.683,4.614,1.149,200.676,-918.347,3112.769
"TTL_C19",84.962,3.46,244.24,3.129,15.663,788.379,6.614,13.095,603.47,30.154,10.024,41.841,668.725,109.673,2.937,28.684,152.97,137.364,142.903,33.667,0.223,9.081,5.563,9.501,0.296,2.155,89.15,230.8,20.435,332.217,196.719,3743.842,45.861,357.608,289.011,20.903,87.446,2.741,22.887,0.09,15.394,0.87,84.953,51.987,348.886,19.729,47.634,6.998,69.224,0,2601.7,0,0.569,6.506,0.48,8.148,3.746,1559.938,-3288.987,10126.255
"TTL_C20",1046.306,0.072,3.418,1.173,5.483,298.336,6.739,0.627,427.112,145.983,44.711,80.113,162.554,931.478,92.986,793.903,101.816,41.731,49.119,45.743,1.809,45.317,2.275,37.175,1.168,3.554,213.252,2.065,9.674,173.12,27.779,22.963,0.264,2.316,28.429,0.121,64.429,5.408,14.455,0.401,14.213,32.994,21.875,49.781,92.541,14.074,109.735,9.52,173.649,0,3307.816,0,0.781,8.652,-3.911,3.384,0.574,1422.248,-5651.677,4541.623
"TTL_C21",78.473,0.007,0.147,0.055,0.066,2.768,0.088,0.075,36.689,1.035,0.315,0.742,1.305,8.587,48.99,6.111,0.821,0.359,0.546,0.533,0.035,0.354,0.135,0.276,0.013,0.067,1.955,0.124,0.09,3.138,3.314,6.62,0.108,0.61,1.138,0.084,3.605,0.156,0.922,0.013,0.324,0.217,11.381,0.629,47.394,2.693,700.536,0.534,4.25,0,1123.446,0,4.73,3.557,-2.563,2.111,0.281,108.384,-1460.851,757.518
"TTL_C22",30.295,0.12,4.513,0.883,10.23,110.96,2.226,6.06,812.505,74.954,0.767,67.234,8.203,229.147,44.097,316.385,18.098,2.299,33.492,13.785,0.782,52.463,2.284,37.401,0.84,12.803,173.84,2.189,0.422,664.525,140.882,502.715,0.313,0.112,7.515,0.165,62.759,8.616,1.436,0.031,14.144,14.655,24.806,20.17,128.962,21.238,23.447,4.831,56.525,0,433.875,0,0.636,34.743,-1.063,0.411,0.064,843.668,-1871.214,3208.243
"TTL_C23",27.226,0.01,0.285,0.288,0.196,107.894,5.087,0.658,261.205,2.429,7.675,2.554,1.54,42.646,9.442,6.385,368.441,81.002,9.663,2.376,0.241,3.032,0.616,13.376,0.559,1.657,48.537,10.081,25.108,3312.18,20.937,8.4,0.362,2.698,2.624,0.042,37.587,0.188,1.563,0.02,1.968,46.107,10.38,2.92,334.521,2.016,5.613,0.817,36.57,0,94.082,0,0.038,71.863,0,0.287,0.014,359.809,-834.536,4559.277
"TTL_C24A",4.92,0.069,1.456,1.156,40.452,41.166,0.386,1.891,15.895,0.817,0.528,0.557,87.044,2.63,0.162,0.915,9.064,96.261,3.774,993.678,7.459,20.498,107.32,44.688,7.56,50.326,121.082,7.295,4.481,2128.989,20.979,7.006,0.052,0.597,1.618,0.201,3.589,0.193,1.42,0.016,0.748,16.78,14.098,1.712,23.757,0.894,0.944,0.846,2.561,0,53.213,0,0.011,78.384,0,0.055,0.062,214.65,-2024.295,2222.61
"TTL_C24B",25.346,0.011,0.138,0.052,3.906,15.345,0.186,0.229,13.398,3.22,1.111,2.51,4.745,30.609,2.345,20.532,8.856,18.179,329.121,84.673,0.878,192.624,5.271,19.99,0.195,1.935,25.67,0.793,2.178,45.26,2.401,0.475,0.004,0.039,0.814,0.001,1.726,0.162,0.827,0.015,1.328,1.109,3.486,1.357,18.706,0.469,2.997,0.529,4.858,0,76.771,0,2.581,43.832,0,0.079,0.036,5999.404,-391.956,6631.358
"TTL_C25",52.874,4.755,10.92,2.095,31.939,262.342,0.28,55.254,485.323,12.709,10.297,10.741,70.371,67.738,0.939,17.478,18.83,54.179,27.756,238.505,2.878,62.727,82.198,137.746,6.507,30.957,159.933,22.044,2.546,941.99,53.426,3.611,0.058,0.331,6.198,0.006,34.774,0.699,36.995,0.036,2.62,25.721,20.435,42.734,89.232,2.658,11.076,9.694,55.406,0,605.803,0,0.318,1460.433,0,0.512,0.048,311.741,-1785.641,3873.771
"TTL_C26",8.65,0.008,6.448,0.159,0.474,3.569,0.077,3.667,5.19,0.918,0.22,28.727,1.459,3.123,0.309,2.305,0.803,1.449,0.698,2.555,72.08,32.439,1.915,0.906,2.098,7.672,43.623,1.173,0.061,33.821,58.146,2.173,0.056,0.537,0.265,0.009,0.854,7.254,400.8,10.481,7.74,0.134,35.304,12.046,1.871,5.092,34.265,0.627,121.605,0,2086.224,0,13.974,1677.976,0,2.753,0.068,29.252,-4590.391,185.714
"TTL_C27",1.043,0.012,1.248,0.309,1.531,12.209,0.075,2.743,5.332,0.614,0.344,0.641,1.935,2.335,0.115,9.963,2.389,6.068,8.88,25.702,2.097,73.006,10.574,30.793,1.097,9.905,54.296,73.71,0.522,365.003,38.492,1.086,1.748,1.169,0.109,0.003,12.792,0.441,87.02,0.171,1.524,1.219,11.417,2.228,17.766,7.109,21.816,8.634,42.134,0,879.106,0,0.06,1082.899,0,1.309,0.252,360.816,-2181.009,1104.801
"TTL_C28",2.638,0.04,35.624,2.766,10.317,58.694,3.926,14.438,231.292,24.92,6.137,5.621,21.378,8.256,0.961,9.774,60.941,20.855,7.592,41.308,1.235,47.232,141.244,16.923,3.164,11.758,100.608,3.561,0.384,110.632,40.046,3.17,0.059,0.662,0.732,0.008,1.246,0.986,13.239,0.149,25.666,0.268,18.36,23.188,59.916,18.193,33.495,1.624,16.497,0,43.992,0,0.089,4500.032,0,0.538,0.002,231.803,-4700.618,1337.562
"TTL_C29",20.888,0.086,3.577,0.19,1.141,12.486,0.198,1.405,18.821,1.977,0.359,0.945,4.863,2.499,0.206,2.136,4.8,2.204,3.906,5.745,0.469,7.643,5.583,51.974,0.437,8.365,25.539,9.78,1.143,44.693,245.405,194.646,0.395,2.66,5.188,0.267,3.39,0.284,9.671,0.063,1.438,0.448,4.65,6.281,6.881,1.296,3.339,1.008,9.3,0,1501.539,0,0.084,2770.352,0,2.237,0.431,95.003,-3278.959,1831.357
"TTL_C301",0.061,0.001,3.168,0.002,0.01,0.091,0.003,0.015,0.183,0.016,0.004,0.014,0.024,0.025,0.002,0.015,0.024,0.017,0.021,0.052,0.018,0.034,0.044,0.034,3.768,1.677,1.344,0.019,0.002,0.271,0.161,2.16,1.276,3.147,0.555,0,0.023,0.005,0.107,0.002,0.012,0.005,0.034,0.025,4.774,0.011,0.029,0.007,0.131,0,4.452,0,0.002,79.877,-8.285,0.006,0,6.086,-18.272,87.293
"TTL_C302T309",0.127,0.001,15.953,0.019,0.022,0.254,0.005,0.048,6.347,0.057,0.139,0.036,0.084,0.104,0.015,0.077,0.077,0.3,0.554,3.162,0.036,3.05,0.509,31.001,0.942,65.41,11.008,0.045,0.004,0.547,3.604,35.047,1.738,71.105,0.034,0.001,0.052,0.009,0.212,0.016,0.161,0.011,0.199,3.651,7.58,0.033,0.099,0.093,0.664,0,596.281,0,0.005,421.461,-60.454,0.041,0,10.959,-571.158,661.381
"TTL_C31T33",80.331,0.416,33.838,0.53,20.719,77.189,3.001,8.601,81.809,48.224,4.668,19.342,14.02,40.025,8.766,7.735,18.484,7.026,23.233,6.837,1.255,13.612,2.654,2.644,0.894,3.284,1555.244,24.701,2.969,128.567,57.585,45.733,1.064,18.546,12.621,0.177,124.59,2.556,29.723,1.408,91.173,1.129,29.734,47.168,215.624,98.497,646.224,25.411,121.266,0,3413.368,0.004,68.733,1674.778,-105.115,10.558,6.559,1412.468,-1543.993,8748.21
"TTL_D",37.302,0.009,12.299,4.059,2.697,510.493,2.147,0.561,482.245,131.971,7.605,62.553,107.601,73.914,8.084,98.619,190.687,205.017,288.906,34.359,0.844,28.087,9.447,13.802,0.791,6.171,27.798,854.837,26.075,12.678,216.413,407.944,0.195,1.25,9.777,0.174,164.478,13.094,85.291,1.719,73.506,4.438,53.221,30.06,145.767,64.95,78.152,42.976,84.383,0,3378.6,0,0.125,26.854,0.042,0.6,0.004,11.934,-30.239,8107.369
"TTL_E",12.023,0.002,0.161,0.295,1.334,13.957,0.244,0.334,52.697,8.979,0.445,10.704,6.46,3.944,0.573,5.136,9.32,72.926,146.509,0.792,0.005,0.581,0.312,0.061,0.091,0.995,3.409,3.442,13.049,3.285,26.22,1.747,0.131,0.464,5.561,0.135,25.724,0.058,0.816,0.013,13.257,0.246,4.952,2.55,97.317,34.52,44.792,0.956,7.513,0,639.066,0,0.762,1.491,-0.095,0.214,0.003,0.326,-17.269,1263.534
"TTL_F",3.643,0.022,0.084,1.456,0.909,104.831,0.207,3.409,2.949,0.415,1.139,0.566,23.314,5.338,0.147,0.835,0.694,9.297,6.872,0.615,0.032,0.18,0.284,0.19,0.428,1.71,32.377,0.347,39.697,553.595,123.989,2.057,0.325,2.372,89.078,0.024,3.602,1.285,77.381,0.058,50.801,143.794,51.203,1.675,633.679,0.816,29.153,1.453,30.544,0,89.929,0,0.035,30952.888,-0.022,3.693,0.163,6.209,-39.508,33052.26
"TTL_G",813.097,4.189,102.633,3.455,30.753,466.375,15.16,26.965,3634.367,577.732,79.935,237.926,286.784,377.334,69.273,309.93,288.056,130.713,323.824,307.502,17.19,119.329,79.591,94.44,5.787,40.455,913.503,110.341,21.61,1788.329,952.95,1275.954,13.057,119.212,124.894,6.181,1027.136,46.278,213.88,7.492,85.414,34.786,205.298,164.242,463.355,109.294,585.238,49.644,210.805,0,14064.892,0.343,61.031,3245.826,-1.52,62.141,10.961,5292.045,-8646.829,31060.578
"TTL_H49",431.205,2.886,19.611,4.266,130.036,802.96,99.488,43.856,1045.248,61.181,7.974,48.915,193.866,111.777,12.542,57.538,223.922,69.868,212.501,71.005,1.554,7.238,13.243,9.469,0.792,6.412,89.276,230.669,14.012,380.848,364.174,874.968,2.101,15.078,362.512,59.834,105.243,28.432,69.624,2.646,86.127,3.274,88.192,87.867,250.608,67.457,113.984,12.129,135.801,0,11588.512,0,3.137,203.715,0,82.12,19.805,931.115,-970.544,18992.071
"TTL_H50",2.87,0.356,1.217,0.039,2.296,9.436,0.582,0.204,10.619,2.619,0.811,2.596,22.132,1.744,0.288,1.492,1.498,1.487,2.487,2.653,0.246,1.905,0.575,0.512,0.047,0.327,4.56,0.586,0.086,13.566,8.687,8.849,4.635,0.555,33.901,0.136,2.36,0.213,2.106,0.043,0.383,0.225,1.092,0.821,2.308,0.484,2.599,0.186,1.374,0,135.534,0,0.222,25.521,0,18.414,3.57,189.392,-152.044,381.402
"TTL_H51",15.036,0.157,1.801,0.132,36.113,22.644,0.238,11.552,125.834,18.09,3.317,12.206,36.193,12.004,1.912,9.105,25.102,3.19,5.306,6.601,2.17,31.497,4.623,2.732,0.161,1.427,46.665,8.435,1.662,48.854,45.659,18.279,0.237,3.584,121.58,10.746,26.564,4.715,41.292,6.097,23.872,1.633,65.057,35.075,168.179,16.51,55.77,5.118,14.382,0,1887.832,0,0.962,127.899,0,54.596,13.393,292.595,-812.48,2723.905
"TTL_H52",12.961,0.087,7.605,2.824,40.851,36.176,17.079,5.584,88.32,7.412,21.518,42.765,116.567,51.239,1.873,9.506,12.72,8.027,23.243,19.392,0.295,3.027,2.319,8.869,0.453,4.346,43.818,3.87,4.211,121.952,619.297,2087.382,119.735,752.739,790.22,11.447,92.117,1.271,17.058,0.075,8.42,1.084,23.215,34.914,221.419,17.457,13.964,10.25,21.097,0,390.655,0,1.156,68.158,0,4.74,0.171,331.045,-225.144,6132.851
"TTL_H53",0.079,0,0.006,0.121,0.037,2.2,0.004,0.203,3.18,0.855,0.006,0.028,0.052,0.312,0.006,0.03,0.302,0.215,0.232,0.024,0.003,0.036,0.011,0.008,0.039,0.311,1.852,0.374,0.298,0.363,87.513,0.091,0.003,0.038,20.918,22.996,1.391,8.916,75.752,0.424,95.73,0.015,20.307,6.525,26.927,11.468,8.983,0.361,24.944,0,22.13,0,0.005,0.414,0.139,1.879,0.284,15.044,-71.802,392.581
"TTL_I",1.498,0.007,0.115,0.352,3.43,19.736,0.135,13.22,7.749,0.478,0.125,0.437,14.581,11.484,3.099,8.215,0.402,2.834,1.851,1.039,0.022,0.127,0.163,0.588,0.192,1.658,9.048,18.986,5.333,14.074,125.767,169.706,3.536,51.278,5.852,8.886,8.122,3.394,56.179,7.04,26.506,0.276,94.117,62.605,350.594,31.404,126.171,40.101,45.328,0,13517.384,5.56,1.529,3.305,0,457.313,496.263,1.719,-488.225,15352.687
"TTL_J58T60",4.542,0.024,0.746,0.08,1.704,6.814,0.22,2.567,28.357,1.49,1.211,20.374,7.487,22.182,2.547,1.994,1.974,0.964,1.528,1.219,0.128,2.364,0.448,1.208,0.094,1.157,4.388,3.43,0.642,14.781,65.7,6.157,0.47,7.501,2.975,0.083,9.817,230.854,121.539,4.99,47.029,4.105,908.051,27.937,44.371,142.611,24.321,14.17,32.386,0,620.902,0.001,9.784,5.732,0.07,6.231,1.048,89.956,-636.466,1928.987
"TTL_J61",7.822,0.038,3.068,0.7,2.086,18.96,1.011,6.424,27.736,13.655,0.891,1.938,8.611,3.789,1.088,1.023,7.716,3.45,3.581,14.549,1.412,16.954,10.5,3.457,0.194,1.808,13.151,9.633,2.276,30.969,170.687,25.358,1.75,20.445,36.84,6.546,148.03,30.188,1367.734,5.329,561.01,4.524,113.278,83.391,266.02,58.01,89.812,18.105,98.655,0,6341.777,0,0.034,6.327,0.09,23.321,5.162,68.796,-1129.452,8640.256
"TTL_J62_63",8.291,0.042,0.313,0.278,0.79,5.861,0.448,0.749,8.514,0.979,0.304,1.957,1.418,8.198,1.508,2.228,1.122,0.427,1.732,1.412,0.365,1.075,0.784,1.004,0.156,1.371,5.948,0.733,0.343,14.291,80.048,6.657,0.268,7.428,5.924,0.139,6.479,7.814,63.667,23.605,44.277,1.247,49.064,28.886,16.202,8.188,7.271,1.772,15.216,0,51.148,0.002,2.338,397.961,-0.16,1.86,0.091,0.594,-174.469,726.158
"TTL_K",308.586,0.162,111.674,2.599,82.43,1019.836,3.372,30.76,1669.049,116.952,12.917,30.671,226.111,197.557,37.204,91.118,267.62,190.279,369.578,92.542,0.617,97.765,19.978,19.895,1.358,9.979,84.262,280.611,55.963,506.678,621.462,407.564,8.853,80.381,266.862,5.53,345.539,62.334,426.612,13.457,1406.516,495.499,273.138,219.879,656.022,133.23,151.063,62.186,146.409,0,7112.175,0,128.419,62.06,-1.19,22.403,15.591,172.301,-4370.088,14862.329
"TTL_L",4.196,0.006,0.813,0.262,3.681,3.217,0.069,0.624,30.699,7.057,0.127,0.94,0.881,2.206,1.912,1.746,2.077,0.829,0.362,2.677,0.442,0.873,1.71,3.813,0.289,1.168,13.759,1.561,0.181,8.52,270.447,11.04,0.311,2.205,31.537,1.614,78.436,7.481,50.81,2.636,98.294,3.408,64.062,35.415,11.913,37.136,16.738,16.886,66.217,0,9034.528,0.026,0.084,140.671,0,97.302,13.697,1.281,-181.893,10008.976
"TTL_M",83.79,0.075,7.132,3.617,30.08,201.572,4.117,113.474,815.728,69.083,2.155,32.515,129.847,359.521,84.438,80.253,55.722,70.775,80.035,114.101,6.371,108.719,26.682,53.153,2.673,20.897,88.823,54.989,9.193,568.892,933.387,165.08,1.456,126.777,299.451,4.947,101.196,165.225,1198.203,35.85,657.316,109.238,900.805,275.652,481.774,201.76,357.211,76.048,303.465,0,385.704,0.051,41.568,1283.735,-55.447,10.403,2.769,248.119,-185.971,11404.199
"TTL_N",497.042,2.431,7.977,4.441,21.252,378.493,28.469,58.845,318.361,33.055,3.864,75.328,108.968,123.881,25.244,63.913,73.813,34.021,139.212,137.994,3.19,22.133,30.55,86.974,1.491,12.964,93.695,65.763,23.056,834.42,551.056,270.14,16.992,402.531,308.277,19.083,207.687,134.093,1128.977,31.866,488.452,26.959,555.819,642.461,829.886,259.839,588.941,140.601,249.97,0,805.659,0.004,0.853,5.241,0.09,18.534,3.12,385.076,-3871.284,7511.761
"TTL_O",6.218,0.119,0.748,0.619,3.494,12.266,0.889,2.116,37.738,2.568,3.306,8.478,14.395,7.222,1.537,3.68,4.338,3.448,6.406,9.743,0.039,1.487,1.007,9.117,0.266,2.045,14.049,6.089,8.537,34.876,123.138,204.104,6.165,44.429,67.535,2.564,10.347,10.983,57.423,3.05,49.86,9.063,78.174,48.7,290.486,36.873,64.294,18.262,24.438,0,786.737,0.434,15327.482,1304.934,-0.04,3.638,0.471,45.565,-35.278,18790.671
"TTL_P",0.57,0.002,0.397,0.034,0.243,5.115,0.017,0.207,5.016,1.264,0.035,2.08,0.508,0.522,0.278,0.436,0.366,0.226,0.219,0.125,0.016,0.105,0.048,0.098,0.06,0.552,2.043,5.85,0.391,3.295,13.472,4.722,0.026,0.271,0.616,0.033,1.6,1.005,1.342,1.562,3.41,0.1,13.402,24.96,27.467,301.574,22.954,2.294,5.939,0,6780.794,8.258,7434.298,1.074,0,82.703,6.317,2.811,-92.004,14681.119
"TTL_Q",1.536,0.003,0.028,0.06,0.034,0.751,0.027,0.288,1.105,0.12,0.022,0.096,0.244,0.454,1.118,0.313,0.102,0.096,0.156,0.158,0.011,0.051,0.061,0.083,0.024,0.136,0.762,0.43,0.296,1.211,8.551,6.346,0.076,1.096,0.317,0.185,0.662,0.489,1.79,0.166,1.947,0.033,3.634,1.566,114.555,12.287,856.544,2.587,15.496,0,3203.231,353.574,8619.129,1.793,-0.15,20.91,8.761,3.618,-31.781,13217.189
"TTL_R",2.149,0.016,0.108,0.02,0.054,1.34,0.117,0.171,3.108,0.312,0.056,0.392,0.322,0.544,0.085,0.343,0.351,0.136,0.991,0.418,0.016,0.145,0.131,0.072,0.014,0.069,0.845,0.183,0.119,4.114,4.508,1.699,0.077,1.351,0.553,0.021,4.778,3.456,2.811,0.071,1.154,0.098,6.277,1.454,6.281,1.742,1.344,50.626,10.521,0,1652.306,2.561,496.1,46.47,0,44.917,10.524,149.634,-277.311,2240.765
"TTL_S",32.7,0.239,3.886,0.205,1.39,38.184,1.396,3.326,59.548,10.514,2.535,4.5,8.736,7.248,1.838,4.008,7.702,4.244,16.198,9.393,0.161,3.28,1.483,1.514,0.205,1.158,14.757,8.209,2.248,45.007,61.754,41.043,0.601,4.381,14.117,0.457,101.233,9.77,158.656,37.361,188.36,2.786,74.56,55.835,44.217,42.057,203.41,15.376,232.707,0,3246.497,406.808,1.834,1.913,-0.16,24.054,9.811,0.213,-42.069,5233.392
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4258.188,0,0,0,0,0,0,0,0,4258.188
"IMP_OTHER",8.099,0.084,3.56,0.12,0.884,15.228,0.399,0.881,1.572,25.271,0.66,4.968,31.922,10.298,1.704,8.865,4.986,3.078,3.825,5.379,0.981,2.956,2.158,2.831,0.149,1.205,20.254,5.916,0.487,36.861,13.757,46.936,0.546,5.808,3.964,0.248,8.791,1.009,11.822,0.208,3.633,0.79,5.038,3.838,13.508,2.456,13.899,1.146,6.985,0,226.547,0.001,1.291,162.201,0,83.719,0,0,0,823.721
"TXS_INT_FNL",192.018,1.323,32.03,1.725,24.42,231.996,5.052,12.458,454.526,233.171,14.35,74.218,27.936,69.049,20.15,105.223,58.839,47.999,59.208,23.167,1.647,28.485,10.227,23.928,1.274,8.614,99.858,11.603,8.938,375.385,222.26,580.659,7.494,17.553,66.582,5.087,498.08,20.506,150.177,5.039,105.644,15.932,90.33,62.315,229.538,46.275,222.626,22.861,93.118,0,12763.443,0.511,427.497,2525.979,0,0,59.227,357.266,0,20854.816
"TTL_INT_FNL",5656.974,35.58,739.586,50.256,873.632,6484.419,250.894,500.522,23087.104,3855.774,590.572,2003.786,5815.906,3136.235,532.31,2210.751,2950.93,1493.835,3892.522,2384.827,130.586,1059.659,587.527,789.368,47.869,343.43,4663.418,2629.448,320.098,15076.404,6864.474,11368.864,244.301,2147.165,3049.651,190.363,6864.74,951.026,6092.76,205.04,4436.011,1048.653,4265.338,2375.732,7411.111,1970.582,5490.647,713.616,2724.136,0,152453.508,778.164,32728.086,56112.767,-230.035,1223.803,712.236,70010.24,-70323.258,404073.944
