"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",5290.971,81.196,85.927,0.759,0.306,0.601,0.448,0.026,28152.709,89.563,23.026,6.859,2.303,58.768,6.059,6.283,1.556,0.7,0.642,0.264,5.871,0.982,0.592,0.812,0.092,0.387,9.107,19.585,1.622,65.765,312.495,3.479,0.545,1.15,3.847,0.334,378.03,0.931,3.634,1.197,5.142,4.746,4.677,51.618,42.584,13.866,11.611,22.15,17.418,0,12013.484,2.861,161.665,5771.54,107.254,35.195,5.884,2735.441,-3666.635,51959.928
"TTL_A02",879.25,1973.291,34.093,11.939,0.84,2.169,1.409,0.007,1353.367,23.96,746.955,179.306,0.693,51.32,1.341,41.059,6.848,0.658,0.895,0.173,0.713,0.356,0.344,0.282,0.096,0.152,149.896,200.111,0.471,242.256,438.349,1.136,0.242,0.226,1.336,0.158,44.998,0.901,2.639,1.142,1.397,4.441,1.312,15.737,65.332,9.149,2.747,27.89,4.616,0,72.603,1.908,26.336,22.073,0.355,0.452,0.184,21.912,-20.878,6652.946
"TTL_A03",12.093,0.687,255.578,0.044,0.017,0.063,0.028,0.002,1493.132,0.474,0.224,0.183,0.352,2.038,0.097,0.162,0.144,0.099,0.087,0.036,1.022,0.149,0.067,0.096,0.213,0.148,0.201,0.582,0.069,2.003,6.771,0.243,0.241,0.251,0.244,0.017,41.877,0.081,0.328,0.118,0.316,0.241,0.188,0.471,3.927,0.531,0.555,0.786,0.361,0,6457.295,0.696,40.927,9.427,1.408,1.979,0.453,202.791,-35.465,8507.146
"TTL_B05",27.022,0.521,0.464,141.928,3.695,21.087,7.869,0.891,138.431,9.021,0.351,11.294,523.656,133.165,0.384,2.199,116.803,202.04,54.805,0.239,1.108,1.546,0.627,0.726,0.137,1.061,0.816,3877.467,1.51,143.33,21.201,3.447,0.054,0.282,1.957,0.096,2.71,0.081,0.933,0.191,0.643,3.446,0.647,1.663,23.724,7.585,1.143,0.695,2.539,0,6.668,0.005,1.088,16.267,1.774,0.075,0.01,945.941,-4622.302,1846.756
"TTL_B06",6.103,0.179,2.832,6.104,14.571,4.267,3.243,0.328,59.897,1.56,0.222,4.514,3573.633,155.152,0.254,1.433,20.382,9.38,10.485,0.8,1.381,0.716,0.405,0.83,0.06,0.513,1.536,871.855,1.583,21.58,39.775,6.482,0.877,5.635,5.14,0.45,1.3,0.198,0.901,0.452,2.264,2.632,2.197,4.177,11.787,2.015,0.663,0.997,0.807,0,21.304,0.031,3.454,32.671,2.957,1.221,0.017,95.406,-3677.598,1344.008
"TTL_B07",3.503,0.031,0.438,6.174,1.726,134.321,12.002,0.628,23.867,0.507,0.031,0.253,45.734,66.223,0.18,0.299,51.389,246.283,562.927,3.724,1.579,1.889,0.935,0.782,0.027,0.196,2.27,36.434,0.495,166.515,5.012,0.678,0.03,0.232,0.434,0.032,0.541,0.039,0.227,0.086,0.338,0.604,0.648,1.87,1.32,0.271,0.127,0.347,0.536,0,30.457,0.015,4.046,160.801,26.06,0.24,0.019,2313.958,-1232.22,2688.114
"TTL_B08",25.007,0.339,3.69,2.501,0.962,6.184,26.189,0.322,49.207,1.079,0.076,1.943,23.849,74.188,0.288,0.903,189.954,12.986,8.625,0.417,1.657,1.059,0.335,0.356,0.03,0.143,2.459,25.686,1.284,760.94,8.58,0.808,0.224,0.318,0.631,0.038,0.808,0.048,0.316,0.09,0.241,3.807,0.421,9.924,6.571,0.348,0.242,0.43,0.643,0,28.569,0.055,7.458,60.594,8.691,0.238,0.025,117.956,-232.721,1248.01
"TTL_B09",0.29,0.006,0.496,0.665,2.351,0.763,0.746,0.283,0.946,0.035,0.005,0.059,9.444,0.5,0.009,0.022,0.469,0.182,0.299,0.019,0.144,0.037,0.024,0.03,0.007,0.021,0.035,3.185,0.035,3.039,0.647,0.092,0.016,0.072,0.106,0.013,0.048,0.018,0.081,0.033,0.105,0.078,0.096,0.165,0.246,0.047,0.032,0.051,0.024,0,1.485,0.007,4.749,80.12,0.05,0.137,0.004,55.193,-105.081,62.779
"TTL_C10T12",4979.091,4.27,587.119,1.456,0.978,2.207,1.636,0.096,24429.386,53.994,1.379,13.869,17.61,297.209,19.263,9.609,6.99,2.305,2.969,1.199,22.185,4.724,2.026,2.777,0.337,1.453,11.497,16.564,4.539,73.067,618.24,10.268,5.324,7.256,14.401,1.707,2369.25,9.901,19.396,9.602,32.103,18.057,14.331,64.744,175.122,90.724,55.155,139.725,33.798,0,90838.299,5.575,4616.561,246.488,34.059,113.818,21.263,6669.456,-14088.291,122718.133
"TTL_C13T15",16.925,0.64,16.25,0.749,0.396,1.021,0.356,0.04,48.231,669.627,0.448,5.683,2.477,19.225,0.893,3.747,3.319,0.735,0.674,0.554,8.451,1.848,0.993,5.854,0.213,1.162,25.623,3.994,1.063,39.416,82.978,2.206,0.24,1.547,2.381,0.976,9.965,1.026,3.135,0.992,2.932,1.779,4.844,25.875,40.811,6.034,8.047,17.679,18.26,0,4636.506,0.486,66.232,46.985,14.388,39.309,10.567,1648.309,-2435.095,5139.998
