"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",7418.615,148.462,2.603,0.634,0.102,2.039,2.182,0.309,23457.634,169.878,56.211,19.378,10.455,127.518,30.353,113.575,12.802,6.35,1.389,27.434,8.288,15.694,10.699,21.369,1.31,3.551,49.141,37.391,13.995,116.046,596.273,45.021,1.603,3.221,19.284,1.555,750.684,5.505,3.177,5.129,6.832,30.414,39.405,74.874,41.555,35.734,163.77,37.266,27.908,0,15176.393,3.133,373.388,174.846,55.681,46.769,76.19,5551.895,-6801.284,48431.625
"TTL_A02",115.119,959.902,0.133,1.404,0.03,0.814,0.692,0.026,154.872,3.303,1838.595,111.067,1.2,10.26,0.763,69.516,5.016,1.059,0.292,3.549,0.797,1.816,1.251,2.36,0.245,0.35,86.479,66.551,0.685,42.81,53.412,4.272,0.107,0.286,1.952,0.227,9.854,0.87,0.572,2.538,0.915,3.88,2.765,2.955,5.973,2.302,4.512,4.203,1.916,0,1022.803,0.046,26.439,30.357,6.48,0.602,0.576,535.498,-269.188,4938.081
"TTL_A03",3.58,0.554,5.364,0.016,0.002,0.067,0.045,0.002,866.792,0.099,0.086,0.111,0.24,0.455,0.09,0.202,0.142,0.084,0.028,0.221,0.073,0.163,0.083,0.125,0.113,0.044,0.235,0.19,0.069,0.488,10.428,0.645,0.294,0.05,0.611,0.016,55.943,0.133,0.044,0.145,0.181,0.658,0.314,0.285,2.507,0.712,3.958,0.539,0.445,0,180.454,0.047,4.736,0.667,0.634,2.649,0.654,38.553,-999.704,186.36
"TTL_B05",23.6,2.196,0.036,67.572,0.488,28.058,14.606,2.762,57.194,5.67,5.616,32.565,918.457,96.866,1.375,20.519,276.348,624.663,50.128,10.623,2.852,9.364,4.063,7.824,0.882,2.708,8.578,5345.903,18.366,201.117,45.305,29.506,0.247,0.754,14.054,1.066,8.734,1.764,3.217,8.161,6.365,54.165,15.68,9.187,22.803,15.479,19.588,4.597,6.735,0,2197.328,2.299,29.444,208.686,20.123,0.099,0.363,1524.426,-4184.731,7906.446
"TTL_B06",11.261,1.603,0.173,6.034,3.262,11.892,11.637,32.365,43.951,2.187,5.372,23.683,11338.578,218.316,0.956,20.905,97.454,60.017,18.434,26.648,1.869,7.062,6.022,10.941,0.716,2.091,13.961,2379.105,8.534,30.378,65.455,112.386,2.617,13.954,22.757,1.996,2.736,1.033,0.853,1.881,2.804,13.026,11.592,8.206,9.953,3.911,5.995,1.616,1.753,0,772.244,0.046,31.741,18.756,21.239,1.638,0,75.131,-15385.164,215.559
"TTL_B07",3.728,0.064,0.009,8.896,0.567,508.602,61.268,5.552,18.554,0.97,0.524,0.975,187.993,135.829,0.762,4.802,351.545,2332.144,1483.786,172.732,3.467,20.745,9.471,10.973,0.305,0.923,17.092,148.657,3.325,239.838,5.88,6.759,0.025,0.209,1.658,0.077,0.847,0.098,0.058,0.11,0.073,2.751,3.286,2.005,0.75,0.318,0.519,0.334,1.125,0,1.15,0.001,0.046,0.675,0.518,0.322,0,2201.526,-948.636,7016.58
"TTL_B08",30.981,1.51,0.091,3.188,0.3,21.201,125.401,2.661,35.366,1.739,1.09,13.086,1.932,139.906,1.027,14.42,1242.154,111.069,20.159,16.844,1.811,9.229,3.187,3.877,0.233,0.527,15.798,87.063,10.955,1061.379,8.479,5.933,0.158,0.067,2.019,0.09,1.293,0.126,0.102,0.152,0.142,23.977,2.105,12.057,5.791,0.574,1.355,0.493,0.723,0,131.213,0.005,0.416,3.025,3.93,0.319,0,233.391,-667.788,2748.328
"TTL_B09",1.215,0.065,0.123,0.588,7.299,3.045,1.692,23.699,1.43,0.057,0.252,2.332,194.284,0.938,0.051,1.76,18.882,4.341,1.846,0.701,0.117,0.367,0.274,0.327,0.02,0.081,0.337,51.698,0.315,26.699,0.918,4.286,0.098,0.325,1.352,0.266,0.128,0.315,0.046,0.141,0.172,1.027,1.384,0.248,0.326,0.132,0.274,0.052,0.077,0,2.217,0.001,24.93,368.076,0.49,0.184,0,216.176,-265.472,703.004
"TTL_C10T12",6654.284,22.226,15.372,3.724,0.62,14.76,12.166,1.361,18963.891,83.085,61.308,152.534,121.553,597.574,90.577,235.118,94.387,45.478,11.561,132.161,55.395,104.623,51.091,100.968,6.553,20.804,148.008,174.335,50.496,368.115,1296.913,195.76,11.948,19.18,85.532,9.625,3518.589,52.106,23.258,48.982,45.891,157.359,127.716,128.152,167.358,215.07,646.296,192.479,80.439,0,46815.211,10.781,75.628,429.31,185.755,151.079,309.779,31261.799,-18193.455,96462.669
"TTL_C13T15",47.445,6.998,1.427,2.09,0.281,7.577,3.899,0.72,116.397,1903.396,28.227,182.218,15.568,78.799,9.617,252.017,67.798,10.263,2.742,63.454,23.229,47.101,27.504,316.392,7.046,16.563,523.63,21.65,21.046,170.725,368.967,62.672,0.944,3.833,29.116,7.999,64.367,12.791,4.719,9.459,11.585,32.864,80.302,97.769,77.901,31.392,194.108,61.962,65.444,0,11338.162,6.166,124.907,123.045,227.043,52.626,9.113,6723.744,-15010.943,8787.876
