"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1317.965,31.776,7.302,0,0,0.663,0.89,0.216,4804.767,145.629,12.195,9.394,5.306,25.282,7.747,16.683,5.601,3.111,0.71,7.603,4.27,3.668,3.741,8.943,0.334,1.106,9.423,27.978,5.318,55.819,131.616,8.378,1.143,5.334,7.515,0.6,669.998,2.017,4.316,4.682,5.867,9.733,25.579,22.77,16.458,7.484,58.645,9.554,9.45,0,4357.234,0.373,7.291,505.746,9.358,32.97,126.715,1443.078,-3703.39,10303.953
"TTL_A02",77.16,789.102,1.076,0,0,0.366,0.538,0.022,100.204,12.013,1119.525,144.559,0.997,7.211,0.772,33.158,3.778,1.005,0.275,1.679,0.856,0.731,0.808,1.668,0.113,0.214,46.024,107.781,1.123,27.856,40.553,1.264,0.186,0.771,1.031,0.095,32.532,0.46,0.793,0.94,0.738,1.601,2.838,2.703,6.12,1.629,5.977,3.799,2.217,0,105.059,0.027,0.858,58.908,0.671,0.434,1.677,95.84,-343.961,2506.374
"TTL_A03",0.99,0.085,9.204,0,0,0.021,0.024,0.004,100.108,0.334,0.082,0.187,0.152,0.244,0.05,0.137,0.15,0.085,0.019,0.16,0.09,0.076,0.072,0.175,0.041,0.028,0.128,1.045,0.101,0.523,1.938,0.175,0.064,0.122,0.17,0.014,30.483,0.049,0.107,0.123,0.163,0.149,0.472,0.225,0.49,0.144,1.028,0.153,0.134,0,835.62,0.019,0.126,1.231,0.469,1.906,7.338,228.292,-366.245,859.274
"TTL_B05",0.035,0.002,0.002,0,0,0.008,0.022,0.002,0.074,0.048,0.014,0.037,0.247,0.064,0.004,0.028,0.188,0.084,0.011,0.024,0.01,0.01,0.012,0.026,0.001,0.002,0.018,1.21,0.019,0.181,0.088,0.027,0.002,0.013,0.023,0.002,0.06,0.003,0.01,0.008,0.009,0.014,0.016,0.014,0.017,0.011,0.042,0.01,0.01,0,0.831,0,0.019,0.176,0.007,0.074,0,0,-3.871,0
"TTL_B06",2.356,0.259,0.3,0,0,4.174,7.848,1.024,27.379,5.251,2.224,26.213,7301.404,134.285,0.62,8.293,63.868,44.098,14.321,13.364,0.667,1.396,1.706,5.363,0.207,0.712,4.767,3549.345,5.658,12.173,36.947,11.595,0.85,5.311,11.137,0.735,5.021,0.443,0.674,1.171,1.563,3.623,6.123,4.156,6.61,2.031,3.933,0.849,0.949,0,15.062,0.002,0.495,4.889,0.237,1.206,0,0,-11364.887,0
"TTL_B07",0.13,0.013,0.005,0,0,3.464,0.768,0.054,0.383,0.105,0.028,0.064,2.396,1.57,0.023,0.129,4.244,30.467,19.674,3.165,0.114,0.373,0.433,0.755,0.024,0.074,0.321,3.911,0.182,4.601,0.363,0.094,0.006,0.033,0.111,0.007,0.149,0.013,0.046,0.051,0.06,0.302,0.198,0.122,0.149,0.042,0.132,0.036,0.047,0,0.303,0,0.067,2.233,0.011,0.238,0.015,685.056,-15.569,751.786
"TTL_B08",8.785,0.467,0.444,0,0,3.385,36.28,0.565,13.762,1.902,0.31,5.845,25.421,33.976,0.36,2.121,328.177,32.921,6.146,3.84,0.518,1.344,0.84,1.414,0.048,0.111,3.099,49.445,3.669,278.979,3.013,0.932,0.073,0.284,0.565,0.032,3.33,0.077,0.153,0.139,0.11,3.298,0.787,4.413,2.212,0.214,0.845,0.263,0.348,0,25.98,0.005,0.152,1.909,0.153,0.217,0.479,229.024,-171.736,951.446
"TTL_B09",0.115,0.011,0.137,0,0,0.939,2.344,1.193,0.226,0.061,0.028,0.304,17.681,0.263,0.011,0.097,1.253,0.326,0.125,0.084,0.021,0.026,0.032,0.065,0.002,0.008,0.048,11.918,0.067,1.765,0.347,0.222,0.029,0.159,0.172,0.025,0.117,0.042,0.054,0.08,0.068,0.071,0.219,0.128,0.092,0.032,0.108,0.037,0.025,0,0.354,0,3.951,82.601,0,0.133,0.006,54.583,-97.396,85.412
"TTL_C10T12",914.357,2.285,36.487,0,0,0.379,0.859,0.064,3370.382,58.403,1.988,17.854,6.288,63.003,14.1,10.398,3.791,0.983,0.61,3.515,1.452,1.812,1.717,3.126,0.142,0.358,6.562,8.465,5.106,9.894,211.953,5.972,3.561,3.49,8.579,0.846,3015.91,5.689,4.344,7.282,7.699,7.178,12.917,15.38,29.417,28.574,146.478,42.046,16.555,0,17290.307,6.983,29.905,8.353,17.246,110.643,508.983,5891.378,-8175.689,23806.359
"TTL_C13T15",10.907,2.157,5.992,0,0,1.523,1.168,0.189,29.089,3014.305,6.364,55.939,3.63,16.505,3.216,34.071,15.656,3.178,0.869,14.239,5.548,5.868,6.826,73.878,1.104,2.562,106.771,15.491,9.072,42.971,125.807,7.688,0.589,3.888,8.225,3.081,86.835,3.235,3.424,3.826,4.179,4.202,27.028,43.406,41.398,11.317,104.729,31.015,33.615,0,6348.648,0.01,0.989,23.562,21.148,38.078,262.28,6639.338,-4384.565,12986.064
"TTL_C16",32.194,14.885,1.475,0,0,2.374,2.315,0.221,83.759,32.31,909.841,177.139,4.201,26.376,2.431,20.389,51.392,21.058,7.086,34.348,5.802,12.322,9.084,50.354,4.784,3.03,421.292,61.407,78.785,1022.479,114.426,10.761,0.5,2.187,26.239,0.643,56.783,3.812,2.844,3.45,4.047,40.935,39.148,24.691,18.399,7.706,38.475,8.371,23.043,0,113.514,0.126,9.747,53.296,7.672,4.254,22.755,1870.982,-768.781,4833.156
"TTL_C17_18",28.658,1.786,2.556,0,0,2.577,2.241,0.217,491.325,86.996,28.265,2142.52,13.384,56.836,27.827,49.984,70.924,9.303,3.942,38.614,19.053,23.509,16.205,37.575,0.765,3.595,64.714,138.917,22.077,55.347,409.855,25.17,2.514,7.592,32.937,13.777,130.789,154.596,36.999,84.882,115.264,19.576,239.091,159.174,110.226,85.654,178.812,41.497,55.43,0,838.662,0.112,3.815,16.054,10.179,14.442,76.02,3495.013,-1530.139,8267.706
"TTL_C19",276.718,45.257,60.203,0,0,35.564,34.967,4.536,218.603,70.207,38.054,90.243,1845.086,609.833,14.238,71.535,129.217,104.848,13.945,51.686,9.733,30.029,16.179,72.549,1.535,4.463,63.031,1584.676,104.028,308.678,680.218,1323.202,240.315,1810.918,252.401,33.914,147.182,11.388,27.358,33.952,58.17,24.933,103.734,130.024,139.077,33.192,150.535,36.823,48.371,0,1324.824,0.029,9.959,6.338,13.681,25.939,13.457,4839.849,-4147.732,13281.693
"TTL_C20",1002.364,10.765,6.588,0,0,28.214,27.355,2.36,441.625,802.178,130.961,523.209,418.7,2617.494,188.252,1563.739,277.282,54.825,24.232,168.56,81.762,112.011,51.174,246.548,9.76,12.903,229.421,114.152,121.396,337.114,196.059,47.119,5.395,32.768,44.429,2.142,156.159,22.674,5.493,21.75,12.421,45.675,101.859,128.587,35.4,28.505,439.013,24.533,109.349,0,1522.851,0.326,54.581,34.204,2.412,10.661,29.388,3860.084,-8637.911,7940.869
"TTL_C21",62.564,0.886,1.037,0,0,1.742,1.22,0.141,52.47,30.214,5.195,17.232,12.572,78.26,182.554,43.952,9.815,3.046,0.99,8.194,5.289,4.935,3.953,10.96,0.424,0.924,11.802,9.229,7.386,24.22,28.779,5.43,0.825,4.46,4.158,0.476,15.771,1.833,2.448,3.362,2.893,3.587,37.813,8.544,22.883,5.551,1214.16,5.989,8.537,0,1019.036,0.997,799.342,61.467,3.587,6.706,9.255,1397.972,-3263.063,2004.006
