"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",2211.672,48.41,8.192,0.015,0.221,0.026,0.465,0.109,5682.936,68.143,9.051,1.524,0.261,11.977,3.824,17.433,1.526,0.866,0.254,1.048,0.513,1.493,1.536,5.796,0.235,0.228,6.906,12.11,3.677,35.747,328.96,13.175,0.473,0.089,3.985,0.325,370.801,0.727,0.608,0.765,0.446,2.411,11.619,24.188,10.056,9.028,36.73,11.701,16.58,0,8724.577,0.001,451.46,106.024,20.551,44.399,15.371,4901.467,-4048.653,19194.059
"TTL_A02",86.093,966.832,0.841,0.187,0.298,0.049,0.535,0.011,73.788,3.146,1256.428,40.195,0.032,2.61,0.205,33.439,2.466,0.679,0.272,0.363,0.064,0.318,0.393,0.755,0.142,0.041,45.566,63.268,0.345,43.135,73.877,1.472,0.068,0.01,0.488,0.069,10.916,0.312,0.363,0.524,0.069,1.163,0.979,1.94,4.389,1.622,2.232,4.229,2.328,0,734.685,0.001,242.614,0.763,0.482,0.572,0.002,59.63,-187.99,3580.306
"TTL_A03",0.544,0.114,11.508,0,0.006,0.001,0.009,0.001,131.148,0.034,0.012,0.01,0.016,0.033,0.007,0.03,0.02,0.017,0.006,0.021,0.008,0.03,0.019,0.051,0.036,0.005,0.023,0.037,0.016,0.163,4.412,0.185,0.117,0.003,0.144,0.004,18.36,0.023,0.015,0.039,0.018,0.054,0.091,0.051,0.429,0.126,0.654,0.108,0.145,0,370.812,0,0.062,0.308,0.163,2.494,1.205,15.673,-72.981,486.639
"TTL_B05",0.147,0.013,0.004,0.078,0.169,0.02,0.149,0.11,0.323,0.06,0.037,0.103,1.062,0.26,0.005,0.105,1.47,6.917,0.618,0.054,0.019,0.097,0.112,0.197,0.014,0.015,0.047,42.603,0.051,1.217,0.461,0.314,0.002,0.003,0.056,0.007,0.058,0.009,0.025,0.039,0.011,0.055,0.075,0.036,0.076,0.065,0.094,0.019,0.064,0,105.837,0,0.05,1.055,0.485,0.095,0.001,1.857,-131.278,35.647
"TTL_B06",5.241,0.536,0.492,1.645,114.391,1.613,21.377,9.339,50.051,3.432,5.489,16.876,4355.107,137.096,0.549,18.964,125.129,163.08,56.405,24.012,1.076,7.548,6.407,26.175,1.306,1.968,10.176,6114.094,14.147,52.117,175.89,95.435,1.378,1.705,30.18,2.908,3.883,1.03,1.163,2.51,1.525,9.764,21.914,9.013,11.9,5.316,7.043,1.513,3.019,0,96.119,0,0.083,14.716,3.675,1.541,0.001,165.493,-6526.171,5488.388
"TTL_B07",0.274,0.011,0.011,0.047,0.429,1.435,2.213,0.525,0.763,0.056,0.033,0.041,1.247,1.648,0.018,0.195,8.889,115.361,80.466,3.216,0.058,0.662,0.657,1.38,0.036,0.037,0.388,5.447,0.185,14.422,0.923,0.542,0.005,0.007,0.137,0.016,0.089,0.023,0.05,0.111,0.041,0.117,0.379,0.231,0.081,0.045,0.118,0.046,0.106,0,42.842,0,0.215,2.982,0.751,0.304,0.001,40.815,-213.505,117.616
"TTL_B08",9.309,0.518,0.333,0.152,1.545,0.559,41.175,2.121,8.974,0.576,0.243,1.633,5.116,15.094,0.137,2.307,273.931,52.288,10.493,2.853,0.307,3.001,1.398,2.423,0.113,0.109,2.961,28.581,4.379,527.955,4.666,2.88,0.1,0.01,0.63,0.029,0.613,0.038,0.067,0.059,0.021,3.587,0.974,4.616,1.687,0.17,0.49,0.164,0.472,0,128.428,0,0.112,4.124,1.217,0.301,0.004,30.915,-137.922,1049.035
"TTL_B09",1.469,0.07,2.109,1.93,159.308,3.033,52.997,85.962,1.515,0.047,0.251,1.347,33.158,0.415,0.018,1.197,18.735,7.925,3.483,0.223,0.036,0.289,0.242,0.23,0.01,0.019,0.136,83.749,0.498,59.434,1.081,8.791,0.202,0.167,1.838,0.561,0.234,0.268,0.035,0.071,0.084,0.691,2.34,0.237,0.344,0.139,0.3,0.033,0.109,0,0.883,0,0.51,0.677,0.56,0.173,0.001,137.825,-126.853,551.14
"TTL_C10T12",1234.522,3.734,35.252,0.043,0.715,0.081,1.27,0.292,3456.437,30.019,3.157,7.49,2.047,35.862,7.334,15.399,5.008,2.223,1.435,4.302,1.857,6.83,3.96,10.303,0.52,0.618,8.862,7.213,8.246,30.436,607.447,33.138,4.856,1.052,15.59,2.006,1916.848,10.822,6.624,12.38,6.458,12.564,31.711,24.151,36.698,46.009,122.921,65.649,35.321,0,24828.944,0.002,143.097,6.902,19.352,143.468,63.185,2652.479,-7571.693,28203.449
"TTL_C13T15",18.029,3.738,10.88,0.139,1.569,0.229,1.804,0.767,25.366,1629.626,8.574,35.774,0.789,13.697,1.73,75.852,27.035,6.092,1.576,14.772,3.61,19.658,15.807,261.802,6.15,5.719,160.901,6.315,11.53,122.909,371.935,30.76,0.578,0.611,12.83,5.821,54.878,3.543,3.083,5.104,2.394,7.828,63.993,50.248,36.763,11.908,117.613,35.618,81.995,0,6234.417,0,0.43,17.222,24.675,49.553,25.967,2469.281,-4540.427,7671.059
"TTL_C16",30.796,16.402,0.888,0.205,0.939,0.264,2.042,0.464,54.232,10.199,931.4,41.501,0.258,10.236,0.759,18.736,37.83,4.32,3.199,22.769,3.493,26.04,12.293,98.269,11.962,2.956,384.923,24.856,5.857,1832.033,193.491,31.983,0.226,0.161,27.61,0.572,15.639,3.659,2.015,2.692,1.088,48.74,52.82,20.499,3.634,5.578,14.342,7.111,36.226,0,469.777,0,0.618,14.269,7.478,5.534,2.318,1564.661,-859.481,5263.378
"TTL_C17_18",24.118,1.441,1.456,0.044,1.34,0.221,1.177,0.442,311.538,23.394,23.359,608.456,1.29,20.651,9.31,42.833,45.039,6.173,3.839,21.834,10.677,43.665,19.801,61.145,1.429,3.012,49.632,18.336,13.482,77.707,622.204,59.79,1.561,0.766,28.423,18.318,32.586,213.737,27.498,74.936,40.342,14.287,273.432,137.522,61.119,71.378,103.621,30.42,49.335,0,1179.466,0.002,2.959,6.182,5.337,18.773,7.956,455.033,-1747.914,3235.911
"TTL_C19",193.446,29.364,26.557,1.198,18.629,3.385,23.64,9.619,103.345,17.401,25.561,20.074,359.368,162.924,4.674,70.23,69.971,100.92,16.327,25.686,5.79,46.286,16.533,97.785,2.902,3.328,37.213,692.342,73.11,349.112,760.989,2894.988,110.922,164.576,169.497,34.75,29.253,8.602,17.114,22.905,16.04,17.441,92.27,74.629,62.189,21.717,72.278,18.732,42.872,0,2324.426,0.001,2.544,8.504,10.102,33.183,6.125,1561.215,-3698.77,7485.815
"TTL_C20",1422.228,14.165,5.305,1.715,18.916,5.725,38.58,10.15,423.169,313.871,178.342,229.501,97.797,1422.6,95.902,1996.583,291.51,103.819,50.894,163.097,76.353,338.228,101.937,661.913,33.556,18.917,281.099,64.515,159.062,789.988,433.867,102.956,2.833,2.39,59.571,3.133,63.635,43.74,5.026,29.173,5.53,72.182,212.987,166.507,30.181,39.831,453.166,29.345,217.016,0,769.129,0.004,70.747,17.814,5.251,13.782,2.581,1913.84,-9194.994,4980.659
"TTL_C21",62.236,0.45,0.594,0.065,0.878,0.236,1.107,0.299,27.68,8.808,4.42,5.708,2.291,34.961,68.38,45.918,6.974,3.138,1.37,4.496,2.984,9.407,4.223,18.101,0.881,0.598,9.774,2.977,6.972,23.706,32.041,7.886,0.248,0.199,2.552,0.404,2.764,1.69,0.929,2.433,0.599,2.273,55.026,5.737,14.261,5.007,1002.506,3.918,9.927,0,2215.561,0.008,572.972,14.165,7.488,8.594,0.523,222.527,-3568.849,983.025
"TTL_C22",131.658,8.972,5.589,0.818,10.272,1.349,9.348,2.927,724.38,141.377,55.716,87.149,6.058,84.895,24.553,980.272,75.447,21.435,15.573,128.425,78.471,449.003,190.687,1673.033,15.516,43.84,221.092,23.174,76.937,1471.823,1429.625,669.884,3.629,1.947,65.006,9.288,32.213,14.669,12.526,11.92,7.849,52.843,125.711,95.185,18.543,18.645,103.746,17.794,52.579,0,526.16,0.003,3.261,50.043,16.494,1.674,0.002,2605.773,-3764.764,8942.043
"TTL_C23",34.784,2.004,0.363,0.137,3.803,1.006,7.41,1.176,128.634,8.684,20,2.695,1.565,15.678,4.42,43.988,615.844,61,9.755,34.902,19.298,74.666,21.442,190.519,6.467,3.668,33.155,18.107,15.923,4233.263,119.939,26.302,1.475,0.124,10.825,0.851,17.518,0.773,1.83,1.944,1.578,96.453,42.496,13.691,6.452,10.433,22.178,5.216,16.268,0,772.911,0.001,1.882,28.962,8.758,1.169,0.001,577.496,-1733.749,5668.134
"TTL_C24A",6.894,1.094,0.184,0.48,17.291,1.063,1.8,2.048,9.391,2.322,9.321,2.319,1.592,2.758,0.298,34.099,47.153,1882.67,44.785,1277.396,29.499,324.503,551.242,1286.324,64.668,81.591,101.928,28.58,90.428,1503.826,85.441,21.357,0.9,0.054,13.3,0.219,0.546,0.139,0.262,0.251,0.274,10.988,35.899,3.223,2.075,1.665,1.882,2.004,5.962,0,2.021,0,4.93,2.505,0.587,0.225,0.001,2984.154,-3756.948,6831.46
"TTL_C24B",1.9,0.399,0.018,0.022,1.548,0.184,0.421,0.132,17.212,1.629,3.793,2.477,0.481,11.359,0.676,13.816,10.717,157.152,509.124,320.672,42.801,460.95,120.923,375.312,9.288,21.633,80.716,7.942,46.683,195.646,44.362,6.257,0.255,0.023,2.088,0.024,1.042,0.351,0.194,0.23,0.214,2.863,5.114,0.754,0.746,0.125,1.779,0.725,3.528,0,36.818,0,0.039,12.567,2.708,0.324,0.001,1378.713,-1816.964,2100.512
"TTL_C25",64.967,10.733,2.07,1.583,24.197,2.513,10.356,10.034,267.776,28.035,71.439,13.009,5.599,29.974,3.839,79.312,66.491,199.027,38.718,1096.391,61.625,437.479,672.916,1615.814,95.144,84.138,243.689,58.185,46.987,2991.856,430.598,94.829,2.682,0.686,37.717,1.81,21.446,3.994,13.52,10.705,2.127,65.184,119.537,56.815,57.671,12.502,30.229,11.585,43.337,0,772.991,0.002,17.149,369.32,89.532,2.086,0.001,1865.378,-4413.295,8054.034
"TTL_C26",6.313,1.099,0.479,0.086,2.628,0.215,0.963,0.77,10.284,3.082,1.933,3.695,1.451,5.73,1.056,8.816,5.366,5.472,2.827,25.437,801.238,444.46,132.127,309.125,20.956,14.977,68.797,47.897,10.051,212.955,344.31,34.76,1.64,2.14,24.754,6.383,7.807,21.369,242.458,184.531,10.571,7.512,177.134,55.642,26.843,23.293,152.347,17.077,68.559,0,1605.639,0.012,1.471,1751.932,421.289,11.213,1.85,2187.503,-6035.475,3504.85
"TTL_C27",11.638,0.995,0.888,0.19,2.095,0.541,3.348,1.853,17.07,3.815,3.009,4.334,0.824,4.743,0.805,12.865,8.615,12.017,5.552,39.128,101.232,1271.814,161.9,686.419,12.853,22.295,85.678,195.45,16.369,830.758,282.44,83.636,2.359,1.087,16.951,1.91,10.374,5.808,69.03,31.305,2.251,12.127,99.354,37.412,19.774,8.119,36.726,15.358,37.055,0,3982.922,0.005,1.188,506.614,129.026,5.324,1.506,6787.614,-5625.988,10080.38
"TTL_C28",21.247,7.193,1.641,0.989,14.756,1.643,7.982,5.738,36.904,8.32,8.684,7.322,4.08,7.867,1.155,19.099,29.845,25.674,5.997,55.203,26.902,137.262,399.683,386.836,23.248,17.019,86.356,62.107,21.747,368.115,177.891,56.983,0.818,0.845,16.208,1.962,3.672,3.175,12.065,13.471,4.127,4.965,51.001,22.713,11.811,5.248,22.218,5.975,12.151,0,1039.713,0.01,3.581,4935.538,1186.335,2.192,0.001,4162.637,-7409.767,6148.152
