"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",24745.091,375.166,226.762,2.984,4.991,0.464,1.41,38.078,53053.361,445.65,97.927,24.771,39.331,519.14,143.958,168.963,12.079,12.178,7.919,8.092,5.735,3.858,9.546,9.075,1.758,4.2,51.531,244.612,38.249,273.084,2560.107,83.902,5.688,8.238,77.146,2.059,1766.372,11.018,11.404,11.23,17.217,66.186,248.254,139.085,530.215,174.602,374.573,117.838,82.172,0,53604.83,4.321,238.895,398.136,67.891,78.458,54.68,15121.607,-10673.252,145752.833
"TTL_A02",180.957,1489.961,3.432,6.658,1.554,0.248,0.346,3.601,125.997,5.031,2741.431,162.884,3.346,22.629,1.701,70.245,10.366,5.08,4.146,3.483,0.885,1.043,1.65,3.134,1.343,1.047,85.473,284.278,1.38,152.813,130.145,5.501,0.257,0.91,5.779,0.158,8.696,0.964,1.536,1.399,1.197,11.159,6.785,3.46,40.615,5.495,4.946,7.135,4.22,0,924.224,0.021,1.078,111.248,7.202,1.011,0.243,1506.908,-71.221,8097.213
"TTL_A03",196.053,3.895,1003.66,0.619,1.318,0.156,0.182,7.654,5137.585,2.02,0.817,2.098,7.231,18.677,4.144,1.514,1.954,2.27,1.475,1.887,1.217,0.874,1.274,1.73,0.668,1.044,2.498,5.496,2.261,12.716,152.567,9.545,1.576,3.346,7.668,0.266,341.889,2.335,3.122,3.376,3.563,7.155,9.474,4.004,93.399,15.003,31.961,7.999,5.333,0,2462.589,0.459,103.073,10.647,9.475,4.392,5.129,2729.83,-314.167,12139.993
"TTL_B05",6.679,0.642,0.406,27.904,3.522,0.753,0.734,37.949,12.49,1.42,1.439,4.994,427.116,22.782,0.997,2.938,43.831,289.076,44.251,2.861,1.616,1.297,2.284,2.461,0.757,1.932,2.783,1982.479,2.994,44.989,28.188,13.201,0.515,2.72,10.476,0.398,1.199,0.93,2.436,1.666,2.729,11.334,7.691,2.46,16.204,3.359,3.504,1.161,1.38,0,1051.252,0.064,2.955,143.191,0.444,0.165,0.499,9788.539,-310.656,13764.384
"TTL_B06",144.168,16.809,44.191,77.153,641.723,14.811,30.371,4397.46,120.884,10.422,22.808,32.297,34086.204,280.416,11.736,30.083,117.422,177.884,64.574,42.171,15.696,16.932,24.505,33.701,7.431,18.187,47.937,5746.746,51.499,445.5,487.562,904.12,42.952,302.282,193.98,9.411,14.65,8.654,23.284,18.788,39.934,85.482,104,41.231,239.779,32.193,46.715,16.163,19.56,0,2275.439,2.177,20.856,1474.133,13.286,2.634,11.11,123083.809,-413.63,175872.276
"TTL_B07",2.887,0.587,0.196,5.268,5.939,15.522,3.549,80.352,5.827,0.723,2.261,1.342,145.685,41.742,0.639,4.084,79.501,1544.68,1793.036,118.699,7.766,18.303,28.712,29.504,4.877,12.207,14.752,83.808,8.996,148.733,15.533,5.459,0.237,1.075,4.669,0.134,0.475,0.434,1.13,0.774,1.059,7.367,6.365,1.524,7.385,1.305,1.353,0.774,0.959,0,25.976,0.095,0.946,78.694,0.259,0.534,0.545,4601.469,-850.665,8126.038
"TTL_B08",45.5,1.222,1.639,4.336,6.149,1.58,13.659,85.457,27.86,6.242,5.47,13.49,175.308,185.778,7.465,44.291,470.303,130.87,49.406,10.148,4.892,4.95,4.326,7.704,1.666,2.608,17.165,98.497,11.007,570.143,46.112,18.605,1.328,5.933,26.868,0.451,2.153,1.352,2.515,1.858,3.203,25.93,16.796,7.308,28.509,6.204,15.372,3.038,3.645,0,622.925,0.247,4.956,210.074,15.742,0.52,1.426,9632.378,-613.556,12101.024
"TTL_B09",73.557,4.551,142.3,1084.582,9579.57,183.387,454.307,73595.323,75.708,4.568,11.359,92.369,19260.572,51.21,6.571,48.18,854.234,505.927,392.788,24.506,12.368,9.915,18.372,16.154,3.606,9.071,21.492,5764.446,29.369,1684.623,166.198,193.048,8.777,40.645,122.911,7.607,8.364,19.396,22.146,16.288,26.836,107.788,157.007,24.663,126.115,19.016,22.612,10.084,7.769,0,161.808,0.585,9.629,15402.006,17.54,0.292,1.841,1791.499,-2744.044,129763.41
"TTL_C10T12",12693.748,30.411,715.749,7.72,14.086,1.467,3.203,84.563,29465.784,101.577,35.362,136.559,295.125,1147.739,231.403,85.438,63.789,86.455,56.218,61.185,34.695,26.078,38.112,39.346,13.734,36.467,83.729,175.444,72.978,276.538,3672.835,183.446,32.008,45.64,214.193,6.981,5959.85,75.598,66.976,85.02,119.093,217.965,261.912,114.017,1372.945,599.59,862.308,455.694,176.013,0,128354.673,29.337,31.376,277.826,143.044,254.25,131.339,15915.619,-19291.995,186482.254
"TTL_C13T15",65.317,7.748,44.793,8.007,10.771,1.68,1.395,66.981,100.567,3039.992,28.899,136.613,61.788,128.773,21.045,169.947,84.683,47.647,23.848,48.449,26.382,21.194,32.478,195.885,17.199,32.532,335.308,74.198,38.799,264.634,700.815,55.43,1.715,10.19,50.699,6.341,47.966,11.733,14.533,12.617,17.098,39.655,131.844,96.835,513.7,65.425,204.027,91.759,117.607,0,22064.67,2.676,5.539,103.834,99.878,87.986,40.09,2065.807,-16786.747,15011.274
