"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",8557.257,8.414,120.716,0,25.915,0.308,4.452,1.062,10059.074,401.841,48.746,11.674,2.509,815.988,58.159,81.896,4.503,0.403,0.812,1.51,0.125,2.203,3.96,0.472,0.008,0.07,56.58,48.77,16.009,611.201,5989.07,13.156,2.327,0.894,21.117,0.871,4574.328,2.014,7.013,1.691,2.704,32.939,35.58,240.348,230.108,137.268,403.622,97.316,191.637,0,14617.906,0.01,232.972,5502.957,118.592,122.193,37.615,635.46,-8276.008,45920.337
"TTL_A02",5.207,0.883,0.133,0,0.749,0.012,0.049,0.01,4.912,0.274,39.873,3.744,0.074,1.515,0.046,1.003,0.256,0.033,0.035,0.041,0.001,0.032,0.021,0.005,0,0.001,3.045,1.859,0.032,7.485,9.471,0.044,0.005,0.009,0.066,0.007,2.957,0.012,0.069,0.028,0.011,0.149,0.059,0.228,0.688,0.22,0.371,0.241,0.219,0,48.64,0,0.182,2.489,0.116,1.579,0.013,1.8,-71.798,69.203
"TTL_A03",18.6,0.063,470.788,0,0.746,0.073,0.191,0.013,604.986,0.915,0.124,0.132,0.456,4.505,0.312,0.21,0.33,0.049,0.099,0.205,0.005,0.188,0.118,0.009,0.022,0.013,0.424,0.281,0.48,4.621,230.95,0.34,0.504,0.179,0.68,0.014,589.492,0.216,0.699,0.568,0.442,2.363,0.632,1.163,27.41,5.334,20.031,2.656,3.998,0,2154.233,0.001,44.064,10.768,1.072,6.844,3.655,14.476,-136.235,4095.507
"TTL_B05",0.106,0,0.017,0,10.26,0.073,0.279,0.304,0.115,0.037,0.039,0.138,8.042,1.589,0.007,0.044,1.851,3.211,0.838,0.044,0.001,0.044,0.022,0.004,0.001,0.001,0.054,16.838,0.034,2.472,0.853,0.057,0.007,0.02,0.051,0.006,0.159,0.003,0.024,0.009,0.006,0.054,0.022,0.031,0.138,0.07,0.078,0.01,0.043,0,3.178,0,0.027,0.646,0.076,0.263,0,0,-52.296,0
"TTL_B06",54.607,0.129,9.034,0,4535.738,13.454,63.127,29.188,74.697,19.374,13.383,73.518,62293.943,2055.607,5.893,33.047,412.315,198.53,180.283,61.961,1.007,31.243,25.908,4.497,0.189,0.835,43.709,4755.913,45.659,586.057,1260.401,59.593,7.254,32.673,79.5,4.902,75.896,3.488,32.004,9.023,8.186,49.254,28.565,36.973,87.494,32.059,65.964,12.336,21.273,0,845.17,0.013,15.56,417.98,1.471,3.991,18.306,223027.093,-579.873,301279.397
"TTL_B07",0.16,0,0.024,0,29.2,12.169,6.671,1.754,0.3,0.086,0.047,0.144,29.011,30.002,0.06,0.226,30.258,168.48,331.5,9.343,0.038,3.425,1.046,0.169,0.001,0.015,1.627,6.957,0.34,69.231,3.187,0.149,0.005,0.026,0.167,0.011,0.236,0.012,0.106,0.051,0.042,0.303,0.244,0.319,0.255,0.089,0.162,0.064,0.226,0,1.096,0.001,0.033,1.363,0.435,0.839,0,1349.362,-348.358,1742.708
"TTL_B08",8.056,0.02,1.173,0,108.848,4.606,120.173,6.956,3.714,0.849,0.262,6.279,119.428,259.1,0.416,2.286,950.782,71.324,39.461,5.766,0.042,4.128,1.274,0.151,0.003,0.015,7.365,35.803,5.898,2567.298,18.396,0.836,0.081,0.075,0.852,0.032,1.874,0.024,0.26,0.051,0.039,13.976,0.799,10.842,9.245,0.571,0.979,0.378,1.162,0,8.969,0.001,0.142,6.181,1.03,0.829,0.054,141.103,-524.997,4025.265
"TTL_B09",1.152,0.003,5.238,0,6639.748,17.551,110.263,188.85,0.882,0.093,0.289,3.839,476.503,3.626,0.064,1.117,46.075,7.777,9.281,2.326,0.015,0.885,0.876,0.126,0.003,0.016,0.733,68.99,1.479,218.779,6.823,1.865,0.209,0.69,2.103,0.342,0.817,0.165,0.235,0.076,0.138,2.059,1.973,0.586,1.692,0.425,0.752,0.1,0.257,0,4.484,0.001,0.132,221.315,6.831,0.478,0.051,112.087,-6392.649,1780.615
"TTL_C10T12",1511.665,0.245,157.342,0,41.633,0.657,6.319,1.043,1932.406,23.234,3.77,27.166,38.645,670.288,31.941,9.922,29.358,3.733,5.43,5.377,0.153,6.022,3.099,0.485,0.013,0.111,23.054,9.189,10.803,152.43,2794.803,9.232,5.043,4.283,20.331,1.997,4423.783,10.337,34.774,17.579,10.737,44.883,24.425,58.336,185.258,179.149,364.164,122.861,77.561,0,36554.809,0.012,692.033,100.725,34.038,394.861,163.474,3224.222,-15451.891,38807.351
"TTL_C13T15",9.838,0.067,15.781,0,44.507,0.945,2.466,1.07,6.675,1327.817,5.406,58.724,9.742,125.487,3.08,41.196,39.749,3.513,2.847,12.868,0.307,12.295,7.533,8.873,0.061,0.352,189.193,4.089,5.968,251.925,714.507,3.833,0.402,1.689,8.182,2.123,116.878,1.521,8.275,3.414,2.28,13.372,22.646,53.839,89.805,20.934,137.538,37.052,93.542,0,10446.776,0.002,140.038,826.683,199.683,136.296,25.539,566.783,-7208.727,8657.279
