"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",379.193,2.388,2.839,0.015,0.008,0.097,0.057,0.097,1213.8,2.499,0.032,0.016,0.006,0.141,0.01,0.026,0.128,0.013,0.003,0.055,0,0.011,0.003,0,0.042,0.179,0.03,0.341,0.139,0.552,18.407,4.789,0.004,0.045,0.102,0,116.242,0.007,0.234,0.032,0.238,0.028,0.787,0.179,4.328,1.868,4.87,0.429,0.935,0,2255.458,0.069,1.379,961.869,142.183,0.766,2.91,319.252,-457.344,4982.787
"TTL_A02",3.453,6.103,0.002,0.031,0,0.002,0.003,0.001,8.358,0.388,7.198,1.274,0.001,0.274,0.005,0.168,0.12,0.011,0.007,0.016,0,0,0,0,0.05,0.073,2.827,0.006,0.003,0.759,0.584,0.003,0,0.002,0.103,0,3.199,0,0.01,0.001,0.003,0.002,0.036,0.006,0.705,0.005,0.01,0.002,0.006,0,79.553,0.002,0.088,0.325,0.921,0.01,0.005,21.868,-4.284,134.296
"TTL_A03",0.833,0.006,4.875,0.008,0.005,0.023,0.046,0.003,88.151,0.108,0.018,0.017,0.079,0.194,0.007,0.047,0.194,0.036,0.01,0.086,0,0.009,0.002,0,0.004,0.007,0.022,0.116,0.015,0.691,0.53,0.089,0.003,0.017,0.122,0.012,4.158,0.007,0.031,0.005,0.01,0.013,0.119,0.027,0.858,0.085,0.068,0.01,0.016,0,271.857,0,0.012,3.002,2.583,0.043,0.241,50.614,-3.063,427.081
"TTL_B05",1.111,0.018,0.009,3.809,0.038,1.934,1.65,0.557,1.895,0.936,0.092,0.341,11.499,3.137,0.005,0.149,8.43,5.877,0.379,0.069,0,0.043,0.004,0,0.009,0.024,0.024,82.551,0.071,1.969,0.203,0.1,0.001,0.006,0.075,0,0.08,0.006,0.037,0.003,0.01,0.184,0.09,0.024,0.575,0.338,0.049,0.005,0.164,0,20.736,0,0.001,0.195,1.836,0.002,0.002,4.259,-102.504,53.11
"TTL_B06",0.887,0.055,1.525,0.587,0.871,2.05,0.644,0.563,3.642,0.139,0.12,0.053,373.274,9.586,0.028,0.087,2.933,0.697,0.12,0.847,0.002,0.104,0.031,0.002,0.001,0.009,0.254,59.837,0.881,5.854,1.568,4.647,0.207,2.105,1.115,0.001,0.3,0.034,0.804,0.093,0.61,0.184,2.761,0.65,3.243,0.358,0.702,0.156,0.048,0,10.263,0,0.063,14.921,5.483,0.027,0.006,0.29,-459.021,57.302
"TTL_B07",0.043,0.001,0.002,2.759,0,230.956,21.545,10.383,0.034,0.003,0.002,0.001,16.65,55.321,0.001,0.012,37.536,133.821,56.446,16.778,0,0.005,0,0,0.001,0.002,5.155,0.069,0.005,35.365,0.01,0.007,0,0.004,0.007,0,0.003,0,0.01,0.001,0.005,0.002,0.458,0.025,0.009,0.003,0.007,0.028,0.001,0,0.14,0,0.003,0.239,0.075,0.005,0.004,392.592,-0.947,1015.587
"TTL_B08",0.258,0.003,0.013,0.317,0.015,2.584,21.632,1.091,15.068,0.031,0.007,0.258,0.112,234.014,0.006,0.059,99.345,0.274,0.143,0.546,0,0.005,0.001,0,0.001,0.002,0.051,0.194,1.173,266.353,0.552,0.061,0.002,0.013,0.077,0.008,0.219,0.002,0.014,0.007,0.009,0.009,0.33,0.021,0.055,0.009,0.019,0.004,0.006,0,26.302,0,0.005,27.828,2.055,0.005,0.025,123.524,-38.625,786.095
"TTL_B09",0.02,0.002,0.006,0.371,0.624,17.923,1.422,0.108,0.055,0.004,0.002,0.002,2.393,0.096,0.001,0.003,0.428,0.002,0,0.015,0,0.002,0.001,0,0,0.001,0.004,0.551,0.052,1.048,0.036,0.016,0.001,0.007,0.038,0,0.007,0.001,0.029,0.005,0.019,0.005,0.165,0.009,0.034,0.006,0.014,0.003,0.002,0,0.231,0,0.005,281.054,0.11,0.003,0.006,2.121,-14.222,294.846
"TTL_C10T12",95.511,0.081,5.249,0.163,0.076,0.457,0.487,0.154,344.07,9.231,0.347,0.309,0.618,10.539,0.931,0.704,4.086,0.386,0.088,1.864,0.004,0.208,0.046,0.01,0.051,0.137,0.484,2.201,0.897,10.334,35.832,1.934,0.035,0.326,4.057,0.005,201.665,0.37,4.728,0.313,4.44,0.427,6.421,1.826,19.263,2.605,11.083,3.79,1.716,0,4006.274,0.023,3.634,41.322,65.475,2.476,4.321,1255.376,-1056.38,5113.079
"TTL_C13T15",0.43,0.001,0.441,0.109,0.001,0.025,0.015,0.007,0.626,72.569,1.298,0.095,0.008,0.222,0.007,0.137,0.131,0.022,0.002,0.528,0,0.007,0.173,0.005,0.007,0.028,0.882,0.193,0.179,0.418,0.059,0.06,0.003,0.041,0.051,0,0.511,0.007,0.049,0.021,0.04,0.009,1.207,0.435,6.425,6.357,1.974,0.522,1.533,0,577.961,0,0.011,13.086,66.941,0.855,7.319,184.656,-144.683,804.017
