"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",7.63,0,0.309,0,0,0,0,0,1217.024,3.795,0.457,0.224,0.596,40.88,10.996,1.174,0.085,0.047,0.03,0.13,2.51,0.089,1.265,0.053,0.209,0.18,7.813,2.033,0.964,13.65,295.869,0.623,13.329,0.821,6.727,0.221,295,1.403,0.39,4.139,2.163,3.259,3.634,3.834,20.416,4.619,9.101,4.387,5.304,0,442.914,0.382,1.192,8.602,0.35,64.41,0.241,56.031,-2454.106,107.397
"TTL_A02",0.066,0,0.003,0,0,0,0,0,10.442,0.035,0.116,0.052,0.048,0.483,0.121,0.017,0.007,0.005,0.002,0.014,0.231,0.008,0.071,0.003,0.016,0.012,0.293,0.049,0.018,0.389,3.21,0.019,0.363,0.045,0.147,0.012,2.571,0.131,0.034,0.49,0.14,0.068,0.123,0.053,0.271,0.06,0.098,0.053,0.057,0,22.068,0.014,0.944,1.639,0.038,1.402,0,0,-46.55,0
"TTL_A03",0.027,0,1.42,0,0,0,0,0,104.85,0.023,0.006,0.027,0.428,1.427,0.195,0.025,0.018,0.025,0.014,0.037,0.42,0.024,0.127,0.006,0.107,0.013,0.185,0.043,0.048,0.388,11.812,0.088,31.676,0.088,2.406,0.038,57.525,0.287,0.081,1.165,0.47,0.394,0.302,0.069,3.603,0.332,0.62,0.246,0.194,0,246.503,0.045,0.01,1.143,0.103,3.275,0.061,6.171,-427.059,51.53
"TTL_B05",0.005,0,0.001,0,0,0,0,0,0.532,0.009,0.014,0.062,4.805,6.469,0.174,0.045,4.105,1.866,0.424,0.195,1.75,0.118,0.427,0.045,0.139,0.035,0.963,5.543,0.206,42.88,2.716,0.053,0.854,0.091,0.569,0.021,0.249,0.084,0.034,0.592,0.17,1.658,0.329,0.107,0.604,0.088,0.052,0.037,0.076,0,29.103,0,0.011,0.656,0.118,0.111,0,0,-109.196,0
"TTL_B06",0.023,0,0.015,0,0,0,0,0,9.987,0.237,0.307,4.145,12962.337,454.678,1.804,1.45,13.199,27.986,14.401,6.554,11.907,1.145,20.432,0.714,3.105,1.033,10.693,931.226,4.697,26.395,157.412,3.79,42.929,6.056,43.45,1.688,2.943,2.808,1.221,15.363,7.294,13.759,10.465,2.025,23.102,2.603,1.07,0.893,1.031,0,222.826,0.002,15.834,20.792,2.998,1.952,0,0,-15112.775,0
"TTL_B07",0.003,0,0.001,0,0,0,0,0,0.197,0.007,0.005,0.043,1.885,4.488,0.083,0.034,1.866,3.088,3.781,0.964,3.207,0.456,1.344,0.074,0.161,0.09,1.305,0.508,0.197,13.932,2.532,0.049,0.767,0.106,0.577,0.029,0.088,0.127,0.086,2.23,0.521,0.475,0.388,0.087,0.439,0.037,0.033,0.034,0.043,0,1.589,0,0.052,1.069,0.014,0.497,0,0,-49.587,0
"TTL_B08",0.083,0,0.029,0,0,0,0,0,4.677,0.068,0.037,1.078,55.77,140.106,0.997,0.414,81.254,25.35,7.501,2.025,5.371,0.786,3.343,0.116,0.431,0.134,11.454,15.853,3.225,582.773,18.38,0.42,36.878,0.286,4.188,0.078,1.164,0.27,0.115,1.478,0.44,13.422,1.43,1.825,8.816,0.249,0.198,0.213,0.404,0,41.075,0,0.046,1.217,0.186,0.403,0,0,-1076.055,0
"TTL_B09",0.001,0,0.001,0,0,0,0,0,0.222,0.012,0.008,0.032,21.479,1.223,0.091,0.015,0.09,0.099,0.046,0.193,0.797,0.051,0.586,0.032,0.136,0.117,0.319,1.59,0.075,1.568,10.085,0.296,7.679,1.134,5.145,0.12,0.155,0.298,0.138,1.55,0.46,0.232,0.54,0.092,0.579,0.06,0.059,0.06,0.045,0,1.61,0.001,0.192,1.06,0.04,0.257,0,0,-60.668,0
"TTL_C10T12",8.255,0,2.132,0,0,0,0,0,1323.561,3.604,0.357,4.223,24.036,242.238,44.223,2.025,3.621,2.424,1.187,3.792,71.649,2.156,18.043,0.817,4.544,4.851,35.304,5.779,6.247,53.416,781.991,4.352,160.614,10.559,39.93,2.722,1969.331,35.087,9.665,113.541,51.317,36.473,30.29,8.525,118.146,39.853,47.806,40.566,16.444,0,8526.551,1.829,4.524,62.85,13.509,183.953,77.953,5404.934,-9034.065,10627.732
"TTL_C13T15",0.048,0,0.122,0,0,0,0,0,4.187,101.442,0.283,3.251,3.834,30.882,3.311,2.244,1.257,0.751,0.337,2.125,29.097,1.15,8.72,2.1,3.777,1.198,112.189,2,2.541,25.694,161.833,0.887,7.11,1.413,8.668,2.33,16.122,4.402,1.807,16.173,6.506,5.625,12.886,6.326,52.041,4.859,9.869,9.975,15.325,0,3424.141,0.165,0.314,12.855,5.848,62.551,6.087,387.144,-3971.921,613.88
"TTL_C16",0.039,0,0.011,0,0,0,0,0,3.842,0.362,16.71,3.616,0.749,13.052,1.179,0.508,1.492,0.342,0.329,2.526,12.06,1.02,5.763,0.69,6.48,0.722,202.883,1.897,0.671,263.651,57.184,0.535,3.322,0.524,10.754,0.169,4.091,2.578,0.622,6.329,2.793,12.571,7.091,1.413,3.569,1.244,1.508,1.085,4.102,0,45.575,0.002,0.209,5.549,0.642,7.063,3.104,36.25,-476.057,284.415
