"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4.203,0.004,0.092,0,0,0,0.001,0,1.599,0.102,0.001,0,0,0.002,0.005,0.001,0,0,0,0,0.001,0,0,0,0,0,0.014,0.087,0.034,0.12,0.3,0.034,0.001,0.003,0.017,0.003,1.727,0.01,0.007,0.005,0.057,0.006,0.015,0.004,0.131,0.026,0.121,0.037,0.039,0,22.93,0.008,0.221,3.685,0.073,0.132,0.291,9.313,-4.551,40.909
"TTL_A02",0.006,0,0.004,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.006,0.003,0.004,0.004,0,0,0.001,0.001,0.008,0.001,0.001,0,0.004,0,0,0,0.003,0.001,0.001,0,0,0,0.116,0,0.017,0.037,0,0.002,0.003,0.026,-0.068,0.19
"TTL_A03",0.066,0.001,7.505,0,0,0,0.001,0,1.85,0.005,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.002,0.009,0.012,0.023,0.254,0.022,0.002,0.004,0.013,0.002,5.865,0.014,0.007,0.012,0.095,0.009,0.004,0.001,0.359,0.023,0.133,0.02,0.023,0,36.692,0,0.002,0.139,0.04,0.007,0.049,0.159,-0.051,53.375
"TTL_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.005,0.001,0.001,0,0,0.001,0,0.001,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0.013,0,0,0.017,0,0,0,0,-0.006,0.047
"TTL_B06",0.005,0,0.004,0,0.001,0,0.001,0,0.002,0.001,0,0,0.018,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.159,0.01,0.05,0.022,0.038,0.001,0.021,0.019,0.003,0.006,0.002,0.004,0.002,0.019,0.001,0.001,0.001,0.01,0.001,0.003,0.001,0.002,0,0.369,0,0.005,0.105,0.003,0.005,0.005,0.058,-0.026,0.938
"TTL_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.007,0.001,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.007,0,0,0.017,0,0.001,0.001,0.009,-0.008,0.04
"TTL_B08",0.016,0,0.008,0,0.001,0,0.015,0.002,0.003,0.001,0,0,0.005,0.001,0,0,0.016,0,0,0,0,0,0,0,0,0,0.004,0.093,0.023,0.701,0.023,0.091,0.002,0.042,0.013,0.004,0.01,0.003,0.003,0.003,0.028,0.004,0.002,0.001,0.023,0.002,0.005,0.001,0.003,0,0.5,0,0.005,0.2,0.008,0.001,0.014,0.045,-1.196,0.731
"TTL_B09",0.002,0,0.002,0,0,0,0.001,0,0.001,0.001,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.016,0.003,0.036,0.013,0.015,0,0.006,0.012,0.002,0.003,0.001,0.001,0.001,0.006,0,0,0,0.003,0,0.001,0,0,0,0.076,0,0.002,0.317,0,0.001,0.004,0.045,-0.12,0.457
"TTL_C10T12",1.254,0,0.193,0,0.001,0,0.002,0.001,1.763,0.026,0,0.001,0.001,0.003,0.005,0,0.002,0,0,0,0.002,0.001,0,0,0,0,0.012,0.067,0.045,0.128,0.391,0.047,0.003,0.012,0.031,0.006,3.993,0.062,0.039,0.038,0.333,0.018,0.013,0.003,0.217,0.067,0.179,0.085,0.044,0,48.975,0.002,0.027,0.728,0.224,0.427,0.232,5.343,-45.124,19.923
"TTL_C13T15",0.013,0,0.004,0,0,0,0,0,0.006,0.055,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.01,0.052,0.014,0.02,0.023,0.01,0,0.002,0.003,0.001,0.016,0.005,0.006,0.003,0.02,0.002,0.002,0.001,0.014,0.003,0.008,0.003,0.006,0,2.193,0,0.001,0.717,0.038,0.148,0.289,0.074,-2.176,1.587
