"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",473.063,9.614,0.08,0.118,0,0.019,0.892,0.583,1024.089,15.2,4.758,2.953,2.314,8.8,0.546,11.352,3.6,3.861,0.72,3.804,2.258,2.266,4.121,13.224,0.003,0.379,3.312,23.85,2.041,16.185,57.442,5.788,0.055,0.224,6.389,0.575,93.883,0.895,0.925,2.493,2.177,4.86,7.952,19.553,10.071,4.546,9.746,10.774,2.688,0,1652.258,0.325,8.368,291.244,17.832,19.575,12.371,1666.515,-1342.773,4200.757
"TTL_A02",39.147,326.732,0.015,0.376,0,0.013,0.476,0.063,35.72,2.444,524.366,59.59,1.065,4.247,0.146,36.467,3.314,3.235,0.569,3.56,3.06,2.453,4.028,9.873,0.003,0.318,23.566,101.491,0.484,20.8,27.443,2.785,0.02,0.096,2.46,0.255,5.332,0.452,0.509,1.254,0.513,2.486,2.773,4.24,6.243,1.44,2.398,6.816,1.045,0,133.711,0.293,9.508,16.76,0.842,0.249,1.5,203.245,-183.861,1458.429
"TTL_A03",0.176,0.013,0.015,0.001,0,0,0.006,0.002,4.212,0.027,0.02,0.03,0.042,0.041,0.003,0.061,0.03,0.052,0.009,0.067,0.061,0.047,0.072,0.218,0,0.008,0.034,0.14,0.011,0.125,0.389,0.084,0.006,0.002,0.124,0.009,0.736,0.015,0.018,0.059,0.046,0.047,0.201,0.096,0.093,0.026,0.066,0.057,0.02,0,8.869,0.001,0.067,0.357,0.052,1.102,0.148,2.282,-12.768,7.726
"TTL_B05",0.534,0.034,0.001,0.784,0.001,0.026,1.002,1.097,1.146,0.108,0.086,0.747,12.687,1.27,0.006,0.472,4.729,31.977,2.004,0.269,0.105,0.192,0.374,0.843,0,0.044,0.11,323.897,0.285,1.984,1.203,0.68,0.004,0.023,0.69,0.059,0.178,0.043,0.055,0.117,0.091,0.261,0.33,0.314,0.558,0.227,0.225,0.171,0.103,0,105.173,0.018,1.561,0.604,0.415,0.041,0.337,31.693,-405.388,126.598
"TTL_B06",0.509,0.035,0.001,0.778,0.004,0.066,2.757,0.971,4.629,0.369,0.6,6.345,1995.605,37.715,0.033,5.178,20.485,41.832,10.246,6.857,0.465,0.942,2.121,7.144,0.002,0.34,1.49,1926.611,1.212,3.629,11.689,3.945,0.014,0.073,4.681,0.31,0.34,0.126,0.095,0.423,0.344,1.944,2.62,2.306,3.306,0.805,0.418,0.369,0.184,0,2.478,0.001,0.075,1.749,0.655,0.68,0.001,0.074,-4118.216,0.458
"TTL_B07",0.208,0.006,0.001,0.427,0.001,0.822,4.818,2.175,0.697,0.042,0.028,0.15,11.685,5.881,0.009,0.394,18.84,405.396,200.877,12.366,0.398,1.433,1.974,3.251,0,0.069,0.657,33.17,0.188,12.803,0.414,0.349,0.001,0.006,0.188,0.019,0.065,0.017,0.009,0.024,0.017,0.153,0.321,0.352,0.124,0.03,0.026,0.045,0.067,0,0.351,0.001,0.012,0.443,0.16,0.134,0.006,11.795,-709.413,24.482
"TTL_B08",2.959,0.191,0.004,0.239,0,0.067,13.812,1.096,3.091,0.305,0.288,1.855,8.425,10.626,0.044,2.304,114.358,34.457,4.916,2.901,0.864,1.483,1.86,4.753,0.001,0.117,1.343,32.332,1.545,103.58,3.24,1.45,0.011,0.023,1.206,0.133,0.453,0.161,0.144,0.367,0.615,3.414,1.843,4.503,2.149,0.416,0.533,0.723,0.903,0,14.189,10.267,1.521,6.77,0.502,0.132,0.13,130.744,-123.201,413.156
"TTL_B09",0.541,0.029,0.026,2.996,0.021,0.409,22.885,31.869,0.513,0.027,0.095,1.631,55.803,0.334,0.005,1.048,10.619,6.672,2.035,0.237,0.079,0.142,0.272,0.377,0,0.013,0.085,102.255,0.18,14.049,0.532,1.642,0.011,0.043,1.109,0.238,0.082,0.168,0.022,0.052,0.084,0.453,0.955,0.292,0.359,0.084,0.075,0.051,0.036,0,0.491,0.001,0.188,0.215,0.05,0.076,0.002,2.536,-7.754,257.341
"TTL_C10T12",359.798,2.007,0.368,0.133,0,0.025,0.834,0.236,811.687,17.116,4.161,10.16,5.595,31.253,1.423,19.806,5.603,8.646,1.702,11.868,9.725,8.485,12.887,32.985,0.008,1.075,6.952,20.391,2.734,19.744,108.148,9.328,0.176,0.387,9.208,1.086,377.938,4.021,2.348,7.076,4.122,7.642,15.355,21.225,24.479,17.338,28.862,29.906,5.874,0,6592.099,2.368,8.351,25.708,10.749,63.335,26.004,2158.61,-4796.331,6172.82
"TTL_C13T15",4.594,0.884,0.053,0.14,0,0.027,0.49,0.197,7.623,338.781,4.281,17.054,1.519,6.592,0.276,30.113,8.272,4.834,0.906,10.986,6.401,6.599,11.652,142.788,0.014,1.697,36.694,10.446,1.995,26.21,44.995,4.757,0.025,0.133,4.422,1.202,5.797,1.348,0.951,2.664,1.908,3.883,13.985,26.326,18.269,4.409,12.207,15.542,7.717,0,1347.288,0.029,2.994,18.396,10.009,21.882,2.038,1318.464,-1847.807,1725.953
