"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",100.846,4.026,0.167,0.272,0,0.019,0.329,0.021,427.613,10.067,5.456,5.848,0.002,7.345,6.166,8.448,3.523,4.845,3.95,11.873,4.33,13.554,9.173,9.827,0.154,0.294,5.174,3.9,2.98,20.17,41.233,7.785,0.168,0.183,4.649,0.279,82.805,1.288,1.879,2.304,2.429,1.576,10.495,4.204,4.191,3.163,6.768,3.281,2.049,0,912.568,1.911,10.257,61.862,3.417,11.392,22.098,527.41,-596.184,1805.832
"TTL_A02",2.918,39.72,0.011,0.146,0,0.003,0.065,0.002,5.922,0.449,92.671,5.983,0,0.682,0.455,2.352,0.467,0.455,0.398,1.015,0.316,1.098,0.752,0.817,0.014,0.023,2.601,2.25,0.292,3.705,4.395,1.396,0.014,0.014,0.78,0.088,2.254,0.096,0.126,0.113,0.112,0.189,0.562,0.281,0.548,0.293,0.472,0.378,0.2,0,193.586,0.02,0.682,3.508,0.853,0.145,1.09,205.333,-52.298,530.811
"TTL_A03",0.084,0.009,0.062,0.002,0,0,0.003,0,3.558,0.021,0.025,0.034,0,0.035,0.025,0.038,0.024,0.026,0.023,0.062,0.018,0.07,0.045,0.051,0.001,0.001,0.027,0.022,0.023,0.293,0.227,0.067,0.017,0.001,0.091,0.003,1.457,0.007,0.01,0.008,0.009,0.027,0.049,0.021,0.046,0.027,0.032,0.017,0.01,0,13.07,0.605,0.281,0.532,0.032,0.642,0.649,7.683,-13.342,16.861
"TTL_B05",0.372,0.081,0.001,6.158,0,0.04,0.554,0.044,1.392,0.302,0.245,1.692,0.012,2.574,0.057,0.521,9.901,52.799,15.04,0.371,0.073,0.744,0.407,0.34,0.014,0.024,0.168,187.295,0.492,7.921,1.273,0.812,0.004,0.004,0.538,0.023,0.511,0.043,0.162,0.38,0.164,0.619,0.65,0.141,0.857,0.573,0.099,0.095,0.277,0,15.334,0,0.036,9.29,0.09,0.024,0.016,3.377,-48.9,276.127
"TTL_B06",0.492,0.131,0.024,1.154,0,0.037,0.961,0.068,2.64,0.295,0.634,2.93,0.346,12.901,0.076,1.358,7.403,10.768,12.498,3.461,0.163,1.326,0.988,1.369,0.022,0.044,0.918,179.916,1.575,2.807,6.887,8.712,0.163,0.22,3.214,0.192,0.81,0.107,0.145,0.201,0.279,0.345,1.46,0.603,1.226,0.554,0.122,0.238,0.195,0,14.691,0.001,0.032,1.788,0.694,0.395,0,0,-290.579,0
"TTL_B07",0.015,0.002,0,0.02,0,0.016,0.057,0.002,0.039,0.009,0.013,0.019,0,0.12,0.004,0.044,0.325,4.425,11.128,0.96,0.066,0.742,0.32,0.283,0.003,0.008,0.09,0.155,0.07,0.624,0.12,0.039,0.001,0.001,0.049,0.003,0.029,0.006,0.015,0.017,0.024,0.031,0.087,0.036,0.035,0.02,0.006,0.017,0.011,0,0.105,0.001,0.012,0.457,0.062,0.078,0.002,9.094,-18.354,11.564
"TTL_B08",1.165,0.134,0.017,0.4,0,0.044,6.55,0.058,2.038,0.195,0.194,1.1,0.003,5.519,0.11,0.716,59.427,12.586,8.577,1.683,0.193,1.728,0.719,0.645,0.01,0.012,0.763,4.708,1.466,75.487,1.263,1.584,0.099,0.12,0.55,0.029,0.676,0.028,0.07,0.04,0.066,0.775,0.539,0.712,0.74,0.169,0.092,0.111,0.095,0,14.48,0.002,0.053,2.169,0.206,0.077,0.092,66.533,-104.618,172.996
"TTL_B09",0.037,0.007,0.004,0.232,0,0.011,0.403,0.11,0.057,0.011,0.031,0.065,0.001,0.037,0.008,0.041,0.243,0.124,0.159,0.075,0.018,0.074,0.064,0.062,0.001,0.002,0.064,0.582,0.052,0.557,0.181,0.204,0.005,0.008,0.115,0.009,0.043,0.018,0.026,0.025,0.025,0.018,0.147,0.034,0.04,0.019,0.011,0.021,0.011,0,0.243,0,0.605,13.652,0.02,0.044,0.006,1.348,-10.623,9.386
"TTL_C10T12",51.3,0.247,0.515,0.058,0,0.004,0.103,0.005,208.253,2.609,0.663,2.034,0,5.618,1.309,2.542,0.616,0.416,0.656,1.224,0.344,1.71,0.922,1.099,0.019,0.042,0.984,0.431,1.015,2.169,21.579,1.475,0.118,0.03,1.493,0.114,240.287,0.733,0.442,0.689,0.644,0.482,1.941,1.426,2.972,4.486,3.311,4.518,1.426,0,2425.731,0.63,4.572,1.777,5.205,36.84,51.409,1166.085,-1297.857,2969.464
"TTL_C13T15",1.491,0.483,0.159,0.206,0,0.015,0.185,0.015,3.473,152.196,2.367,9.008,0,3.243,0.808,8.557,2.663,1.167,1.214,4.534,1.783,6.469,4.397,19.783,0.17,0.206,23.044,1.086,2.618,11.879,22.235,3.199,0.05,0.052,2.737,0.475,11.806,0.758,0.7,0.955,1.259,0.671,6.444,4.637,5.961,4.19,3.42,6.425,4.206,0,759.027,0.006,7.83,19.861,12.077,12.737,9.992,646.22,-894.579,916.568
