"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1315.524,246.499,2.868,1.016,0.231,5.129,4.652,0.074,4010.65,19.968,207.071,56.312,15.427,29.013,51.55,16.838,10.025,17.917,7.812,13.387,4.039,6.864,19.665,29.199,0.657,2.608,22.38,92.37,19.952,191.109,256.055,33.379,2.842,2.932,43.162,3.054,544.548,13.022,17.8,36.618,17.403,152.859,112.503,70.463,54.803,15.146,43.074,39.395,23.513,0,5002.607,5.419,36.24,389.281,5.231,114.482,109.813,885.18,-2755.228,11696.398
"TTL_A02",126.302,3694.227,0.706,1.83,0.039,1.562,1.717,0.003,123.69,2.259,3473.267,535.811,0.581,11.9,5.897,53.195,5.034,2.102,1.509,2.084,0.309,0.809,2.98,4.27,0.286,0.308,79.855,116.152,0.875,94.6,92.108,2.091,0.353,0.142,2.579,0.149,40.586,1.698,1.094,3.852,0.475,11.615,7.848,4.639,15.742,2.374,4.616,13.693,5.432,0,313.084,0.028,2.086,319.157,5.295,1.477,0.666,338.518,-428.712,9106.843
"TTL_A03",0.877,0.307,3.719,0.008,0.003,0.048,0.049,0.001,81.576,0.023,0.214,0.269,0.252,0.187,0.4,0.074,0.087,0.152,0.067,0.193,0.069,0.111,0.311,0.387,0.056,0.051,0.133,0.204,0.092,1.009,2.682,0.348,0.968,0.047,0.81,0.022,23.498,0.184,0.15,0.377,0.142,0.792,1.646,0.481,0.875,0.139,0.542,0.5,0.215,0,215.595,0.218,3.082,3.779,0.628,6.433,0.477,167.941,-246.926,276.571
"TTL_B05",0.458,0.122,0.005,1.94,0.014,1.317,0.907,0.016,1.333,0.091,0.775,3.792,26.472,2.697,0.269,0.302,6.397,48.365,8.398,0.365,0.07,0.201,0.544,0.587,0.025,0.117,0.247,203.697,3.889,5.012,1.455,0.447,0.019,0.021,0.33,0.022,0.483,0.086,0.11,0.478,0.088,1.161,0.66,0.248,1.214,0.244,0.258,0.185,0.318,0,37.644,0.009,0.056,1.18,0.086,0.248,0.026,21.863,-8.088,379.273
"TTL_B06",24.096,11.95,2.002,6.045,3.427,23.863,25.629,0.48,45.046,1.707,11.401,84.64,11075.329,228.333,11.014,12.112,77.455,169.263,92.251,34.044,3.057,9.61,45.487,46.674,0.918,4.233,14.441,2828.494,21.383,81.523,142.8,176.224,29.252,47.216,52.685,3.447,15.251,6.725,6.283,14.512,6.531,30.742,58.18,28.287,34.204,5.218,7.367,10.243,7.857,0,203.247,0.007,1.771,123.033,17.443,4.015,0.002,1.268,-15928.314,101.405
"TTL_B07",0.438,0.036,0.007,0.971,0.074,92.875,13.893,0.137,2.161,0.08,0.095,0.355,19.304,15.82,0.77,0.327,31.65,735.855,874.157,22.305,0.341,1.613,4.881,3.299,0.034,0.137,1.212,21.496,0.591,41.999,1.545,0.622,0.036,0.062,0.454,0.019,0.486,0.146,0.156,0.527,0.176,1.036,2.081,0.673,0.373,0.079,0.107,0.25,0.362,0,0.644,0.004,0.221,0.998,0.052,0.79,0,4140.001,-16.123,6022.689
"TTL_B08",11.655,1.792,0.223,1.266,0.135,14.12,104.907,0.237,13.959,0.403,0.511,18.044,0.532,58.304,2.824,2.604,411.987,128.16,43.263,7.919,0.717,3.111,5.457,3.942,0.081,0.306,4.098,45.86,7.147,682.947,4.829,1.711,0.543,0.062,1.337,0.034,1.914,0.147,0.141,0.351,0.089,20.354,2.925,6.907,5.197,0.199,0.277,0.58,0.659,0,77.502,0.002,0.24,2.486,0.532,0.782,0.005,106.079,-34.717,1777.679
"TTL_B09",0.089,0.044,0.002,0.01,0.004,0.055,0.09,0.002,0.17,0.01,0.046,0.138,2.052,0.154,0.132,0.052,0.231,0.195,0.075,0.182,0.055,0.075,0.279,0.339,0.006,0.035,0.084,0.663,0.084,0.988,0.825,0.31,0.061,0.081,0.286,0.021,0.108,0.151,0.141,0.417,0.106,0.378,0.954,0.281,0.225,0.041,0.07,0.125,0.06,0,1.434,0.003,1.065,9.519,0.04,0.451,0.001,196.719,-17.487,202.729
"TTL_C10T12",704.902,4.74,10.255,0.164,0.035,1.005,1.452,0.018,2080.542,3.952,3.242,29.927,6.455,58.513,76.605,8.205,2.692,2.844,2.325,4.935,2.099,2.988,8.148,9.482,0.226,0.897,5.559,4.495,5.549,15.505,187.764,7.081,4.96,1.329,9.953,0.656,1718.584,13.965,5.095,15.235,4.884,24.612,39.839,18.406,35.607,20.077,65.065,60.947,18.157,0,21453.579,6.858,151.38,23.049,21.149,370.3,266.194,5313.962,-10358.737,22557.701
"TTL_C13T15",6.042,3.353,1.326,0.378,0.047,1.563,1.3,0.029,13.049,171.307,6.284,66.215,3.661,11.536,11.272,19.373,8.145,4.761,2.196,11.092,3.243,6.205,20.055,94.162,1.109,3.966,38.157,4.199,6.239,41.598,82.468,6.541,0.733,1.161,6.66,1.463,36.463,3.912,2.33,5.639,1.682,10.396,44.803,27.887,34.983,4.266,24.46,32.944,25.429,0,3210.798,0.01,3.282,29.775,9.227,128.083,5.236,947.929,-3829.588,1420.828
